Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,UniversalStartTime,originalFile,LeftTemperature,RightTemperature
38,0,211.8946,1,936,1551,2975,4263,509,-6,200,0,1,218.0393,0,1,735935.412174706,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
39,1,220.5001,1,936,1551,2975,4263,509,-6,200,0,0,223.1949,1,1,735935.412274307,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
40,0,227.3618,0,437,2761,2975,4263,503,-10.5,200,1,1,229.1501,1,0,735935.412353725,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
41,0,230.5468,1,936,1551,2975,4263,508,-12.8,200,0,0,232.368,1,4,735935.412390588,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
42,0,235.5672,0,936,1551,2975,4263,510,-12.8,200,0,0,236.5935,1,3,735935.412448694,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
43,0,239.7713,0,936,1551,2975,4263,501,-6,200,0,0,240.601,1,4,735935.412497353,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
44,0,243.9229,1,936,1551,2975,4263,502,-10.5,200,0,0,246.6398,1,1,735935.412545404,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
45,0,250.4469,0,936,1551,2975,4263,506,-15,200,0,0,251.3714,1,5,735935.412620913,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
46,0,255.2148,0,437,2761,2975,4263,504,-12.8,200,1,1,256.7794,1,4,735935.412676097,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
47,0,260.4768,0,437,2761,2975,4263,511,-8.3,200,1,1,262.3879,1,4,735935.412737,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
48,0,265.6162,0,437,2761,2975,4263,505,-12.8,200,1,1,267.4417,1,1,735935.412796484,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
49,0,275.3827,0,936,1551,2975,4263,505,-12.8,200,0,0,276.1081,1,5,735935.412909522,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
50,0,279.2013,0,936,1551,2975,4263,504,-12.8,200,0,0,279.9415,1,2,735935.412953719,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
51,0,283.3406,1,437,2761,2975,4263,507,-8.3,200,1,1,287.0667,1,3,735935.413001627,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
52,0,291.4675,0,936,1551,2975,4263,503,-6,200,0,0,292.4137,1,5,735935.413095689,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
53,0,295.8932,0,936,1551,2975,4263,506,-10.5,200,0,0,296.6843,1,5,735935.413146912,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
54,0,300.0219,1,437,2761,2975,4263,508,-15,200,1,0,303.2266,0,2,735935.413194698,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
