Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,originalFile,LeftTemperature,RightTemperature
1,0,4.4933,0,730,2058.0,2857.0,4205.0,1001.0,10.0,200.0,1.0,0.0,5.8984,0.0,4.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
2,1,15.8459,0,730,2058.0,2857.0,4205.0,1001.0,10.0,200.0,1.0,1.0,16.9855,1.0,4.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
3,0,25.1523,0,460,1105.0,2857.0,4205.0,751.0,10.0,200.0,0.0,0.0,28.0218,1.0,1.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
4,0,32.0434,0,460,1105.0,2857.0,4205.0,651.0,10.0,200.0,0.0,0.0,33.4739,1.0,0.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
5,0,37.9448,0,460,1105.0,2857.0,4205.0,851.0,10.0,200.0,0.0,0.0,38.89,1.0,1.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
6,0,43.1803,1,730,2058.0,2857.0,4205.0,701.0,10.0,200.0,1.0,0.0,44.2924,0.0,2.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
7,1,51.7763,1,730,2058.0,2857.0,4205.0,701.0,10.0,200.0,1.0,1.0,55.9408,1.0,2.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
8,0,61.8982,0,730,2058.0,2857.0,4205.0,551.0,10.0,200.0,1.0,0.0,64.6916,0.0,2.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
9,1,75.8764,0,730,2058.0,2857.0,4205.0,551.0,10.0,200.0,1.0,0.0,77.1934,0.0,2.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
10,1,91.7923,0,730,2058.0,2857.0,4205.0,551.0,10.0,200.0,1.0,0.0,93.8683,0.0,2.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
11,1,102.3613,0,730,2058.0,2857.0,4205.0,551.0,10.0,200.0,1.0,1.0,104.1498,1.0,2.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
12,0,111.8463,0,730,2058.0,2857.0,4205.0,801.0,10.0,200.0,1.0,1.0,113.2476,1.0,1.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
13,0,129.1467,0,730,2058.0,2857.0,4205.0,601.0,10.0,200.0,1.0,0.0,130.8039,0.0,3.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
14,1,137.406,0,730,2058.0,2857.0,4205.0,601.0,10.0,200.0,1.0,1.0,138.6807,1.0,3.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
15,0,150.8278,0,460,1105.0,2857.0,4205.0,901.0,10.0,200.0,0.0,0.0,152.2098,1.0,4.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
16,0,156.1768,0,460,1105.0,2857.0,4205.0,951.0,10.0,200.0,0.0,0.0,157.1626,1.0,0.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
17,0,161.004,0,730,2058.0,2857.0,4205.0,501.0,10.0,200.0,1.0,0.0,162.1834,0.0,5.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
18,1,169.2649,0,730,2058.0,2857.0,4205.0,501.0,10.0,200.0,1.0,1.0,170.8901,1.0,5.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
19,0,181.142,0,730,2058.0,2857.0,4205.0,551.0,10.0,200.0,1.0,0.0,182.48,0.0,5.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
20,1,188.7231,0,730,2058.0,2857.0,4205.0,551.0,10.0,200.0,1.0,1.0,190.0286,1.0,5.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
21,0,204.6863,0,730,2058.0,2857.0,4205.0,901.0,10.0,200.0,1.0,0.0,206.1924,0.0,1.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
22,1,218.0934,0,730,2058.0,2857.0,4205.0,901.0,10.0,200.0,1.0,0.0,219.4312,0.0,1.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
23,1,229.5189,0,730,2058.0,2857.0,4205.0,901.0,10.0,200.0,1.0,0.0,230.7073,0.0,1.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
24,1,237.2149,0,730,2058.0,2857.0,4205.0,901.0,10.0,200.0,1.0,0.0,239.5447,0.0,1.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
25,1,246.8076,0,730,2058.0,2857.0,4205.0,901.0,10.0,200.0,1.0,1.0,248.2614,1.0,1.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
26,0,262.7787,0,730,2058.0,2857.0,4205.0,751.0,10.0,200.0,1.0,0.0,264.4607,0.0,2.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
27,1,270.5757,0,730,2058.0,2857.0,4205.0,751.0,10.0,200.0,1.0,1.0,272.0544,1.0,2.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
28,0,283.283,0,460,1105.0,2857.0,4205.0,801.0,10.0,200.0,0.0,0.0,284.4906,1.0,1.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
29,0,289.0144,0,460,1105.0,2857.0,4205.0,951.0,10.0,200.0,0.0,0.0,289.8249,1.0,4.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
30,0,294.0501,0,730,2058.0,2857.0,4205.0,1001.0,10.0,200.0,1.0,0.0,295.0513,0.0,0.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
31,1,307.5677,0,730,2058.0,2857.0,4205.0,1001.0,10.0,200.0,1.0,1.0,308.5098,1.0,0.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
32,0,319.2898,1,460,1105.0,2857.0,4205.0,851.0,10.0,200.0,0.0,1.0,320.7117,0.0,5.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
33,1,329.2377,0,460,1105.0,2857.0,4205.0,851.0,10.0,200.0,0.0,0.0,331.0549,1.0,5.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
34,0,335.2233,0,460,1105.0,2857.0,4205.0,601.0,10.0,200.0,0.0,0.0,336.407,1.0,5.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
35,0,340.5548,0,460,1105.0,2857.0,4205.0,651.0,10.0,200.0,0.0,0.0,342.0833,1.0,2.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
36,0,346.6259,0,730,2058.0,2857.0,4205.0,901.0,10.0,200.0,1.0,0.0,348.481,0.0,3.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
37,1,363.8734,0,730,2058.0,2857.0,4205.0,901.0,10.0,200.0,1.0,1.0,364.6771,1.0,3.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
38,0,377.2852,0,730,2058.0,2857.0,4205.0,1001.0,10.0,200.0,1.0,0.0,378.5368,0.0,5.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
39,1,386.1497,0,730,2058.0,2857.0,4205.0,1001.0,10.0,200.0,1.0,1.0,387.1759,1.0,5.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
40,0,394.9269,1,460,1105.0,2857.0,4205.0,551.0,10.0,200.0,0.0,0.0,396.6867,1.0,2.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
41,0,400.7168,0,460,1105.0,2857.0,4205.0,651.0,10.0,200.0,0.0,0.0,402.1219,1.0,3.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
42,0,406.4381,0,460,1105.0,2857.0,4205.0,951.0,10.0,200.0,0.0,0.0,407.6295,1.0,3.0,10_12_2014 level23_spatial_F+V 15_26 Block7-48.txt,37,37
