Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,originalFile,LeftTemperature,RightTemperature
1,0,8.3086,0,460,1105,2857,4205,701,-15.0,200,1,0,17.1538,0,0,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
2,1,24.9341,0,460,1105,2857,4205,701,-15.0,200,1,1,25.3511,1,0,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
3,0,38.9245,0,730,2058,2857,4205,601,-15.0,200,0,0,39.6077,1,0,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
4,0,47.5368,0,730,2058,2857,4205,651,-15.0,200,0,0,48.2321,1,4,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
5,0,57.3617,0,730,2058,2857,4205,551,-15.0,200,0,0,58.8833,1,3,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
6,0,69.679,0,460,1105,2857,4205,1001,-15.0,200,1,1,70.0262,1,5,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
7,0,84.4448,1,460,1105,2857,4205,901,-15.0,200,1,0,85.4922,0,2,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
8,1,94.3686,0,460,1105,2857,4205,901,-15.0,200,1,0,96.2301,0,2,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
9,1,105.4368,0,460,1105,2857,4205,901,-15.0,200,1,1,105.6729,1,2,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
10,0,122.3063,0,460,1105,2857,4205,851,-15.0,200,1,0,124.1795,0,0,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
11,1,135.3137,0,460,1105,2857,4205,851,-15.0,200,1,0,136.7067,0,0,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
12,1,142.911,0,460,1105,2857,4205,851,-15.0,200,1,1,143.2474,1,0,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
13,0,159.0599,0,730,2058,2857,4205,751,-15.0,200,0,1,161.8921,0,1,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
14,1,168.8948,0,730,2058,2857,4205,751,-15.0,200,0,1,169.1111,0,1,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
15,1,176.5027,0,730,2058,2857,4205,751,-15.0,200,0,0,177.9159,1,1,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
16,0,189.21,0,460,1105,2857,4205,951,-15.0,200,1,0,190.8959,0,4,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
17,1,195.7432,0,460,1105,2857,4205,951,-15.0,200,1,0,200.8537,0,4,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
18,1,206.5969,0,460,1105,2857,4205,951,-15.0,200,1,1,206.9933,1,4,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
19,0,215.447,0,460,1105,2857,4205,501,-15.0,200,1,0,217.5828,0,4,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
20,1,223.0036,0,460,1105,2857,4205,501,-15.0,200,1,1,227.3639,1,4,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
21,0,238.3752,0,460,1105,2857,4205,901,-15.0,200,1,1,238.6426,1,3,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
22,0,255.5795,1,730,2058,2857,4205,751,-15.0,200,0,0,256.9035,1,2,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
23,0,263.5679,0,460,1105,2857,4205,851,-15.0,200,1,0,266.2251,0,3,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
24,1,280.1721,0,460,1105,2857,4205,851,-15.0,200,1,1,280.4978,1,3,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
25,0,292.5423,0,460,1105,2857,4205,651,-15.0,200,1,0,294.6271,0,5,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
26,1,299.6963,0,460,1105,2857,4205,651,-15.0,200,1,1,300.2932,1,5,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
27,0,321.7389,0,730,2058,2857,4205,801,-15.0,200,0,0,322.677,1,4,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
28,0,327.5918,0,730,2058,2857,4205,551,-15.0,200,0,0,328.7801,1,5,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
29,0,337.675,1,460,1105,2857,4205,601,-15.0,200,1,1,338.2582,1,3,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
30,0,349.4591,0,460,1105,2857,4205,1001,-15.0,200,1,1,351.541,1,2,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
31,0,367.3903,0,730,2058,2857,4205,951,-15.0,200,0,0,368.6122,1,1,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
32,0,375.0405,0,730,2058,2857,4205,701,-15.0,200,0,0,375.9326,1,5,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
33,0,384.5129,0,730,2058,2857,4205,501,-15.0,200,0,0,386.0225,1,4,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
34,0,394.2285,0,730,2058,2857,4205,951,-15.0,200,0,0,395.2722,1,3,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
35,0,403.0556,0,460,1105,2857,4205,701,-15.0,200,1,1,403.4019,1,1,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
36,0,413.5373,0,460,1105,2857,4205,1001,-15.0,200,1,0,415.8143,0,4,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
37,1,422.1874,0,460,1105,2857,4205,1001,-15.0,200,1,1,422.4997,1,4,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
38,0,435.3565,1,460,1105,2857,4205,651,-15.0,200,1,0,436.509,0,1,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
39,1,445.4773,0,460,1105,2857,4205,651,-15.0,200,1,1,446.0848,1,1,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
40,0,459.5296,0,730,2058,2857,4205,801,-15.0,200,0,0,460.4197,1,0,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
41,0,470.8028,0,730,2058,2857,4205,751,-15.0,200,0,0,474.7146,1,2,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
42,0,486.3345,0,730,2058,2857,4205,601,-15.0,200,0,0,487.4143,1,2,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
43,0,493.0301,0,460,1105,2857,4205,851,-15.0,200,1,1,493.8608,1,1,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
44,0,510.116,0,460,1105,2857,4205,901,-15.0,200,1,0,510.8686,0,2,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
45,1,523.1185,0,460,1105,2857,4205,901,-15.0,200,1,1,523.3681,1,2,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
46,0,545.2125,0,730,2058,2857,4205,951,-15.0,200,0,0,549.1914,1,1,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
47,0,554.9374,0,460,1105,2857,4205,1001,-15.0,200,1,1,555.3952,1,5,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
48,0,559.1905,0,730,2058,2857,4205,651,-15.0,200,0,0,559.9697,1,3,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
49,0,568.5894,0,730,2058,2857,4205,801,-15.0,200,0,0,570.0672,1,0,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
50,0,577.6313,0,460,1105,2857,4205,701,-15.0,200,1,0,578.724,0,0,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
51,1,583.6779,0,460,1105,2857,4205,701,-15.0,200,1,1,584.107,1,0,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
52,0,588.7471,0,730,2058,2857,4205,601,-15.0,200,0,0,590.3223,1,5,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
53,0,595.9659,1,460,1105,2857,4205,851,-15.0,200,1,0,596.8588,0,3,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
54,1,600.8549,0,460,1105,2857,4205,851,-15.0,200,1,0,603.5019,0,3,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
55,1,613.5075,0,460,1105,2857,4205,851,-15.0,200,1,0,614.5903,0,3,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
56,1,629.6847,0,460,1105,2857,4205,851,-15.0,200,1,1,630.0378,1,3,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
57,0,635.6575,0,460,1105,2857,4205,751,-15.0,200,1,0,636.7643,0,1,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
58,1,642.2639,0,460,1105,2857,4205,751,-15.0,200,1,1,642.7691,1,1,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
59,0,645.9211,0,460,1105,2857,4205,501,-15.0,200,1,1,646.4714,1,2,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
60,0,649.8165,0,460,1105,2857,4205,901,-15.0,200,1,1,650.2016,1,4,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
61,0,653.8981,0,730,2058,2857,4205,551,-15.0,200,0,0,654.9919,1,5,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
62,0,659.6504,0,730,2058,2857,4205,501,-15.0,200,0,1,660.1285,0,1,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
63,1,666.0033,0,730,2058,2857,4205,501,-15.0,200,0,1,666.8222,0,1,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37
