Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,UniversalStartTime,originalFile,LeftTemperature,RightTemperature
32,0,346.4373,0,730,2058,2857,4205,502,-6.5,200,1,0,346.5059,0,0,736363.434637203,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
33,1,350.6174,1,730,2058,2857,4205,502,-6.5,200,1,0,350.6536,0,0,736363.434685583,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
34,1,354.4002,0,730,2058,2857,4205,502,-6.5,200,1,0,354.4942,0,0,736363.434729366,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
35,1,358.467,0,730,2058,2857,4205,502,-6.5,200,1,0,358.4883,0,0,736363.434776435,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
36,1,362.7281,0,730,2058,2857,4205,502,-6.5,200,1,0,363.688,0,0,736363.434825753,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
37,1,367.5806,0,730,2058,2857,4205,502,-6.5,200,1,0,368.5081,0,0,736363.434881917,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
38,1,373.5206,0,730,2058,2857,4205,502,-6.5,200,1,1,374.6398,1,0,736363.434950667,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
39,0,380.8195,0,730,2058,2857,4205,509,2.5,200,1,1,381.922,1,4,736363.435035145,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
40,0,386.9056,0,730,2058,2857,4205,511,-9.5,200,1,1,388.1742,1,2,736363.435105586,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
41,0,393.7676,0,730,2058,2857,4205,510,-6.5,200,1,1,395.3952,1,5,736363.435185007,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
42,0,401.8212,0,730,2058,2857,4205,509,-9.5,200,1,1,402.9664,1,0,736363.43527822,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
43,0,407.6363,0,460,1105,2857,4205,503,-12.5,200,0,0,408.6826,1,0,736363.435345524,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
44,0,412.9198,0,460,1105,2857,4205,504,-3.5,200,0,1,414.2228,0,0,736363.435406676,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
45,1,417.8608,0,460,1105,2857,4205,504,-3.5,200,0,1,419.1823,0,0,736363.435463863,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
46,1,424.7173,0,460,1105,2857,4205,504,-3.5,200,0,1,426.1362,0,0,736363.435543221,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
47,1,433.8257,0,460,1105,2857,4205,504,-3.5,200,0,0,434.6837,1,0,736363.435648642,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
48,0,438.9608,0,730,2058,2857,4205,505,-9.5,200,1,1,440.3602,1,4,736363.435708076,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
49,0,445.2522,1,460,1105,2857,4205,502,-3.5,200,0,0,449.8644,1,3,736363.435780894,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
50,0,454.5001,0,460,1105,2857,4205,501,-0.5,200,0,1,456.1678,0,2,736363.435887929,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
51,1,465.4275,0,460,1105,2857,4205,501,-0.5,200,0,0,466.5011,1,2,736363.436014404,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
52,0,469.9272,0,730,2058,2857,4205,507,-0.5,200,1,1,471.4126,1,3,736363.436066484,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
53,0,476.4606,0,730,2058,2857,4205,508,-6.5,200,1,1,477.9375,1,2,736363.436142102,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
54,0,482.6873,1,730,2058,2857,4205,506,-0.5,200,1,1,487.9213,1,2,736363.43621417,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
55,0,493.0338,0,730,2058,2857,4205,505,-0.5,200,1,0,494.5216,0,5,736363.436333921,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
56,1,499.9297,1,730,2058,2857,4205,505,-0.5,200,1,1,503.7412,1,5,736363.436413735,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
57,0,510.0422,0,730,2058,2857,4205,503,-12.5,200,1,1,511.4993,1,4,736363.436530778,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
58,0,516.1902,0,460,1105,2857,4205,504,-3.5,200,0,0,517.4151,1,1,736363.436601935,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
59,0,520.944,1,460,1105,2857,4205,501,-12.5,200,0,0,524.9138,1,3,736363.436656956,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
60,0,528.2238,0,460,1105,2857,4205,506,-0.5,200,0,1,529.716,0,4,736363.436741213,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
61,1,536.1913,0,460,1105,2857,4205,506,-0.5,200,0,0,537.4193,1,4,736363.436833429,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
62,0,541.2114,0,460,1105,2857,4205,508,-12.5,200,0,0,542.4373,1,1,736363.436891532,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
63,0,546.8545,0,730,2058,2857,4205,502,-6.5,200,1,1,548.0485,1,4,736363.436956846,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
64,0,553.2577,0,730,2058,2857,4205,507,-12.5,200,1,1,554.5157,1,1,736363.437030957,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
65,0,559.2878,0,460,1105,2857,4205,511,-0.5,200,0,0,560.2782,1,5,736363.43710075,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
66,0,564.1649,0,730,2058,2857,4205,510,2.5,200,1,1,565.3758,1,2,736363.437157198,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
67,0,570.293,1,730,2058,2857,4205,509,-12.5,200,1,1,574.5714,1,0,736363.437228125,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
68,0,579.9344,0,730,2058,2857,4205,511,-3.5,200,1,1,581.3546,1,4,736363.437339715,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
69,0,585.9838,0,460,1105,2857,4205,501,-0.5,200,0,1,587.4832,0,3,736363.437409731,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
70,1,591.0629,0,460,1105,2857,4205,501,-0.5,200,0,0,592.1588,1,3,736363.437468517,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
71,0,595.9003,0,730,2058,2857,4205,506,2.5,200,1,1,597.9528,1,5,736363.437524506,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
72,0,602.5489,0,460,1105,2857,4205,503,2.5,200,0,1,603.8068,0,1,736363.437601457,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
73,1,607.4548,0,460,1105,2857,4205,503,2.5,200,0,0,608.5771,1,1,736363.437658238,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
74,0,612.6581,1,460,1105,2857,4205,508,-6.5,200,0,0,615.8972,1,2,736363.437718462,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
75,0,619.3512,0,730,2058,2857,4205,504,2.5,200,1,1,620.673,1,0,736363.437795928,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
76,0,624.754,0,460,1105,2857,4205,510,-0.5,200,0,1,626.4318,0,1,736363.437858461,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
77,1,630.3018,0,460,1105,2857,4205,510,-0.5,200,0,0,631.6003,1,1,736363.437922671,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
78,0,636.0177,0,460,1105,2857,4205,507,-9.5,200,0,0,637.0084,1,4,736363.437988828,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
79,0,640.9073,0,460,1105,2857,4205,505,-6.5,200,0,1,642.1087,0,1,736363.43804542,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
