Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,Mask,originalFile,LeftTemperature,RightTemperature
60,0,434.7103,1,437,2761,2975,4263,501,-10.0,200,0,0,436.8458,1,2,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
61,0,442.1553,0,936,1551,2975,4263,751,-11.3,200,1,1,443.2676,1,0,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
62,0,450.6001,0,936,1551,2975,4263,526,-10.0,200,1,1,451.5394,1,5,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
63,0,458.0293,0,936,1551,2975,4263,601,-12.5,200,1,0,458.581,0,3,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
64,1,465.9463,0,936,1551,2975,4263,601,-12.5,200,1,1,466.9117,1,3,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
65,0,473.5626,0,437,2761,2975,4263,751,-15.0,200,0,0,473.9613,1,1,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
66,0,479.2895,0,936,1551,2975,4263,601,-13.8,200,1,1,479.708,1,2,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
67,0,486.073,0,437,2761,2975,4263,651,-12.5,200,0,0,486.6977,1,5,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
68,0,490.9944,0,936,1551,2975,4263,701,-10.0,200,1,1,491.5651,1,2,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
69,0,497.6359,0,437,2761,2975,4263,626,-11.3,200,0,1,498.9415,0,1,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
70,1,506.7653,1,437,2761,2975,4263,626,-11.3,200,0,0,508.324,1,1,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
71,0,512.8521,1,437,2761,2975,4263,676,-13.8,200,0,0,513.3273,1,2,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
72,0,517.4901,0,437,2761,2975,4263,726,-12.5,200,0,0,518.7478,1,3,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
73,0,522.6578,0,437,2761,2975,4263,551,-10.0,200,0,0,523.6558,1,4,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
74,0,528.0866,0,437,2761,2975,4263,526,-11.3,200,0,0,528.6745,1,2,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
75,0,533.8532,0,437,2761,2975,4263,576,-15.0,200,0,0,534.7484,1,0,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
76,0,541.4641,0,437,2761,2975,4263,501,-12.5,200,0,0,541.8928,1,1,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
77,0,546.6303,0,936,1551,2975,4263,626,-12.5,200,1,1,547.2204,1,4,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
78,0,552.9564,0,437,2761,2975,4263,526,-11.3,200,0,0,553.5314,1,3,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
79,0,557.9944,0,437,2761,2975,4263,701,-15.0,200,0,0,558.3542,1,3,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
80,0,562.0656,0,936,1551,2975,4263,601,-12.5,200,1,1,562.7463,1,0,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
81,0,570.5357,0,437,2761,2975,4263,751,-13.8,200,0,0,571.2731,1,0,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
82,0,576.3913,0,936,1551,2975,4263,551,-12.5,200,1,0,578.4855,0,1,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
83,1,584.5286,0,936,1551,2975,4263,551,-12.5,200,1,1,585.394,1,1,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
84,0,591.8337,0,936,1551,2975,4263,676,-11.3,200,1,1,592.4061,1,2,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
85,0,598.818,0,437,2761,2975,4263,651,-13.8,200,0,0,599.4173,1,3,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
86,0,602.4641,0,437,2761,2975,4263,576,-15.0,200,0,0,602.8888,1,4,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
87,0,607.0154,0,437,2761,2975,4263,626,-13.8,200,0,0,607.4776,1,5,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
88,0,611.7154,0,936,1551,2975,4263,726,-10.0,200,1,1,612.2434,1,4,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
89,0,615.384,0,437,2761,2975,4263,551,-10.0,200,0,0,617.0587,1,5,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
90,0,620.7218,0,936,1551,2975,4263,501,-11.3,200,1,1,621.4244,1,5,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
91,0,625.1832,0,437,2761,2975,4263,651,-12.5,200,0,0,625.8922,1,4,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
92,0,630.6028,0,936,1551,2975,4263,751,-10.0,200,1,1,631.5728,1,5,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
93,0,635.2043,0,437,2761,2975,4263,701,-13.8,200,0,0,636.3247,1,1,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
94,0,639.9998,0,437,2761,2975,4263,526,-10.0,200,0,1,641.1949,0,2,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
95,1,650.1811,0,437,2761,2975,4263,526,-10.0,200,0,0,651.2003,1,2,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
96,0,655.3595,0,936,1551,2975,4263,576,-11.3,200,1,1,656.5677,1,3,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
97,0,675.1923,0,936,1551,2975,4263,676,-13.8,200,1,0,675.5497,0,0,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
1,0,6.7123,0,437,2761,2975,4263,503,-15.0,200,0,1,14.2356,0,0,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
2,1,25.9344,0,437,2761,2975,4263,503,-15.0,200,0,0,28.1245,1,0,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
3,0,33.1681,0,936,1551,2975,4263,506,-12.8,200,1,1,33.4757,1,1,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
4,0,36.8853,1,437,2761,2975,4263,508,-12.8,200,0,1,39.6119,0,5,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
5,1,50.5716,0,437,2761,2975,4263,508,-12.8,200,0,1,51.7006,0,5,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
6,1,58.1157,0,437,2761,2975,4263,508,-12.8,200,0,1,59.3682,0,5,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
7,1,63.3824,0,437,2761,2975,4263,508,-12.8,200,0,0,66.5852,1,5,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
8,0,71.3353,1,437,2761,2975,4263,509,-12.8,200,0,1,71.7893,0,1,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
9,1,83.4475,1,437,2761,2975,4263,509,-12.8,200,0,1,86.5947,0,1,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
10,1,97.9051,1,437,2761,2975,4263,509,-12.8,200,0,0,100.0975,1,1,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
11,0,105.4929,1,437,2761,2975,4263,501,-8.3,200,0,1,109.1706,0,2,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
12,1,111.3767,1,437,2761,2975,4263,501,-8.3,200,0,0,115.5982,1,2,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
13,0,122.1754,0,936,1551,2975,4263,510,-10.5,200,1,0,123.3845,0,1,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
14,1,126.8881,0,936,1551,2975,4263,510,-10.5,200,1,1,127.5267,1,1,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
15,0,131.1557,0,936,1551,2975,4263,507,-15.0,200,1,1,132.0218,1,4,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
16,0,135.3122,1,936,1551,2975,4263,505,-6.0,200,1,1,137.817,1,0,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
17,0,141.3174,1,437,2761,2975,4263,511,-8.3,200,0,1,144.92,0,5,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
18,1,149.3931,0,437,2761,2975,4263,511,-8.3,200,0,0,150.241,1,5,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
19,0,156.3275,0,437,2761,2975,4263,502,-10.5,200,0,1,157.2035,0,2,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
20,1,162.2043,0,437,2761,2975,4263,502,-10.5,200,0,0,162.63,1,2,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
21,0,169.7733,1,936,1551,2975,4263,510,-8.3,200,1,1,172.9527,1,5,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
22,0,176.6505,1,936,1551,2975,4263,508,-10.5,200,1,1,179.6371,1,4,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
23,0,182.4995,1,936,1551,2975,4263,504,-12.8,200,1,1,185.1443,1,0,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
24,0,188.4138,1,936,1551,2975,4263,511,-10.5,200,1,1,190.8445,1,0,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
25,0,193.8833,0,936,1551,2975,4263,502,-6.0,200,1,0,195.2509,0,1,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
26,1,197.7087,1,936,1551,2975,4263,502,-6.0,200,1,1,199.928,1,1,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
27,0,203.372,1,936,1551,2975,4263,503,-15.0,200,1,1,205.6745,1,2,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
28,0,209.014,0,437,2761,2975,4263,506,-8.3,200,0,0,210.4671,1,0,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
29,0,216.6952,1,437,2761,2975,4263,501,-12.8,200,0,1,219.2759,0,4,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
30,1,227.3141,0,437,2761,2975,4263,501,-12.8,200,0,0,229.3574,1,4,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
31,0,234.4539,0,936,1551,2975,4263,507,-8.3,200,1,1,235.2918,1,0,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
32,0,238.5881,1,936,1551,2975,4263,509,-15.0,200,1,1,240.1234,1,1,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
33,0,243.1748,1,936,1551,2975,4263,506,-6.0,200,1,1,244.81,1,5,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
34,0,248.2376,1,437,2761,2975,4263,503,-10.5,200,0,0,251.8923,1,0,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
35,0,259.1388,1,437,2761,2975,4263,505,-6.0,200,0,1,261.5892,0,1,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
36,1,268.0134,1,437,2761,2975,4263,505,-6.0,200,0,0,270.6583,1,1,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
37,0,279.1824,0,936,1551,2975,4263,508,-15.0,200,1,1,280.2952,1,3,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
38,0,283.6507,0,936,1551,2975,4263,511,-10.5,200,1,1,284.5101,1,3,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
39,0,287.0128,1,437,2761,2975,4263,509,-15.0,200,0,0,289.7195,1,3,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
40,0,295.8439,1,936,1551,2975,4263,502,-8.3,200,1,1,299.4335,1,4,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
41,0,302.487,1,437,2761,2975,4263,507,-10.5,200,0,1,305.3952,0,5,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
42,1,310.3816,0,437,2761,2975,4263,507,-10.5,200,0,1,311.6551,0,5,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
43,1,319.8863,0,437,2761,2975,4263,507,-10.5,200,0,0,321.5104,1,5,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
44,0,327.0896,1,437,2761,2975,4263,504,-6.0,200,0,0,328.9993,1,5,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
45,0,332.6712,1,437,2761,2975,4263,510,-10.5,200,0,0,334.8118,1,4,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
46,0,340.8249,1,936,1551,2975,4263,502,-10.5,200,1,1,343.7451,1,5,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
47,0,346.8877,0,437,2761,2975,4263,510,-15.0,200,0,1,348.0159,0,4,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
48,1,356.6492,1,437,2761,2975,4263,510,-15.0,200,0,0,359.078,1,4,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
49,0,362.7804,1,936,1551,2975,4263,509,-8.3,200,1,1,365.2791,1,1,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
50,0,368.26,1,437,2761,2975,4263,505,-12.8,200,0,1,370.7008,0,0,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
51,1,372.5731,1,437,2761,2975,4263,505,-12.8,200,0,1,375.3293,0,0,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
52,1,377.537,0,437,2761,2975,4263,505,-12.8,200,0,0,378.6906,1,0,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
53,0,383.959,1,437,2761,2975,4263,507,-8.3,200,0,0,387.6395,1,3,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
54,0,394.2025,0,437,2761,2975,4263,511,-15.0,200,0,1,395.5717,0,1,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
55,1,404.4317,1,437,2761,2975,4263,511,-15.0,200,0,0,406.8643,1,1,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
56,0,411.7477,0,437,2761,2975,4263,508,-6.0,200,0,0,412.804,1,3,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
57,0,416.4546,1,936,1551,2975,4263,503,-12.8,200,1,0,418.7797,0,2,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
58,1,420.7469,0,936,1551,2975,4263,503,-12.8,200,1,1,421.9506,1,2,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
59,0,425.1204,1,437,2761,2975,4263,504,-12.8,200,0,1,428.0758,0,3,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
60,1,432.0741,1,437,2761,2975,4263,504,-12.8,200,0,0,434.5991,1,3,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
61,0,438.6669,1,936,1551,2975,4263,501,-8.3,200,1,1,441.9915,1,3,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
62,0,446.203,0,437,2761,2975,4263,501,-15.0,200,0,0,447.7189,1,2,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
63,0,453.0044,0,936,1551,2975,4263,511,-8.3,200,1,0,455.1851,0,2,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
64,1,457.587,0,936,1551,2975,4263,511,-8.3,200,1,1,458.5046,1,2,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
65,0,461.537,0,936,1551,2975,4263,506,-6.0,200,1,1,462.5522,1,2,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
66,0,465.9796,1,936,1551,2975,4263,503,-12.8,200,1,1,469.8271,1,3,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
67,0,473.2747,0,437,2761,2975,4263,502,-8.3,200,0,0,474.2523,1,4,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
68,0,481.1483,1,936,1551,2975,4263,504,-15.0,200,1,1,484.1221,1,0,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
69,0,487.6648,0,936,1551,2975,4263,510,-15.0,200,1,1,488.7042,1,5,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
70,0,492.3218,1,437,2761,2975,4263,509,-12.8,200,0,0,496.1127,1,2,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
71,0,499.5526,0,437,2761,2975,4263,507,-8.3,200,0,0,501.946,1,1,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
72,0,507.7833,1,437,2761,2975,4263,508,-6.0,200,0,1,510.6588,0,0,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
73,1,513.4502,0,437,2761,2975,4263,508,-6.0,200,0,1,514.6686,0,0,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
74,1,524.2765,0,437,2761,2975,4263,508,-6.0,200,0,0,525.2564,1,0,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
75,0,528.9477,0,437,2761,2975,4263,502,-10.5,200,0,1,529.7277,0,1,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
76,1,546.6581,0,437,2761,2975,4263,502,-10.5,200,0,1,549.2121,0,1,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
77,1,552.7787,1,437,2761,2975,4263,502,-10.5,200,0,0,554.9978,1,1,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
78,0,559.1749,1,936,1551,2975,4263,509,-12.8,200,1,1,560.9627,1,5,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
79,0,563.5936,0,936,1551,2975,4263,508,-6.0,200,1,0,565.5433,0,4,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
80,1,571.7793,1,936,1551,2975,4263,508,-6.0,200,1,1,574.4289,1,4,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
81,0,577.8915,0,437,2761,2975,4263,506,-10.5,200,0,1,579.4442,0,3,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
82,1,632.7972,1,437,2761,2975,4263,506,-10.5,200,0,0,640.9209,1,3,,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37
