Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,UniversalStartTime,originalFile,LeftTemperature,RightTemperature,fNum,day,meanTemp,treatment,vowel_level,SNR,SpatialCondition,VowelLocation
1,3.0629,1,936,1551,2975,4263,508,-6.0,200,0,0,4.0701,1,2,735935.409757672,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,63.0,-4.0,separated,left
2,7.8397,0,437,2761,2975,4263,501,-6.0,200,1,0,8.6794,0,3,735935.409812959,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,63.0,-4.0,separated,right
4,18.5086,1,437,2761,2975,4263,507,-12.0,200,1,0,21.2692,0,2,735935.409936442,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,separated,left
6,35.0257,1,437,2761,2975,4263,505,-12.0,200,1,1,38.2811,1,0,735935.410127612,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,colocated,left
7,40.5428,1,936,1551,2975,4263,509,-9.0,200,0,0,42.2971,1,0,735935.410191468,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,66.0,-1.0,colocated,left
8,45.6769,0,936,1551,2975,4263,506,-15.0,200,0,0,46.6333,1,2,735935.41025089,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,72.0,5.0,separated,left
9,49.8429,0,936,1551,2975,4263,511,-6.0,200,0,0,50.8347,1,3,735935.410299108,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,63.0,-4.0,separated,right
10,54.1396,0,936,1551,2975,4263,503,-15.0,200,0,0,55.1004,1,3,735935.410348838,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,72.0,5.0,separated,right
11,58.1612,0,437,2761,2975,4263,510,-9.0,200,1,1,59.5496,1,1,735935.410395384,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,66.0,-1.0,colocated,right
12,65.8409,1,437,2761,2975,4263,504,-12.0,200,1,1,69.1461,1,5,735935.41048427,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,single_speaker,right
13,71.0022,0,437,2761,2975,4263,509,-12.0,200,1,0,71.6792,0,2,735935.410544007,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,separated,left
15,81.0294,0,437,2761,2975,4263,501,-12.0,200,1,1,82.8373,1,1,735935.410660063,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,colocated,right
16,88.5222,0,437,2761,2975,4263,503,-9.0,200,1,1,90.0558,1,5,735935.410746785,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,66.0,-1.0,single_speaker,right
17,92.02,1,936,1551,2975,4263,510,-12.0,200,0,0,93.7594,1,0,735935.410787269,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,colocated,left
18,96.6743,0,936,1551,2975,4263,508,-12.0,200,0,1,98.8034,0,3,735935.410841138,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,separated,right
20,107.1312,1,936,1551,2975,4263,507,-9.0,200,0,0,108.6599,1,1,735935.410962167,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,66.0,-1.0,colocated,right
21,111.5041,0,936,1551,2975,4263,506,-9.0,200,0,0,112.3122,1,3,735935.411012779,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,66.0,-1.0,separated,right
22,115.577,0,437,2761,2975,4263,504,-9.0,200,1,0,116.3808,0,2,735935.411059919,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,66.0,-1.0,separated,left
24,130.5185,0,936,1551,2975,4263,505,-9.0,200,0,0,131.1993,1,5,735935.411232853,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,66.0,-1.0,single_speaker,right
25,134.3442,0,936,1551,2975,4263,502,-12.0,200,0,0,135.1347,1,2,735935.411277132,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,separated,left
26,138.2485,0,936,1551,2975,4263,506,-12.0,200,0,0,139.0195,1,0,735935.411322321,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,colocated,left
27,142.4052,1,936,1551,2975,4263,509,-15.0,200,0,0,143.3992,1,4,735935.411370431,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,72.0,5.0,single_speaker,left
28,149.4569,1,437,2761,2975,4263,503,-15.0,200,1,1,151.2078,1,4,735935.411452048,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,72.0,5.0,single_speaker,left
29,157.4777,0,437,2761,2975,4263,507,-12.0,200,1,0,158.2691,0,5,735935.411544881,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,single_speaker,right
31,165.2604,0,936,1551,2975,4263,505,-6.0,200,0,0,165.9297,1,0,735935.411634958,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,63.0,-4.0,colocated,left
32,169.0254,0,936,1551,2975,4263,508,-15.0,200,0,0,170.1955,1,1,735935.411678535,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,72.0,5.0,colocated,right
33,174.2688,0,437,2761,2975,4263,502,-6.0,200,1,1,176.8604,1,5,735935.411739222,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,63.0,-4.0,single_speaker,right
34,177.9414,1,437,2761,2975,4263,511,-12.0,200,1,1,180.7825,1,3,735935.411781729,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,separated,right
35,188.8568,0,437,2761,2975,4263,504,-12.0,200,1,0,189.4416,0,4,735935.411908065,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,single_speaker,left
37,202.1048,1,437,2761,2975,4263,510,-6.0,200,1,1,206.2414,1,2,735935.412061398,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,63.0,-4.0,separated,left
38,211.8946,1,936,1551,2975,4263,509,-6.0,200,0,1,218.0393,0,1,735935.412174706,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,63.0,-4.0,colocated,right
40,227.3618,0,437,2761,2975,4263,503,-12.0,200,1,1,229.1501,1,0,735935.412353725,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,colocated,left
41,230.5468,1,936,1551,2975,4263,508,-12.0,200,0,0,232.368,1,4,735935.412390588,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,single_speaker,left
42,235.5672,0,936,1551,2975,4263,510,-12.0,200,0,0,236.5935,1,3,735935.412448694,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,separated,right
43,239.7713,0,936,1551,2975,4263,501,-6.0,200,0,0,240.601,1,4,735935.412497353,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,63.0,-4.0,single_speaker,left
44,243.9229,1,936,1551,2975,4263,502,-12.0,200,0,0,246.6398,1,1,735935.412545404,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,colocated,right
45,250.4469,0,936,1551,2975,4263,506,-15.0,200,0,0,251.3714,1,5,735935.412620913,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,72.0,5.0,single_speaker,right
46,255.2148,0,437,2761,2975,4263,504,-12.0,200,1,1,256.7794,1,4,735935.412676097,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,single_speaker,left
47,260.4768,0,437,2761,2975,4263,511,-9.0,200,1,1,262.3879,1,4,735935.412737,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,66.0,-1.0,single_speaker,left
48,265.6162,0,437,2761,2975,4263,505,-12.0,200,1,1,267.4417,1,1,735935.412796484,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,colocated,right
49,275.3827,0,936,1551,2975,4263,505,-12.0,200,0,0,276.1081,1,5,735935.412909522,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,single_speaker,right
50,279.2013,0,936,1551,2975,4263,504,-12.0,200,0,0,279.9415,1,2,735935.412953719,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,separated,left
51,283.3406,1,437,2761,2975,4263,507,-9.0,200,1,1,287.0667,1,3,735935.413001627,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,66.0,-1.0,separated,right
52,291.4675,0,936,1551,2975,4263,503,-6.0,200,0,0,292.4137,1,5,735935.413095689,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,63.0,-4.0,single_speaker,right
53,295.8932,0,936,1551,2975,4263,506,-12.0,200,0,0,296.6843,1,5,735935.413146912,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,single_speaker,right
54,300.0219,1,437,2761,2975,4263,508,-15.0,200,1,0,303.2266,0,2,735935.413194698,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,72.0,5.0,separated,left
56,315.9333,1,437,2761,2975,4263,502,-12.0,200,1,1,318.7961,1,3,735935.413378858,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,separated,right
57,326.0484,1,936,1551,2975,4263,509,-12.0,200,0,1,330.2636,0,1,735935.413495931,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,69.0,2.0,colocated,right
59,339.6632,0,936,1551,2975,4263,510,-15.0,200,0,0,340.5428,1,0,735935.413653509,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,72.0,5.0,colocated,left
60,344.0896,1,437,2761,2975,4263,501,-15.0,200,1,0,347.4952,0,0,735935.413704741,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,72.0,5.0,colocated,left
62,353.9794,0,437,2761,2975,4263,506,-15.0,200,1,1,355.6246,1,3,735935.413819206,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,72.0,5.0,separated,right
63,358.5716,1,936,1551,2975,4263,504,-9.0,200,0,0,360.5685,1,2,735935.413872357,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,66.0,-1.0,separated,left
64,363.4945,1,437,2761,2975,4263,508,-15.0,200,1,1,368.2398,1,1,735935.413929334,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,72.0,5.0,colocated,right
65,370.8064,0,437,2761,2975,4263,507,-15.0,200,1,1,372.4114,1,5,735935.414013963,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,72.0,5.0,single_speaker,right
66,383.173,0,437,2761,2975,4263,501,-9.0,200,1,0,383.9247,0,0,735935.414157095,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,66.0,-1.0,colocated,left
69,393.6447,0,437,2761,2975,4263,509,-6.0,200,1,1,395.14,1,1,735935.414278295,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,63.0,-4.0,colocated,right
70,397.5488,1,437,2761,2975,4263,511,-6.0,200,1,1,400.9505,1,0,735935.414323481,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37.0,37.0,1311,2014-12-02,37.0,False,63.0,-4.0,colocated,left
