Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,UniversalStartTime,originalFile,LeftTemperature,RightTemperature,fNum,day,meanTemp,treatment,vowel_level,SNR,SpatialCondition,VowelLocation
70,1824.0658,0,730,2058,2857,4205,506,-12.5,200,1,1,1826.6515,1,0,736350.705911942,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,11.0,11.0,1509,2016-01-21,11.0,True,69.5,2.5,colocated,left
72,1842.2768,0,460,1105,2857,4205,507,-9.5,200,0,0,1844.8004,1,1,736350.706122718,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,11.0,11.0,1509,2016-01-21,11.0,True,66.5,-0.5,colocated,right
81,1927.8103,0,730,2058,2857,4205,507,2.5,200,1,1,1929.1193,1,0,736350.707112689,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,10.0,10.0,1509,2016-01-21,10.0,True,54.5,-12.5,colocated,left
82,1933.6049,0,730,2058,2857,4205,502,-6.5,200,1,1,1935.2656,1,1,736350.707179756,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,10.0,10.0,1509,2016-01-21,10.0,True,63.5,-3.5,colocated,right
84,1949.7366,0,730,2058,2857,4205,508,-12.5,200,1,1,1951.6809,1,1,736350.707366465,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,10.0,10.0,1509,2016-01-21,10.0,True,69.5,2.5,colocated,right
86,1967.2993,1,460,1105,2857,4205,511,-3.5,200,0,1,1971.3072,0,1,736350.707569737,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,10.0,10.0,1509,2016-01-21,10.0,True,60.5,-6.5,colocated,right
98,2084.6608,0,460,1105,2857,4205,508,-12.5,200,0,1,2086.1128,0,0,736350.708928088,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,11.0,11.0,1509,2016-01-21,11.0,True,69.5,2.5,colocated,left
101,2117.7083,0,730,2058,2857,4205,506,2.5,200,1,1,2119.2145,1,1,736350.709310582,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,10.0,10.0,1509,2016-01-21,10.0,True,54.5,-12.5,colocated,right
106,2173.9751,1,460,1105,2857,4205,510,-12.5,200,0,0,2177.0188,1,1,736350.709961818,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,10.0,10.0,1509,2016-01-21,10.0,True,69.5,2.5,colocated,right
108,2188.6534,0,460,1105,2857,4205,507,-6.5,200,0,1,2190.9263,0,1,736350.710131706,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,9.0,9.0,1509,2016-01-21,9.0,True,63.5,-3.5,colocated,right
113,2222.8206,0,460,1105,2857,4205,503,-0.5,200,0,0,2224.3647,1,1,736350.71052716,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,9.0,9.0,1509,2016-01-21,9.0,True,57.5,-9.5,colocated,right
1,4.6573,0,460,1105,2857,4205,506,-9.5,200,0,0,8.5738,1,3,736350.349998672,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,66.5,-0.5,separated,right
7,56.7437,1,730,2058,2857,4205,511,-3.5,200,1,1,60.7514,1,3,736350.350601524,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,60.5,-6.5,separated,right
8,65.3703,1,730,2058,2857,4205,503,-3.5,200,1,0,70.9755,0,2,736350.350701369,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,60.5,-6.5,separated,left
13,114.15,0,730,2058,2857,4205,502,-9.5,200,1,0,115.846,0,2,736350.351265949,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,66.5,-0.5,separated,left
16,141.6321,1,460,1105,2857,4205,510,-12.5,200,0,1,145.8384,0,3,736350.351584029,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,69.5,2.5,separated,right
26,226.5725,0,730,2058,2857,4205,506,-6.5,200,1,1,228.0606,1,2,736350.352567135,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,63.5,-3.5,separated,left
29,248.8883,0,460,1105,2857,4205,505,-3.5,200,0,0,251.7732,1,3,736350.35282542,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,60.5,-6.5,separated,right
38,323.3949,1,730,2058,2857,4205,503,-0.5,200,1,1,327.8753,1,3,736350.353687765,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,57.5,-9.5,separated,right
39,332.8181,0,460,1105,2857,4205,507,-6.5,200,0,1,334.9725,0,2,736350.35379683,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,63.5,-3.5,separated,left
41,352.7133,1,460,1105,2857,4205,509,-9.5,200,0,1,358.0077,0,2,736350.354027098,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,66.5,-0.5,separated,left
47,396.7636,0,460,1105,2857,4205,501,-3.5,200,0,1,399.3563,0,2,736350.35453694,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,60.5,-6.5,separated,left
62,527.363,1,460,1105,2857,4205,511,-0.5,200,0,1,533.1426,0,3,736350.356048507,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,57.5,-9.5,separated,right
64,544.9055,0,730,2058,2857,4205,510,-12.5,200,1,1,546.9822,1,2,736350.356251545,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,69.5,2.5,separated,left
65,551.3425,1,460,1105,2857,4205,508,-6.5,200,0,1,555.8799,0,3,736350.356326047,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,63.5,-3.5,separated,right
68,577.2351,1,730,2058,2857,4205,501,-6.5,200,1,1,581.6565,1,3,736350.35662573,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,63.5,-3.5,separated,right
19,1341.7511,0,730,2058,2857,4205,507,-3.5,200,1,1,1343.8812,1,3,736350.700329596,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,19.0,19.0,1509,2016-01-21,19.0,True,60.5,-6.5,separated,right
20,1364.9722,0,460,1105,2857,4205,511,-12.5,200,0,0,1366.6633,1,3,736350.700598359,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,18.0,18.0,1509,2016-01-21,18.0,True,69.5,2.5,separated,right
30,1442.3047,0,460,1105,2857,4205,505,-3.5,200,0,0,1443.6444,1,3,736350.701493411,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,16.0,16.0,1509,2016-01-21,16.0,True,60.5,-6.5,separated,right
33,1479.7328,0,730,2058,2857,4205,510,-12.5,200,1,0,1481.5971,0,3,736350.701926606,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,16.0,16.0,1509,2016-01-21,16.0,True,69.5,2.5,separated,right
36,1506.797,1,460,1105,2857,4205,507,-9.5,200,0,0,1511.0637,1,2,736350.702239849,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,15.0,15.0,1509,2016-01-21,15.0,True,66.5,-0.5,separated,left
37,1515.0447,0,730,2058,2857,4205,504,-9.5,200,1,1,1516.6657,1,3,736350.702335309,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,15.0,15.0,1509,2016-01-21,15.0,True,66.5,-0.5,separated,right
38,1521.3299,0,460,1105,2857,4205,511,-0.5,200,0,1,1523.4041,0,2,736350.702408054,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,14.0,14.0,1509,2016-01-21,14.0,True,57.5,-9.5,separated,left
52,1674.1442,0,730,2058,2857,4205,506,-3.5,200,1,1,1675.8673,1,2,736350.704176738,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,12.0,12.0,1509,2016-01-21,12.0,True,60.5,-6.5,separated,left
57,1716.376,1,460,1105,2857,4205,511,-6.5,200,0,0,1719.7471,1,3,736350.704665532,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,12.0,12.0,1509,2016-01-21,12.0,True,63.5,-3.5,separated,right
60,1739.5973,1,460,1105,2857,4205,503,-6.5,200,0,0,1744.2703,1,2,736350.704934297,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,11.0,11.0,1509,2016-01-21,11.0,True,63.5,-3.5,separated,left
62,1755.1969,0,460,1105,2857,4205,507,-0.5,200,0,1,1758.1203,0,3,736350.705114848,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,11.0,11.0,1509,2016-01-21,11.0,True,57.5,-9.5,separated,right
65,1777.7923,1,730,2058,2857,4205,504,-9.5,200,1,1,1782.621,1,2,736350.705376369,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,11.0,11.0,1509,2016-01-21,11.0,True,66.5,-0.5,separated,left
66,1788.4458,0,460,1105,2857,4205,511,-12.5,200,0,0,1791.1759,1,2,736350.705499674,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,11.0,11.0,1509,2016-01-21,11.0,True,69.5,2.5,separated,left
69,1814.4818,1,730,2058,2857,4205,501,-12.5,200,1,1,1818.8088,1,2,736350.705801016,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,11.0,11.0,1509,2016-01-21,11.0,True,69.5,2.5,separated,left
74,1858.6404,0,730,2058,2857,4205,502,-6.5,200,1,1,1860.6734,1,3,736350.706312111,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,11.0,11.0,1509,2016-01-21,11.0,True,63.5,-3.5,separated,right
77,1890.3504,0,730,2058,2857,4205,504,-6.5,200,1,0,1891.6093,0,2,736350.706679125,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,10.0,10.0,1509,2016-01-21,10.0,True,63.5,-3.5,separated,left
94,2055.1392,0,730,2058,2857,4205,507,-0.5,200,1,1,2056.9868,1,3,736350.708586403,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,11.0,11.0,1509,2016-01-21,11.0,True,57.5,-9.5,separated,right
102,2122.8849,0,730,2058,2857,4205,501,-0.5,200,1,1,2124.8958,1,2,736350.709370497,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,10.0,10.0,1509,2016-01-21,10.0,True,57.5,-9.5,separated,left
110,2201.4873,0,460,1105,2857,4205,505,-9.5,200,0,1,2202.9523,0,3,736350.710280247,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,9.0,9.0,1509,2016-01-21,9.0,True,66.5,-0.5,separated,right
112,2217.3365,0,730,2058,2857,4205,510,-6.5,200,1,1,2218.6797,1,3,736350.710463686,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,9.0,9.0,1509,2016-01-21,9.0,True,63.5,-3.5,separated,right
5,42.521,0,460,1105,2857,4205,505,-12.5,200,0,1,44.426,0,5,736350.35043691,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,69.5,2.5,single_speaker,right
10,84.7252,1,730,2058,2857,4205,504,-12.5,200,1,1,91.8277,1,4,736350.350925384,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,69.5,2.5,single_speaker,left
11,97.0624,1,730,2058,2857,4205,510,-0.5,200,1,0,101.5787,0,5,736350.351068176,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,57.5,-9.5,single_speaker,right
18,157.1587,1,460,1105,2857,4205,504,-0.5,200,0,0,161.1097,1,4,736350.351763735,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,57.5,-9.5,single_speaker,left
22,188.3415,1,730,2058,2857,4205,505,-3.5,200,1,1,191.9173,1,5,736350.352124647,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,60.5,-6.5,single_speaker,right
23,196.6145,1,730,2058,2857,4205,507,2.5,200,1,1,200.9637,1,4,736350.352220399,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,54.5,-12.5,single_speaker,left
24,206.6292,1,460,1105,2857,4205,503,-0.5,200,0,1,210.5968,0,5,736350.35233631,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,57.5,-9.5,single_speaker,right
27,232.7696,0,730,2058,2857,4205,502,2.5,200,1,1,234.5652,1,5,736350.352638861,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,54.5,-12.5,single_speaker,right
30,255.1404,0,460,1105,2857,4205,511,2.5,200,0,1,256.8924,0,5,736350.352897782,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,54.5,-12.5,single_speaker,right
36,303.1472,1,730,2058,2857,4205,508,-3.5,200,1,0,306.9291,0,4,736350.353453417,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,60.5,-6.5,single_speaker,left
50,425.2962,0,730,2058,2857,4205,509,-12.5,200,1,1,426.8273,1,5,736350.354867178,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,69.5,2.5,single_speaker,right
54,461.5027,0,460,1105,2857,4205,505,-6.5,200,0,1,463.2012,0,5,736350.355286235,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,63.5,-3.5,single_speaker,right
59,504.959,0,730,2058,2857,4205,503,-9.5,200,1,1,506.9998,1,4,736350.355789201,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,66.5,-0.5,single_speaker,left
67,570.202,1,460,1105,2857,4205,505,-9.5,200,0,0,574.0268,1,5,736350.356544329,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,66.5,-0.5,single_speaker,right
