Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,originalFile,LeftTemperature,RightTemperature,fNum,vowel_level,SNR,day,treatment,SpatialCondition,VowelLocation
1,8.3086,0,460,1105,2857,4205,701,-15.0,200,1,0,17.1538,0,0,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,colocated,left
3,38.9245,0,730,2058,2857,4205,601,-15.0,200,0,0,39.6077,1,0,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,colocated,left
4,47.5368,0,730,2058,2857,4205,651,-15.0,200,0,0,48.2321,1,4,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,single_speaker,left
5,57.3617,0,730,2058,2857,4205,551,-15.0,200,0,0,58.8833,1,3,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,separated,right
6,69.679,0,460,1105,2857,4205,1001,-15.0,200,1,1,70.0262,1,5,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,single_speaker,right
7,84.4448,1,460,1105,2857,4205,901,-15.0,200,1,0,85.4922,0,2,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,separated,left
10,122.3063,0,460,1105,2857,4205,851,-15.0,200,1,0,124.1795,0,0,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,colocated,left
13,159.0599,0,730,2058,2857,4205,751,-15.0,200,0,1,161.8921,0,1,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,colocated,right
16,189.21,0,460,1105,2857,4205,951,-15.0,200,1,0,190.8959,0,4,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,single_speaker,left
19,215.447,0,460,1105,2857,4205,501,-15.0,200,1,0,217.5828,0,4,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,single_speaker,left
21,238.3752,0,460,1105,2857,4205,901,-15.0,200,1,1,238.6426,1,3,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,separated,right
22,255.5795,1,730,2058,2857,4205,751,-15.0,200,0,0,256.9035,1,2,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,separated,left
23,263.5679,0,460,1105,2857,4205,851,-15.0,200,1,0,266.2251,0,3,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,separated,right
25,292.5423,0,460,1105,2857,4205,651,-15.0,200,1,0,294.6271,0,5,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,single_speaker,right
27,321.7389,0,730,2058,2857,4205,801,-15.0,200,0,0,322.677,1,4,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,single_speaker,left
28,327.5918,0,730,2058,2857,4205,551,-15.0,200,0,0,328.7801,1,5,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,single_speaker,right
29,337.675,1,460,1105,2857,4205,601,-15.0,200,1,1,338.2582,1,3,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,separated,right
30,349.4591,0,460,1105,2857,4205,1001,-15.0,200,1,1,351.541,1,2,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,separated,left
31,367.3903,0,730,2058,2857,4205,951,-15.0,200,0,0,368.6122,1,1,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,colocated,right
32,375.0405,0,730,2058,2857,4205,701,-15.0,200,0,0,375.9326,1,5,17_07_2014 level23_spatial_Clio 14_56 log.txt,37,37,1217,72.0,5.0,2014-07-17,False,single_speaker,right
