Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	Mask	
1	0	2.2650	1	437	2761	2975	4263	503	-12.8	200	0	1	3.1738	0	5	
2	1	11.8951	0	437	2761	2975	4263	503	-12.8	200	0	1	14.0965	0	5	
3	1	17.9768	1	437	2761	2975	4263	503	-12.8	200	0	0	21.1602	1	5	
4	0	26.9490	1	936	1551	2975	4263	502	-11.0	200	1	1	29.2280	1	0	
5	0	32.7102	1	936	1551	2975	4263	509	-15.5	200	1	1	34.7192	1	3	
6	0	37.9373	0	936	1551	2975	4263	510	-15.5	200	1	1	38.9020	1	0	
7	0	41.2473	0	437	2761	2975	4263	501	-15.0	200	0	0	42.9324	1	5	
8	0	47.5479	1	437	2761	2975	4263	508	-10.5	200	0	0	49.9271	1	5	
9	0	55.5686	1	437	2761	2975	4263	506	-15.0	200	0	1	58.3645	0	3	
10	1	59.9753	1	437	2761	2975	4263	506	-15.0	200	0	1	62.2649	0	3	
11	1	68.5754	0	437	2761	2975	4263	506	-15.0	200	0	1	69.3921	0	3	
12	1	72.8659	1	437	2761	2975	4263	506	-15.0	200	0	0	75.1952	1	3	
13	0	78.8047	0	437	2761	2975	4263	504	-12.8	200	0	0	79.7211	1	3	
14	0	83.9793	1	936	1551	2975	4263	511	-15.5	200	1	1	87.0960	1	2	
15	0	90.9586	1	437	2761	2975	4263	505	-15.0	200	0	1	92.7253	0	2	
16	1	95.9573	0	437	2761	2975	4263	505	-15.0	200	0	0	97.3123	1	2	
17	0	101.7873	0	936	1551	2975	4263	506	-20.0	200	1	1	102.8553	1	5	
18	0	105.5295	0	437	2761	2975	4263	504	-10.5	200	0	0	106.6060	1	0	
19	0	110.7372	1	936	1551	2975	4263	510	-11.0	200	1	1	112.8915	1	5	
20	0	116.3282	0	936	1551	2975	4263	505	-11.0	200	1	1	118.2865	1	1	
21	0	121.2535	1	936	1551	2975	4263	509	-13.3	200	1	1	123.2182	1	0	
22	0	126.3899	1	437	2761	2975	4263	502	-8.3	200	0	0	128.8437	1	3	
23	0	132.6827	1	936	1551	2975	4263	508	-15.5	200	1	1	135.4310	1	5	
24	0	138.3469	0	437	2761	2975	4263	503	-10.5	200	0	1	139.1239	0	4	
25	1	142.5781	0	437	2761	2975	4263	503	-10.5	200	0	0	143.3791	1	4	
26	0	147.1775	1	437	2761	2975	4263	507	-6.0	200	0	0	149.4421	1	5	
27	0	153.2395	0	936	1551	2975	4263	511	-17.8	200	1	1	154.2044	1	4	
28	0	157.1447	1	437	2761	2975	4263	506	-10.5	200	0	1	159.4184	0	2	
29	1	161.5441	0	437	2761	2975	4263	506	-10.5	200	0	1	162.3870	0	2	
30	1	166.8209	0	437	2761	2975	4263	506	-10.5	200	0	0	167.4522	1	2	
31	0	171.6696	0	437	2761	2975	4263	510	-12.8	200	0	0	172.7022	1	1	
32	0	176.2473	0	437	2761	2975	4263	509	-12.8	200	0	0	177.2545	1	4	
33	0	181.3813	1	936	1551	2975	4263	503	-17.8	200	1	1	183.8164	1	2	
34	0	186.8080	0	437	2761	2975	4263	507	-8.3	200	0	0	187.9753	1	4	
35	0	192.2039	0	936	1551	2975	4263	505	-17.8	200	1	1	193.7243	1	3	
36	0	197.0653	0	437	2761	2975	4263	508	-10.5	200	0	1	198.0330	0	1	
37	1	201.5950	0	437	2761	2975	4263	508	-10.5	200	0	0	202.1626	1	1	
38	0	209.8674	0	936	1551	2975	4263	511	-13.3	200	1	1	210.8251	1	4	
39	0	214.2551	0	936	1551	2975	4263	502	-11.0	200	1	0	215.5528	0	2	
40	1	217.1185	1	936	1551	2975	4263	502	-11.0	200	1	0	219.1230	0	2	
41	1	222.8170	1	936	1551	2975	4263	502	-11.0	200	1	1	225.0881	1	2	
42	0	231.0924	1	936	1551	2975	4263	501	-13.3	200	1	1	232.9855	1	2	
43	0	242.6847	1	936	1551	2975	4263	508	-17.8	200	1	1	244.8768	1	5	
44	0	247.7633	0	437	2761	2975	4263	505	-10.5	200	0	0	249.0882	1	3	
45	0	256.9552	1	437	2761	2975	4263	510	-15.0	200	0	1	259.3854	0	4	
46	1	263.0245	0	437	2761	2975	4263	510	-15.0	200	0	1	264.1177	0	4	
47	1	265.9926	0	437	2761	2975	4263	510	-15.0	200	0	0	266.9136	1	4	
48	0	270.8531	0	936	1551	2975	4263	503	-20.0	200	1	0	271.8809	0	0	
49	1	275.7132	1	936	1551	2975	4263	503	-20.0	200	1	1	278.2949	1	0	
50	0	281.1638	0	437	2761	2975	4263	504	-6.0	200	0	0	282.4815	1	0	
51	0	286.5425	0	936	1551	2975	4263	506	-17.8	200	1	1	287.4596	1	1	
52	0	291.1259	1	437	2761	2975	4263	511	-15.0	200	0	1	292.8842	0	0	
53	1	320.5441	1	437	2761	2975	4263	511	-15.0	200	0	0	323.7241	1	0	
54	0	328.2621	0	936	1551	2975	4263	509	-20.0	200	1	1	329.1580	1	2	
55	0	338.4137	1	437	2761	2975	4263	507	-8.3	200	0	1	340.5360	0	1	
56	1	351.2178	0	437	2761	2975	4263	507	-8.3	200	0	0	352.8468	1	1	
57	0	361.8487	0	936	1551	2975	4263	502	-11.0	200	1	1	362.8072	1	4	
58	0	366.0062	0	936	1551	2975	4263	508	-20.0	200	1	1	366.7590	1	4	
59	0	370.9716	0	936	1551	2975	4263	503	-13.3	200	1	1	372.1833	1	1	
60	0	384.0416	1	437	2761	2975	4263	502	-6.0	200	0	1	386.0688	0	1	
61	1	391.4195	1	437	2761	2975	4263	502	-6.0	200	0	0	393.6349	1	1	
62	0	398.2026	0	437	2761	2975	4263	504	-15.0	200	0	1	399.5597	0	1	
63	1	412.4295	1	437	2761	2975	4263	504	-15.0	200	0	0	415.7382	1	1	
