Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	Mask	
1	0	26.0568	0	437	2761	2975	4263	501	-12.5	200	0	1	26.9746	0	3	
2	1	41.5508	0	437	2761	2975	4263	501	-12.5	200	0	0	42.0417	1	3	
3	0	48.5883	0	437	2761	2975	4263	601	-15.0	200	0	0	49.0327	1	5	
4	0	64.2825	0	437	2761	2975	4263	676	-10.0	200	0	1	65.0093	0	4	
5	1	74.4812	0	437	2761	2975	4263	676	-10.0	200	0	1	74.9031	0	4	
6	1	83.6659	0	437	2761	2975	4263	676	-10.0	200	0	0	85.2434	1	4	
7	0	90.8959	0	936	1551	2975	4263	551	-15.0	200	1	1	92.3650	1	2	
8	0	94.1678	0	437	2761	2975	4263	726	-13.8	200	0	0	94.5767	1	0	
9	0	103.6939	1	936	1551	2975	4263	701	-10.0	200	1	1	110.1525	1	2	
10	0	114.7999	0	936	1551	2975	4263	626	-15.0	200	1	1	116.4377	1	5	
11	0	122.8439	1	936	1551	2975	4263	651	-15.0	200	1	1	124.3899	1	1	
12	0	132.5208	0	437	2761	2975	4263	576	-11.3	200	0	0	133.0015	1	0	
13	0	137.3238	0	437	2761	2975	4263	751	-11.3	200	0	0	137.6659	1	4	
14	0	141.4791	0	936	1551	2975	4263	601	-15.0	200	1	0	142.1455	0	0	
15	1	149.9395	0	936	1551	2975	4263	601	-15.0	200	1	0	150.9703	0	0	
16	1	158.4967	0	936	1551	2975	4263	601	-15.0	200	1	0	159.0122	0	0	
17	1	169.5232	0	936	1551	2975	4263	601	-15.0	200	1	0	170.1476	0	0	
18	1	176.7615	0	936	1551	2975	4263	601	-15.0	200	1	0	177.3755	0	0	
19	1	183.3661	1	936	1551	2975	4263	601	-15.0	200	1	1	184.3210	1	0	
20	0	191.5656	0	437	2761	2975	4263	751	-15.0	200	0	0	193.2518	1	2	
21	0	197.5658	0	936	1551	2975	4263	676	-10.0	200	1	1	198.2028	1	4	
22	0	202.1413	1	437	2761	2975	4263	501	-11.3	200	0	0	203.0148	1	3	
23	0	206.5203	0	437	2761	2975	4263	551	-10.0	200	0	0	207.8551	1	1	
24	0	214.7236	0	437	2761	2975	4263	701	-12.5	200	0	0	215.5069	1	1	
25	0	219.1246	0	936	1551	2975	4263	651	-11.3	200	1	0	219.3926	0	1	
26	1	228.2130	0	936	1551	2975	4263	651	-11.3	200	1	1	229.6137	1	1	
27	0	240.2130	1	437	2761	2975	4263	526	-12.5	200	0	0	240.5551	1	4	
28	0	244.1412	0	437	2761	2975	4263	576	-13.8	200	0	0	245.5325	1	5	
29	0	249.1165	0	936	1551	2975	4263	726	-13.8	200	1	0	249.7198	0	5	
30	1	259.1492	0	936	1551	2975	4263	726	-13.8	200	1	1	260.1569	1	5	
31	0	267.5997	0	936	1551	2975	4263	601	-12.5	200	1	1	268.6894	1	4	
32	0	284.2521	0	437	2761	2975	4263	751	-13.8	200	0	0	284.6119	1	3	
33	0	290.6373	0	936	1551	2975	4263	526	-10.0	200	1	0	292.4314	0	5	
34	1	298.3416	0	936	1551	2975	4263	526	-10.0	200	1	0	298.8192	0	5	
35	1	307.7588	0	936	1551	2975	4263	526	-10.0	200	1	1	309.1921	1	5	
36	0	316.8255	0	936	1551	2975	4263	576	-13.8	200	1	0	317.7168	0	2	
37	1	327.8347	0	936	1551	2975	4263	576	-13.8	200	1	1	328.8843	1	2	
38	0	336.0450	0	437	2761	2975	4263	676	-11.3	200	0	0	336.6007	1	2	
39	0	340.6810	0	936	1551	2975	4263	701	-10.0	200	1	1	341.2502	1	3	
40	0	349.0071	0	936	1551	2975	4263	651	-11.3	200	1	0	349.7697	0	0	
41	1	356.6564	0	936	1551	2975	4263	651	-11.3	200	1	1	357.4994	1	0	
42	0	363.2206	0	936	1551	2975	4263	551	-12.5	200	1	0	363.7776	0	0	
43	1	376.6993	1	936	1551	2975	4263	551	-12.5	200	1	0	378.8733	0	0	
44	1	389.3318	0	936	1551	2975	4263	551	-12.5	200	1	1	390.8231	1	0	
45	0	394.6294	0	437	2761	2975	4263	626	-12.5	200	0	0	395.4827	1	5	
46	0	399.4518	0	437	2761	2975	4263	726	-12.5	200	0	0	399.7899	1	0	
47	0	403.9505	0	437	2761	2975	4263	576	-10.0	200	0	0	404.3090	1	5	
48	0	408.9246	0	437	2761	2975	4263	551	-13.8	200	0	0	409.6406	1	4	
49	0	415.2596	0	936	1551	2975	4263	726	-12.5	200	1	0	415.5184	0	3	
50	1	422.0583	0	936	1551	2975	4263	726	-12.5	200	1	1	423.1251	1	3	
51	0	426.7826	0	437	2761	2975	4263	501	-11.3	200	0	0	427.4987	1	1	
52	0	431.3241	0	437	2761	2975	4263	651	-12.5	200	0	0	431.8638	1	2	
53	0	435.4834	0	437	2761	2975	4263	601	-13.8	200	0	0	435.8650	1	1	
54	0	439.6521	0	437	2761	2975	4263	526	-15.0	200	0	0	440.1034	1	1	
55	0	445.1671	0	936	1551	2975	4263	701	-11.3	200	1	1	446.0847	1	4	
56	0	449.6980	0	936	1551	2975	4263	626	-15.0	200	1	1	450.6580	1	3	
57	0	455.5370	0	936	1551	2975	4263	676	-10.0	200	1	1	456.4543	1	0	
58	0	463.5640	0	936	1551	2975	4263	501	-13.8	200	1	1	464.7032	1	1	
59	0	468.3343	0	936	1551	2975	4263	551	-11.3	200	1	0	469.3519	0	5	
60	1	475.5932	0	936	1551	2975	4263	551	-11.3	200	1	1	481.5803	1	5	
61	0	490.4000	0	936	1551	2975	4263	626	-11.3	200	1	1	491.9505	1	3	
62	0	495.3629	0	936	1551	2975	4263	651	-12.5	200	1	0	495.8183	0	1	
63	1	515.1986	0	936	1551	2975	4263	651	-12.5	200	1	0	515.9435	0	1	
64	1	522.2092	0	936	1551	2975	4263	651	-12.5	200	1	1	523.2477	1	1	
65	0	527.3326	0	936	1551	2975	4263	526	-12.5	200	1	1	528.0714	1	2	
66	0	531.5974	0	437	2761	2975	4263	676	-10.0	200	0	0	532.6380	1	0	
67	0	536.9703	0	437	2761	2975	4263	701	-13.8	200	0	1	538.0701	0	2	
68	1	548.5606	0	437	2761	2975	4263	701	-13.8	200	0	0	549.2135	1	2	
69	0	553.2867	0	936	1551	2975	4263	576	-15.0	200	1	0	553.6332	0	4	
70	1	561.0950	0	936	1551	2975	4263	576	-15.0	200	1	0	561.9221	0	4	
71	1	569.2009	0	936	1551	2975	4263	576	-15.0	200	1	1	570.6089	1	4	
72	0	574.1407	0	936	1551	2975	4263	726	-13.8	200	1	1	574.8890	1	0	
73	0	580.9631	1	437	2761	2975	4263	601	-15.0	200	0	0	581.3217	1	4	
74	0	585.6134	0	936	1551	2975	4263	501	-12.5	200	1	1	587.4715	1	5	
75	0	590.6244	0	936	1551	2975	4263	551	-10.0	200	1	1	592.1144	1	1	
