Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	Mask	
1	0	0.5906	0	936	1551	2975	4263	506	-17.8	200	1	0	1.1005	0	4	
2	1	6.1778	0	936	1551	2975	4263	506	-17.8	200	1	1	6.9209	1	4	
3	0	11.1727	1	437	2761	2975	4263	508	-8.3	200	0	1	13.4158	0	3	
4	1	15.0053	0	437	2761	2975	4263	508	-8.3	200	0	1	16.0163	0	3	
5	1	21.2211	0	437	2761	2975	4263	508	-8.3	200	0	0	22.4674	1	3	
6	0	27.3266	0	936	1551	2975	4263	510	-17.8	200	1	0	28.1377	0	3	
7	1	31.6321	0	936	1551	2975	4263	510	-17.8	200	1	1	32.5106	1	3	
8	0	36.0059	0	437	2761	2975	4263	504	-12.8	200	0	1	36.5780	0	3	
9	1	41.7764	1	437	2761	2975	4263	504	-12.8	200	0	0	42.8758	1	3	
10	0	48.4555	1	437	2761	2975	4263	501	-15.0	200	0	0	51.3776	1	0	
11	0	55.4384	1	437	2761	2975	4263	502	-15.0	200	0	1	58.1634	0	2	
12	1	60.1889	0	437	2761	2975	4263	502	-15.0	200	0	1	61.3404	0	2	
13	1	66.0472	1	437	2761	2975	4263	502	-15.0	200	0	0	68.3298	1	2	
14	0	72.4434	0	936	1551	2975	4263	503	-17.8	200	1	0	73.5344	0	5	
15	1	78.1709	0	936	1551	2975	4263	503	-17.8	200	1	1	79.2097	1	5	
16	0	82.7175	1	437	2761	2975	4263	511	-8.3	200	0	1	84.5166	0	0	
17	1	88.6112	1	437	2761	2975	4263	511	-8.3	200	0	0	89.2270	1	0	
18	0	96.3372	1	936	1551	2975	4263	507	-11.0	200	1	0	99.5030	0	3	
19	1	102.4963	1	936	1551	2975	4263	507	-11.0	200	1	1	104.3781	1	3	
20	0	107.6942	1	437	2761	2975	4263	509	-10.5	200	0	1	109.7304	0	1	
21	1	113.0924	1	437	2761	2975	4263	509	-10.5	200	0	0	115.1824	1	1	
22	0	119.0024	0	936	1551	2975	4263	505	-11.0	200	1	1	120.0588	1	4	
23	0	122.7965	0	936	1551	2975	4263	504	-15.5	200	1	1	123.7864	1	0	
24	0	126.9648	1	936	1551	2975	4263	503	-20.0	200	1	1	127.5829	1	1	
25	0	131.0054	0	936	1551	2975	4263	501	-13.3	200	1	1	132.3662	1	1	
26	0	135.5199	1	437	2761	2975	4263	511	-8.3	200	0	1	137.3271	0	5	
27	1	139.4041	1	437	2761	2975	4263	511	-8.3	200	0	0	141.8247	1	5	
28	0	145.5591	1	437	2761	2975	4263	506	-10.5	200	0	1	147.6199	0	2	
29	1	149.4177	0	437	2761	2975	4263	506	-10.5	200	0	1	150.1880	0	2	
30	1	154.1399	1	437	2761	2975	4263	506	-10.5	200	0	0	156.2763	1	2	
31	0	160.2743	0	437	2761	2975	4263	508	-10.5	200	0	0	161.8430	1	0	
32	0	165.4102	0	437	2761	2975	4263	509	-15.0	200	0	0	165.5299	1	1	
33	0	168.4899	1	437	2761	2975	4263	510	-6.0	200	0	0	171.0933	1	5	
34	0	179.0480	0	437	2761	2975	4263	502	-15.0	200	0	0	179.8881	1	3	
35	0	186.1175	1	437	2761	2975	4263	503	-12.8	200	0	0	186.6613	1	2	
36	0	190.0101	0	936	1551	2975	4263	501	-20.0	200	1	0	191.6857	0	3	
37	1	195.8427	0	936	1551	2975	4263	501	-20.0	200	1	1	196.6746	1	3	
38	0	199.6579	0	437	2761	2975	4263	505	-12.8	200	0	0	201.1655	1	4	
