Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	
1	0	28.0914	0	460	1105	2857	4205	501	-15.0	200	1	1	29.2965	1	0	
2	0	39.4852	1	460	1105	2857	4205	801	-15.0	200	1	1	39.8854	1	1	
3	0	45.3522	0	730	2058	2857	4205	651	-17.0	200	0	1	45.8595	0	3	
4	1	51.2050	0	730	2058	2857	4205	651	-17.0	200	0	1	53.8053	0	3	
5	1	58.3699	1	730	2058	2857	4205	651	-17.0	200	0	1	58.9805	0	3	
6	1	74.0227	0	730	2058	2857	4205	651	-17.0	200	0	1	74.2922	0	3	
7	1	79.6527	0	730	2058	2857	4205	651	-17.0	200	0	0	80.8618	1	3	
8	0	91.8994	1	460	1105	2857	4205	901	-15.0	200	1	1	92.4486	1	5	
9	0	97.4050	0	730	2058	2857	4205	701	-17.0	200	0	1	100.4289	0	3	
10	1	104.9283	0	730	2058	2857	4205	701	-17.0	200	0	0	105.1976	1	3	
11	0	118.5662	0	460	1105	2857	4205	1001	-15.0	200	1	1	118.9617	1	5	
12	0	123.9154	0	460	1105	2857	4205	851	-15.0	200	1	0	124.2132	0	2	
13	1	130.4174	0	460	1105	2857	4205	851	-15.0	200	1	0	130.7523	0	2	
14	1	137.7309	0	460	1105	2857	4205	851	-15.0	200	1	0	138.1709	0	2	
15	1	145.0794	0	460	1105	2857	4205	851	-15.0	200	1	1	145.5216	1	2	
16	0	152.0861	0	460	1105	2857	4205	751	-15.0	200	1	1	152.3744	1	0	
17	0	156.6577	0	460	1105	2857	4205	551	-15.0	200	1	1	157.0244	1	2	
18	0	160.8991	0	730	2058	2857	4205	951	-17.0	200	0	0	161.2517	1	1	
19	0	168.6559	1	460	1105	2857	4205	851	-15.0	200	1	1	168.8882	1	5	
20	0	172.1204	0	460	1105	2857	4205	501	-15.0	200	1	1	173.9444	1	1	
21	0	177.7862	0	460	1105	2857	4205	551	-15.0	200	1	1	178.2847	1	4	
22	0	186.6519	0	460	1105	2857	4205	951	-15.0	200	1	1	186.9343	1	3	
23	0	191.5041	0	730	2058	2857	4205	701	-17.0	200	0	0	191.9350	1	2	
24	0	195.2238	0	730	2058	2857	4205	651	-17.0	200	0	0	195.6005	1	2	
25	0	199.6054	0	730	2058	2857	4205	601	-17.0	200	0	0	200.0219	1	1	
26	0	208.3193	0	730	2058	2857	4205	801	-17.0	200	0	0	208.6544	1	2	
