Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	
1	0	12.5123	0	460	1105	2857	4205	651	-10.0	200	0	1	15.0968	0	0	
2	1	25.0300	0	460	1105	2857	4205	651	-10.0	200	0	0	30.1135	1	0	
3	0	34.1516	0	460	1105	2857	4205	1001	-10.0	200	0	1	34.4299	0	1	
4	1	43.1946	0	460	1105	2857	4205	1001	-10.0	200	0	0	45.0000	1	1	
5	0	50.0955	0	460	1105	2857	4205	751	-10.0	200	0	0	52.6010	1	1	
6	0	57.7247	0	460	1105	2857	4205	701	-10.0	200	0	0	60.3280	1	3	
7	0	65.6079	0	730	2058	2857	4205	601	-12.0	200	1	0	68.1858	0	1	
8	1	73.9685	0	730	2058	2857	4205	601	-12.0	200	1	1	75.0550	1	1	
9	0	81.9086	0	730	2058	2857	4205	851	-12.0	200	1	1	82.8357	1	0	
10	0	87.0874	0	730	2058	2857	4205	501	-12.0	200	1	1	98.3801	1	3	
11	0	104.1941	0	460	1105	2857	4205	551	-10.0	200	0	1	105.3162	0	2	
12	1	111.3989	0	460	1105	2857	4205	551	-10.0	200	0	0	113.9129	1	2	
13	0	120.2221	1	460	1105	2857	4205	951	-10.0	200	0	0	121.8807	1	0	
14	0	128.7597	0	460	1105	2857	4205	801	-10.0	200	0	0	131.4211	1	3	
15	0	136.6614	0	460	1105	2857	4205	551	-10.0	200	0	0	138.4549	1	0	
16	0	144.4586	1	730	2058	2857	4205	901	-12.0	200	1	1	145.3508	1	3	
17	0	151.1295	0	460	1105	2857	4205	801	-10.0	200	0	0	152.8716	1	1	
18	0	158.4222	1	730	2058	2857	4205	701	-12.0	200	1	0	162.8604	0	0	
19	1	172.2215	0	730	2058	2857	4205	701	-12.0	200	1	1	173.5483	1	0	
20	0	177.0370	0	730	2058	2857	4205	751	-12.0	200	1	0	178.4690	0	0	
21	1	187.1969	0	730	2058	2857	4205	751	-12.0	200	1	1	188.1113	1	0	
22	0	192.0404	0	460	1105	2857	4205	851	-10.0	200	0	1	193.1727	0	2	
23	1	200.9960	0	460	1105	2857	4205	851	-10.0	200	0	0	202.4159	1	2	
24	0	207.3067	0	730	2058	2857	4205	601	-12.0	200	1	1	208.7434	1	2	
25	0	211.2352	0	460	1105	2857	4205	501	-10.0	200	0	1	212.5067	0	2	
26	1	220.0455	0	460	1105	2857	4205	501	-10.0	200	0	1	221.4426	0	2	
27	1	227.2478	0	460	1105	2857	4205	501	-10.0	200	0	1	228.5034	0	2	
28	1	235.1986	0	460	1105	2857	4205	501	-10.0	200	0	0	237.2898	1	2	
29	0	243.4312	0	730	2058	2857	4205	651	-12.0	200	1	1	244.8836	1	1	
30	0	249.1591	0	460	1105	2857	4205	1001	-10.0	200	0	1	249.8384	0	3	
31	1	258.1408	0	460	1105	2857	4205	1001	-10.0	200	0	0	259.6750	1	3	
32	0	265.8891	0	730	2058	2857	4205	1001	-12.0	200	1	0	267.6762	0	2	
33	1	275.4913	0	730	2058	2857	4205	1001	-12.0	200	1	1	276.1211	1	2	
34	0	280.1734	0	730	2058	2857	4205	551	-12.0	200	1	1	281.3418	1	3	
35	0	286.3947	0	730	2058	2857	4205	951	-12.0	200	1	0	287.5537	0	1	
36	1	296.1706	1	730	2058	2857	4205	951	-12.0	200	1	1	297.3296	1	1	
37	0	301.6972	0	730	2058	2857	4205	901	-12.0	200	1	0	303.6499	0	2	
38	1	315.1768	1	730	2058	2857	4205	901	-12.0	200	1	1	317.0390	1	2	
39	0	320.6727	0	730	2058	2857	4205	651	-12.0	200	1	0	324.2879	0	0	
40	1	331.8353	0	730	2058	2857	4205	651	-12.0	200	1	0	333.7318	0	0	
