Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	
70	0	654.4219	0	730	2058	2857	4205	751	-7.0	200	1	1	655.2893	1	1	
71	0	661.6550	0	460	1105	2857	4205	951	-5.0	200	0	1	662.3660	0	2	
72	1	669.7926	0	460	1105	2857	4205	951	-5.0	200	0	0	672.4594	1	2	
73	0	677.9953	0	460	1105	2857	4205	501	-5.0	200	0	0	680.1897	1	2	
74	0	687.9704	0	730	2058	2857	4205	851	-7.0	200	1	1	688.7028	1	4	
75	0	691.8920	0	460	1105	2857	4205	651	-5.0	200	0	0	694.3167	1	4	
76	0	705.5376	0	460	1105	2857	4205	751	-5.0	200	0	0	707.1972	1	3	
77	0	716.8766	1	730	2058	2857	4205	601	-7.0	200	1	1	717.6130	1	2	
78	0	720.8283	0	460	1105	2857	4205	701	-5.0	200	0	1	723.8210	0	1	
79	1	733.1956	0	460	1105	2857	4205	701	-5.0	200	0	0	734.8792	1	1	
80	0	742.5397	0	730	2058	2857	4205	651	-7.0	200	1	1	743.2317	1	2	
81	0	746.6956	0	460	1105	2857	4205	501	-5.0	200	0	1	747.4547	0	1	
82	1	753.3744	0	460	1105	2857	4205	501	-5.0	200	0	0	755.4741	1	1	
83	0	761.5988	0	460	1105	2857	4205	901	-5.0	200	0	0	762.5649	1	3	
84	0	768.7886	0	730	2058	2857	4205	951	-7.0	200	1	1	769.4426	1	5	
85	0	773.4878	0	730	2058	2857	4205	551	-7.0	200	1	1	774.2340	1	1	
86	0	780.8360	0	730	2058	2857	4205	801	-7.0	200	1	1	781.5696	1	5	
87	0	787.6947	0	730	2058	2857	4205	1001	-7.0	200	1	0	788.4820	0	1	
88	1	805.0940	0	730	2058	2857	4205	1001	-7.0	200	1	1	806.1026	1	1	
89	0	810.1058	0	730	2058	2857	4205	851	-7.0	200	1	1	810.8872	1	0	
90	0	816.3628	0	730	2058	2857	4205	901	-7.0	200	1	0	817.2708	0	0	
91	1	829.0729	0	730	2058	2857	4205	901	-7.0	200	1	1	829.6684	1	0	
92	0	833.9420	0	460	1105	2857	4205	1001	-5.0	200	0	0	834.9427	1	5	
93	0	841.8396	0	460	1105	2857	4205	651	-5.0	200	0	0	843.9264	1	2	
94	0	850.7494	0	730	2058	2857	4205	701	-7.0	200	1	0	853.1558	0	0	
95	1	861.8719	0	730	2058	2857	4205	701	-7.0	200	1	1	862.6153	1	0	
96	0	866.6414	0	730	2058	2857	4205	751	-7.0	200	1	1	867.5537	1	3	
97	0	871.3496	0	730	2058	2857	4205	501	-7.0	200	1	1	872.3517	1	0	
98	0	877.7704	0	460	1105	2857	4205	801	-5.0	200	0	1	878.6871	0	0	
99	1	891.9173	0	460	1105	2857	4205	801	-5.0	200	0	0	893.0537	1	0	
100	0	898.8294	0	730	2058	2857	4205	601	-7.0	200	1	0	900.6930	0	3	
101	1	906.8636	1	730	2058	2857	4205	601	-7.0	200	1	0	908.6444	0	3	
102	1	915.1520	1	730	2058	2857	4205	601	-7.0	200	1	1	921.7765	1	3	
103	0	925.9003	1	730	2058	2857	4205	551	-7.0	200	1	1	930.3668	1	0	
104	0	934.0677	0	460	1105	2857	4205	601	-5.0	200	0	1	936.3423	0	3	
105	1	943.4114	1	460	1105	2857	4205	601	-5.0	200	0	1	944.8014	0	3	
106	1	950.9687	0	460	1105	2857	4205	601	-5.0	200	0	0	953.1176	1	3	
107	0	958.3921	0	730	2058	2857	4205	801	-7.0	200	1	1	960.0087	1	3	
108	0	963.8276	0	460	1105	2857	4205	501	-5.0	200	0	1	966.4143	0	1	
109	1	980.8885	0	460	1105	2857	4205	501	-5.0	200	0	0	983.0418	1	1	
110	0	988.9624	0	460	1105	2857	4205	751	-5.0	200	0	0	990.9769	1	4	
111	0	997.1723	0	460	1105	2857	4205	901	-5.0	200	0	0	998.8552	1	2	
112	0	1008.0311	0	460	1105	2857	4205	851	-5.0	200	0	0	1009.2446	1	4	
113	0	1017.9305	0	460	1105	2857	4205	651	-5.0	200	0	0	1020.3680	1	1	
114	0	1026.2376	0	460	1105	2857	4205	951	-5.0	200	0	0	1028.1612	1	5	
115	0	1035.0581	0	730	2058	2857	4205	1001	-7.0	200	1	1	1035.9535	1	4	
116	0	1038.8940	0	730	2058	2857	4205	551	-7.0	200	1	1	1039.6942	1	5	
117	0	1043.9193	0	730	2058	2857	4205	851	-7.0	200	1	1	1045.0516	1	4	
118	0	1050.9895	0	460	1105	2857	4205	501	-5.0	200	0	1	1051.7601	0	1	
119	1	1057.4716	0	460	1105	2857	4205	501	-5.0	200	0	0	1058.6693	1	1	
120	0	1065.0807	0	460	1105	2857	4205	951	-5.0	200	0	0	1067.6151	1	0	
121	0	1073.0869	0	460	1105	2857	4205	901	-5.0	200	0	0	1075.0124	1	3	
122	0	1080.4858	0	730	2058	2857	4205	551	-7.0	200	1	1	1081.7166	1	2	
123	0	1085.4436	0	730	2058	2857	4205	801	-7.0	200	1	1	1086.2500	1	1	
124	0	1091.1873	0	730	2058	2857	4205	1001	-7.0	200	1	1	1092.1414	1	4	
125	0	1098.9919	0	460	1105	2857	4205	701	-5.0	200	0	0	1100.1795	1	4	
126	0	1106.8952	1	730	2058	2857	4205	751	-7.0	200	1	1	1108.0480	1	5	
127	0	1111.8327	0	730	2058	2857	4205	601	-7.0	200	1	1	1114.6203	1	1	
128	0	1118.2816	0	730	2058	2857	4205	701	-7.0	200	1	1	1120.3647	1	2	
129	0	1124.0337	0	460	1105	2857	4205	551	-5.0	200	0	0	1126.6749	1	0	
130	0	1136.7870	0	730	2058	2857	4205	901	-7.0	200	1	1	1137.8055	1	2	
131	0	1141.6182	0	460	1105	2857	4205	1001	-5.0	200	0	1	1142.0105	0	2	
132	1	1171.2745	0	460	1105	2857	4205	1001	-5.0	200	0	1	1172.4888	0	2	
133	1	1211.0597	0	460	1105	2857	4205	1001	-5.0	200	0	1	1211.5714	0	2	
