SpatialCondition,treatment,nTrials,nCorrect,pCorrect,iteration
single_speaker,False,936,791,84.50854700854701,43
colocated,False,1248,871,69.79166666666666,44
separated,False,1248,902,72.27564102564102,44
single_speaker,False,936,797,85.14957264957265,44
colocated,False,1248,902,72.27564102564102,45
separated,False,1248,905,72.51602564102564,45
single_speaker,False,936,767,81.94444444444444,45
colocated,False,1248,850,68.10897435897436,46
separated,False,1248,907,72.67628205128204,46
single_speaker,False,936,802,85.68376068376068,46
colocated,False,1248,846,67.78846153846155,47
separated,False,1248,914,73.23717948717949,47
single_speaker,False,936,787,84.08119658119658,47
colocated,False,1248,873,69.95192307692307,48
separated,False,1248,890,71.31410256410257,48
single_speaker,False,936,798,85.25641025641025,48
colocated,False,1248,871,69.79166666666666,49
separated,False,1248,913,73.15705128205127,49
single_speaker,False,936,779,83.22649572649573,49
colocated,False,1248,852,68.26923076923077,50
separated,False,1248,917,73.4775641025641,50
single_speaker,False,936,778,83.11965811965813,50
colocated,False,1248,882,70.67307692307693,51
separated,False,1248,887,71.07371794871796,51
single_speaker,False,936,774,82.6923076923077,51
colocated,False,1248,875,70.11217948717949,52
separated,False,1248,899,72.03525641025641,52
single_speaker,False,936,785,83.86752136752136,52
colocated,False,1248,865,69.31089743589743,53
separated,False,1248,915,73.3173076923077,53
single_speaker,False,936,801,85.57692307692307,53
colocated,False,1248,855,68.50961538461539,54
separated,False,1248,875,70.11217948717949,54
single_speaker,False,936,786,83.97435897435898,54
colocated,False,1248,866,69.39102564102564,55
separated,False,1248,908,72.75641025641025,55
single_speaker,False,936,786,83.97435897435898,55
colocated,False,1248,876,70.1923076923077,56
separated,False,1248,917,73.4775641025641,56
single_speaker,False,936,763,81.51709401709401,56
colocated,False,1248,860,68.91025641025641,57
separated,False,1248,911,72.99679487179486,57
single_speaker,False,936,793,84.72222222222221,57
colocated,False,1248,862,69.07051282051282,58
separated,False,1248,908,72.75641025641025,58
single_speaker,False,936,779,83.22649572649573,58
colocated,False,1248,865,69.31089743589743,59
separated,False,1248,908,72.75641025641025,59
single_speaker,False,936,771,82.37179487179486,59
colocated,False,1248,879,70.4326923076923,60
separated,False,1248,930,74.51923076923077,60
single_speaker,False,936,790,84.4017094017094,60
colocated,False,1248,864,69.23076923076923,61
separated,False,1248,899,72.03525641025641,61
single_speaker,False,936,791,84.50854700854701,61
colocated,False,1248,856,68.58974358974359,62
separated,False,1248,892,71.47435897435898,62
single_speaker,False,936,777,83.01282051282051,62
colocated,False,1248,860,68.91025641025641,63
separated,False,1248,906,72.59615384615384,63
single_speaker,False,936,780,83.33333333333334,63
colocated,False,1248,870,69.71153846153845,64
separated,False,1248,896,71.7948717948718,64
single_speaker,False,936,788,84.1880341880342,64
colocated,False,1248,876,70.1923076923077,65
separated,False,1248,896,71.7948717948718,65
single_speaker,False,936,776,82.90598290598291,65
colocated,False,1248,883,70.75320512820514,66
separated,False,1248,868,69.55128205128204,66
single_speaker,False,936,792,84.61538461538461,66
colocated,False,1248,885,70.91346153846155,67
separated,False,1248,881,70.59294871794873,67
single_speaker,False,936,785,83.86752136752136,67
colocated,False,1248,870,69.71153846153845,68
separated,False,1248,909,72.83653846153845,68
single_speaker,False,936,796,85.04273504273505,68
colocated,False,1248,868,69.55128205128204,69
separated,False,1248,887,71.07371794871796,69
single_speaker,False,936,781,83.44017094017094,69
colocated,False,1248,868,69.55128205128204,70
separated,False,1248,897,71.875,70
single_speaker,False,936,802,85.68376068376068,70
colocated,False,1248,868,69.55128205128204,71
separated,False,1248,908,72.75641025641025,71
single_speaker,False,936,789,84.2948717948718,71
colocated,False,1248,872,69.87179487179486,72
separated,False,1248,873,69.95192307692307,72
single_speaker,False,936,787,84.08119658119658,72
colocated,False,1248,837,67.0673076923077,73
separated,False,1248,894,71.63461538461539,73
single_speaker,False,936,779,83.22649572649573,73
colocated,False,1248,859,68.8301282051282,74
separated,False,1248,879,70.4326923076923,74
single_speaker,False,936,780,83.33333333333334,74
colocated,False,1248,858,68.75,75
separated,False,1248,881,70.59294871794873,75
single_speaker,False,936,769,82.15811965811966,75
colocated,False,1248,882,70.67307692307693,76
separated,False,1248,901,72.19551282051282,76
single_speaker,False,936,788,84.1880341880342,76
colocated,False,1248,875,70.11217948717949,77
separated,False,1248,900,72.11538461538461,77
single_speaker,False,936,792,84.61538461538461,77
colocated,False,1248,874,70.03205128205127,78
separated,False,1248,914,73.23717948717949,78
single_speaker,False,936,772,82.47863247863248,78
colocated,False,1248,850,68.10897435897436,79
separated,False,1248,899,72.03525641025641,79
single_speaker,False,936,783,83.65384615384616,79
colocated,False,1248,848,67.94871794871796,80
separated,False,1248,903,72.35576923076923,80
single_speaker,False,936,779,83.22649572649573,80
colocated,False,1248,866,69.39102564102564,81
separated,False,1248,920,73.71794871794873,81
single_speaker,False,936,772,82.47863247863248,81
colocated,False,1248,854,68.42948717948718,82
separated,False,1248,891,71.39423076923077,82
single_speaker,False,936,792,84.61538461538461,82
colocated,False,1248,859,68.8301282051282,83
separated,False,1248,914,73.23717948717949,83
single_speaker,False,936,776,82.90598290598291,83
colocated,False,1248,858,68.75,84
separated,False,1248,949,76.04166666666666,84
single_speaker,False,936,780,83.33333333333334,84
colocated,False,1248,840,67.3076923076923,85
separated,False,1248,903,72.35576923076923,85
single_speaker,False,936,786,83.97435897435898,85
colocated,False,1248,866,69.39102564102564,86
separated,False,1248,896,71.7948717948718,86
