SpatialCondition,treatment,nTrials,nCorrect,pCorrect,iteration
colocated,False,368,262,71.19565217391305,0
colocated,True,368,212,57.608695652173914,0
separated,False,368,284,77.17391304347827,0
separated,True,368,282,76.63043478260869,0
single_speaker,False,368,295,80.16304347826086,0
single_speaker,True,368,291,79.07608695652173,0
colocated,False,368,268,72.82608695652173,1
colocated,True,368,219,59.5108695652174,1
separated,False,368,272,73.91304347826086,1
separated,True,368,277,75.27173913043478,1
single_speaker,False,368,292,79.34782608695652,1
single_speaker,True,368,278,75.54347826086956,1
colocated,False,368,261,70.92391304347827,2
colocated,True,368,229,62.22826086956522,2
separated,False,368,269,73.09782608695652,2
separated,True,368,267,72.55434782608695,2
single_speaker,False,368,303,82.33695652173914,2
single_speaker,True,368,283,76.90217391304348,2
colocated,False,368,272,73.91304347826086,3
colocated,True,368,218,59.2391304347826,3
separated,False,368,274,74.45652173913044,3
separated,True,368,276,75.0,3
single_speaker,False,368,286,77.71739130434783,3
single_speaker,True,368,292,79.34782608695652,3
colocated,False,368,268,72.82608695652173,4
colocated,True,368,213,57.88043478260869,4
separated,False,368,285,77.44565217391305,4
separated,True,368,260,70.65217391304348,4
single_speaker,False,368,301,81.79347826086956,4
single_speaker,True,368,294,79.8913043478261,4
colocated,False,368,270,73.36956521739131,5
colocated,True,368,222,60.32608695652174,5
separated,False,368,274,74.45652173913044,5
separated,True,368,269,73.09782608695652,5
single_speaker,False,368,298,80.97826086956522,5
single_speaker,True,368,291,79.07608695652173,5
colocated,False,368,266,72.28260869565217,6
colocated,True,368,226,61.41304347826087,6
separated,False,368,282,76.63043478260869,6
separated,True,368,271,73.6413043478261,6
single_speaker,False,368,292,79.34782608695652,6
single_speaker,True,368,284,77.17391304347827,6
colocated,False,368,276,75.0,7
colocated,True,368,222,60.32608695652174,7
separated,False,368,275,74.72826086956522,7
separated,True,368,271,73.6413043478261,7
single_speaker,False,368,299,81.25,7
single_speaker,True,368,297,80.70652173913044,7
colocated,False,368,277,75.27173913043478,8
colocated,True,368,223,60.597826086956516,8
separated,False,368,270,73.36956521739131,8
separated,True,368,274,74.45652173913044,8
single_speaker,False,368,284,77.17391304347827,8
single_speaker,True,368,293,79.61956521739131,8
colocated,False,368,274,74.45652173913044,9
colocated,True,368,217,58.96739130434783,9
separated,False,368,270,73.36956521739131,9
separated,True,368,271,73.6413043478261,9
single_speaker,False,368,282,76.63043478260869,9
single_speaker,True,368,279,75.81521739130434,9
colocated,False,368,272,73.91304347826086,10
colocated,True,368,238,64.67391304347827,10
separated,False,368,263,71.46739130434783,10
separated,True,368,280,76.08695652173914,10
single_speaker,False,368,283,76.90217391304348,10
single_speaker,True,368,292,79.34782608695652,10
colocated,False,368,267,72.55434782608695,11
colocated,True,368,222,60.32608695652174,11
separated,False,368,271,73.6413043478261,11
separated,True,368,275,74.72826086956522,11
single_speaker,False,368,291,79.07608695652173,11
single_speaker,True,368,296,80.43478260869566,11
colocated,False,368,260,70.65217391304348,12
colocated,True,368,217,58.96739130434783,12
separated,False,368,270,73.36956521739131,12
separated,True,368,268,72.82608695652173,12
single_speaker,False,368,286,77.71739130434783,12
single_speaker,True,368,292,79.34782608695652,12
colocated,False,368,251,68.20652173913044,13
colocated,True,368,222,60.32608695652174,13
separated,False,368,277,75.27173913043478,13
separated,True,368,277,75.27173913043478,13
single_speaker,False,368,291,79.07608695652173,13
single_speaker,True,368,302,82.06521739130434,13
colocated,False,368,277,75.27173913043478,14
colocated,True,368,217,58.96739130434783,14
separated,False,368,281,76.3586956521739,14
separated,True,368,270,73.36956521739131,14
single_speaker,False,368,285,77.44565217391305,14
single_speaker,True,368,291,79.07608695652173,14
colocated,False,368,256,69.56521739130434,15
colocated,True,368,236,64.13043478260869,15
separated,False,368,277,75.27173913043478,15
separated,True,368,266,72.28260869565217,15
single_speaker,False,368,278,75.54347826086956,15
single_speaker,True,368,290,78.80434782608695,15
colocated,False,368,268,72.82608695652173,16
colocated,True,368,215,58.42391304347826,16
separated,False,368,269,73.09782608695652,16
separated,True,368,269,73.09782608695652,16
single_speaker,False,368,296,80.43478260869566,16
single_speaker,True,368,297,80.70652173913044,16
colocated,False,368,272,73.91304347826086,17
colocated,True,368,233,63.315217391304344,17
separated,False,368,260,70.65217391304348,17
separated,True,368,263,71.46739130434783,17
single_speaker,False,368,293,79.61956521739131,17
single_speaker,True,368,293,79.61956521739131,17
colocated,False,368,277,75.27173913043478,18
colocated,True,368,222,60.32608695652174,18
separated,False,368,271,73.6413043478261,18
separated,True,368,276,75.0,18
single_speaker,False,368,292,79.34782608695652,18
single_speaker,True,368,300,81.52173913043478,18
colocated,False,368,267,72.55434782608695,19
colocated,True,368,220,59.78260869565217,19
separated,False,368,264,71.73913043478261,19
separated,True,368,273,74.18478260869566,19
single_speaker,False,368,290,78.80434782608695,19
single_speaker,True,368,294,79.8913043478261,19
colocated,False,368,249,67.66304347826086,20
colocated,True,368,228,61.95652173913043,20
separated,False,368,277,75.27173913043478,20
separated,True,368,273,74.18478260869566,20
single_speaker,False,368,279,75.81521739130434,20
single_speaker,True,368,278,75.54347826086956,20
colocated,False,368,277,75.27173913043478,21
colocated,True,368,227,61.684782608695656,21
separated,False,368,274,74.45652173913044,21
separated,True,368,274,74.45652173913044,21
single_speaker,False,368,289,78.53260869565217,21
single_speaker,True,368,293,79.61956521739131,21
colocated,False,368,270,73.36956521739131,22
colocated,True,368,226,61.41304347826087,22
separated,False,368,264,71.73913043478261,22
separated,True,368,274,74.45652173913044,22
single_speaker,False,368,280,76.08695652173914,22
single_speaker,True,368,304,82.6086956521739,22
colocated,False,368,267,72.55434782608695,23
colocated,True,368,230,62.5,23
separated,False,368,262,71.19565217391305,23
separated,True,368,263,71.46739130434783,23
single_speaker,False,368,292,79.34782608695652,23
single_speaker,True,368,285,77.44565217391305,23
colocated,False,368,270,73.36956521739131,24
colocated,True,368,233,63.315217391304344,24
separated,False,368,276,75.0,24
separated,True,368,287,77.98913043478261,24
single_speaker,False,368,284,77.17391304347827,24
single_speaker,True,368,290,78.80434782608695,24
colocated,False,368,273,74.18478260869566,25
colocated,True,368,225,61.141304347826086,25
separated,False,368,277,75.27173913043478,25
separated,True,368,269,73.09782608695652,25
single_speaker,False,368,290,78.80434782608695,25
single_speaker,True,368,298,80.97826086956522,25
colocated,False,368,280,76.08695652173914,26
colocated,True,368,231,62.77173913043478,26
separated,False,368,281,76.3586956521739,26
separated,True,368,264,71.73913043478261,26
single_speaker,False,368,278,75.54347826086956,26
single_speaker,True,368,296,80.43478260869566,26
colocated,False,368,265,72.01086956521739,27
colocated,True,368,227,61.684782608695656,27
separated,False,368,263,71.46739130434783,27
separated,True,368,264,71.73913043478261,27
single_speaker,False,368,277,75.27173913043478,27
single_speaker,True,368,298,80.97826086956522,27
colocated,False,368,267,72.55434782608695,28
colocated,True,368,235,63.858695652173914,28
separated,False,368,279,75.81521739130434,28
separated,True,368,269,73.09782608695652,28
single_speaker,False,368,280,76.08695652173914,28
single_speaker,True,368,287,77.98913043478261,28
colocated,False,368,271,73.6413043478261,29
colocated,True,368,236,64.13043478260869,29
separated,False,368,278,75.54347826086956,29
separated,True,368,270,73.36956521739131,29
single_speaker,False,368,273,74.18478260869566,29
single_speaker,True,368,289,78.53260869565217,29
colocated,False,368,263,71.46739130434783,30
colocated,True,368,222,60.32608695652174,30
separated,False,368,263,71.46739130434783,30
separated,True,368,269,73.09782608695652,30
single_speaker,False,368,307,83.42391304347827,30
single_speaker,True,368,288,78.26086956521739,30
colocated,False,368,278,75.54347826086956,31
colocated,True,368,228,61.95652173913043,31
separated,False,368,280,76.08695652173914,31
separated,True,368,279,75.81521739130434,31
single_speaker,False,368,287,77.98913043478261,31
single_speaker,True,368,284,77.17391304347827,31
colocated,False,368,257,69.83695652173914,32
colocated,True,368,230,62.5,32
separated,False,368,276,75.0,32
separated,True,368,271,73.6413043478261,32
single_speaker,False,368,303,82.33695652173914,32
single_speaker,True,368,286,77.71739130434783,32
colocated,False,368,258,70.1086956521739,33
colocated,True,368,237,64.40217391304348,33
separated,False,368,283,76.90217391304348,33
separated,True,368,273,74.18478260869566,33
single_speaker,False,368,287,77.98913043478261,33
single_speaker,True,368,295,80.16304347826086,33
colocated,False,368,277,75.27173913043478,34
colocated,True,368,221,60.05434782608695,34
separated,False,368,274,74.45652173913044,34
separated,True,368,276,75.0,34
single_speaker,False,368,284,77.17391304347827,34
single_speaker,True,368,288,78.26086956521739,34
colocated,False,368,264,71.73913043478261,35
colocated,True,368,225,61.141304347826086,35
separated,False,368,278,75.54347826086956,35
separated,True,368,276,75.0,35
single_speaker,False,368,279,75.81521739130434,35
single_speaker,True,368,297,80.70652173913044,35
colocated,False,368,254,69.02173913043478,36
colocated,True,368,217,58.96739130434783,36
separated,False,368,277,75.27173913043478,36
separated,True,368,275,74.72826086956522,36
single_speaker,False,368,288,78.26086956521739,36
single_speaker,True,368,287,77.98913043478261,36
colocated,False,368,267,72.55434782608695,37
colocated,True,368,238,64.67391304347827,37
separated,False,368,279,75.81521739130434,37
separated,True,368,268,72.82608695652173,37
single_speaker,False,368,292,79.34782608695652,37
single_speaker,True,368,291,79.07608695652173,37
colocated,False,368,279,75.81521739130434,38
colocated,True,368,228,61.95652173913043,38
separated,False,368,265,72.01086956521739,38
separated,True,368,278,75.54347826086956,38
single_speaker,False,368,291,79.07608695652173,38
single_speaker,True,368,290,78.80434782608695,38
colocated,False,368,264,71.73913043478261,39
colocated,True,368,231,62.77173913043478,39
separated,False,368,264,71.73913043478261,39
separated,True,368,279,75.81521739130434,39
single_speaker,False,368,290,78.80434782608695,39
single_speaker,True,368,290,78.80434782608695,39
colocated,False,368,281,76.3586956521739,40
colocated,True,368,230,62.5,40
separated,False,368,273,74.18478260869566,40
separated,True,368,256,69.56521739130434,40
single_speaker,False,368,299,81.25,40
single_speaker,True,368,279,75.81521739130434,40
colocated,False,368,271,73.6413043478261,41
colocated,True,368,220,59.78260869565217,41
separated,False,368,281,76.3586956521739,41
separated,True,368,273,74.18478260869566,41
single_speaker,False,368,288,78.26086956521739,41
single_speaker,True,368,296,80.43478260869566,41
colocated,False,368,274,74.45652173913044,42
colocated,True,368,238,64.67391304347827,42
separated,False,368,289,78.53260869565217,42
separated,True,368,281,76.3586956521739,42
single_speaker,False,368,297,80.70652173913044,42
single_speaker,True,368,285,77.44565217391305,42
colocated,False,368,273,74.18478260869566,43
colocated,True,368,225,61.141304347826086,43
separated,False,368,270,73.36956521739131,43
separated,True,368,271,73.6413043478261,43
single_speaker,False,368,289,78.53260869565217,43
single_speaker,True,368,288,78.26086956521739,43
colocated,False,368,270,73.36956521739131,44
colocated,True,368,233,63.315217391304344,44
separated,False,368,277,75.27173913043478,44
separated,True,368,270,73.36956521739131,44
single_speaker,False,368,297,80.70652173913044,44
single_speaker,True,368,292,79.34782608695652,44
colocated,False,368,265,72.01086956521739,45
colocated,True,368,226,61.41304347826087,45
separated,False,368,270,73.36956521739131,45
separated,True,368,279,75.81521739130434,45
single_speaker,False,368,291,79.07608695652173,45
single_speaker,True,368,294,79.8913043478261,45
colocated,False,368,254,69.02173913043478,46
colocated,True,368,227,61.684782608695656,46
separated,False,368,278,75.54347826086956,46
separated,True,368,271,73.6413043478261,46
single_speaker,False,368,276,75.0,46
single_speaker,True,368,293,79.61956521739131,46
colocated,False,368,267,72.55434782608695,47
colocated,True,368,218,59.2391304347826,47
separated,False,368,276,75.0,47
separated,True,368,273,74.18478260869566,47
single_speaker,False,368,299,81.25,47
single_speaker,True,368,282,76.63043478260869,47
colocated,False,368,274,74.45652173913044,48
colocated,True,368,224,60.86956521739131,48
separated,False,368,288,78.26086956521739,48
separated,True,368,278,75.54347826086956,48
single_speaker,False,368,287,77.98913043478261,48
single_speaker,True,368,293,79.61956521739131,48
colocated,False,368,284,77.17391304347827,49
colocated,True,368,209,56.79347826086957,49
separated,False,368,264,71.73913043478261,49
separated,True,368,279,75.81521739130434,49
single_speaker,False,368,294,79.8913043478261,49
single_speaker,True,368,286,77.71739130434783,49
colocated,False,368,262,71.19565217391305,50
colocated,True,368,229,62.22826086956522,50
separated,False,368,278,75.54347826086956,50
separated,True,368,274,74.45652173913044,50
single_speaker,False,368,284,77.17391304347827,50
single_speaker,True,368,301,81.79347826086956,50
colocated,False,368,281,76.3586956521739,51
colocated,True,368,209,56.79347826086957,51
separated,False,368,272,73.91304347826086,51
separated,True,368,272,73.91304347826086,51
single_speaker,False,368,292,79.34782608695652,51
single_speaker,True,368,288,78.26086956521739,51
colocated,False,368,264,71.73913043478261,52
colocated,True,368,231,62.77173913043478,52
separated,False,368,282,76.63043478260869,52
separated,True,368,266,72.28260869565217,52
single_speaker,False,368,295,80.16304347826086,52
single_speaker,True,368,296,80.43478260869566,52
colocated,False,368,270,73.36956521739131,53
colocated,True,368,224,60.86956521739131,53
separated,False,368,279,75.81521739130434,53
separated,True,368,273,74.18478260869566,53
single_speaker,False,368,291,79.07608695652173,53
single_speaker,True,368,287,77.98913043478261,53
colocated,False,368,279,75.81521739130434,54
colocated,True,368,232,63.04347826086957,54
separated,False,368,282,76.63043478260869,54
separated,True,368,275,74.72826086956522,54
single_speaker,False,368,282,76.63043478260869,54
single_speaker,True,368,288,78.26086956521739,54
colocated,False,368,276,75.0,55
colocated,True,368,222,60.32608695652174,55
separated,False,368,268,72.82608695652173,55
separated,True,368,279,75.81521739130434,55
single_speaker,False,368,286,77.71739130434783,55
single_speaker,True,368,298,80.97826086956522,55
colocated,False,368,274,74.45652173913044,56
colocated,True,368,231,62.77173913043478,56
separated,False,368,267,72.55434782608695,56
separated,True,368,277,75.27173913043478,56
single_speaker,False,368,286,77.71739130434783,56
single_speaker,True,368,284,77.17391304347827,56
colocated,False,368,260,70.65217391304348,57
colocated,True,368,229,62.22826086956522,57
separated,False,368,279,75.81521739130434,57
separated,True,368,281,76.3586956521739,57
single_speaker,False,368,282,76.63043478260869,57
single_speaker,True,368,288,78.26086956521739,57
colocated,False,368,269,73.09782608695652,58
colocated,True,368,235,63.858695652173914,58
separated,False,368,258,70.1086956521739,58
separated,True,368,280,76.08695652173914,58
single_speaker,False,368,299,81.25,58
single_speaker,True,368,293,79.61956521739131,58
colocated,False,368,248,67.3913043478261,59
colocated,True,368,230,62.5,59
separated,False,368,270,73.36956521739131,59
separated,True,368,255,69.29347826086956,59
single_speaker,False,368,302,82.06521739130434,59
single_speaker,True,368,288,78.26086956521739,59
colocated,False,368,273,74.18478260869566,60
colocated,True,368,226,61.41304347826087,60
separated,False,368,273,74.18478260869566,60
separated,True,368,285,77.44565217391305,60
single_speaker,False,368,297,80.70652173913044,60
single_speaker,True,368,291,79.07608695652173,60
colocated,False,368,277,75.27173913043478,61
colocated,True,368,222,60.32608695652174,61
separated,False,368,269,73.09782608695652,61
separated,True,368,266,72.28260869565217,61
single_speaker,False,368,285,77.44565217391305,61
single_speaker,True,368,289,78.53260869565217,61
colocated,False,368,262,71.19565217391305,62
colocated,True,368,250,67.93478260869566,62
separated,False,368,263,71.46739130434783,62
separated,True,368,273,74.18478260869566,62
single_speaker,False,368,292,79.34782608695652,62
single_speaker,True,368,291,79.07608695652173,62
colocated,False,368,267,72.55434782608695,63
colocated,True,368,230,62.5,63
separated,False,368,267,72.55434782608695,63
separated,True,368,273,74.18478260869566,63
single_speaker,False,368,290,78.80434782608695,63
