SpatialCondition,treatment,nTrials,nCorrect,pCorrect,iteration
colocated,False,368,291,79.07608695652173,0
colocated,True,368,229,62.22826086956522,0
separated,False,368,272,73.91304347826086,0
separated,True,368,270,73.36956521739131,0
single_speaker,False,368,294,79.8913043478261,0
single_speaker,True,368,296,80.43478260869566,0
colocated,False,368,271,73.6413043478261,1
colocated,True,368,233,63.315217391304344,1
separated,False,368,267,72.55434782608695,1
separated,True,368,273,74.18478260869566,1
single_speaker,False,368,289,78.53260869565217,1
single_speaker,True,368,286,77.71739130434783,1
colocated,False,368,270,73.36956521739131,2
colocated,True,368,232,63.04347826086957,2
separated,False,368,278,75.54347826086956,2
separated,True,368,278,75.54347826086956,2
single_speaker,False,368,282,76.63043478260869,2
single_speaker,True,368,285,77.44565217391305,2
colocated,False,368,249,67.66304347826086,3
colocated,True,368,238,64.67391304347827,3
separated,False,368,266,72.28260869565217,3
separated,True,368,279,75.81521739130434,3
single_speaker,False,368,286,77.71739130434783,3
single_speaker,True,368,291,79.07608695652173,3
colocated,False,368,270,73.36956521739131,4
colocated,True,368,231,62.77173913043478,4
separated,False,368,277,75.27173913043478,4
separated,True,368,268,72.82608695652173,4
single_speaker,False,368,291,79.07608695652173,4
single_speaker,True,368,286,77.71739130434783,4
colocated,False,368,271,73.6413043478261,5
colocated,True,368,248,67.3913043478261,5
separated,False,368,269,73.09782608695652,5
separated,True,368,281,76.3586956521739,5
single_speaker,False,368,305,82.88043478260869,5
single_speaker,True,368,294,79.8913043478261,5
colocated,False,368,279,75.81521739130434,6
colocated,True,368,240,65.21739130434783,6
separated,False,368,268,72.82608695652173,6
separated,True,368,281,76.3586956521739,6
single_speaker,False,368,295,80.16304347826086,6
single_speaker,True,368,287,77.98913043478261,6
colocated,False,368,271,73.6413043478261,7
colocated,True,368,233,63.315217391304344,7
separated,False,368,290,78.80434782608695,7
separated,True,368,280,76.08695652173914,7
single_speaker,False,368,293,79.61956521739131,7
single_speaker,True,368,291,79.07608695652173,7
colocated,False,368,283,76.90217391304348,8
colocated,True,368,226,61.41304347826087,8
separated,False,368,257,69.83695652173914,8
separated,True,368,264,71.73913043478261,8
single_speaker,False,368,293,79.61956521739131,8
single_speaker,True,368,291,79.07608695652173,8
colocated,False,368,264,71.73913043478261,9
colocated,True,368,225,61.141304347826086,9
separated,False,368,272,73.91304347826086,9
separated,True,368,266,72.28260869565217,9
single_speaker,False,368,286,77.71739130434783,9
single_speaker,True,368,296,80.43478260869566,9
colocated,False,368,266,72.28260869565217,10
colocated,True,368,216,58.69565217391305,10
separated,False,368,268,72.82608695652173,10
separated,True,368,280,76.08695652173914,10
single_speaker,False,368,280,76.08695652173914,10
single_speaker,True,368,300,81.52173913043478,10
colocated,False,368,281,76.3586956521739,11
colocated,True,368,236,64.13043478260869,11
separated,False,368,281,76.3586956521739,11
separated,True,368,280,76.08695652173914,11
single_speaker,False,368,287,77.98913043478261,11
single_speaker,True,368,293,79.61956521739131,11
colocated,False,368,269,73.09782608695652,12
colocated,True,368,225,61.141304347826086,12
separated,False,368,279,75.81521739130434,12
separated,True,368,276,75.0,12
single_speaker,False,368,286,77.71739130434783,12
single_speaker,True,368,283,76.90217391304348,12
colocated,False,368,263,71.46739130434783,13
colocated,True,368,229,62.22826086956522,13
separated,False,368,276,75.0,13
separated,True,368,268,72.82608695652173,13
single_speaker,False,368,284,77.17391304347827,13
single_speaker,True,368,281,76.3586956521739,13
colocated,False,368,276,75.0,14
colocated,True,368,221,60.05434782608695,14
separated,False,368,289,78.53260869565217,14
separated,True,368,272,73.91304347826086,14
single_speaker,False,368,294,79.8913043478261,14
single_speaker,True,368,302,82.06521739130434,14
colocated,False,368,278,75.54347826086956,15
colocated,True,368,228,61.95652173913043,15
separated,False,368,273,74.18478260869566,15
separated,True,368,266,72.28260869565217,15
single_speaker,False,368,288,78.26086956521739,15
single_speaker,True,368,297,80.70652173913044,15
colocated,False,368,278,75.54347826086956,16
colocated,True,368,220,59.78260869565217,16
separated,False,368,281,76.3586956521739,16
separated,True,368,274,74.45652173913044,16
single_speaker,False,368,284,77.17391304347827,16
single_speaker,True,368,288,78.26086956521739,16
colocated,False,368,274,74.45652173913044,17
colocated,True,368,237,64.40217391304348,17
separated,False,368,261,70.92391304347827,17
separated,True,368,275,74.72826086956522,17
single_speaker,False,368,296,80.43478260869566,17
single_speaker,True,368,294,79.8913043478261,17
colocated,False,368,261,70.92391304347827,18
colocated,True,368,231,62.77173913043478,18
separated,False,368,268,72.82608695652173,18
separated,True,368,268,72.82608695652173,18
single_speaker,False,368,284,77.17391304347827,18
single_speaker,True,368,288,78.26086956521739,18
colocated,False,368,263,71.46739130434783,19
colocated,True,368,227,61.684782608695656,19
separated,False,368,266,72.28260869565217,19
separated,True,368,264,71.73913043478261,19
single_speaker,False,368,290,78.80434782608695,19
single_speaker,True,368,291,79.07608695652173,19
colocated,False,368,258,70.1086956521739,20
colocated,True,368,244,66.30434782608695,20
separated,False,368,286,77.71739130434783,20
separated,True,368,270,73.36956521739131,20
single_speaker,False,368,308,83.69565217391305,20
single_speaker,True,368,288,78.26086956521739,20
colocated,False,368,254,69.02173913043478,21
colocated,True,368,218,59.2391304347826,21
separated,False,368,279,75.81521739130434,21
separated,True,368,263,71.46739130434783,21
single_speaker,False,368,302,82.06521739130434,21
single_speaker,True,368,298,80.97826086956522,21
colocated,False,368,280,76.08695652173914,22
colocated,True,368,222,60.32608695652174,22
separated,False,368,266,72.28260869565217,22
separated,True,368,259,70.38043478260869,22
single_speaker,False,368,281,76.3586956521739,22
single_speaker,True,368,283,76.90217391304348,22
colocated,False,368,273,74.18478260869566,23
colocated,True,368,227,61.684782608695656,23
separated,False,368,282,76.63043478260869,23
separated,True,368,277,75.27173913043478,23
single_speaker,False,368,288,78.26086956521739,23
single_speaker,True,368,288,78.26086956521739,23
colocated,False,368,260,70.65217391304348,24
colocated,True,368,227,61.684782608695656,24
separated,False,368,274,74.45652173913044,24
separated,True,368,265,72.01086956521739,24
single_speaker,False,368,296,80.43478260869566,24
single_speaker,True,368,296,80.43478260869566,24
colocated,False,368,274,74.45652173913044,25
colocated,True,368,237,64.40217391304348,25
separated,False,368,264,71.73913043478261,25
separated,True,368,279,75.81521739130434,25
single_speaker,False,368,287,77.98913043478261,25
single_speaker,True,368,289,78.53260869565217,25
colocated,False,368,263,71.46739130434783,26
colocated,True,368,231,62.77173913043478,26
separated,False,368,268,72.82608695652173,26
separated,True,368,272,73.91304347826086,26
single_speaker,False,368,291,79.07608695652173,26
single_speaker,True,368,287,77.98913043478261,26
colocated,False,368,275,74.72826086956522,27
colocated,True,368,227,61.684782608695656,27
separated,False,368,286,77.71739130434783,27
separated,True,368,271,73.6413043478261,27
single_speaker,False,368,290,78.80434782608695,27
single_speaker,True,368,295,80.16304347826086,27
colocated,False,368,272,73.91304347826086,28
colocated,True,368,235,63.858695652173914,28
separated,False,368,260,70.65217391304348,28
separated,True,368,265,72.01086956521739,28
single_speaker,False,368,290,78.80434782608695,28
single_speaker,True,368,291,79.07608695652173,28
colocated,False,368,272,73.91304347826086,29
colocated,True,368,224,60.86956521739131,29
separated,False,368,276,75.0,29
separated,True,368,266,72.28260869565217,29
single_speaker,False,368,285,77.44565217391305,29
single_speaker,True,368,294,79.8913043478261,29
colocated,False,368,278,75.54347826086956,30
colocated,True,368,228,61.95652173913043,30
separated,False,368,275,74.72826086956522,30
separated,True,368,272,73.91304347826086,30
single_speaker,False,368,293,79.61956521739131,30
single_speaker,True,368,294,79.8913043478261,30
colocated,False,368,271,73.6413043478261,31
colocated,True,368,234,63.58695652173913,31
separated,False,368,283,76.90217391304348,31
separated,True,368,269,73.09782608695652,31
single_speaker,False,368,290,78.80434782608695,31
single_speaker,True,368,283,76.90217391304348,31
colocated,False,368,270,73.36956521739131,32
colocated,True,368,229,62.22826086956522,32
separated,False,368,267,72.55434782608695,32
separated,True,368,268,72.82608695652173,32
single_speaker,False,368,289,78.53260869565217,32
single_speaker,True,368,282,76.63043478260869,32
colocated,False,368,268,72.82608695652173,33
colocated,True,368,239,64.94565217391305,33
separated,False,368,266,72.28260869565217,33
separated,True,368,276,75.0,33
single_speaker,False,368,293,79.61956521739131,33
single_speaker,True,368,300,81.52173913043478,33
colocated,False,368,264,71.73913043478261,34
colocated,True,368,229,62.22826086956522,34
separated,False,368,259,70.38043478260869,34
separated,True,368,277,75.27173913043478,34
single_speaker,False,368,301,81.79347826086956,34
single_speaker,True,368,286,77.71739130434783,34
colocated,False,368,270,73.36956521739131,35
colocated,True,368,230,62.5,35
separated,False,368,265,72.01086956521739,35
separated,True,368,281,76.3586956521739,35
single_speaker,False,368,289,78.53260869565217,35
single_speaker,True,368,297,80.70652173913044,35
colocated,False,368,264,71.73913043478261,36
colocated,True,368,240,65.21739130434783,36
separated,False,368,273,74.18478260869566,36
separated,True,368,275,74.72826086956522,36
single_speaker,False,368,293,79.61956521739131,36
single_speaker,True,368,297,80.70652173913044,36
colocated,False,368,267,72.55434782608695,37
colocated,True,368,222,60.32608695652174,37
separated,False,368,280,76.08695652173914,37
separated,True,368,275,74.72826086956522,37
single_speaker,False,368,284,77.17391304347827,37
single_speaker,True,368,287,77.98913043478261,37
colocated,False,368,267,72.55434782608695,38
colocated,True,368,217,58.96739130434783,38
separated,False,368,276,75.0,38
separated,True,368,277,75.27173913043478,38
single_speaker,False,368,290,78.80434782608695,38
