SpatialCondition,treatment,SNR,nTrials,nCorrect,pCorrect,iteration
colocated,False,-4.0,116,58,50.0,0
colocated,False,-2.0,116,62,53.44827586206896,0
colocated,False,0.0,116,70,60.3448275862069,0
colocated,False,1.0,116,81,69.82758620689656,0
colocated,False,2.0,116,82,70.6896551724138,0
colocated,False,3.0,116,64,55.172413793103445,0
colocated,False,4.0,116,81,69.82758620689656,0
colocated,False,5.0,116,74,63.793103448275865,0
separated,False,-4.0,116,63,54.310344827586206,0
separated,False,-2.0,116,73,62.93103448275862,0
separated,False,0.0,116,74,63.793103448275865,0
separated,False,1.0,116,95,81.89655172413794,0
separated,False,2.0,116,73,62.93103448275862,0
separated,False,3.0,116,69,59.48275862068966,0
separated,False,4.0,116,86,74.13793103448276,0
separated,False,5.0,116,82,70.6896551724138,0
single_speaker,False,-4.0,116,83,71.55172413793103,0
single_speaker,False,-2.0,116,79,68.10344827586206,0
single_speaker,False,0.0,116,88,75.86206896551724,0
single_speaker,False,1.0,116,89,76.72413793103449,0
single_speaker,False,2.0,116,94,81.03448275862068,0
single_speaker,False,3.0,116,79,68.10344827586206,0
single_speaker,False,4.0,116,90,77.58620689655173,0
single_speaker,False,5.0,116,78,67.24137931034483,0
colocated,False,-4.0,116,68,58.620689655172406,1
colocated,False,-2.0,116,73,62.93103448275862,1
colocated,False,0.0,116,65,56.03448275862068,1
colocated,False,1.0,116,70,60.3448275862069,1
colocated,False,2.0,116,88,75.86206896551724,1
colocated,False,3.0,116,68,58.620689655172406,1
colocated,False,4.0,116,82,70.6896551724138,1
colocated,False,5.0,116,75,64.65517241379311,1
separated,False,-4.0,116,63,54.310344827586206,1
separated,False,-2.0,116,76,65.51724137931035,1
separated,False,0.0,116,77,66.37931034482759,1
separated,False,1.0,116,92,79.3103448275862,1
separated,False,2.0,116,82,70.6896551724138,1
separated,False,3.0,116,64,55.172413793103445,1
separated,False,4.0,116,79,68.10344827586206,1
separated,False,5.0,116,72,62.06896551724138,1
single_speaker,False,-4.0,116,85,73.27586206896551,1
single_speaker,False,-2.0,116,80,68.96551724137932,1
single_speaker,False,0.0,116,92,79.3103448275862,1
single_speaker,False,1.0,116,96,82.75862068965517,1
single_speaker,False,2.0,116,103,88.79310344827587,1
single_speaker,False,3.0,116,78,67.24137931034483,1
single_speaker,False,4.0,116,98,84.48275862068965,1
single_speaker,False,5.0,116,88,75.86206896551724,1
colocated,False,-4.0,116,72,62.06896551724138,2
colocated,False,-2.0,116,72,62.06896551724138,2
colocated,False,0.0,116,73,62.93103448275862,2
colocated,False,1.0,116,78,67.24137931034483,2
colocated,False,2.0,116,84,72.41379310344827,2
colocated,False,3.0,116,60,51.724137931034484,2
colocated,False,4.0,116,80,68.96551724137932,2
colocated,False,5.0,116,89,76.72413793103449,2
separated,False,-4.0,116,61,52.58620689655172,2
separated,False,-2.0,116,69,59.48275862068966,2
separated,False,0.0,116,73,62.93103448275862,2
separated,False,1.0,116,89,76.72413793103449,2
separated,False,2.0,116,82,70.6896551724138,2
separated,False,3.0,116,66,56.896551724137936,2
separated,False,4.0,116,76,65.51724137931035,2
separated,False,5.0,116,84,72.41379310344827,2
single_speaker,False,-4.0,116,78,67.24137931034483,2
single_speaker,False,-2.0,116,74,63.793103448275865,2
single_speaker,False,0.0,116,79,68.10344827586206,2
single_speaker,False,1.0,116,99,85.34482758620689,2
single_speaker,False,2.0,116,95,81.89655172413794,2
single_speaker,False,3.0,116,82,70.6896551724138,2
single_speaker,False,4.0,116,98,84.48275862068965,2
single_speaker,False,5.0,116,81,69.82758620689656,2
colocated,False,-4.0,116,64,55.172413793103445,3
colocated,False,-2.0,116,70,60.3448275862069,3
colocated,False,0.0,116,72,62.06896551724138,3
colocated,False,1.0,116,83,71.55172413793103,3
colocated,False,2.0,116,91,78.44827586206897,3
colocated,False,3.0,116,67,57.758620689655174,3
colocated,False,4.0,116,80,68.96551724137932,3
colocated,False,5.0,116,81,69.82758620689656,3
separated,False,-4.0,116,66,56.896551724137936,3
separated,False,-2.0,116,73,62.93103448275862,3
separated,False,0.0,116,73,62.93103448275862,3
separated,False,1.0,116,102,87.93103448275862,3
separated,False,2.0,116,73,62.93103448275862,3
separated,False,3.0,116,77,66.37931034482759,3
separated,False,4.0,116,79,68.10344827586206,3
separated,False,5.0,116,82,70.6896551724138,3
single_speaker,False,-4.0,116,91,78.44827586206897,3
single_speaker,False,-2.0,116,70,60.3448275862069,3
single_speaker,False,0.0,116,75,64.65517241379311,3
