SpatialCondition,treatment,nTrials,nCorrect,pCorrect,iteration
colocated,False,224,141,62.94642857142857,0
colocated,True,224,129,57.58928571428571,0
separated,False,224,140,62.5,0
separated,True,224,150,66.96428571428571,0
single_speaker,False,224,179,79.91071428571429,0
single_speaker,True,224,177,79.01785714285714,0
colocated,False,224,126,56.25,1
colocated,True,224,134,59.82142857142857,1
separated,False,224,158,70.53571428571429,1
separated,True,224,145,64.73214285714286,1
single_speaker,False,224,170,75.89285714285714,1
single_speaker,True,224,183,81.69642857142857,1
colocated,False,224,142,63.39285714285714,2
colocated,True,224,135,60.26785714285714,2
separated,False,224,144,64.28571428571429,2
separated,True,224,133,59.375,2
single_speaker,False,224,174,77.67857142857143,2
single_speaker,True,224,174,77.67857142857143,2
colocated,False,224,134,59.82142857142857,3
colocated,True,224,126,56.25,3
separated,False,224,159,70.98214285714286,3
separated,True,224,129,57.58928571428571,3
single_speaker,False,224,170,75.89285714285714,3
single_speaker,True,224,168,75.0,3
colocated,False,224,143,63.83928571428571,4
colocated,True,224,122,54.46428571428571,4
separated,False,224,144,64.28571428571429,4
separated,True,224,148,66.07142857142857,4
single_speaker,False,224,181,80.80357142857143,4
single_speaker,True,224,163,72.76785714285714,4
colocated,False,224,134,59.82142857142857,5
colocated,True,224,127,56.69642857142857,5
separated,False,224,153,68.30357142857143,5
separated,True,224,148,66.07142857142857,5
single_speaker,False,224,175,78.125,5
single_speaker,True,224,175,78.125,5
colocated,False,224,141,62.94642857142857,6
colocated,True,224,143,63.83928571428571,6
separated,False,224,155,69.19642857142857,6
separated,True,224,147,65.625,6
single_speaker,False,224,181,80.80357142857143,6
single_speaker,True,224,168,75.0,6
colocated,False,224,148,66.07142857142857,7
colocated,True,224,126,56.25,7
separated,False,224,148,66.07142857142857,7
separated,True,224,140,62.5,7
single_speaker,False,224,170,75.89285714285714,7
single_speaker,True,224,172,76.78571428571429,7
colocated,False,224,141,62.94642857142857,8
colocated,True,224,133,59.375,8
separated,False,224,162,72.32142857142857,8
separated,True,224,141,62.94642857142857,8
single_speaker,False,224,165,73.66071428571429,8
single_speaker,True,224,176,78.57142857142857,8
colocated,False,224,141,62.94642857142857,9
colocated,True,224,128,57.14285714285714,9
separated,False,224,140,62.5,9
separated,True,224,135,60.26785714285714,9
single_speaker,False,224,178,79.46428571428571,9
single_speaker,True,224,170,75.89285714285714,9
colocated,False,224,142,63.39285714285714,10
colocated,True,224,137,61.16071428571429,10
separated,False,224,150,66.96428571428571,10
separated,True,224,157,70.08928571428571,10
single_speaker,False,224,176,78.57142857142857,10
single_speaker,True,224,174,77.67857142857143,10
colocated,False,224,138,61.60714285714286,11
colocated,True,224,137,61.16071428571429,11
separated,False,224,148,66.07142857142857,11
separated,True,224,148,66.07142857142857,11
single_speaker,False,224,168,75.0,11
single_speaker,True,224,165,73.66071428571429,11
colocated,False,224,145,64.73214285714286,12
colocated,True,224,133,59.375,12
separated,False,224,152,67.85714285714286,12
separated,True,224,138,61.60714285714286,12
single_speaker,False,224,173,77.23214285714286,12
single_speaker,True,224,167,74.55357142857143,12
colocated,False,224,136,60.71428571428571,13
colocated,True,224,136,60.71428571428571,13
separated,False,224,141,62.94642857142857,13
separated,True,224,141,62.94642857142857,13
single_speaker,False,224,169,75.44642857142857,13
single_speaker,True,224,164,73.21428571428571,13
colocated,False,224,142,63.39285714285714,14
colocated,True,224,131,58.48214285714286,14
separated,False,224,145,64.73214285714286,14
separated,True,224,147,65.625,14
single_speaker,False,224,174,77.67857142857143,14
single_speaker,True,224,166,74.10714285714286,14
colocated,False,224,133,59.375,15
colocated,True,224,132,58.92857142857143,15
separated,False,224,145,64.73214285714286,15
separated,True,224,142,63.39285714285714,15
single_speaker,False,224,173,77.23214285714286,15
single_speaker,True,224,171,76.33928571428571,15
colocated,False,224,152,67.85714285714286,16
colocated,True,224,133,59.375,16
separated,False,224,136,60.71428571428571,16
separated,True,224,150,66.96428571428571,16
single_speaker,False,224,174,77.67857142857143,16
single_speaker,True,224,178,79.46428571428571,16
colocated,False,224,134,59.82142857142857,17
colocated,True,224,133,59.375,17
separated,False,224,152,67.85714285714286,17
