SpatialCondition,treatment,SNR,nTrials,nCorrect,pCorrect,iteration
colocated,False,-4.0,92,64,69.56521739130434,0
colocated,False,-1.0,92,69,75.0,0
colocated,False,2.0,92,71,77.17391304347827,0
colocated,False,5.0,92,72,78.26086956521739,0
colocated,True,-4.0,92,57,61.95652173913043,0
colocated,True,-1.0,92,54,58.69565217391305,0
colocated,True,2.0,92,53,57.608695652173914,0
colocated,True,5.0,92,62,67.3913043478261,0
separated,False,-4.0,92,67,72.82608695652173,0
separated,False,-1.0,92,67,72.82608695652173,0
separated,False,2.0,92,64,69.56521739130434,0
separated,False,5.0,92,66,71.73913043478261,0
separated,True,-4.0,92,71,77.17391304347827,0
separated,True,-1.0,92,65,70.65217391304348,0
separated,True,2.0,92,57,61.95652173913043,0
separated,True,5.0,92,76,82.6086956521739,0
single_speaker,False,-4.0,92,69,75.0,0
single_speaker,False,-1.0,92,72,78.26086956521739,0
single_speaker,False,2.0,92,69,75.0,0
single_speaker,False,5.0,92,65,70.65217391304348,0
single_speaker,True,-4.0,92,68,73.91304347826086,0
single_speaker,True,-1.0,92,77,83.69565217391305,0
single_speaker,True,2.0,92,73,79.34782608695652,0
single_speaker,True,5.0,92,71,77.17391304347827,0
colocated,False,-4.0,92,62,67.3913043478261,1
colocated,False,-1.0,92,73,79.34782608695652,1
colocated,False,2.0,92,69,75.0,1
colocated,False,5.0,92,70,76.08695652173914,1
colocated,True,-4.0,92,57,61.95652173913043,1
colocated,True,-1.0,92,44,47.82608695652174,1
colocated,True,2.0,92,55,59.78260869565217,1
colocated,True,5.0,92,65,70.65217391304348,1
separated,False,-4.0,92,63,68.47826086956522,1
separated,False,-1.0,92,76,82.6086956521739,1
separated,False,2.0,92,68,73.91304347826086,1
separated,False,5.0,92,70,76.08695652173914,1
separated,True,-4.0,92,70,76.08695652173914,1
separated,True,-1.0,92,59,64.13043478260869,1
separated,True,2.0,92,58,63.04347826086957,1
separated,True,5.0,92,81,88.04347826086956,1
single_speaker,False,-4.0,92,74,80.43478260869566,1
single_speaker,False,-1.0,92,73,79.34782608695652,1
single_speaker,False,2.0,92,71,77.17391304347827,1
single_speaker,False,5.0,92,73,79.34782608695652,1
single_speaker,True,-4.0,92,63,68.47826086956522,1
single_speaker,True,-1.0,92,78,84.78260869565217,1
single_speaker,True,2.0,92,75,81.52173913043478,1
single_speaker,True,5.0,92,67,72.82608695652173,1
