SpatialCondition,treatment,SNR,nTrials,nCorrect,pCorrect,iteration
colocated,False,-18.5,28,15,53.57142857142857,0
colocated,False,-15.5,28,16,57.14285714285714,0
colocated,False,-12.5,28,20,71.42857142857143,0
colocated,False,-9.5,28,13,46.42857142857143,0
colocated,False,-6.5,28,15,53.57142857142857,0
colocated,False,-3.5,28,17,60.71428571428571,0
colocated,False,-0.5,28,17,60.71428571428571,0
colocated,False,2.5,28,18,64.28571428571429,0
colocated,True,-18.5,28,15,53.57142857142857,0
colocated,True,-15.5,28,17,60.71428571428571,0
colocated,True,-12.5,28,15,53.57142857142857,0
colocated,True,-9.5,28,16,57.14285714285714,0
colocated,True,-6.5,28,17,60.71428571428571,0
colocated,True,-3.5,28,20,71.42857142857143,0
colocated,True,-0.5,28,16,57.14285714285714,0
colocated,True,2.5,28,15,53.57142857142857,0
separated,False,-18.5,28,12,42.857142857142854,0
separated,False,-15.5,28,13,46.42857142857143,0
separated,False,-12.5,28,20,71.42857142857143,0
separated,False,-9.5,28,12,42.857142857142854,0
separated,False,-6.5,28,24,85.71428571428571,0
separated,False,-3.5,28,19,67.85714285714286,0
separated,False,-0.5,28,18,64.28571428571429,0
separated,False,2.5,28,23,82.14285714285714,0
separated,True,-18.5,28,20,71.42857142857143,0
separated,True,-15.5,28,13,46.42857142857143,0
separated,True,-12.5,28,20,71.42857142857143,0
separated,True,-9.5,28,16,57.14285714285714,0
separated,True,-6.5,28,22,78.57142857142857,0
separated,True,-3.5,28,19,67.85714285714286,0
separated,True,-0.5,28,21,75.0,0
separated,True,2.5,28,17,60.71428571428571,0
single_speaker,False,-18.5,28,18,64.28571428571429,0
single_speaker,False,-15.5,28,23,82.14285714285714,0
single_speaker,False,-12.5,28,23,82.14285714285714,0
single_speaker,False,-9.5,28,26,92.85714285714286,0
single_speaker,False,-6.5,28,25,89.28571428571429,0
single_speaker,False,-3.5,28,27,96.42857142857143,0
single_speaker,False,-0.5,28,19,67.85714285714286,0
single_speaker,False,2.5,28,19,67.85714285714286,0
single_speaker,True,-18.5,28,24,85.71428571428571,0
single_speaker,True,-15.5,28,25,89.28571428571429,0
single_speaker,True,-12.5,28,25,89.28571428571429,0
single_speaker,True,-9.5,28,20,71.42857142857143,0
single_speaker,True,-6.5,28,19,67.85714285714286,0
single_speaker,True,-3.5,28,21,75.0,0
single_speaker,True,-0.5,28,24,85.71428571428571,0
single_speaker,True,2.5,28,20,71.42857142857143,0
colocated,False,-18.5,28,18,64.28571428571429,1
colocated,False,-15.5,28,20,71.42857142857143,1
colocated,False,-12.5,28,21,75.0,1
colocated,False,-9.5,28,18,64.28571428571429,1
colocated,False,-6.5,28,17,60.71428571428571,1
colocated,False,-3.5,28,16,57.14285714285714,1
colocated,False,-0.5,28,18,64.28571428571429,1
colocated,False,2.5,28,15,53.57142857142857,1
colocated,True,-18.5,28,14,50.0,1
colocated,True,-15.5,28,16,57.14285714285714,1
colocated,True,-12.5,28,13,46.42857142857143,1
colocated,True,-9.5,28,17,60.71428571428571,1
colocated,True,-6.5,28,12,42.857142857142854,1
colocated,True,-3.5,28,19,67.85714285714286,1
colocated,True,-0.5,28,17,60.71428571428571,1
colocated,True,2.5,28,15,53.57142857142857,1
separated,False,-18.5,28,12,42.857142857142854,1
separated,False,-15.5,28,13,46.42857142857143,1
separated,False,-12.5,28,20,71.42857142857143,1
separated,False,-9.5,28,18,64.28571428571429,1
separated,False,-6.5,28,24,85.71428571428571,1
separated,False,-3.5,28,17,60.71428571428571,1
separated,False,-0.5,28,17,60.71428571428571,1
separated,False,2.5,28,22,78.57142857142857,1
separated,True,-18.5,28,16,57.14285714285714,1
separated,True,-15.5,28,18,64.28571428571429,1
