SpatialCondition,treatment,SNR,nTrials,nCorrect,pCorrect,iteration
colocated,False,-20.0,468,252.0,53.84615384615385,0
colocated,False,-10.0,468,279.0,59.61538461538461,0
colocated,False,-5.0,468,292.0,62.39316239316239,0
separated,False,-20.0,468,261.0,55.769230769230774,0
separated,False,-10.0,468,286.0,61.111111111111114,0
separated,False,-5.0,468,323.0,69.01709401709401,0
single_speaker,False,-20.0,468,352.0,75.21367521367522,0
single_speaker,False,-10.0,468,451.0,96.36752136752136,0
single_speaker,False,-5.0,468,421.0,89.95726495726495,0
colocated,False,-20.0,468,266.0,56.837606837606835,1
colocated,False,-10.0,468,294.0,62.82051282051282,1
colocated,False,-5.0,468,300.0,64.1025641025641,1
separated,False,-20.0,468,278.0,59.401709401709404,1
separated,False,-10.0,468,280.0,59.82905982905983,1
separated,False,-5.0,468,313.0,66.88034188034187,1
single_speaker,False,-20.0,468,350.0,74.78632478632478,1
single_speaker,False,-10.0,468,448.0,95.72649572649573,1
single_speaker,False,-5.0,468,413.0,88.24786324786325,1
colocated,False,-20.0,468,243.0,51.92307692307693,2
colocated,False,-10.0,468,292.0,62.39316239316239,2
colocated,False,-5.0,468,315.0,67.3076923076923,2
separated,False,-20.0,468,265.0,56.623931623931625,2
separated,False,-10.0,468,282.0,60.256410256410255,2
separated,False,-5.0,468,322.0,68.80341880341881,2
single_speaker,False,-20.0,468,354.0,75.64102564102564,2
single_speaker,False,-10.0,468,453.0,96.7948717948718,2
single_speaker,False,-5.0,468,413.0,88.24786324786325,2
colocated,False,-20.0,468,239.0,51.06837606837607,3
colocated,False,-10.0,468,295.0,63.034188034188034,3
colocated,False,-5.0,468,301.0,64.31623931623932,3
separated,False,-20.0,468,282.0,60.256410256410255,3
separated,False,-10.0,468,271.0,57.90598290598291,3
separated,False,-5.0,468,326.0,69.65811965811966,3
single_speaker,False,-20.0,468,355.0,75.85470085470085,3
single_speaker,False,-10.0,468,450.0,96.15384615384616,3
single_speaker,False,-5.0,468,403.0,86.11111111111111,3
colocated,False,-20.0,468,254.0,54.27350427350427,4
colocated,False,-10.0,468,294.0,62.82051282051282,4
colocated,False,-5.0,468,296.0,63.24786324786324,4
separated,False,-20.0,468,260.0,55.55555555555556,4
separated,False,-10.0,468,268.0,57.26495726495726,4
separated,False,-5.0,468,319.0,68.16239316239316,4
single_speaker,False,-20.0,468,349.0,74.57264957264957,4
single_speaker,False,-10.0,468,446.0,95.2991452991453,4
single_speaker,False,-5.0,468,401.0,85.68376068376068,4
colocated,False,-20.0,468,248.0,52.991452991452995,5
colocated,False,-10.0,468,300.0,64.1025641025641,5
colocated,False,-5.0,468,294.0,62.82051282051282,5
separated,False,-20.0,468,275.0,58.76068376068376,5
separated,False,-10.0,468,273.0,58.333333333333336,5
separated,False,-5.0,468,338.0,72.22222222222221,5
single_speaker,False,-20.0,468,344.0,73.50427350427351,5
single_speaker,False,-10.0,468,451.0,96.36752136752136,5
single_speaker,False,-5.0,468,422.0,90.17094017094017,5
colocated,False,-20.0,468,245.0,52.35042735042735,6
colocated,False,-10.0,468,282.0,60.256410256410255,6
colocated,False,-5.0,468,280.0,59.82905982905983,6
separated,False,-20.0,468,262.0,55.98290598290598,6
separated,False,-10.0,468,292.0,62.39316239316239,6
separated,False,-5.0,468,314.0,67.09401709401709,6
single_speaker,False,-20.0,468,335.0,71.58119658119658,6
single_speaker,False,-10.0,468,454.0,97.00854700854701,6
single_speaker,False,-5.0,468,423.0,90.38461538461539,6
colocated,False,-20.0,468,251.0,53.63247863247863,7
colocated,False,-10.0,468,306.0,65.38461538461539,7
colocated,False,-5.0,468,301.0,64.31623931623932,7
separated,False,-20.0,468,259.0,55.34188034188035,7
separated,False,-10.0,468,296.0,63.24786324786324,7
separated,False,-5.0,468,297.0,63.46153846153846,7
single_speaker,False,-20.0,468,347.0,74.14529914529915,7
single_speaker,False,-10.0,468,449.0,95.94017094017094,7
single_speaker,False,-5.0,468,403.0,86.11111111111111,7
colocated,False,-20.0,468,247.0,52.77777777777778,8
colocated,False,-10.0,468,311.0,66.45299145299145,8
colocated,False,-5.0,468,300.0,64.1025641025641,8
separated,False,-20.0,468,272.0,58.119658119658126,8
separated,False,-10.0,468,250.0,53.41880341880342,8
separated,False,-5.0,468,334.0,71.36752136752136,8
single_speaker,False,-20.0,468,348.0,74.35897435897436,8
single_speaker,False,-10.0,468,451.0,96.36752136752136,8
single_speaker,False,-5.0,468,413.0,88.24786324786325,8
colocated,False,-20.0,468,242.0,51.70940170940172,9
colocated,False,-10.0,468,283.0,60.470085470085465,9
colocated,False,-5.0,468,296.0,63.24786324786324,9
separated,False,-20.0,468,267.0,57.05128205128205,9
separated,False,-10.0,468,293.0,62.60683760683761,9
separated,False,-5.0,468,328.0,70.08547008547008,9
single_speaker,False,-20.0,468,336.0,71.7948717948718,9
single_speaker,False,-10.0,468,448.0,95.72649572649573,9
single_speaker,False,-5.0,468,418.0,89.31623931623932,9
colocated,False,-20.0,468,248.0,52.991452991452995,10
colocated,False,-10.0,468,303.0,64.74358974358975,10
colocated,False,-5.0,468,277.0,59.18803418803419,10
separated,False,-20.0,468,268.0,57.26495726495726,10
separated,False,-10.0,468,284.0,60.68376068376068,10
separated,False,-5.0,468,305.0,65.17094017094017,10
single_speaker,False,-20.0,468,344.0,73.50427350427351,10
single_speaker,False,-10.0,468,445.0,95.08547008547008,10
single_speaker,False,-5.0,468,410.0,87.6068376068376,10
colocated,False,-20.0,468,243.0,51.92307692307693,11
colocated,False,-10.0,468,279.0,59.61538461538461,11
colocated,False,-5.0,468,294.0,62.82051282051282,11
separated,False,-20.0,468,270.0,57.692307692307686,11
separated,False,-10.0,468,269.0,57.47863247863248,11
separated,False,-5.0,468,306.0,65.38461538461539,11
single_speaker,False,-20.0,468,338.0,72.22222222222221,11
single_speaker,False,-10.0,468,452.0,96.58119658119658,11
single_speaker,False,-5.0,468,410.0,87.6068376068376,11
colocated,False,-20.0,468,256.0,54.700854700854705,12
colocated,False,-10.0,468,279.0,59.61538461538461,12
colocated,False,-5.0,468,310.0,66.23931623931624,12
separated,False,-20.0,468,283.0,60.470085470085465,12
separated,False,-10.0,468,274.0,58.54700854700855,12
