SpatialCondition,treatment,nTrials,nCorrect,pCorrect,iteration
colocated,False,704,420,59.65909090909091,46
separated,False,704,439,62.35795454545454,46
single_speaker,False,704,579,82.24431818181817,46
colocated,False,704,422,59.94318181818182,47
separated,False,704,417,59.23295454545454,47
single_speaker,False,704,577,81.96022727272727,47
colocated,False,704,415,58.94886363636363,48
separated,False,704,435,61.78977272727273,48
single_speaker,False,704,564,80.11363636363636,48
colocated,False,704,433,61.50568181818182,49
separated,False,704,432,61.36363636363637,49
single_speaker,False,704,565,80.25568181818183,49
colocated,False,704,435,61.78977272727273,50
separated,False,704,423,60.08522727272727,50
single_speaker,False,704,571,81.10795454545455,50
colocated,False,704,409,58.09659090909091,51
separated,False,704,439,62.35795454545454,51
single_speaker,False,704,543,77.13068181818183,51
colocated,False,704,423,60.08522727272727,52
separated,False,704,440,62.5,52
single_speaker,False,704,578,82.10227272727273,52
colocated,False,704,414,58.80681818181818,53
separated,False,704,458,65.05681818181817,53
single_speaker,False,704,563,79.9715909090909,53
colocated,False,704,453,64.3465909090909,54
separated,False,704,415,58.94886363636363,54
single_speaker,False,704,565,80.25568181818183,54
colocated,False,704,408,57.95454545454546,55
separated,False,704,450,63.92045454545454,55
single_speaker,False,704,572,81.25,55
colocated,False,704,407,57.8125,56
separated,False,704,430,61.07954545454546,56
single_speaker,False,704,553,78.55113636363636,56
colocated,False,704,423,60.08522727272727,57
separated,False,704,435,61.78977272727273,57
single_speaker,False,704,561,79.6875,57
colocated,False,704,404,57.38636363636363,58
separated,False,704,442,62.78409090909091,58
single_speaker,False,704,565,80.25568181818183,58
colocated,False,704,438,62.21590909090909,59
separated,False,704,441,62.64204545454546,59
single_speaker,False,704,561,79.6875,59
colocated,False,704,447,63.49431818181818,60
separated,False,704,442,62.78409090909091,60
single_speaker,False,704,555,78.83522727272727,60
colocated,False,704,397,56.39204545454546,61
separated,False,704,430,61.07954545454546,61
single_speaker,False,704,547,77.69886363636364,61
colocated,False,704,408,57.95454545454546,62
separated,False,704,452,64.20454545454545,62
single_speaker,False,704,552,78.4090909090909,62
colocated,False,704,417,59.23295454545454,63
separated,False,704,433,61.50568181818182,63
single_speaker,False,704,550,78.125,63
colocated,False,704,419,59.51704545454546,64
separated,False,704,431,61.22159090909091,64
single_speaker,False,704,546,77.55681818181817,64
colocated,False,704,405,57.52840909090909,65
separated,False,704,411,58.38068181818182,65
single_speaker,False,704,578,82.10227272727273,65
colocated,False,704,436,61.93181818181818,66
separated,False,704,433,61.50568181818182,66
single_speaker,False,704,561,79.6875,66
colocated,False,704,422,59.94318181818182,67
separated,False,704,406,57.67045454545454,67
single_speaker,False,704,552,78.4090909090909,67
colocated,False,704,385,54.6875,68
separated,False,704,434,61.64772727272727,68
single_speaker,False,704,560,79.54545454545455,68
colocated,False,704,425,60.36931818181818,69
separated,False,704,422,59.94318181818182,69
single_speaker,False,704,549,77.98295454545455,69
colocated,False,704,435,61.78977272727273,70
separated,False,704,439,62.35795454545454,70
single_speaker,False,704,547,77.69886363636364,70
colocated,False,704,404,57.38636363636363,71
separated,False,704,436,61.93181818181818,71
single_speaker,False,704,555,78.83522727272727,71
colocated,False,704,415,58.94886363636363,72
separated,False,704,440,62.5,72
single_speaker,False,704,566,80.39772727272727,72
colocated,False,704,404,57.38636363636363,73
separated,False,704,434,61.64772727272727,73
single_speaker,False,704,554,78.69318181818183,73
colocated,False,704,420,59.65909090909091,74
separated,False,704,439,62.35795454545454,74
single_speaker,False,704,551,78.26704545454545,74
colocated,False,704,416,59.09090909090909,75
separated,False,704,436,61.93181818181818,75
single_speaker,False,704,557,79.11931818181817,75
colocated,False,704,395,56.10795454545454,76
separated,False,704,442,62.78409090909091,76
single_speaker,False,704,557,79.11931818181817,76
colocated,False,704,396,56.25,77
separated,False,704,411,58.38068181818182,77
single_speaker,False,704,561,79.6875,77
colocated,False,704,433,61.50568181818182,78
separated,False,704,431,61.22159090909091,78
single_speaker,False,704,560,79.54545454545455,78
colocated,False,704,420,59.65909090909091,79
separated,False,704,438,62.21590909090909,79
single_speaker,False,704,559,79.4034090909091,79
colocated,False,704,436,61.93181818181818,80
separated,False,704,423,60.08522727272727,80
single_speaker,False,704,563,79.9715909090909,80
colocated,False,704,424,60.22727272727273,81
separated,False,704,457,64.91477272727273,81
single_speaker,False,704,552,78.4090909090909,81
colocated,False,704,425,60.36931818181818,82
separated,False,704,445,63.21022727272727,82
single_speaker,False,704,574,81.5340909090909,82
colocated,False,704,398,56.53409090909091,83
separated,False,704,426,60.51136363636363,83
single_speaker,False,704,564,80.11363636363636,83
colocated,False,704,418,59.375,84
separated,False,704,422,59.94318181818182,84
single_speaker,False,704,562,79.82954545454545,84
colocated,False,704,407,57.8125,85
separated,False,704,442,62.78409090909091,85
single_speaker,False,704,565,80.25568181818183,85
colocated,False,704,422,59.94318181818182,86
separated,False,704,431,61.22159090909091,86
single_speaker,False,704,542,76.98863636363636,86
colocated,False,704,400,56.81818181818182,87
separated,False,704,416,59.09090909090909,87
single_speaker,False,704,566,80.39772727272727,87
colocated,False,704,438,62.21590909090909,88
separated,False,704,436,61.93181818181818,88
single_speaker,False,704,553,78.55113636363636,88
colocated,False,704,421,59.80113636363637,89
separated,False,704,414,58.80681818181818,89
single_speaker,False,704,532,75.56818181818183,89
colocated,False,704,402,57.10227272727273,90
separated,False,704,417,59.23295454545454,90
single_speaker,False,704,554,78.69318181818183,90
colocated,False,704,423,60.08522727272727,91
separated,False,704,416,59.09090909090909,91
single_speaker,False,704,572,81.25,91
colocated,False,704,430,61.07954545454546,92
separated,False,704,437,62.07386363636363,92
single_speaker,False,704,559,79.4034090909091,92
colocated,False,704,420,59.65909090909091,93
separated,False,704,440,62.5,93
single_speaker,False,704,568,80.68181818181817,93
