Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	Mask	
1	0	1056.2363	0	437	2761	2975	4263	511	-12.8	200	1	0	1057.3647	0	4	
2	1	1071.2239	1	437	2761	2975	4263	511	-12.8	200	1	0	1072.2358	0	4	
3	1	1087.8677	0	437	2761	2975	4263	511	-12.8	200	1	0	1109.0026	0	4	
4	1	1157.4966	0	437	2761	2975	4263	511	-12.8	200	1	1	1171.7874	1	4	
5	0	1189.0071	1	437	2761	2975	4263	503	-15.0	200	1	1	1194.7477	1	5	
6	0	1204.2760	1	437	2761	2975	4263	502	-6.0	200	1	0	1204.8305	0	4	
7	1	1206.7971	1	437	2761	2975	4263	502	-6.0	200	1	0	1211.2330	0	4	
8	1	1227.1551	1	437	2761	2975	4263	502	-6.0	200	1	1	1231.7658	1	4	
9	0	1234.4704	0	936	1551	2975	4263	504	-8.3	200	0	0	1235.2681	1	1	
10	0	1238.7086	1	936	1551	2975	4263	509	-10.5	200	0	0	1242.0674	1	3	
11	0	1245.4051	0	437	2761	2975	4263	510	-6.0	200	1	0	1246.4615	0	0	
12	1	1250.1871	0	437	2761	2975	4263	510	-6.0	200	1	1	1252.0690	1	0	
13	0	1268.4331	0	437	2761	2975	4263	501	-6.0	200	1	1	1269.3479	1	2	
14	0	1273.1086	1	936	1551	2975	4263	507	-8.3	200	0	0	1273.4092	1	2	
15	0	1276.7358	0	437	2761	2975	4263	505	-8.3	200	1	0	1282.0525	0	5	
16	1	1283.6570	0	437	2761	2975	4263	505	-8.3	200	1	1	1284.8264	1	5	
17	0	1294.8673	1	437	2761	2975	4263	508	-15.0	200	1	0	1295.5064	0	3	
18	1	1297.3183	1	437	2761	2975	4263	508	-15.0	200	1	1	1303.3171	1	3	
19	0	1305.7008	0	936	1551	2975	4263	504	-8.3	200	0	0	1306.6635	1	3	
20	0	1315.2358	0	936	1551	2975	4263	507	-6.0	200	0	0	1316.5791	1	3	
21	0	1322.5911	1	936	1551	2975	4263	501	-12.8	200	0	0	1324.8120	1	4	
22	0	1328.4161	0	936	1551	2975	4263	505	-6.0	200	0	0	1329.3118	1	0	
23	0	1332.6777	1	936	1551	2975	4263	503	-15.0	200	0	1	1337.4920	0	5	
24	1	1340.0738	1	936	1551	2975	4263	503	-15.0	200	0	0	1340.8625	1	5	
25	0	1344.0994	1	437	2761	2975	4263	511	-15.0	200	1	0	1350.5585	0	0	
26	1	1354.4772	1	437	2761	2975	4263	511	-15.0	200	1	1	1357.5339	1	0	
27	0	1360.5788	0	437	2761	2975	4263	502	-8.3	200	1	1	1361.9206	1	3	
28	0	1366.0802	1	437	2761	2975	4263	506	-8.3	200	1	1	1369.5995	1	1	
29	0	1384.8722	1	437	2761	2975	4263	510	-10.5	200	1	0	1387.0531	0	5	
30	1	1389.0689	0	437	2761	2975	4263	510	-10.5	200	1	1	1390.5107	1	5	
31	0	1392.8733	0	437	2761	2975	4263	508	-12.8	200	1	0	1393.7585	0	5	
32	1	1398.1286	0	437	2761	2975	4263	508	-12.8	200	1	1	1399.4618	1	5	
33	0	1402.0692	0	437	2761	2975	4263	501	-15.0	200	1	0	1403.0065	0	2	
34	1	1414.0585	1	437	2761	2975	4263	501	-15.0	200	1	1	1416.5510	1	2	
35	0	1419.3461	0	437	2761	2975	4263	506	-12.8	200	1	0	1420.4097	0	0	
36	1	1424.0240	1	437	2761	2975	4263	506	-12.8	200	1	1	1426.8650	1	0	
37	0	1430.4256	1	936	1551	2975	4263	502	-15.0	200	0	0	1433.1760	1	4	
38	0	1437.0069	0	437	2761	2975	4263	505	-6.0	200	1	0	1437.9429	0	1	
39	1	1441.2425	1	437	2761	2975	4263	505	-6.0	200	1	1	1443.4165	1	1	
