Trial,CenterReward,HoldTime,Atten,Pitch,Response,Correct,treatment,Mask,sessionDate,fNum,method,rxnTime,vowel,vowel_level,SNR
76,0,501,-3.3,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.749,e,63.3,-6.700000000000003
77,0,1001,0.0,200,8,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.566,u,60.0,-10.0
78,0,701,0.0,200,8,0,True,Restricted,2021-03-10 17:56:00,1706,opto,0.809,e,60.0,-10.0
80,0,701,-6.7,200,8,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.704,u,66.7,-3.299999999999997
81,0,1001,10.0,200,2,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.692,e,50.0,-20.0
82,0,901,3.3,200,2,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.655,e,56.7,-13.299999999999997
83,0,801,-3.3,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.539,e,63.3,-6.700000000000003
84,0,501,-10.0,200,8,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.659,u,70.0,0.0
85,0,801,-3.3,200,8,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.837,u,63.3,-6.700000000000003
86,0,701,10.0,200,8,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.907,u,50.0,-20.0
87,0,901,-6.7,200,8,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.787,u,66.7,-3.299999999999997
88,0,1001,0.0,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.751,e,60.0,-10.0
89,0,501,3.3,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.846,e,56.7,-13.299999999999997
90,0,801,-10.0,200,2,0,True,Restricted,2021-03-10 17:56:00,1706,opto,1.231,u,70.0,0.0
92,0,701,-10.0,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.617,e,70.0,0.0
93,0,601,10.0,200,2,0,False,Restricted,2021-03-10 17:56:00,1706,opto,0.68,u,50.0,-20.0
98,0,1001,0.0,200,2,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.956,e,60.0,-10.0
99,0,501,-6.7,200,8,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.722,u,66.7,-3.299999999999997
100,0,901,-3.3,200,2,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.696,e,63.3,-6.700000000000003
101,0,601,3.3,200,8,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.66,u,56.7,-13.299999999999997
102,0,1001,3.3,200,8,0,True,Restricted,2021-03-10 17:56:00,1706,opto,1.114,e,56.7,-13.299999999999997
1,0,801,-3.3,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.886,u,63.3,-6.700000000000003
2,0,1001,0.0,200,8,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.863,e,60.0,-10.0
5,0,701,6.7,200,8,0,True,Restricted,2021-03-11 12:35:00,1706,opto,1.858,e,53.3,-16.700000000000003
8,0,501,3.3,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.119,e,56.7,-13.299999999999997
9,0,901,-6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.079,u,66.7,-3.299999999999997
10,0,901,10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.891,e,50.0,-20.0
