Sample,Loop_L,ambient_L,Loop_R,ambient_R,datetime
0,5537,21.3,5537,21.1,19-Jun-2015 16:39:46
1,-178,21.3,5537,21.1,19-Jun-2015 16:39:48
2,38,21.3,5537,21.1,19-Jun-2015 16:39:49
3,38,21.3,5537,21.1,19-Jun-2015 16:39:50
4,38,21.3,5537,21.1,19-Jun-2015 16:39:51
5,38,21.3,5537,21.1,19-Jun-2015 16:39:52
6,38,21.3,5537,21.1,19-Jun-2015 16:39:53
7,38,21.3,5537,21.1,19-Jun-2015 16:39:54
8,38,21.3,5537,21.1,19-Jun-2015 16:39:55
9,38,21.3,5537,21.1,19-Jun-2015 16:39:56
10,38,21.3,5537,21.1,19-Jun-2015 16:39:57
11,38,21.3,1370,21.1,19-Jun-2015 16:39:58
12,38,21.3,1370,21.1,19-Jun-2015 16:39:59
13,38,21.3,1370,21.1,19-Jun-2015 16:40:00
14,38,21.3,36,21.1,19-Jun-2015 16:40:01
15,38,21.3,36,21.1,19-Jun-2015 16:40:02
16,38,21.3,36,21.1,19-Jun-2015 16:40:03
17,38,21.3,36,21.1,19-Jun-2015 16:40:04
18,38,21.3,36,21.1,19-Jun-2015 16:40:05
19,38,21.3,36,21.1,19-Jun-2015 16:40:06
20,38,21.3,36,21.1,19-Jun-2015 16:40:07
21,38,21.3,36,21.1,19-Jun-2015 16:40:08
22,38,21.3,36,21.1,19-Jun-2015 16:40:09
23,38,21.3,36,21.1,19-Jun-2015 16:40:10
24,38,21.3,36,21.1,19-Jun-2015 16:40:11
25,38,21.3,36,21.1,19-Jun-2015 16:40:12
26,38,21.3,36,21.1,19-Jun-2015 16:40:13
27,37,21.3,36,21.1,19-Jun-2015 16:40:14
28,38,21.3,36,21.1,19-Jun-2015 16:40:15
29,38,21.3,36,21.1,19-Jun-2015 16:40:16
30,38,21.3,36,21.1,19-Jun-2015 16:40:17
31,38,21.3,36,21.1,19-Jun-2015 16:40:18
32,38,21.3,36,21.1,19-Jun-2015 16:40:19
33,38,21.3,36,21.1,19-Jun-2015 16:40:20
34,38,21.3,36,21.1,19-Jun-2015 16:40:21
35,38,21.3,36,21.1,19-Jun-2015 16:40:22
36,38,21.3,36,21.1,19-Jun-2015 16:40:23
37,38,21.3,36,21.1,19-Jun-2015 16:40:24
38,38,21.3,36,21.1,19-Jun-2015 16:40:25
39,38,21.3,36,21.1,19-Jun-2015 16:40:26
40,38,21.3,36,21.1,19-Jun-2015 16:40:27
41,38,21.3,36,21.1,19-Jun-2015 16:40:28
42,38,21.3,36,21.1,19-Jun-2015 16:40:29
43,38,21.3,36,21.1,19-Jun-2015 16:40:30
44,38,21.3,36,21.1,19-Jun-2015 16:40:31
45,38,21.3,36,21.1,19-Jun-2015 16:40:32
46,38,21.3,36,21.1,19-Jun-2015 16:40:33
47,38,21.3,36,21.1,19-Jun-2015 16:40:34
48,38,21.3,36,21.1,19-Jun-2015 16:40:35
49,38,21.3,36,21.1,19-Jun-2015 16:40:36
50,38,21.3,36,21.1,19-Jun-2015 16:40:37
51,38,21.3,36,21.1,19-Jun-2015 16:40:38
52,38,21.3,36,21.1,19-Jun-2015 16:40:39
53,38,21.3,36,21.1,19-Jun-2015 16:40:40
54,38,21.3,36,21.1,19-Jun-2015 16:40:41
55,38,21.3,36,21.1,19-Jun-2015 16:40:42
56,38,21.3,36,21.1,19-Jun-2015 16:40:43
57,38,21.3,36,21.1,19-Jun-2015 16:40:44
58,38,21.3,36,21.1,19-Jun-2015 16:40:45
59,38,21.3,35,21.1,19-Jun-2015 16:40:46
60,38,21.3,35,21.1,19-Jun-2015 16:40:47
61,38,21.3,35,21.1,19-Jun-2015 16:40:48
62,38,21.3,35,21.1,19-Jun-2015 16:40:49
63,38,21.3,35,21.1,19-Jun-2015 16:40:50
64,38,21.3,35,21.1,19-Jun-2015 16:40:51
65,38,21.3,35,21.1,19-Jun-2015 16:40:52
66,38,21.3,35,21.1,19-Jun-2015 16:40:53
67,38,21.3,35,21.1,19-Jun-2015 16:40:54
68,38,21.3,35,21.1,19-Jun-2015 16:40:55
69,38,21.3,35,21.1,19-Jun-2015 16:40:56
70,38,21.3,35,21.1,19-Jun-2015 16:40:57
71,38,21.3,35,21.1,19-Jun-2015 16:40:58
72,37,21.3,35,21.1,19-Jun-2015 16:40:59
73,37,21.3,35,21.1,19-Jun-2015 16:41:01
74,37,21.3,35,21.1,19-Jun-2015 16:41:02
75,36,21.3,35,21.1,19-Jun-2015 16:41:03
76,35,21.3,35,21.1,19-Jun-2015 16:41:04
77,35,21.3,35,21.1,19-Jun-2015 16:41:05
78,33,21.3,35,21.1,19-Jun-2015 16:41:06
79,33,21.3,35,21.1,19-Jun-2015 16:41:07
80,32,21.3,35,21.1,19-Jun-2015 16:41:08
81,32,21.3,36,21.1,19-Jun-2015 16:41:09
82,31,21.3,36,21.1,19-Jun-2015 16:41:10
83,30,21.3,36,21.1,19-Jun-2015 16:41:11
84,30,21.3,36,21.1,19-Jun-2015 16:41:12
85,30,21.3,36,21.1,19-Jun-2015 16:41:13
86,29,21.3,36,21.1,19-Jun-2015 16:41:14
87,29,21.3,36,21.1,19-Jun-2015 16:41:15
88,29,21.3,36,21.1,19-Jun-2015 16:41:16
89,29,21.3,36,21.1,19-Jun-2015 16:41:17
90,28,21.3,35,21.1,19-Jun-2015 16:41:18
91,28,21.3,34,21.1,19-Jun-2015 16:41:19
92,28,21.3,34,21.1,19-Jun-2015 16:41:20
93,27,21.3,33,21.1,19-Jun-2015 16:41:21
94,27,21.3,32,21.1,19-Jun-2015 16:41:22
95,27,21.3,32,21.1,19-Jun-2015 16:41:23
96,27,21.3,31,21.1,19-Jun-2015 16:41:24
97,26,21.3,30,21.1,19-Jun-2015 16:41:25
98,26,21.3,30,21.1,19-Jun-2015 16:41:26
99,26,21.3,30,21.1,19-Jun-2015 16:41:27
100,26,21.3,30,21.1,19-Jun-2015 16:41:28
101,26,21.3,29,21.1,19-Jun-2015 16:41:29
102,26,21.3,28,21.1,19-Jun-2015 16:41:30
103,26,21.3,28,21.1,19-Jun-2015 16:41:31
104,25,21.3,28,21.1,19-Jun-2015 16:41:32
105,25,21.3,27,21.1,19-Jun-2015 16:41:33
106,25,21.3,27,21.1,19-Jun-2015 16:41:34
107,25,21.3,27,21.1,19-Jun-2015 16:41:35
108,25,21.3,26,21.1,19-Jun-2015 16:41:36
109,25,21.3,26,21.1,19-Jun-2015 16:41:37
110,25,21.3,26,21.1,19-Jun-2015 16:41:38
111,25,21.3,26,21.1,19-Jun-2015 16:41:39
112,24,21.3,26,21.1,19-Jun-2015 16:41:40
113,24,21.3,25,21.1,19-Jun-2015 16:41:41
114,24,21.3,25,21.1,19-Jun-2015 16:41:42
115,24,21.3,25,21.1,19-Jun-2015 16:41:43
116,24,21.3,25,21.1,19-Jun-2015 16:41:44
117,23,21.3,25,21.1,19-Jun-2015 16:41:45
118,23,21.3,24,21.1,19-Jun-2015 16:41:46
119,23,21.3,24,21.1,19-Jun-2015 16:41:47
120,23,21.3,24,21.1,19-Jun-2015 16:41:48
121,23,21.3,24,21.1,19-Jun-2015 16:41:49
122,23,21.3,24,21.1,19-Jun-2015 16:41:50
123,23,21.3,24,21.1,19-Jun-2015 16:41:51
124,22,21.3,23,21.1,19-Jun-2015 16:41:52
125,22,21.3,23,21.1,19-Jun-2015 16:41:53
126,22,21.3,23,21.1,19-Jun-2015 16:41:54
127,22,21.3,23,21.1,19-Jun-2015 16:41:55
128,22,21.3,22,21.1,19-Jun-2015 16:41:56
129,22,21.3,22,21.1,19-Jun-2015 16:41:57
130,21,21.3,22,21.1,19-Jun-2015 16:41:58
131,21,21.3,22,21.1,19-Jun-2015 16:41:59
132,21,21.3,22,21.1,19-Jun-2015 16:42:00
133,21,21.3,21,21.1,19-Jun-2015 16:42:01
134,21,21.3,21,21.1,19-Jun-2015 16:42:02
135,20,21.3,21,21.1,19-Jun-2015 16:42:03
136,20,21.3,21,21.1,19-Jun-2015 16:42:04
137,20,21.3,21,21.1,19-Jun-2015 16:42:05
138,20,21.3,20,21.1,19-Jun-2015 16:42:06
139,20,21.3,20,21.1,19-Jun-2015 16:42:07
140,20,21.3,20,21.1,19-Jun-2015 16:42:08
141,20,21.3,20,21.1,19-Jun-2015 16:42:09
142,19,21.3,20,21.1,19-Jun-2015 16:42:10
143,19,21.3,20,21.1,19-Jun-2015 16:42:11
144,19,21.3,19,21.1,19-Jun-2015 16:42:13
145,19,21.3,19,21.1,19-Jun-2015 16:42:14
146,18,21.3,19,21.1,19-Jun-2015 16:42:15
147,18,21.3,19,21.1,19-Jun-2015 16:42:16
148,18,21.3,18,21.1,19-Jun-2015 16:42:17
149,18,21.3,18,21.1,19-Jun-2015 16:42:18
150,17,21.3,18,21.1,19-Jun-2015 16:42:19
151,17,21.3,18,21.1,19-Jun-2015 16:42:20
152,17,21.3,18,21.1,19-Jun-2015 16:42:21
153,17,21.3,18,21.1,19-Jun-2015 16:42:22
154,17,21.3,17,21.1,19-Jun-2015 16:42:23
155,17,21.3,17,21.1,19-Jun-2015 16:42:24
156,17,21.3,17,21.1,19-Jun-2015 16:42:25
157,17,21.3,17,21.1,19-Jun-2015 16:42:26
158,16,21.3,17,21.1,19-Jun-2015 16:42:27
159,16,21.3,17,21.1,19-Jun-2015 16:42:28
160,16,21.3,17,21.1,19-Jun-2015 16:42:29
161,16,21.3,17,21.1,19-Jun-2015 16:42:30
162,16,21.3,17,21.1,19-Jun-2015 16:42:31
163,16,21.3,17,21.1,19-Jun-2015 16:42:32
164,16,21.3,17,21.1,19-Jun-2015 16:42:33
165,16,21.3,16,21.1,19-Jun-2015 16:42:34
166,16,21.3,16,21.1,19-Jun-2015 16:42:35
167,16,21.3,16,21.1,19-Jun-2015 16:42:36
168,16,21.3,16,21.1,19-Jun-2015 16:42:37
169,16,21.3,16,21.1,19-Jun-2015 16:42:38
170,16,21.3,16,21.1,19-Jun-2015 16:42:39
171,16,21.3,16,21.1,19-Jun-2015 16:42:40
172,16,21.3,16,21.1,19-Jun-2015 16:42:41
