Sample,Loop_L,ambient_L,Loop_R,ambient_R,datetime
102,5537,20.3,5537,22.1,09-Jun-2015 17:06:07
103,5537,20.3,5537,22.1,09-Jun-2015 17:06:08
104,5537,20.3,5537,22.1,09-Jun-2015 17:06:09
105,5537,20.3,5537,22.1,09-Jun-2015 17:06:10
106,5537,20.3,5537,22.1,09-Jun-2015 17:06:12
107,5537,20.3,5537,22.1,09-Jun-2015 17:06:13
108,5537,20.3,5537,22.1,09-Jun-2015 17:06:14
109,5537,20.3,5537,22.1,09-Jun-2015 17:06:15
110,5537,20.3,5537,22.1,09-Jun-2015 17:06:16
111,5537,20.3,5537,22.1,09-Jun-2015 17:06:17
112,5537,20.3,5537,22.1,09-Jun-2015 17:06:18
113,5537,20.3,5537,22.1,09-Jun-2015 17:06:19
114,5537,20.3,5537,22.1,09-Jun-2015 17:06:20
115,5537,20.3,5537,22.1,09-Jun-2015 17:06:21
116,5537,20.3,5537,22.1,09-Jun-2015 17:06:22
117,5537,20.3,5537,22.1,09-Jun-2015 17:06:23
118,5537,20.3,5537,22.1,09-Jun-2015 17:06:24
119,5537,20.3,5537,22.1,09-Jun-2015 17:06:25
120,5537,20.3,5537,22.1,09-Jun-2015 17:06:26
121,5537,20.3,5537,22.1,09-Jun-2015 17:06:27
122,5537,20.3,5537,22.1,09-Jun-2015 17:06:28
123,5537,20.3,5537,22.1,09-Jun-2015 17:06:29
124,5537,20.3,5537,22.1,09-Jun-2015 17:06:30
125,5537,20.3,5537,22.1,09-Jun-2015 17:06:31
126,5537,20.3,5537,22.1,09-Jun-2015 17:06:32
127,5537,20.3,5537,22.1,09-Jun-2015 17:06:33
128,5537,20.3,5537,22.1,09-Jun-2015 17:06:34
129,5537,20.3,5537,22.1,09-Jun-2015 17:06:35
130,5537,20.3,5537,22.1,09-Jun-2015 17:06:36
131,5537,20.3,5537,22.1,09-Jun-2015 17:06:37
132,5537,20.3,5537,22.1,09-Jun-2015 17:06:38
133,5537,20.3,5537,22.1,09-Jun-2015 17:06:39
134,5537,20.3,5537,22.1,09-Jun-2015 17:06:40
135,5537,20.3,5537,22.1,09-Jun-2015 17:06:41
136,5537,20.3,5537,22.1,09-Jun-2015 17:06:42
137,5537,20.3,5537,22.1,09-Jun-2015 17:06:43
138,5537,20.3,5537,22.1,09-Jun-2015 17:06:44
139,5537,20.3,5537,22.1,09-Jun-2015 17:06:45
140,5537,20.3,5537,22.1,09-Jun-2015 17:06:46
141,5537,20.3,5537,22.1,09-Jun-2015 17:06:47
142,5537,20.3,5537,22.1,09-Jun-2015 17:06:48
143,5537,20.3,5537,22.1,09-Jun-2015 17:06:49
144,5537,20.3,5537,22.1,09-Jun-2015 17:06:50
145,5537,20.3,5537,22.1,09-Jun-2015 17:06:51
146,5537,20.3,5537,22.1,09-Jun-2015 17:06:52
147,5537,20.3,5537,22.1,09-Jun-2015 17:06:53
148,5537,20.3,5537,22.1,09-Jun-2015 17:06:54
149,5537,20.3,5537,22.1,09-Jun-2015 17:06:55
150,5537,20.3,5537,22.1,09-Jun-2015 17:06:56
151,5537,20.3,5537,22.1,09-Jun-2015 17:06:57
152,5537,20.3,5537,22.1,09-Jun-2015 17:06:58
153,5537,20.3,5537,22.1,09-Jun-2015 17:06:59
154,5537,20.3,5537,22.1,09-Jun-2015 17:07:00
155,5537,20.3,5537,22.1,09-Jun-2015 17:07:01
156,5537,20.3,5537,22.1,09-Jun-2015 17:07:02
157,5537,20.3,5537,22.1,09-Jun-2015 17:07:03
158,5537,20.3,5537,22.1,09-Jun-2015 17:07:04
159,5537,20.3,5537,22.1,09-Jun-2015 17:07:05
160,5537,20.3,5537,22.1,09-Jun-2015 17:07:06
161,5537,20.3,5537,22.1,09-Jun-2015 17:07:07
162,5537,20.3,5537,22.1,09-Jun-2015 17:07:08
163,5537,20.3,5537,22.1,09-Jun-2015 17:07:09
164,5537,20.3,5537,22.1,09-Jun-2015 17:07:10
165,5537,20.3,5537,22.1,09-Jun-2015 17:07:11
166,5537,20.3,5537,22.1,09-Jun-2015 17:07:12
167,5537,20.3,5537,22.1,09-Jun-2015 17:07:13
168,5537,20.3,5537,22.1,09-Jun-2015 17:07:14
169,5537,20.3,5537,22.1,09-Jun-2015 17:07:15
170,5537,20.3,5537,22.1,09-Jun-2015 17:07:16
171,5537,20.3,5537,22.1,09-Jun-2015 17:07:17
172,5537,20.3,5537,22.1,09-Jun-2015 17:07:18
173,5537,20.3,5537,22.1,09-Jun-2015 17:07:19
174,5537,20.3,5537,22.1,09-Jun-2015 17:07:20
175,5537,20.3,5537,22.1,09-Jun-2015 17:07:21
176,5537,20.3,5537,22.1,09-Jun-2015 17:07:22
177,5537,20.3,5537,22.1,09-Jun-2015 17:07:24
178,5537,20.3,5537,22.1,09-Jun-2015 17:07:25
179,5537,20.3,5537,22.1,09-Jun-2015 17:07:26
180,5537,20.3,5537,22.1,09-Jun-2015 17:07:27
181,5537,20.3,5537,22.1,09-Jun-2015 17:07:28
182,5537,20.3,5537,22.1,09-Jun-2015 17:07:29
183,5537,20.3,5537,22.1,09-Jun-2015 17:07:30
184,5537,20.3,5537,22.1,09-Jun-2015 17:07:31
185,5537,20.3,5537,22.1,09-Jun-2015 17:07:32
186,5537,20.3,5537,22.1,09-Jun-2015 17:07:33
187,5537,20.3,5537,22.1,09-Jun-2015 17:07:34
188,5537,20.3,5537,22.1,09-Jun-2015 17:07:35
189,5537,20.3,5537,22.1,09-Jun-2015 17:07:36
190,5537,20.3,5537,22.1,09-Jun-2015 17:07:37
191,5537,20.3,5537,21.9,09-Jun-2015 17:07:38
192,5537,20.3,5537,21.8,09-Jun-2015 17:07:39
193,5537,20.3,5537,21.8,09-Jun-2015 17:07:40
194,5537,20.3,5537,21.8,09-Jun-2015 17:07:41
195,5537,20.3,5537,21.8,09-Jun-2015 17:07:42
196,5537,20.3,5537,21.8,09-Jun-2015 17:07:43
197,5537,20.3,5537,21.8,09-Jun-2015 17:07:44
198,5537,20.3,5537,21.8,09-Jun-2015 17:07:45
199,5537,20.3,5537,21.8,09-Jun-2015 17:07:46
200,5537,20.3,5537,21.8,09-Jun-2015 17:07:47
201,5537,20.3,5537,21.8,09-Jun-2015 17:07:48
202,5537,20.3,5537,21.8,09-Jun-2015 17:07:49
203,5537,20.3,5537,21.8,09-Jun-2015 17:07:50
204,5537,20.3,5537,21.8,09-Jun-2015 17:07:51
205,5537,20.3,5537,21.8,09-Jun-2015 17:07:52
206,5537,20.3,5537,21.8,09-Jun-2015 17:07:53
207,5537,20.3,5537,21.8,09-Jun-2015 17:07:54
208,5537,20.3,5537,21.8,09-Jun-2015 17:07:55
209,5537,20.3,5537,21.8,09-Jun-2015 17:07:56
210,5537,20.3,5537,21.8,09-Jun-2015 17:07:57
211,5537,20.3,5537,21.8,09-Jun-2015 17:07:58
212,5537,20.3,5537,21.8,09-Jun-2015 17:07:59
213,5537,20.3,5537,21.8,09-Jun-2015 17:08:00
214,5537,20.3,5537,21.8,09-Jun-2015 17:08:01
215,5537,20.3,5537,21.8,09-Jun-2015 17:08:02
216,5537,20.3,5537,21.8,09-Jun-2015 17:08:03
217,5537,20.3,5537,21.8,09-Jun-2015 17:08:04
