Sample,Loop_L,ambient_L,Loop_R,ambient_R,datetime
0,5537,23.1,5537,23.1,01-Jul-2015 15:52:45
1,5537,23.1,5537,23.1,01-Jul-2015 15:52:46
2,5537,23.1,5537,23.1,01-Jul-2015 15:52:47
3,5537,23.1,5537,23.1,01-Jul-2015 15:52:48
4,5537,23.1,5537,23.1,01-Jul-2015 15:52:49
5,5537,23.1,5537,23.1,01-Jul-2015 15:52:50
6,5537,23.1,5537,23.1,01-Jul-2015 15:52:51
7,5537,23.1,5537,23.1,01-Jul-2015 15:52:53
8,5537,23.1,5537,23.1,01-Jul-2015 15:52:54
9,5537,23.1,5537,23.1,01-Jul-2015 15:52:55
10,5537,23.1,5537,23.1,01-Jul-2015 15:52:56
11,5537,23.1,5537,23.1,01-Jul-2015 15:52:57
12,5537,23.1,5537,23.1,01-Jul-2015 15:52:58
13,5537,23.1,5537,23.1,01-Jul-2015 15:52:59
14,5537,23.1,5537,23.1,01-Jul-2015 15:53:00
15,5537,23.1,5537,23.1,01-Jul-2015 15:53:01
16,5537,23.1,5537,23.1,01-Jul-2015 15:53:02
17,5537,23.1,5537,23.1,01-Jul-2015 15:53:03
18,5537,23.1,5537,23.1,01-Jul-2015 15:53:04
19,5537,23.1,5537,23.1,01-Jul-2015 15:53:05
20,5537,23.1,5537,23.1,01-Jul-2015 15:53:06
21,5537,23.1,5537,23.1,01-Jul-2015 15:53:07
22,5537,23.1,5537,23.1,01-Jul-2015 15:53:08
23,5537,23.1,5537,23.1,01-Jul-2015 15:53:09
24,5537,23.1,5537,23.1,01-Jul-2015 15:53:10
25,5537,23.1,5537,23.1,01-Jul-2015 15:53:11
26,5537,23.1,5537,23.1,01-Jul-2015 15:53:12
27,5537,23.1,5537,23.1,01-Jul-2015 15:53:13
28,5537,23.1,5537,23.1,01-Jul-2015 15:53:14
29,5537,23.1,5537,23.1,01-Jul-2015 15:53:15
30,5537,23.1,5537,23.1,01-Jul-2015 15:53:16
31,5537,23.1,5537,23.1,01-Jul-2015 15:53:17
32,5537,23.1,5537,23.1,01-Jul-2015 15:53:18
33,5537,23.1,5537,23.1,01-Jul-2015 15:53:19
34,5537,23.1,5537,23.1,01-Jul-2015 15:53:20
35,5537,23.1,5537,23.1,01-Jul-2015 15:53:21
36,5537,23.1,5537,23.1,01-Jul-2015 15:53:22
37,5537,23.1,5537,23.1,01-Jul-2015 15:53:23
38,5537,23.1,5537,23.1,01-Jul-2015 15:53:24
39,5537,23.1,5537,23.1,01-Jul-2015 15:53:25
40,5537,23.1,5537,23.1,01-Jul-2015 15:53:26
41,5537,23.1,5537,23.1,01-Jul-2015 15:53:27
42,5537,23.1,5537,23.1,01-Jul-2015 15:53:28
43,5537,23.1,5537,23.1,01-Jul-2015 15:53:29
44,5537,23.1,5537,23.1,01-Jul-2015 15:53:30
45,5537,23.1,5537,23.1,01-Jul-2015 15:53:31
46,5537,23.1,5537,23.1,01-Jul-2015 15:53:32
47,5537,23.1,5537,23.1,01-Jul-2015 15:53:33
48,5537,23.1,5537,23.1,01-Jul-2015 15:53:34
49,5537,23.1,5537,23.1,01-Jul-2015 15:53:35
50,5537,23.1,5537,23.1,01-Jul-2015 15:53:36
51,5537,23.1,5537,23.1,01-Jul-2015 15:53:37
52,5537,23.1,5537,23.1,01-Jul-2015 15:53:38
53,5537,23.1,5537,23.1,01-Jul-2015 15:53:39
54,5537,23.1,5537,23.1,01-Jul-2015 15:53:40
55,5537,23.1,5537,23.1,01-Jul-2015 15:53:41
56,5537,23.1,5537,23.1,01-Jul-2015 15:53:42
57,5537,23.1,5537,23.1,01-Jul-2015 15:53:43
