Sample,Loop_L,ambient_L,Loop_R,ambient_R,datetime
102,5537,19.5,5537,19.5,10-Jun-2015 08:10:13
103,5537,19.5,5537,19.5,10-Jun-2015 08:10:14
104,5537,19.5,5537,19.5,10-Jun-2015 08:10:15
105,5537,19.5,5537,19.5,10-Jun-2015 08:10:16
106,5537,19.5,5537,19.5,10-Jun-2015 08:10:17
107,5537,19.5,5537,19.5,10-Jun-2015 08:10:18
108,5537,19.5,5537,19.5,10-Jun-2015 08:10:19
109,5537,19.5,5537,19.5,10-Jun-2015 08:10:20
110,5537,19.5,5537,19.5,10-Jun-2015 08:10:21
111,5537,19.5,5537,19.5,10-Jun-2015 08:10:22
112,5537,19.5,5537,19.5,10-Jun-2015 08:10:23
113,5537,19.5,5537,19.5,10-Jun-2015 08:10:24
114,5537,19.5,5537,19.5,10-Jun-2015 08:10:25
115,5537,19.5,5537,19.5,10-Jun-2015 08:10:26
116,5537,19.5,5537,19.5,10-Jun-2015 08:10:28
117,5537,19.5,5537,19.5,10-Jun-2015 08:10:29
118,5537,19.5,5537,19.5,10-Jun-2015 08:10:30
119,5537,19.5,5537,19.5,10-Jun-2015 08:10:31
120,5537,19.5,5537,19.5,10-Jun-2015 08:10:32
121,5537,19.5,5537,19.5,10-Jun-2015 08:10:33
122,5537,19.5,5537,19.5,10-Jun-2015 08:10:34
123,5537,19.5,5537,19.5,10-Jun-2015 08:10:35
124,5537,19.5,5537,19.5,10-Jun-2015 08:10:36
125,5537,19.5,5537,19.5,10-Jun-2015 08:10:37
126,5537,19.5,5537,19.5,10-Jun-2015 08:10:38
127,5537,19.5,5537,19.5,10-Jun-2015 08:10:39
128,5537,19.5,5537,19.5,10-Jun-2015 08:10:40
129,5537,19.5,5537,19.5,10-Jun-2015 08:10:41
130,5537,19.5,5537,19.5,10-Jun-2015 08:10:42
131,5537,19.5,5537,19.5,10-Jun-2015 08:10:43
132,5537,19.5,5537,19.5,10-Jun-2015 08:10:44
133,5537,19.5,5537,19.5,10-Jun-2015 08:10:45
134,5537,19.5,5537,19.5,10-Jun-2015 08:10:46
135,5537,19.5,5537,19.5,10-Jun-2015 08:10:47
136,5537,19.5,5537,19.5,10-Jun-2015 08:10:48
137,5537,19.5,5537,19.5,10-Jun-2015 08:10:49
138,5537,19.5,5537,19.5,10-Jun-2015 08:10:50
139,5537,19.5,5537,19.5,10-Jun-2015 08:10:51
140,5537,19.5,5537,19.5,10-Jun-2015 08:10:52
141,5537,19.5,5537,19.5,10-Jun-2015 08:10:53
142,5537,19.5,5537,19.5,10-Jun-2015 08:10:54
143,5537,19.5,5537,19.5,10-Jun-2015 08:10:55
144,5537,19.5,5537,19.5,10-Jun-2015 08:10:56
145,5537,19.5,5537,19.5,10-Jun-2015 08:10:57
146,5537,19.5,5537,19.5,10-Jun-2015 08:10:58
147,5537,19.5,5537,19.5,10-Jun-2015 08:10:59
148,5537,19.5,5537,19.5,10-Jun-2015 08:11:00
149,5537,19.5,5537,19.5,10-Jun-2015 08:11:01
150,5537,19.5,5537,19.5,10-Jun-2015 08:11:02
151,5537,19.5,5537,19.5,10-Jun-2015 08:11:03
152,5537,19.5,5537,19.5,10-Jun-2015 08:11:04
153,5537,19.5,5537,19.5,10-Jun-2015 08:11:05
154,5537,19.5,5537,19.5,10-Jun-2015 08:11:06
155,5537,19.5,5537,19.5,10-Jun-2015 08:11:07
156,5537,19.5,5537,19.5,10-Jun-2015 08:11:08
157,5537,19.5,5537,19.5,10-Jun-2015 08:11:09
158,5537,19.5,5537,19.5,10-Jun-2015 08:11:10
159,5537,19.5,5537,19.5,10-Jun-2015 08:11:11
160,5537,19.5,5537,19.5,10-Jun-2015 08:11:12
161,5537,19.5,5537,19.5,10-Jun-2015 08:11:13
162,5537,19.5,5537,19.5,10-Jun-2015 08:11:14
163,5537,19.5,5537,19.5,10-Jun-2015 08:11:15
164,5537,19.5,5537,19.5,10-Jun-2015 08:11:16
165,5537,19.5,5537,19.5,10-Jun-2015 08:11:17
166,5537,19.5,5537,19.5,10-Jun-2015 08:11:18
167,5537,19.5,5537,19.5,10-Jun-2015 08:11:19
168,5537,19.5,5537,19.5,10-Jun-2015 08:11:20
169,5537,19.5,5537,19.5,10-Jun-2015 08:11:21
170,5537,19.5,5537,19.5,10-Jun-2015 08:11:22
171,5537,19.5,5537,19.5,10-Jun-2015 08:11:23
172,5537,19.5,5537,19.5,10-Jun-2015 08:11:24
173,5537,19.5,5537,19.5,10-Jun-2015 08:11:25
174,5537,19.5,5537,19.5,10-Jun-2015 08:11:26
175,5537,19.5,5537,19.5,10-Jun-2015 08:11:27
176,5537,19.5,5537,19.5,10-Jun-2015 08:11:28
177,5537,19.5,5537,19.5,10-Jun-2015 08:11:29
178,5537,19.5,5537,19.5,10-Jun-2015 08:11:30
179,5537,19.5,5537,19.5,10-Jun-2015 08:11:31
180,5537,19.5,5537,19.5,10-Jun-2015 08:11:32
181,5537,19.5,5537,19.5,10-Jun-2015 08:11:33
182,5537,19.5,5537,19.5,10-Jun-2015 08:11:34
183,5537,19.5,5537,19.5,10-Jun-2015 08:11:35
184,5537,19.5,5537,19.5,10-Jun-2015 08:11:36
185,5537,19.5,5537,19.5,10-Jun-2015 08:11:37
186,5537,19.5,5537,19.5,10-Jun-2015 08:11:38
187,5537,19.5,5537,19.5,10-Jun-2015 08:11:39
188,5537,19.5,5537,19.5,10-Jun-2015 08:11:41
189,5537,19.5,5537,19.5,10-Jun-2015 08:11:42
190,5537,19.5,5537,19.5,10-Jun-2015 08:11:43
191,5537,19.5,5537,19.5,10-Jun-2015 08:11:44
192,5537,19.5,5537,19.5,10-Jun-2015 08:11:45
193,5537,19.5,5537,19.5,10-Jun-2015 08:11:46
194,5537,19.5,5537,19.5,10-Jun-2015 08:11:47
195,5537,19.5,5537,19.5,10-Jun-2015 08:11:48
196,5537,19.5,5537,19.5,10-Jun-2015 08:11:49
197,5537,19.5,5537,19.5,10-Jun-2015 08:11:50
198,5537,19.5,5537,19.5,10-Jun-2015 08:11:51
199,5537,19.5,5537,19.5,10-Jun-2015 08:11:52
200,5537,19.5,5537,19.5,10-Jun-2015 08:11:53
201,5537,19.5,5537,19.5,10-Jun-2015 08:11:54
202,5537,19.5,5537,19.5,10-Jun-2015 08:11:55
203,5537,19.5,5537,19.5,10-Jun-2015 08:11:56
204,5537,19.5,5537,19.5,10-Jun-2015 08:11:57
205,5537,19.5,5537,19.5,10-Jun-2015 08:11:58
206,5537,19.5,5537,19.5,10-Jun-2015 08:11:59
207,5537,19.5,5537,19.5,10-Jun-2015 08:12:00
208,5537,19.5,5537,19.5,10-Jun-2015 08:12:01
209,5537,19.5,5537,19.5,10-Jun-2015 08:12:02
210,5537,19.5,5537,19.5,10-Jun-2015 08:12:03
211,5537,19.5,5537,19.5,10-Jun-2015 08:12:04
212,5537,19.5,5537,19.5,10-Jun-2015 08:12:05
213,5537,19.5,5537,19.5,10-Jun-2015 08:12:06
214,5537,19.5,5537,19.5,10-Jun-2015 08:12:07
215,5537,19.5,5537,19.5,10-Jun-2015 08:12:08
216,5537,19.5,5537,19.5,10-Jun-2015 08:12:09
217,5537,19.5,5537,19.5,10-Jun-2015 08:12:10
