Sample,Month,Day,Year,Hour,Minute,Second,Loop_L,ambient_L,Loop_R,ambient_R
0,3,24,2016,17,11,58,25,18.8,0,0
1,3,24,2016,17,11,59,25,18.8,0,0
2,3,24,2016,17,12,0,25,18.8,0,0
3,3,24,2016,17,12,1,25,18.8,0,0
4,3,24,2016,17,12,2,25,18.8,0,0
5,3,24,2016,17,12,3,25,18.8,0,0
6,3,24,2016,17,12,4,24,18.8,0,0
7,3,24,2016,17,12,5,24,18.8,0,0
8,3,24,2016,17,12,6,24,18.8,0,0
9,3,24,2016,17,12,7,24,18.8,0,0
10,3,24,2016,17,12,8,24,18.8,0,0
11,3,24,2016,17,12,9,24,18.8,0,0
12,3,24,2016,17,12,10,24,18.8,0,0
13,3,24,2016,17,12,11,24,18.8,0,0
14,3,24,2016,17,12,12,24,18.8,0,0
15,3,24,2016,17,12,13,24,18.8,0,0
16,3,24,2016,17,12,14,24,18.8,0,0
17,3,24,2016,17,12,15,24,18.8,0,0
18,3,24,2016,17,12,16,24,18.8,0,0
19,3,24,2016,17,12,17,24,18.8,0,0
20,3,24,2016,17,12,18,23,18.8,0,0
21,3,24,2016,17,12,19,23,18.8,0,0
22,3,24,2016,17,12,20,23,18.8,0,0
23,3,24,2016,17,12,21,23,18.8,0,0
24,3,24,2016,17,12,22,23,18.8,0,0
25,3,24,2016,17,12,23,23,18.8,0,0
26,3,24,2016,17,12,24,23,18.8,0,0
27,3,24,2016,17,12,25,23,18.8,0,0
28,3,24,2016,17,12,26,23,18.8,0,0
29,3,24,2016,17,12,27,23,18.8,0,0
30,3,24,2016,17,12,28,23,18.8,0,0
31,3,24,2016,17,12,30,23,18.8,0,0
32,3,24,2016,17,12,31,23,18.8,0,0
33,3,24,2016,17,12,32,23,18.8,0,0
34,3,24,2016,17,12,33,23,18.8,0,0
35,3,24,2016,17,12,34,23,18.8,0,0
36,3,24,2016,17,12,35,22,18.8,0,0
37,3,24,2016,17,12,36,22,18.8,0,0
38,3,24,2016,17,12,37,22,18.8,0,0
39,3,24,2016,17,12,38,22,18.8,0,0
40,3,24,2016,17,12,39,22,18.8,0,0
41,3,24,2016,17,12,40,22,18.8,0,0
42,3,24,2016,17,12,41,22,18.8,0,0
43,3,24,2016,17,12,42,22,18.8,0,0
44,3,24,2016,17,12,43,22,18.8,0,0
45,3,24,2016,17,12,44,22,18.8,0,0
46,3,24,2016,17,12,45,22,18.8,0,0
47,3,24,2016,17,12,46,22,18.8,0,0
48,3,24,2016,17,12,47,22,18.8,0,0
49,3,24,2016,17,12,48,22,18.8,0,0
50,3,24,2016,17,12,49,22,18.8,0,0
51,3,24,2016,17,12,50,22,18.8,0,0
52,3,24,2016,17,12,51,22,18.8,0,0
53,3,24,2016,17,12,52,22,18.8,0,0
54,3,24,2016,17,12,53,22,18.8,0,0
55,3,24,2016,17,12,54,22,18.8,0,0
56,3,24,2016,17,12,55,22,18.8,0,0
57,3,24,2016,17,12,56,21,18.8,0,0
58,3,24,2016,17,12,57,21,18.8,0,0
59,3,24,2016,17,12,58,21,18.8,0,0
60,3,24,2016,17,12,59,21,18.8,0,0
61,3,24,2016,17,13,0,21,18.8,0,0
62,3,24,2016,17,13,1,21,18.8,0,0
63,3,24,2016,17,13,2,21,18.8,0,0
64,3,24,2016,17,13,3,21,18.8,0,0
65,3,24,2016,17,13,4,21,18.8,0,0
66,3,24,2016,17,13,5,21,18.8,0,0
67,3,24,2016,17,13,6,21,18.8,0,0
68,3,24,2016,17,13,7,21,18.8,0,0
69,3,24,2016,17,13,8,21,18.8,0,0
70,3,24,2016,17,13,9,21,18.8,0,0
71,3,24,2016,17,13,10,21,18.8,0,0
