Sample,Month,Day,Year,Hour,Minute,Second,Loop_L,ambient_L,Loop_R,ambient_R
105,1,22,2016,17,4,59,5537,19.3,0,0
106,1,22,2016,17,5,0,5537,19.3,0,0
107,1,22,2016,17,5,1,5537,19.3,0,0
108,1,22,2016,17,5,2,5537,19.3,0,0
109,1,22,2016,17,5,3,5537,19.3,0,0
110,1,22,2016,17,5,4,5537,19.3,0,0
111,1,22,2016,17,5,5,5537,19.3,0,0
112,1,22,2016,17,5,6,5537,19.3,0,0
113,1,22,2016,17,5,7,5537,19.3,0,0
114,1,22,2016,17,5,8,5537,19.3,0,0
115,1,22,2016,17,5,9,5537,19.3,0,0
116,1,22,2016,17,5,10,5537,19.3,0,0
117,1,22,2016,17,5,11,5537,19.3,0,0
118,1,22,2016,17,5,12,5537,19.3,0,0
119,1,22,2016,17,5,13,5537,19.3,0,0
120,1,22,2016,17,5,14,5537,19.3,0,0
121,1,22,2016,17,5,15,5537,19.3,0,0
122,1,22,2016,17,5,16,5537,19.3,0,0
123,1,22,2016,17,5,17,5537,19.3,0,0
124,1,22,2016,17,5,18,5537,19.3,0,0
125,1,22,2016,17,5,19,5537,19.3,0,0
126,1,22,2016,17,5,20,5537,19.3,0,0
127,1,22,2016,17,5,21,5537,19.3,0,0
128,1,22,2016,17,5,22,5537,19.3,0,0
129,1,22,2016,17,5,23,5537,19.3,0,0
130,1,22,2016,17,5,24,5537,19.3,0,0
131,1,22,2016,17,5,25,5537,19.3,0,0
132,1,22,2016,17,5,26,5537,19.3,0,0
133,1,22,2016,17,5,27,5537,19.3,0,0
134,1,22,2016,17,5,28,5537,19.3,0,0
135,1,22,2016,17,5,29,5537,19.3,0,0
136,1,22,2016,17,5,30,5537,19.3,0,0
137,1,22,2016,17,5,31,5537,19.3,0,0
138,1,22,2016,17,5,32,5537,19.3,0,0
139,1,22,2016,17,5,33,5537,19.3,0,0
140,1,22,2016,17,5,34,5537,19.3,0,0
