Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	Mask	
1	0	27.5019	1	936	1551	2975	4263	751	-3.5	200	0	1	27.9849		1	
2	1	46.3681	1	936	1551	2975	4263	751	-3.5	200	0	0	50.1287	1	1	
3	0	56.0270	1	936	1551	2975	4263	701	-3.5	200	0	1	58.3120		1	
4	1	65.2799	0	936	1551	2975	4263	701	-3.5	200	0	0	67.1012	1	1	
5	0	72.9396	1	437	2761	2975	4263	551	-3.5	200	1	1	75.0177	1	0	
6	0	78.6810	0	437	2761	2975	4263	676	-3.5	200	1	1	79.3877	1	1	
7	0	83.2250	0	437	2761	2975	4263	501	-3.5	200	1	0	84.6735		1	
8	1	90.3718	0	437	2761	2975	4263	501	-3.5	200	1	0	91.8159		1	
9	1	99.4148	1	437	2761	2975	4263	501	-3.5	200	1	1	99.9256	1	1	
10	0	104.1132	1	936	1551	2975	4263	726	-3.5	200	0	1	106.4261		0	
11	1	113.1791	0	936	1551	2975	4263	726	-3.5	200	0	0	114.6146	1	0	
12	0	120.5475	0	437	2761	2975	4263	576	-3.5	200	1	0	121.7893		0	
13	1	126.6042	1	437	2761	2975	4263	576	-3.5	200	1	1	127.1419	1	0	
14	0	130.8445	0	936	1551	2975	4263	651	-3.5	200	0	1	132.4457		1	
15	1	139.2142	0	936	1551	2975	4263	651	-3.5	200	0	0	141.2898	1	1	
16	0	147.9941	1	437	2761	2975	4263	526	-3.5	200	1	1	150.3791	1	1	
17	0	153.9802	0	936	1551	2975	4263	601	-3.5	200	0	1	154.9111		0	
18	1	159.2843	1	936	1551	2975	4263	601	-3.5	200	0	0	161.8973	1	0	
19	0	168.1705	0	437	2761	2975	4263	526	-3.5	200	1	0	169.6093		0	
20	1	176.2500	0	437	2761	2975	4263	526	-3.5	200	1	1	176.8776	1	0	
21	0	181.1718	1	936	1551	2975	4263	701	-3.5	200	0	1	181.8072		0	
22	1	190.3229	0	936	1551	2975	4263	701	-3.5	200	0	0	191.8715	1	0	
23	0	198.2419	0	936	1551	2975	4263	551	-3.5	200	0	1	199.1188		1	
24	1	203.9204	1	936	1551	2975	4263	551	-3.5	200	0	0	206.8231	1	1	
25	0	213.3178	1	936	1551	2975	4263	676	-3.5	200	0	0	216.8856	1	0	
26	0	223.3444	0	936	1551	2975	4263	751	-3.5	200	0	1	224.3402		0	
27	1	229.9711	0	936	1551	2975	4263	751	-3.5	200	0	0	231.1740	1	0	
28	0	238.1878	0	437	2761	2975	4263	576	-3.5	200	1	1	239.2765	1	1	
29	0	243.6380	0	437	2761	2975	4263	626	-3.5	200	1	1	244.5015	1	0	
30	0	249.1312	0	437	2761	2975	4263	726	-3.5	200	1	1	249.6716	1	0	
31	0	253.5892	1	437	2761	2975	4263	501	-3.5	200	1	1	254.3964	1	0	
32	0	258.2770	1	437	2761	2975	4263	651	-3.5	200	1	0	261.6214		1	
33	1	269.3927	0	437	2761	2975	4263	651	-3.5	200	1	1	270.5935	1	1	
34	0	274.6496	0	936	1551	2975	4263	701	-3.5	200	0	1	274.9484		1	
35	1	279.3331	0	936	1551	2975	4263	701	-3.5	200	0	0	280.9530	1	1	
36	0	287.7781	0	437	2761	2975	4263	676	-3.5	200	1	1	288.7351	1	1	
37	0	292.6411	1	936	1551	2975	4263	626	-3.5	200	0	0	295.1892	1	0	
38	0	302.4107	0	936	1551	2975	4263	576	-3.5	200	0	1	303.3768		1	
39	1	309.2825	0	936	1551	2975	4263	576	-3.5	200	0	0	311.3370	1	1	
40	0	319.2086	0	437	2761	2975	4263	651	-3.5	200	1	1	319.9448	1	0	
41	0	323.6619	1	936	1551	2975	4263	551	-3.5	200	0	0	326.4434	1	0	
42	0	333.7452	0	437	2761	2975	4263	601	-3.5	200	1	1	334.9220	1	1	
43	0	339.7243	0	437	2761	2975	4263	751	-3.5	200	1	1	340.2632	1	0	
44	0	344.2986	1	437	2761	2975	4263	526	-3.5	200	1	1	346.7048	1	1	
45	0	350.8115	0	936	1551	2975	4263	726	-3.5	200	0	0	352.4329	1	0	
46	0	358.7285	0	936	1551	2975	4263	501	-3.5	200	0	1	359.8209		0	
47	1	363.8451	1	936	1551	2975	4263	501	-3.5	200	0	0	364.9944	1	0	
48	0	371.6928	1	936	1551	2975	4263	551	-3.5	200	0	1	375.9267		1	
49	1	380.8311	0	936	1551	2975	4263	551	-3.5	200	0	1	385.3772		1	
50	1	390.6368	0	936	1551	2975	4263	551	-3.5	200	0	1	391.5460		1	
51	1	397.8025	1	936	1551	2975	4263	551	-3.5	200	0	0	400.2766	1	1	
52	0	406.4606	0	936	1551	2975	4263	601	-3.5	200	0	1	407.6839		1	
53	1	412.1829	0	936	1551	2975	4263	601	-3.5	200	0	1	413.7051		1	
54	1	421.7812	0	936	1551	2975	4263	601	-3.5	200	0	0	423.2460	1	1	
55	0	430.0732	1	437	2761	2975	4263	526	-3.5	200	1	1	432.4937	1	1	
56	0	436.2622	1	936	1551	2975	4263	576	-3.5	200	0	1	438.7269		1	
57	1	445.3993	1	936	1551	2975	4263	576	-3.5	200	0	1	447.6085		1	
58	1	451.8578	0	936	1551	2975	4263	576	-3.5	200	0	0	453.7990	1	1	
59	0	460.4672	0	437	2761	2975	4263	676	-3.5	200	1	1	461.2440	1	0	
60	0	470.7763	1	437	2761	2975	4263	701	-3.5	200	1	0	473.4293		1	
61	1	743.4475	0	437	2761	2975	4263	701	-3.5	200	1	1	744.8569	1	1	
