Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	Mask	
1	0	19.6424	0	936	1551	2975	4263	701	-7.5	200	0	1	23.7991		1	
2	1	33.3735	0	936	1551	2975	4263	701	-7.5	200	0	0	35.2390	1	1	
3	0	40.1612	0	936	1551	2975	4263	626	-7.5	200	0	0	41.7304	1	0	
4	0	46.8027	0	437	2761	2975	4263	651	-7.5	200	1	1	47.2883	1	0	
5	0	50.5359	0	936	1551	2975	4263	601	-7.5	200	0	0	51.9062	1	1	
6	0	56.7650	1	936	1551	2975	4263	751	-7.5	200	0	1	57.0891		1	
7	1	61.1859	0	936	1551	2975	4263	751	-7.5	200	0	1	62.1360		1	
8	1	68.3951	0	936	1551	2975	4263	751	-7.5	200	0	1	69.0585		1	
9	1	73.5840	0	936	1551	2975	4263	751	-7.5	200	0	0	75.0551	1	1	
10	0	80.1376	1	437	2761	2975	4263	526	-7.5	200	1	0	82.5652		1	
11	1	87.9157	1	437	2761	2975	4263	526	-7.5	200	1	1	89.8899	1	1	
12	0	93.4730	1	437	2761	2975	4263	576	-7.5	200	1	1	93.8578	1	0	
13	0	97.5592	0	437	2761	2975	4263	726	-7.5	200	1	1	99.7062	1	0	
14	0	105.8201	0	437	2761	2975	4263	551	-7.5	200	1	0	107.3913		1	
15	1	112.1192	1	437	2761	2975	4263	551	-7.5	200	1	1	112.6367	1	1	
16	0	116.0721	0	437	2761	2975	4263	501	-7.5	200	1	1	117.5173	1	1	
17	0	121.3371	1	936	1551	2975	4263	701	-7.5	200	0	0	122.1290	1	0	
18	0	127.0997	0	936	1551	2975	4263	576	-7.5	200	0	0	129.6220	1	0	
19	0	135.4307	0	437	2761	2975	4263	501	-7.5	200	1	1	136.4203	1	0	
20	0	140.1830	1	936	1551	2975	4263	626	-7.5	200	0	0	141.0182	1	0	
21	0	146.8907	0	936	1551	2975	4263	726	-7.5	200	0	1	148.4944		1	
22	1	155.6450	1	936	1551	2975	4263	726	-7.5	200	0	1	157.2825		1	
23	1	162.7109	0	936	1551	2975	4263	726	-7.5	200	0	0	164.6327	1	1	
24	0	170.6644	0	437	2761	2975	4263	751	-7.5	200	1	1	171.4139	1	1	
25	0	179.2518	0	936	1551	2975	4263	676	-7.5	200	0	0	180.9001	1	0	
26	0	186.7462	1	437	2761	2975	4263	651	-7.5	200	1	1	188.4193	1	0	
27	0	191.8186	0	437	2761	2975	4263	551	-7.5	200	1	0	192.8982		1	
28	1	198.3491	0	437	2761	2975	4263	551	-7.5	200	1	1	199.1030	1	1	
29	0	205.6443	0	437	2761	2975	4263	601	-7.5	200	1	1	206.6762	1	0	
30	0	210.5398	0	936	1551	2975	4263	751	-7.5	200	0	0	211.5865	1	1	
31	0	217.0900	0	936	1551	2975	4263	701	-7.5	200	0	0	218.0579	1	1	
32	0	223.9301	1	437	2761	2975	4263	726	-7.5	200	1	1	224.5044	1	1	
33	0	228.2952	0	936	1551	2975	4263	601	-7.5	200	0	1	229.5721		0	
34	1	233.5399	0	936	1551	2975	4263	601	-7.5	200	0	0	234.8390	1	0	
35	0	241.6111	0	936	1551	2975	4263	551	-7.5	200	0	1	242.4458		1	
36	1	246.5899	1	936	1551	2975	4263	551	-7.5	200	0	0	249.2892	1	1	
37	0	254.1712	0	437	2761	2975	4263	501	-7.5	200	1	1	255.1550	1	1	
38	0	258.8155	0	936	1551	2975	4263	576	-7.5	200	0	0	259.8011	1	1	
39	0	266.2645	0	437	2761	2975	4263	626	-7.5	200	1	1	266.8371	1	1	
40	0	270.4671	1	936	1551	2975	4263	676	-7.5	200	0	0	271.9097	1	0	
41	0	278.5609	0	437	2761	2975	4263	651	-7.5	200	1	1	280.1608	1	1	
42	0	284.1896	0	936	1551	2975	4263	676	-7.5	200	0	0	285.1478	1	0	
43	0	290.2346	0	936	1551	2975	4263	601	-7.5	200	0	0	291.4392	1	0	
44	0	298.3384	0	936	1551	2975	4263	576	-7.5	200	0	0	299.3822	1	1	
45	0	304.7911	1	437	2761	2975	4263	551	-7.5	200	1	1	306.5135	1	0	
46	0	310.5794	0	437	2761	2975	4263	701	-7.5	200	1	0	311.9411		0	
47	1	315.8362	0	437	2761	2975	4263	701	-7.5	200	1	1	316.5326	1	0	
48	0	320.4329	0	437	2761	2975	4263	726	-7.5	200	1	1	321.0049	1	0	
49	0	324.5321	1	936	1551	2975	4263	651	-7.5	200	0	0	325.4261	1	1	
50	0	330.5581	1	437	2761	2975	4263	526	-7.5	200	1	1	334.1780	1	0	
51	0	337.9703	0	437	2761	2975	4263	626	-7.5	200	1	0	338.9039		1	
52	1	343.5140	0	437	2761	2975	4263	626	-7.5	200	1	1	344.1103	1	1	
53	0	350.3041	0	936	1551	2975	4263	751	-7.5	200	0	0	351.6681	1	1	
54	0	356.3924	0	437	2761	2975	4263	651	-7.5	200	1	1	357.1255	1	0	
55	0	360.5269	0	437	2761	2975	4263	501	-7.5	200	1	1	361.4810	1	1	
56	0	367.3626	0	437	2761	2975	4263	626	-7.5	200	1	0	368.5894		0	
57	1	373.8863	0	437	2761	2975	4263	626	-7.5	200	1	1	374.3224	1	0	
58	0	380.9956	0	936	1551	2975	4263	601	-7.5	200	0	0	382.1880	1	0	
59	0	387.5717	0	437	2761	2975	4263	526	-7.5	200	1	1	388.3142	1	1	
60	0	392.1030	0	936	1551	2975	4263	551	-7.5	200	0	0	393.1160	1	0	
61	0	398.0779	0	936	1551	2975	4263	701	-7.5	200	0	0	398.7830	1	0	
62	0	404.2149	0	936	1551	2975	4263	751	-7.5	200	0	0	405.2400	1	1	
63	0	411.3557	0	936	1551	2975	4263	676	-7.5	200	0	1	412.0746		0	
64	1	416.0940	0	936	1551	2975	4263	676	-7.5	200	0	0	417.0366	1	0	
65	0	422.3174	0	936	1551	2975	4263	576	-7.5	200	0	1	422.9634		0	
66	1	427.7063	0	936	1551	2975	4263	576	-7.5	200	0	0	429.0424	1	0	
67	0	433.7842	0	437	2761	2975	4263	576	-7.5	200	1	0	434.8284		1	
68	1	439.2022	0	437	2761	2975	4263	576	-7.5	200	1	1	440.0718	1	1	
69	0	446.4972	0	437	2761	2975	4263	726	-7.5	200	1	1	447.3034	1	1	
70	0	450.9370	0	936	1551	2975	4263	526	-7.5	200	0	0	452.2947	1	1	
71	0	458.0967	0	936	1551	2975	4263	551	-7.5	200	0	0	459.1599	1	1	
72	0	464.6484	0	936	1551	2975	4263	751	-7.5	200	0	1	465.1756		1	
73	1	469.1180	0	936	1551	2975	4263	751	-7.5	200	0	0	470.1185	1	1	
74	0	475.7648	1	936	1551	2975	4263	651	-7.5	200	0	0	477.2066	1	0	
75	0	483.0027	0	437	2761	2975	4263	601	-7.5	200	1	1	484.8506	1	1	
