Chart Properties
---------------------------------------------------------------------------------
Enabled:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Visible:	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Ambient:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Process Color:	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	
Ambient Color:	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	
Process Left Axis:	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	
Ambient Left Axis:	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	
Logging Process Units:	°C	°C	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	
Logging Ambient Units:	°C	°C	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	
---------------------------------------------------------------------------------

Interval:	1	Seconds
DataPoint	LogDate	LogTime	1-P °C	1-A °C	2-P °C	2-A °C
63	01/21/2016	16:45:50	37	19.3	0.00	0.0
64	01/21/2016	16:45:51	37	19.3	0.00	0.0
65	01/21/2016	16:45:52	37	19.3	0.00	0.0
66	01/21/2016	16:45:53	36	19.3	0.00	0.0
67	01/21/2016	16:45:54	35	19.3	0.00	0.0
68	01/21/2016	16:45:55	35	19.3	0.00	0.0
69	01/21/2016	16:45:56	34	19.3	0.00	0.0
70	01/21/2016	16:45:57	33	19.3	0.00	0.0
71	01/21/2016	16:45:58	32	19.3	0.00	0.0
72	01/21/2016	16:45:59	32	19.3	0.00	0.0
73	01/21/2016	16:46:00	31	19.3	0.00	0.0
74	01/21/2016	16:46:01	31	19.3	0.00	0.0
75	01/21/2016	16:46:02	30	19.3	0.00	0.0
76	01/21/2016	16:46:03	30	19.3	0.00	0.0
77	01/21/2016	16:46:04	30	19.3	0.00	0.0
78	01/21/2016	16:46:05	29	19.3	0.00	0.0
79	01/21/2016	16:46:06	29	19.3	0.00	0.0
80	01/21/2016	16:46:07	29	19.3	0.00	0.0
81	01/21/2016	16:46:08	29	19.3	0.00	0.0
82	01/21/2016	16:46:09	29	19.3	0.00	0.0
83	01/21/2016	16:46:10	29	19.3	0.00	0.0
84	01/21/2016	16:46:11	29	19.3	0.00	0.0
85	01/21/2016	16:46:12	28	19.3	0.00	0.0
86	01/21/2016	16:46:13	28	19.3	0.00	0.0
87	01/21/2016	16:46:14	28	19.3	0.00	0.0
88	01/21/2016	16:46:15	28	19.3	0.00	0.0
89	01/21/2016	16:46:16	28	19.3	0.00	0.0
90	01/21/2016	16:46:17	28	19.3	0.00	0.0
91	01/21/2016	16:46:18	28	19.3	0.00	0.0
92	01/21/2016	16:46:19	28	19.3	0.00	0.0
93	01/21/2016	16:46:20	28	19.3	0.00	0.0
94	01/21/2016	16:46:21	28	19.3	0.00	0.0
95	01/21/2016	16:46:22	28	19.3	0.00	0.0
96	01/21/2016	16:46:23	28	19.3	0.00	0.0
97	01/21/2016	16:46:24	28	19.3	0.00	0.0
98	01/21/2016	16:46:25	28	19.3	0.00	0.0
99	01/21/2016	16:46:26	28	19.3	0.00	0.0
100	01/21/2016	16:46:27	27	19.3	0.00	0.0
101	01/21/2016	16:46:28	27	19.3	0.00	0.0
102	01/21/2016	16:46:29	27	19.3	0.00	0.0
103	01/21/2016	16:46:30	27	19.3	0.00	0.0
104	01/21/2016	16:46:31	27	19.3	0.00	0.0
105	01/21/2016	16:46:32	27	19.3	0.00	0.0
106	01/21/2016	16:46:33	27	19.3	0.00	0.0
107	01/21/2016	16:46:34	27	19.3	0.00	0.0
108	01/21/2016	16:46:35	27	19.3	0.00	0.0
109	01/21/2016	16:46:37	27	19.3	0.00	0.0
110	01/21/2016	16:46:38	26	19.3	0.00	0.0
111	01/21/2016	16:46:39	26	19.3	0.00	0.0
112	01/21/2016	16:46:40	26	19.3	0.00	0.0
113	01/21/2016	16:46:41	26	19.3	0.00	0.0
114	01/21/2016	16:46:42	26	19.3	0.00	0.0
115	01/21/2016	16:46:43	26	19.3	0.00	0.0
116	01/21/2016	16:46:44	26	19.3	0.00	0.0
117	01/21/2016	16:46:45	26	19.3	0.00	0.0
118	01/21/2016	16:46:46	25	19.3	0.00	0.0
119	01/21/2016	16:46:47	25	19.3	0.00	0.0
120	01/21/2016	16:46:48	25	19.3	0.00	0.0
121	01/21/2016	16:46:49	25	19.3	0.00	0.0
122	01/21/2016	16:46:50	25	19.3	0.00	0.0
123	01/21/2016	16:46:51	25	19.3	0.00	0.0
124	01/21/2016	16:46:52	25	19.3	0.00	0.0
125	01/21/2016	16:46:53	25	19.3	0.00	0.0
126	01/21/2016	16:46:54	25	19.3	0.00	0.0
127	01/21/2016	16:46:55	25	19.3	0.00	0.0
128	01/21/2016	16:46:56	25	19.3	0.00	0.0
129	01/21/2016	16:46:57	24	19.3	0.00	0.0
130	01/21/2016	16:46:58	24	19.3	0.00	0.0
131	01/21/2016	16:46:59	24	19.3	0.00	0.0
132	01/21/2016	16:47:00	24	19.3	0.00	0.0
133	01/21/2016	16:47:01	24	19.3	0.00	0.0
134	01/21/2016	16:47:02	24	19.3	0.00	0.0
135	01/21/2016	16:47:03	24	19.3	0.00	0.0
136	01/21/2016	16:47:04	24	19.3	0.00	0.0
137	01/21/2016	16:47:05	24	19.3	0.00	0.0
138	01/21/2016	16:47:06	24	19.3	0.00	0.0
139	01/21/2016	16:47:07	24	19.3	0.00	0.0
140	01/21/2016	16:47:08	24	19.3	0.00	0.0
141	01/21/2016	16:47:09	23	19.3	0.00	0.0
142	01/21/2016	16:47:10	23	19.3	0.00	0.0
143	01/21/2016	16:47:11	23	19.3	0.00	0.0
144	01/21/2016	16:47:12	23	19.3	0.00	0.0
145	01/21/2016	16:47:13	23	19.3	0.00	0.0
146	01/21/2016	16:47:14	23	19.3	0.00	0.0
147	01/21/2016	16:47:15	23	19.3	0.00	0.0
148	01/21/2016	16:47:16	23	19.3	0.00	0.0
149	01/21/2016	16:47:17	23	19.3	0.00	0.0
150	01/21/2016	16:47:18	23	19.3	0.00	0.0
151	01/21/2016	16:47:19	23	19.3	0.00	0.0
152	01/21/2016	16:47:20	23	19.3	0.00	0.0
153	01/21/2016	16:47:21	23	19.3	0.00	0.0
154	01/21/2016	16:47:22	23	19.3	0.00	0.0
155	01/21/2016	16:47:23	22	19.3	0.00	0.0
156	01/21/2016	16:47:24	22	19.3	0.00	0.0
157	01/21/2016	16:47:25	22	19.3	0.00	0.0
158	01/21/2016	16:47:26	22	19.3	0.00	0.0
159	01/21/2016	16:47:27	22	19.3	0.00	0.0
160	01/21/2016	16:47:28	22	19.3	0.00	0.0
161	01/21/2016	16:47:29	22	19.3	0.00	0.0
162	01/21/2016	16:47:30	22	19.3	0.00	0.0
163	01/21/2016	16:47:31	22	19.3	0.00	0.0
164	01/21/2016	16:47:32	22	19.3	0.00	0.0
165	01/21/2016	16:47:33	22	19.3	0.00	0.0
166	01/21/2016	16:47:34	22	19.3	0.00	0.0
167	01/21/2016	16:47:35	22	19.3	0.00	0.0
168	01/21/2016	16:47:36	22	19.3	0.00	0.0
169	01/21/2016	16:47:37	22	19.3	0.00	0.0
170	01/21/2016	16:47:38	21	19.3	0.00	0.0
171	01/21/2016	16:47:39	21	19.3	0.00	0.0
172	01/21/2016	16:47:40	21	19.3	0.00	0.0
173	01/21/2016	16:47:41	21	19.3	0.00	0.0
174	01/21/2016	16:47:42	21	19.3	0.00	0.0
175	01/21/2016	16:47:43	21	19.3	0.00	0.0
176	01/21/2016	16:47:44	21	19.3	0.00	0.0
177	01/21/2016	16:47:45	21	19.3	0.00	0.0
178	01/21/2016	16:47:46	21	19.3	0.00	0.0
179	01/21/2016	16:47:47	21	19.3	0.00	0.0
180	01/21/2016	16:47:49	21	19.3	0.00	0.0
181	01/21/2016	16:47:50	21	19.3	0.00	0.0
182	01/21/2016	16:47:51	21	19.3	0.00	0.0
183	01/21/2016	16:47:52	21	19.3	0.00	0.0
184	01/21/2016	16:47:53	21	19.3	0.00	0.0
185	01/21/2016	16:47:54	21	19.3	0.00	0.0
186	01/21/2016	16:47:55	21	19.3	0.00	0.0
187	01/21/2016	16:47:56	21	19.3	0.00	0.0
188	01/21/2016	16:47:57	21	19.3	0.00	0.0
189	01/21/2016	16:47:58	20	19.3	0.00	0.0
190	01/21/2016	16:47:59	20	19.3	0.00	0.0
191	01/21/2016	16:48:00	20	19.3	0.00	0.0
192	01/21/2016	16:48:01	20	19.3	0.00	0.0
193	01/21/2016	16:48:02	20	19.3	0.00	0.0
194	01/21/2016	16:48:03	20	19.3	0.00	0.0
195	01/21/2016	16:48:04	20	19.3	0.00	0.0
196	01/21/2016	16:48:05	20	19.3	0.00	0.0
197	01/21/2016	16:48:06	20	19.3	0.00	0.0
198	01/21/2016	16:48:07	20	19.3	0.00	0.0
199	01/21/2016	16:48:08	20	19.3	0.00	0.0
200	01/21/2016	16:48:09	20	19.3	0.00	0.0
201	01/21/2016	16:48:10	19	19.3	0.00	0.0
202	01/21/2016	16:48:11	19	19.3	0.00	0.0
203	01/21/2016	16:48:12	19	19.3	0.00	0.0
204	01/21/2016	16:48:13	19	19.3	0.00	0.0
205	01/21/2016	16:48:14	19	19.3	0.00	0.0
206	01/21/2016	16:48:15	19	19.3	0.00	0.0
207	01/21/2016	16:48:16	19	19.3	0.00	0.0
208	01/21/2016	16:48:17	19	19.3	0.00	0.0
209	01/21/2016	16:48:18	19	19.3	0.00	0.0
210	01/21/2016	16:48:19	19	19.3	0.00	0.0
211	01/21/2016	16:48:20	19	19.3	0.00	0.0
212	01/21/2016	16:48:21	19	19.3	0.00	0.0
213	01/21/2016	16:48:22	19	19.3	0.00	0.0
214	01/21/2016	16:48:23	19	19.3	0.00	0.0
215	01/21/2016	16:48:24	19	19.3	0.00	0.0
216	01/21/2016	16:48:25	19	19.3	0.00	0.0
217	01/21/2016	16:48:26	19	19.3	0.00	0.0
218	01/21/2016	16:48:27	19	19.3	0.00	0.0
