Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	Mask	
1	0	73.1079	0	460	1105	2857	4205	651	2.5	200	0	0	73.6782	1	0	
2	0	83.1882	0	730	2058	2857	4205	801	-3.5	200	1	0	84.1080	0	0	
3	1	90.8776	0	730	2058	2857	4205	801	-3.5	200	1	0	91.7628	0	0	
4	1	107.9984	0	730	2058	2857	4205	801	-3.5	200	1	1	109.8275	1	0	
5	0	112.6894	0	730	2058	2857	4205	601	-9.5	200	1	0	113.6301	0	1	
6	1	120.4458	0	730	2058	2857	4205	601	-9.5	200	1	0	120.8554	0	1	
7	1	145.6421	0	730	2058	2857	4205	601	-9.5	200	1	0	147.0043	0	1	
8	1	267.5160	1	730	2058	2857	4205	601	-9.5	200	1	1	281.5788	1	1	
9	0	292.1607	0	460	1105	2857	4205	501	-3.5	200	0	0	294.1186	1	1	
10	0	298.6703	0	730	2058	2857	4205	701	2.5	200	1	1	299.6399	1	1	
11	0	312.4794	0	730	2058	2857	4205	901	2.5	200	1	0	313.0691	0	0	
12	1	323.4912	0	730	2058	2857	4205	901	2.5	200	1	1	326.0819	1	0	
13	0	333.8435	0	460	1105	2857	4205	551	-3.5	200	0	0	334.9044	1	0	
14	0	341.3635	0	730	2058	2857	4205	951	-3.5	200	1	1	342.7752	1	1	
15	0	350.4716	1	460	1105	2857	4205	751	-9.5	200	0	0	355.5956	1	0	
16	0	360.3907	0	460	1105	2857	4205	1001	2.5	200	0	1	361.8966	0	1	
17	1	370.1300	0	460	1105	2857	4205	1001	2.5	200	0	0	371.5372	1	1	
18	0	376.9036	1	460	1105	2857	4205	701	-9.5	200	0	0	381.9423	1	1	
19	0	387.4781	0	730	2058	2857	4205	501	-9.5	200	1	1	390.2313	1	0	
20	0	397.6110	0	730	2058	2857	4205	651	2.5	200	1	1	399.4212	1	1	
21	0	414.4239	0	460	1105	2857	4205	851	-9.5	200	0	0	416.5100	1	0	
22	0	421.6362	0	730	2058	2857	4205	951	-3.5	200	1	0	422.6741	0	0	
23	1	431.9359	0	730	2058	2857	4205	951	-3.5	200	1	0	434.8951	0	0	
24	1	442.3274	0	730	2058	2857	4205	951	-3.5	200	1	1	443.8431	1	0	
25	0	451.2315	0	730	2058	2857	4205	1001	-3.5	200	1	1	452.5357	1	1	
26	0	462.8070	0	460	1105	2857	4205	751	-3.5	200	0	0	463.8357	1	0	
27	0	468.7589	0	730	2058	2857	4205	551	-9.5	200	1	1	470.2623	1	1	
28	0	482.8116	0	730	2058	2857	4205	601	2.5	200	1	0	483.8545	0	0	
29	1	495.3871	0	730	2058	2857	4205	601	2.5	200	1	1	497.7612	1	0	
30	0	505.0434	0	460	1105	2857	4205	901	-3.5	200	0	1	506.6773	0	1	
31	1	512.8540	0	460	1105	2857	4205	901	-3.5	200	0	0	513.8476	1	1	
32	0	519.6113	0	460	1105	2857	4205	801	2.5	200	0	0	520.6499	1	1	
33	0	526.0317	0	730	2058	2857	4205	651	-9.5	200	1	0	527.3113	0	0	
34	1	536.4709	1	730	2058	2857	4205	651	-9.5	200	1	1	538.2477	1	0	
35	0	546.5364	0	460	1105	2857	4205	501	-9.5	200	0	1	549.2869	0	1	
36	1	560.6036	0	460	1105	2857	4205	501	-9.5	200	0	0	562.0840	1	1	
37	0	571.3347	0	460	1105	2857	4205	1001	2.5	200	0	0	572.1451	1	0	
38	0	577.1218	0	730	2058	2857	4205	751	-3.5	200	1	0	578.6114	0	0	
39	1	586.3985	1	730	2058	2857	4205	751	-3.5	200	1	1	587.6638	1	0	
40	0	595.1427	0	730	2058	2857	4205	701	2.5	200	1	1	597.2520	1	0	
41	0	610.0456	0	460	1105	2857	4205	951	2.5	200	0	0	611.9876	1	1	
42	0	616.5987	0	730	2058	2857	4205	851	-3.5	200	1	1	618.1300	1	1	
43	0	632.1340	0	460	1105	2857	4205	901	-9.5	200	0	0	633.8559	1	1	
44	0	638.4906	0	730	2058	2857	4205	601	2.5	200	1	1	640.0771	1	1	
45	0	647.8381	0	460	1105	2857	4205	501	2.5	200	0	0	648.8435	1	0	
46	0	653.8769	0	460	1105	2857	4205	551	-9.5	200	0	0	655.0477	1	0	
47	0	659.9309	0	730	2058	2857	4205	1001	-9.5	200	1	1	661.2157	1	1	
48	0	672.2545	0	460	1105	2857	4205	901	-3.5	200	0	1	673.4293	0	1	
49	1	685.6408	0	460	1105	2857	4205	901	-3.5	200	0	0	686.2310	1	1	
50	0	691.6642	0	730	2058	2857	4205	751	-9.5	200	1	0	693.1605	0	0	
51	1	699.7876	0	730	2058	2857	4205	751	-9.5	200	1	1	701.1120	1	0	
52	0	713.2658	1	460	1105	2857	4205	851	-3.5	200	0	0	713.9138	1	0	
53	0	718.1890	0	460	1105	2857	4205	651	2.5	200	0	0	719.3281	1	0	
54	0	724.0099	0	730	2058	2857	4205	801	-3.5	200	1	1	725.4782	1	1	
55	0	732.4472	0	730	2058	2857	4205	701	-3.5	200	1	1	734.1305	1	0	
56	0	742.9675	0	460	1105	2857	4205	601	-3.5	200	0	0	745.2013	1	1	
57	0	751.9406	0	730	2058	2857	4205	801	2.5	200	1	0	753.5738	0	1	
58	1	759.6997	0	730	2058	2857	4205	801	2.5	200	1	1	762.7355	1	1	
59	0	772.0718	0	460	1105	2857	4205	851	2.5	200	0	1	773.5141	0	1	
60	1	781.4801	1	460	1105	2857	4205	851	2.5	200	0	0	782.7976	1	1	
61	0	787.9483	0	460	1105	2857	4205	1001	-9.5	200	0	0	789.3433	1	1	
62	0	794.3312	0	460	1105	2857	4205	901	-9.5	200	0	0	795.6230	1	0	
63	0	800.0129	0	730	2058	2857	4205	651	-9.5	200	1	0	801.3073	0	0	
64	1	810.8386	0	730	2058	2857	4205	651	-9.5	200	1	0	812.2863	0	0	
65	1	818.4710	0	730	2058	2857	4205	651	-9.5	200	1	1	820.7044	1	0	
66	0	830.2289	0	730	2058	2857	4205	501	-9.5	200	1	0	831.2667	0	1	
67	1	837.1329	0	730	2058	2857	4205	501	-9.5	200	1	1	839.3403	1	1	
68	0	850.9439	0	730	2058	2857	4205	701	2.5	200	1	1	852.5056	1	0	
69	0	871.5258	0	460	1105	2857	4205	751	-3.5	200	0	0	872.6335	1	0	
70	0	876.7851	0	730	2058	2857	4205	601	-9.5	200	1	1	878.5792	1	1	
71	0	887.1861	0	730	2058	2857	4205	551	2.5	200	1	0	888.5170	0	0	
72	1	897.5091	0	730	2058	2857	4205	551	2.5	200	1	1	899.2628	1	0	
73	0	913.8880	0	460	1105	2857	4205	501	-3.5	200	0	0	914.8994	1	1	
74	0	919.7209	0	460	1105	2857	4205	851	-9.5	200	0	0	920.8486	1	0	
75	0	925.2937	0	460	1105	2857	4205	951	2.5	200	0	0	926.1906	1	1	
76	0	931.8261	0	730	2058	2857	4205	551	-3.5	200	1	1	933.0918	1	1	
77	0	948.0516	0	730	2058	2857	4205	901	-3.5	200	1	0	949.3400	0	0	
