Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	Mask	
1	0	217.0850	0	730	2058	2857	4205	501	2.5	200	1	1	219.0839	1	4	
2	0	230.6647	0	460	1105	2857	4205	504	2.5	200	0	0	232.0565	1	2	
3	0	234.2522	0	730	2058	2857	4205	509	2.5	200	1	1	235.0537	1	5	
4	0	241.9535	0	730	2058	2857	4205	511	2.5	200	1	1	243.3189	1	2	
5	0	257.1186	0	460	1105	2857	4205	510	2.5	200	0	0	257.5678	1	0	
6	0	263.0940	0	460	1105	2857	4205	506	-3.5	200	0	0	264.1208	1	5	
7	0	268.9967	0	460	1105	2857	4205	502	-3.5	200	0	1	270.4426	0	0	
8	1	275.3781	1	460	1105	2857	4205	502	-3.5	200	0	0	276.0640	1	0	
9	0	282.1098	1	460	1105	2857	4205	505	-3.5	200	0	0	283.8331	1	4	
10	0	288.6896	0	730	2058	2857	4205	507	-0.5	200	1	1	290.4441	1	0	
11	0	292.7363	0	460	1105	2857	4205	508	5.5	200	0	0	293.8781	1	2	
12	0	297.9279	1	460	1105	2857	4205	505	5.5	200	0	0	301.2075	1	1	
13	0	305.6589	0	730	2058	2857	4205	507	2.5	200	1	1	307.0936	1	0	
14	0	311.1267	1	460	1105	2857	4205	501	-6.5	200	0	0	314.2087	1	5	
15	0	318.3350	0	730	2058	2857	4205	502	-0.5	200	1	1	319.6006	1	5	
16	0	323.2917	0	730	2058	2857	4205	508	-3.5	200	1	0	324.4708	0	2	
17	1	329.6941	0	730	2058	2857	4205	508	-3.5	200	1	0	330.6531	0	2	
18	1	337.7754	0	730	2058	2857	4205	508	-3.5	200	1	0	338.6169	0	2	
19	1	342.3783	0	730	2058	2857	4205	508	-3.5	200	1	1	343.7350	1	2	
20	0	348.0816	0	460	1105	2857	4205	509	5.5	200	0	1	349.3443	0	3	
21	1	353.5428	0	460	1105	2857	4205	509	5.5	200	0	0	354.7893	1	3	
22	0	369.9010	0	730	2058	2857	4205	504	-6.5	200	1	0	370.8083	0	1	
23	1	376.2391	0	730	2058	2857	4205	504	-6.5	200	1	1	377.3817	1	1	
24	0	383.1597	0	460	1105	2857	4205	503	8.5	200	0	0	384.1219	1	4	
25	0	387.8108	0	730	2058	2857	4205	511	-6.5	200	1	1	388.9895	1	4	
26	0	392.2843	1	730	2058	2857	4205	506	8.5	200	1	1	396.7658	1	1	
27	0	400.4385	0	730	2058	2857	4205	507	5.5	200	1	0	401.6484	0	0	
28	1	407.4332	0	730	2058	2857	4205	507	5.5	200	1	0	408.5584	0	0	
29	1	413.9758	1	730	2058	2857	4205	507	5.5	200	1	0	417.7181	0	0	
30	1	422.0619	0	730	2058	2857	4205	507	5.5	200	1	1	424.3561	1	0	
31	0	432.6396	0	460	1105	2857	4205	506	-6.5	200	0	0	433.7759	1	3	
32	0	436.9583	0	730	2058	2857	4205	502	-3.5	200	1	0	442.8042	0	4	
33	1	448.5034	1	730	2058	2857	4205	502	-3.5	200	1	0	451.7693	0	4	
34	1	455.8217	0	730	2058	2857	4205	502	-3.5	200	1	1	459.1333	1	4	
35	0	463.4088	0	460	1105	2857	4205	510	2.5	200	0	0	464.5318	1	4	
36	0	468.4934	1	730	2058	2857	4205	503	-6.5	200	1	1	472.4525	1	0	
37	0	476.2332	0	460	1105	2857	4205	511	5.5	200	0	0	477.2587	1	0	
38	0	481.2605	1	730	2058	2857	4205	504	2.5	200	1	1	485.5792	1	1	
39	0	491.6172	1	730	2058	2857	4205	509	-0.5	200	1	1	496.9265	1	4	
40	0	501.6972	0	730	2058	2857	4205	508	-3.5	200	1	0	502.7430	0	1	
41	1	509.3550	1	730	2058	2857	4205	508	-3.5	200	1	0	512.4940	0	1	
42	1	518.4519	0	730	2058	2857	4205	508	-3.5	200	1	1	519.9265	1	1	
43	0	523.2368	1	730	2058	2857	4205	505	8.5	200	1	1	527.6930	1	5	
44	0	532.5852	0	460	1105	2857	4205	510	8.5	200	0	1	534.7374	0	1	
45	1	539.8106	0	460	1105	2857	4205	510	8.5	200	0	0	540.7932	1	1	
46	0	543.9354	1	460	1105	2857	4205	508	8.5	200	0	1	547.7050	0	0	
47	1	555.3977	0	460	1105	2857	4205	508	8.5	200	0	0	556.6817	1	0	
48	0	559.9014	0	730	2058	2857	4205	511	-0.5	200	1	0	569.4419	0	2	
49	1	573.3187	0	730	2058	2857	4205	511	-0.5	200	1	0	574.4001	0	2	
50	1	579.3382	0	730	2058	2857	4205	511	-0.5	200	1	1	580.3982	1	2	
51	0	585.5457	1	730	2058	2857	4205	506	8.5	200	1	1	590.0066	1	3	
52	0	593.9983	0	460	1105	2857	4205	503	-3.5	200	0	0	595.1310	1	2	
53	0	598.8820	0	460	1105	2857	4205	505	2.5	200	0	0	600.1770	1	1	
54	0	603.5597	0	730	2058	2857	4205	507	5.5	200	1	1	605.4124	1	3	
55	0	609.3656	0	460	1105	2857	4205	501	5.5	200	0	0	610.4480	1	5	
56	0	613.7556	0	730	2058	2857	4205	509	-6.5	200	1	1	615.1975	1	2	
57	0	640.3041	0	730	2058	2857	4205	502	8.5	200	1	0	641.0565	0	4	
58	1	649.4725	0	730	2058	2857	4205	502	8.5	200	1	1	651.0718	1	4	
