Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	Mask	
1	0	178.0250	0	460	1105	2857	4205	504	-9.5	200	0	1	182.0244	0	3	
2	1	191.6875	0	460	1105	2857	4205	504	-9.5	200	0	1	194.5411	0	3	
3	1	198.1425	0	460	1105	2857	4205	504	-9.5	200	0	0	199.6744	1	3	
4	0	204.5082	0	730	2058	2857	4205	501	-6.5	200	1	1	206.4270	1	0	
5	0	217.2521	0	460	1105	2857	4205	503	-0.5	200	0	0	218.9422	1	3	
6	0	228.1858	1	730	2058	2857	4205	509	-6.5	200	1	1	233.7006	1	5	
7	0	242.7715	1	730	2058	2857	4205	511	2.5	200	1	0	248.5660	0	0	
8	1	255.4175	0	730	2058	2857	4205	511	2.5	200	1	0	258.4795	0	0	
9	1	267.2020	0	730	2058	2857	4205	511	2.5	200	1	1	270.6833	1	0	
10	0	271.8938	0	460	1105	2857	4205	502	-12.5	200	0	0	273.5881	1	5	
11	0	278.9058	1	730	2058	2857	4205	508	-0.5	200	1	1	284.7418	1	5	
12	0	293.6252	1	730	2058	2857	4205	507	-12.5	200	1	1	298.4387	1	5	
13	0	303.8342	1	730	2058	2857	4205	505	-6.5	200	1	1	308.8723	1	1	
14	0	315.0125	0	730	2058	2857	4205	506	-12.5	200	1	1	318.2037	1	3	
15	0	324.5088	0	460	1105	2857	4205	501	-0.5	200	0	1	326.6217	0	0	
16	1	333.3079	1	460	1105	2857	4205	501	-0.5	200	0	1	339.3305	0	0	
17	1	342.9101	1	460	1105	2857	4205	501	-0.5	200	0	1	347.7535	0	0	
18	1	355.3454	1	460	1105	2857	4205	501	-0.5	200	0	0	359.8766	1	0	
19	0	364.3844	1	730	2058	2857	4205	507	-9.5	200	1	1	369.8648	1	4	
20	0	374.6173	0	460	1105	2857	4205	511	-9.5	200	0	0	379.1544	1	2	
21	0	383.3373	0	730	2058	2857	4205	506	-6.5	200	1	1	385.7465	1	4	
22	0	402.5292	1	460	1105	2857	4205	505	-12.5	200	0	0	407.4326	1	2	
23	0	411.6106	1	460	1105	2857	4205	504	2.5	200	0	0	416.7299	1	0	
24	0	420.7631	1	460	1105	2857	4205	509	-9.5	200	0	1	425.1485	0	0	
25	1	429.7287	0	460	1105	2857	4205	509	-9.5	200	0	1	431.7931	0	0	
26	1	438.7587	1	460	1105	2857	4205	509	-9.5	200	0	0	443.4399	1	0	
27	0	447.4939	1	730	2058	2857	4205	503	-0.5	200	1	0	452.5843	0	1	
28	1	460.1457	0	730	2058	2857	4205	503	-0.5	200	1	1	462.4880	1	1	
29	0	468.4053	1	730	2058	2857	4205	502	-3.5	200	1	1	472.8116	1	1	
30	0	478.9347	1	460	1105	2857	4205	510	2.5	200	0	1	483.7326	0	3	
31	1	487.8891	0	460	1105	2857	4205	510	2.5	200	0	0	489.2856	1	3	
32	0	493.3752	0	460	1105	2857	4205	507	-0.5	200	0	0	495.0861	1	5	
33	0	499.4162	0	460	1105	2857	4205	505	-0.5	200	0	1	501.5500	0	1	
34	1	506.3005	0	460	1105	2857	4205	505	-0.5	200	0	0	507.9422	1	1	
35	0	512.9202	1	460	1105	2857	4205	503	-9.5	200	0	0	516.9302	1	4	
36	0	521.2158	1	460	1105	2857	4205	509	-0.5	200	0	1	526.3350	0	2	
37	1	530.2460	0	460	1105	2857	4205	509	-0.5	200	0	0	531.4542	1	2	
38	0	535.6485	0	730	2058	2857	4205	511	-3.5	200	1	1	537.4533	1	0	
39	0	545.7298	1	730	2058	2857	4205	504	-3.5	200	1	0	550.6815	0	3	
40	1	554.3431	0	730	2058	2857	4205	504	-3.5	200	1	0	555.8149	0	3	
41	1	559.4808	0	730	2058	2857	4205	504	-3.5	200	1	0	561.0154	0	3	
42	1	567.2747	0	730	2058	2857	4205	504	-3.5	200	1	1	569.1907	1	3	
43	0	575.2199	0	460	1105	2857	4205	508	-6.5	200	0	1	576.7715	0	3	
44	1	581.2274	0	460	1105	2857	4205	508	-6.5	200	0	0	582.5122	1	3	
45	0	586.8211	1	730	2058	2857	4205	502	-12.5	200	1	0	591.2772	0	0	
46	1	596.2969	1	730	2058	2857	4205	502	-12.5	200	1	1	600.9491	1	0	
47	0	606.2734	1	730	2058	2857	4205	510	2.5	200	1	1	611.3627	1	4	
48	0	616.7726	1	460	1105	2857	4205	501	2.5	200	0	1	622.0843	0	4	
49	1	626.1095	1	460	1105	2857	4205	501	2.5	200	0	0	630.8051	1	4	
50	0	634.7372	0	460	1105	2857	4205	501	-12.5	200	0	0	639.4561	1	3	
51	0	643.2942	1	460	1105	2857	4205	504	-3.5	200	0	1	647.6861	0	0	
52	1	652.0369	0	460	1105	2857	4205	504	-3.5	200	0	0	653.7959	1	0	
53	0	658.1626	0	730	2058	2857	4205	505	-0.5	200	1	1	660.1832	1	0	
54	0	669.2779	0	730	2058	2857	4205	510	-12.5	200	1	0	671.0485	0	1	
55	1	678.9181	1	730	2058	2857	4205	510	-12.5	200	1	1	684.3691	1	1	
56	0	693.4980	1	460	1105	2857	4205	502	-3.5	200	0	0	699.1732	1	5	
57	0	702.6699	1	460	1105	2857	4205	509	-3.5	200	0	0	706.7154	1	4	
58	0	710.6032	0	730	2058	2857	4205	506	2.5	200	1	1	713.5929	1	5	
59	0	718.5936	0	460	1105	2857	4205	503	-3.5	200	0	1	722.6760	0	3	
60	1	726.5311	0	460	1105	2857	4205	503	-3.5	200	0	0	728.0824	1	3	
61	0	736.5316	0	730	2058	2857	4205	507	-12.5	200	1	1	738.3073	1	2	
62	0	742.9778	1	460	1105	2857	4205	511	-12.5	200	0	0	748.0791	1	4	
63	0	751.4252	0	730	2058	2857	4205	510	2.5	200	1	1	753.5904	1	1	
64	0	758.5084	1	460	1105	2857	4205	507	2.5	200	0	1	764.2741	0	2	
65	1	768.2081	0	460	1105	2857	4205	507	2.5	200	0	0	770.0487	1	2	
66	0	774.3287	1	460	1105	2857	4205	511	-6.5	200	0	0	778.3209	1	1	
67	0	781.9361	1	730	2058	2857	4205	502	-6.5	200	1	1	786.7716	1	2	
68	0	791.8102	0	460	1105	2857	4205	503	-12.5	200	0	0	793.9527	1	1	
69	0	797.7689	0	730	2058	2857	4205	501	-9.5	200	1	1	799.6743	1	1	
70	0	803.9267	1	460	1105	2857	4205	508	2.5	200	0	1	808.2278	0	1	
71	1	812.7326	1	460	1105	2857	4205	508	2.5	200	0	0	816.9087	1	1	
72	0	820.9302	0	460	1105	2857	4205	504	-6.5	200	0	1	822.7348	0	0	
73	1	827.5203	1	460	1105	2857	4205	504	-6.5	200	0	1	832.5910	0	0	
74	1	840.8687	1	460	1105	2857	4205	504	-6.5	200	0	0	844.9812	1	0	
75	0	848.8193	1	460	1105	2857	4205	509	-6.5	200	0	0	852.3659	1	5	
76	0	855.9920	0	730	2058	2857	4205	506	-3.5	200	1	1	857.9649	1	4	
77	0	864.1030	1	730	2058	2857	4205	508	-0.5	200	1	1	868.5393	1	2	
78	0	872.9800	0	730	2058	2857	4205	509	-0.5	200	1	1	878.2556	1	3	
79	0	883.1044	0	730	2058	2857	4205	503	-12.5	200	1	1	885.3928	1	4	
80	0	890.1479	1	730	2058	2857	4205	504	-0.5	200	1	1	895.7148	1	4	
81	0	900.3803	1	460	1105	2857	4205	501	-9.5	200	0	0	904.5291	1	5	
82	0	907.8161	0	460	1105	2857	4205	505	-9.5	200	0	1	910.1115	0	1	
83	1	914.3055	1	460	1105	2857	4205	505	-9.5	200	0	0	918.3243	1	1	
84	0	922.2622	1	730	2058	2857	4205	510	-3.5	200	1	1	926.5687	1	5	
85	0	931.7700	0	730	2058	2857	4205	511	2.5	200	1	1	936.7795	1	2	
