Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	noiseAtten	opto	laserOnset	laserOffset	
63	0	795.179	0	460	1105	2857	4205	701	3.3	200	0	8	796.085	1	10	0	-150	100	
64	0	807.805	0	460	1105	2857	4205	901	-10.0	200	0	8	808.349	1	10	1	-150	100	
65	0	822.904	0	460	1105	2857	4205	1001	-3.3	200	0	8	823.587	1	10	0	-150	100	
66	0	833.336	0	730	2058	2857	4205	501	6.7	200	1	2	834.410	1	10	0	-150	100	
67	0	845.303	0	730	2058	2857	4205	601	0.0	200	1	2	846.105	1	10	1	-150	100	
68	0	859.548	0	730	2058	2857	4205	801	-6.7	200	1	2	860.240	1	10	0	-150	100	
69	0	869.618	0	730	2058	2857	4205	1001	0.0	200	1	2	870.302	1	10	1	-150	100	
70	0	879.563	0	460	1105	2857	4205	701	3.3	200	0	2	880.390	0	10	1	-150	100	
71	1	884.114	0	460	1105	2857	4205	701	3.3	200	0	2	885.023	0	10	0	-150	100	
72	1	894.603	0	460	1105	2857	4205	701	3.3	200	0	8	895.443	1	10	0	-150	100	
73	0	908.586	0	730	2058	2857	4205	801	-6.7	200	1	2	909.456	1	10	0	-150	100	
74	0	923.289	0	730	2058	2857	4205	1001	-10.0	200	1	2	924.117	1	10	0	-150	100	
75	0	932.548	0	460	1105	2857	4205	701	6.7	200	0	8	933.177	1	10	0	-150	100	
76	0	942.925	0	460	1105	2857	4205	501	10.0	200	0	8	943.910	1	10	1	-150	100	
77	0	952.111	0	460	1105	2857	4205	601	6.7	200	0	8	952.903	1	10	0	-150	100	
78	0	973.166	0	730	2058	2857	4205	701	-10.0	200	1	2	973.861	1	10	1	-150	100	
79	0	981.431	0	460	1105	2857	4205	501	-6.7	200	0	8	982.307	1	10	0	-150	100	
80	0	990.464	0	730	2058	2857	4205	601	0.0	200	1	8	991.300	0	10	1	-150	100	
81	1	998.053	0	730	2058	2857	4205	601	0.0	200	1	2	999.015	1	10	0	-150	100	
82	0	1007.836	0	460	1105	2857	4205	1001	10.0	200	0	2	1008.788	0	10	0	-150	100	
83	1	1017.640	0	460	1105	2857	4205	1001	10.0	200	0	2	1018.345	0	10	0	-150	100	
