Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	noiseAtten	opto	laserOnset	laserOffset	
1	0	5.610	0	730	2058	2857	4205	901	-3.3	200	1	8	6.681	0	10	0	-150	100	
2	1	10.620	0	730	2058	2857	4205	901	-3.3	200	1	8	11.436	0	10	0	-150	100	
3	1	19.148	0	730	2058	2857	4205	901	-3.3	200	1	8	20.196	0	10	0	-150	100	
4	1	27.387	0	730	2058	2857	4205	901	-3.3	200	1	2	29.000	1	10	0	-150	100	
5	0	46.258	0	460	1105	2857	4205	1001	0.0	200	0	8	47.009	1	10	1	-150	100	
6	0	57.193	0	730	2058	2857	4205	801	-10.0	200	1	2	57.891	1	10	1	-150	100	
7	0	65.574	0	460	1105	2857	4205	701	10.0	200	0	8	66.189	1	10	0	-150	100	
8	0	78.578	0	730	2058	2857	4205	601	6.7	200	1	2	79.569	1	10	0	-150	100	
9	0	88.594	0	460	1105	2857	4205	601	3.3	200	0	8	89.143	1	10	0	-150	100	
10	0	98.896	0	730	2058	2857	4205	501	10.0	200	1	2	99.586	1	10	1	-150	100	
11	0	110.658	0	460	1105	2857	4205	1001	0.0	200	0	8	111.486	1	10	1	-150	100	
12	0	122.265	0	730	2058	2857	4205	701	3.3	200	1	8	122.878	0	10	0	-150	100	
13	1	129.316	0	730	2058	2857	4205	701	3.3	200	1	8	130.186	0	10	0	-150	100	
14	1	133.914	0	730	2058	2857	4205	701	3.3	200	1	8	134.714	0	10	0	-150	100	
15	1	138.511	0	730	2058	2857	4205	701	3.3	200	1	8	139.168	0	10	0	-150	100	
16	1	142.950	0	730	2058	2857	4205	701	3.3	200	1	2	143.880	1	10	0	-150	100	
17	0	158.315	0	460	1105	2857	4205	801	-6.7	200	0	8	158.975	1	10	0	-150	100	
18	0	170.837	0	730	2058	2857	4205	501	6.7	200	1	2	171.573	1	10	0	-150	100	
19	0	192.663	0	460	1105	2857	4205	801	-10.0	200	0	2	193.183	0	10	0	-150	100	
20	1	197.012	0	460	1105	2857	4205	801	-10.0	200	0	8	197.580	1	10	0	-150	100	
21	0	210.094	0	460	1105	2857	4205	601	-6.7	200	0	8	210.855	1	10	1	-150	100	
22	0	223.478	0	460	1105	2857	4205	901	10.0	200	0	2	224.240	0	10	1	-150	100	
23	1	230.997	0	460	1105	2857	4205	901	10.0	200	0	8	231.913	1	10	0	-150	100	
24	0	243.430	0	730	2058	2857	4205	701	-3.3	200	1	8	244.402	0	10	1	-150	100	
25	1	248.117	0	730	2058	2857	4205	701	-3.3	200	1	2	248.667	1	10	0	-150	100	
26	0	257.817	0	730	2058	2857	4205	501	-10.0	200	1	2	258.552	1	10	1	-150	100	
27	0	270.850	0	730	2058	2857	4205	701	6.7	200	1	2	271.911	1	10	0	-150	100	
28	0	280.959	0	460	1105	2857	4205	901	3.3	200	0	2	281.613	0	10	1	-150	100	
29	1	288.781	0	460	1105	2857	4205	901	3.3	200	0	8	289.373	1	10	0	-150	100	
30	0	307.295	0	730	2058	2857	4205	1001	-6.7	200	1	2	308.107	1	10	0	-150	100	
31	0	318.196	0	460	1105	2857	4205	601	-10.0	200	0	8	318.763	1	10	1	-150	100	
