Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	noiseAtten	opto	laserOnset	laserOffset	
1	0	38.886	0	460	1105	2857	4205	801	3.3	200	0	8	40.525	1	10	1	-150	100	
2	0	66.346	0	460	1105	2857	4205	601	-10.0	200	0	8	67.508	1	10	0	-150	100	
3	0	96.117	0	460	1105	2857	4205	901	-6.7	200	0	8	97.143	1	10	1	-150	100	
4	0	114.885	0	730	2058	2857	4205	501	10.0	200	1	2	116.371	1	10	1	-150	100	
5	0	127.327	0	730	2058	2857	4205	701	0.0	200	1	2	128.297	1	10	0	-150	100	
6	0	140.118	0	730	2058	2857	4205	601	-3.3	200	1	2	141.085	1	10	0	-150	100	
7	0	153.413	0	730	2058	2857	4205	701	-3.3	200	1	8	154.308	0	10	1	-150	100	
8	1	175.747	0	730	2058	2857	4205	701	-3.3	200	1	2	176.532	1	10	0	-150	100	
9	0	204.352	0	460	1105	2857	4205	1001	0.0	200	0	8	205.106	1	10	0	-150	100	
10	0	217.223	0	460	1105	2857	4205	901	-10.0	200	0	8	218.446	1	10	0	-150	100	
11	0	228.344	0	730	2058	2857	4205	501	-6.7	200	1	2	229.535	1	10	0	-150	100	
12	0	242.257	0	460	1105	2857	4205	1001	10.0	200	0	2	243.122	0	10	1	-150	100	
13	1	247.219	0	460	1105	2857	4205	1001	10.0	200	0	2	248.203	0	10	0	-150	100	
14	1	252.218	0	460	1105	2857	4205	1001	10.0	200	0	8	253.003	1	10	0	-150	100	
15	0	267.262	0	460	1105	2857	4205	801	3.3	200	0	2	268.075	0	10	0	-150	100	
16	1	271.919	0	460	1105	2857	4205	801	3.3	200	0	2	272.770	0	10	0	-150	100	
17	1	277.464	0	460	1105	2857	4205	801	3.3	200	0	8	278.674	1	10	0	-150	100	
18	0	295.667	0	730	2058	2857	4205	601	3.3	200	1	2	297.853	1	10	0	-150	100	
19	0	310.683	0	730	2058	2857	4205	701	-10.0	200	1	8	311.825	0	10	1	-150	100	
20	1	332.521	0	730	2058	2857	4205	701	-10.0	200	1	2	333.359	1	10	0	-150	100	
21	0	346.591	0	730	2058	2857	4205	501	-3.3	200	1	2	347.380	1	10	1	-150	100	
22	0	359.756	0	460	1105	2857	4205	1001	-6.7	200	0	8	360.702	1	10	1	-150	100	
23	0	374.876	0	730	2058	2857	4205	901	0.0	200	1	2	375.685	1	10	0	-150	100	
24	0	388.444	0	730	2058	2857	4205	801	6.7	200	1	2	389.426	1	10	1	-150	100	
25	0	401.973	0	460	1105	2857	4205	701	6.7	200	0	2	402.886	0	10	1	-150	100	
26	1	408.652	0	460	1105	2857	4205	701	6.7	200	0	8	409.524	1	10	0	-150	100	
27	0	431.771	0	460	1105	2857	4205	501	-3.3	200	0	8	433.140	1	10	0	-150	100	
28	0	454.311	0	460	1105	2857	4205	1001	-10.0	200	0	8	455.086	1	10	0	-150	100	
29	0	470.242	0	730	2058	2857	4205	601	10.0	200	1	2	471.392	1	10	0	-150	100	
30	0	509.067	0	460	1105	2857	4205	901	0.0	200	0	2	509.900	0	10	1	-150	100	
31	1	519.805	0	460	1105	2857	4205	901	0.0	200	0	8	520.800	1	10	0	-150	100	
32	0	531.205	0	730	2058	2857	4205	701	3.3	200	1	8	532.049	0	10	1	-150	100	
33	1	590.006	0	730	2058	2857	4205	701	3.3	200	1	2	591.168	1	10	0	-150	100	
34	0	599.145	0	730	2058	2857	4205	801	6.7	200	1	8	599.862	0	10	1	-150	100	
35	1	607.214	0	730	2058	2857	4205	801	6.7	200	1	8	608.220	0	10	0	-150	100	
36	1	615.996	0	730	2058	2857	4205	801	6.7	200	1	8	616.653	0	10	0	-150	100	
37	1	621.297	0	730	2058	2857	4205	801	6.7	200	1	2	622.309	1	10	0	-150	100	
38	0	642.904	0	730	2058	2857	4205	901	10.0	200	1	2	643.626	1	10	0	-150	100	
39	0	654.264	0	460	1105	2857	4205	601	3.3	200	0	2	655.007	0	10	0	-150	100	
40	1	662.165	0	460	1105	2857	4205	601	3.3	200	0	8	662.930	1	10	0	-150	100	
41	0	702.350	0	730	2058	2857	4205	801	-10.0	200	1	2	703.142	1	10	0	-150	100	
42	0	717.179	0	460	1105	2857	4205	1001	-3.3	200	0	8	717.959	1	10	1	-150	100	
43	0	727.537	0	460	1105	2857	4205	701	-6.7	200	0	8	728.292	1	10	0	-150	100	
44	0	798.601	0	730	2058	2857	4205	1001	-3.3	200	1	2	799.316	1	10	1	-150	100	
45	0	809.002	0	460	1105	2857	4205	501	3.3	200	0	2	809.807	0	10	1	-150	100	
