Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	noiseAtten	opto	laserOnset	laserOffset	
1	0	18.445	0	730	2058	2857	4205	501	6.7	200	1	8	19.218	0	10	1	-150	100	
2	1	22.792	0	730	2058	2857	4205	501	6.7	200	1	2	23.324	1	10	0	-150	100	
3	0	33.535	0	730	2058	2857	4205	601	3.3	200	1	2	34.250	1	10	0	-150	100	
4	0	84.972	0	460	1105	2857	4205	801	10.0	200	0	2	85.664	0	10	1	-150	100	
5	1	92.587	0	460	1105	2857	4205	801	10.0	200	0	8	93.253	1	10	0	-150	100	
6	0	118.694	0	460	1105	2857	4205	901	0.0	200	0	8	119.326	1	10	0	-150	100	
7	0	132.296	0	460	1105	2857	4205	1001	-10.0	200	0	2	132.822	0	10	0	-150	100	
8	1	159.373	0	460	1105	2857	4205	1001	-10.0	200	0	2	159.949	0	10	0	-150	100	
9	1	167.003	0	460	1105	2857	4205	1001	-10.0	200	0	8	167.790	1	10	0	-150	100	
10	0	178.742	0	460	1105	2857	4205	701	-3.3	200	0	2	179.358	0	10	1	-150	100	
11	1	185.363	0	460	1105	2857	4205	701	-3.3	200	0	8	186.057	1	10	0	-150	100	
12	0	207.060	0	730	2058	2857	4205	801	-6.7	200	1	8	207.827	0	10	0	-150	100	
13	1	212.685	0	730	2058	2857	4205	801	-6.7	200	1	2	213.196	1	10	0	-150	100	
14	0	233.133	0	730	2058	2857	4205	1001	10.0	200	1	8	233.972	0	10	1	-150	100	
15	1	256.371	0	730	2058	2857	4205	1001	10.0	200	1	2	256.916	1	10	0	-150	100	
16	0	274.027	0	460	1105	2857	4205	601	-3.3	200	0	2	275.428	0	10	0	-150	100	
17	1	288.808	0	460	1105	2857	4205	601	-3.3	200	0	8	289.403	1	10	0	-150	100	
18	0	301.747	0	730	2058	2857	4205	501	3.3	200	1	2	302.514	1	10	0	-150	100	
19	0	321.803	0	730	2058	2857	4205	801	0.0	200	1	2	322.629	1	10	1	-150	100	
20	0	340.332	0	730	2058	2857	4205	701	6.7	200	1	2	340.950	1	10	1	-150	100	
21	0	356.927	0	460	1105	2857	4205	601	-6.7	200	0	8	357.564	1	10	0	-150	100	
22	0	370.471	0	460	1105	2857	4205	901	6.7	200	0	2	371.039	0	10	1	-150	100	
23	1	376.834	0	460	1105	2857	4205	901	6.7	200	0	8	377.685	1	10	0	-150	100	
24	0	409.702	0	460	1105	2857	4205	1001	3.3	200	0	2	410.623	0	10	1	-150	100	
25	1	428.836	0	460	1105	2857	4205	1001	3.3	200	0	8	429.575	1	10	0	-150	100	
26	0	440.466	0	730	2058	2857	4205	501	10.0	200	1	2	441.420	1	10	0	-150	100	
27	0	462.454	0	730	2058	2857	4205	1001	-3.3	200	1	2	462.977	1	10	1	-150	100	
28	0	477.364	0	460	1105	2857	4205	701	0.0	200	0	8	478.186	1	10	1	-150	100	
29	0	486.846	0	730	2058	2857	4205	601	10.0	200	1	2	487.371	1	10	0	-150	100	
30	0	499.946	0	460	1105	2857	4205	901	0.0	200	0	8	500.695	1	10	1	-150	100	
31	0	509.448	0	730	2058	2857	4205	501	-10.0	200	1	2	509.994	1	10	1	-150	100	
32	0	528.045	0	460	1105	2857	4205	1001	-6.7	200	0	8	528.638	1	10	0	-150	100	
33	0	538.692	0	460	1105	2857	4205	601	6.7	200	0	8	539.484	1	10	0	-150	100	
34	0	553.400	0	730	2058	2857	4205	901	3.3	200	1	2	553.880	1	10	0	-150	100	
35	0	564.894	0	730	2058	2857	4205	701	0.0	200	1	2	565.432	1	10	0	-150	100	
36	0	579.437	0	730	2058	2857	4205	701	-6.7	200	1	2	580.000	1	10	0	-150	100	
37	0	605.653	0	460	1105	2857	4205	801	3.3	200	0	8	606.404	1	10	0	-150	100	
38	0	632.898	0	730	2058	2857	4205	1001	10.0	200	1	8	633.516	0	10	1	-150	100	
39	1	641.341	0	730	2058	2857	4205	1001	10.0	200	1	2	642.429	1	10	0	-150	100	
40	0	662.304	0	460	1105	2857	4205	901	-3.3	200	0	8	662.945	1	10	1	-150	100	
41	0	673.850	0	730	2058	2857	4205	501	6.7	200	1	2	674.400	1	10	1	-150	100	
42	0	686.239	0	460	1105	2857	4205	501	0.0	200	0	8	686.973	1	10	1	-150	100	
43	0	708.102	0	460	1105	2857	4205	801	-6.7	200	0	8	708.672	1	10	0	-150	100	
44	0	729.674	0	730	2058	2857	4205	601	-10.0	200	1	2	730.192	1	10	1	-150	100	
45	0	761.911	0	460	1105	2857	4205	901	6.7	200	0	8	762.459	1	10	1	-150	100	
46	0	787.784	0	460	1105	2857	4205	1001	3.3	200	0	8	788.533	1	10	0	-150	100	
47	0	809.293	0	460	1105	2857	4205	701	10.0	200	0	2	809.946	0	10	0	-150	100	
48	1	819.802	0	460	1105	2857	4205	701	10.0	200	0	8	820.633	1	10	0	-150	100	
49	0	843.502	0	460	1105	2857	4205	801	-6.7	200	0	8	844.113	1	10	1	-150	100	
50	0	874.791	0	730	2058	2857	4205	1001	-10.0	200	1	2	875.339	1	10	0	-150	100	
51	0	894.683	0	730	2058	2857	4205	901	6.7	200	1	2	896.547	1	10	1	-150	100	
52	0	909.007	0	730	2058	2857	4205	601	0.0	200	1	2	909.777	1	10	0	-150	100	
53	0	923.038	0	730	2058	2857	4205	701	3.3	200	1	8	923.678	0	10	0	-150	100	
54	1	930.167	0	730	2058	2857	4205	701	3.3	200	1	2	931.015	1	10	0	-150	100	
55	0	971.189	0	460	1105	2857	4205	1001	-3.3	200	0	8	972.103	1	10	1	-150	100	
56	0	982.086	0	730	2058	2857	4205	901	6.7	200	1	2	982.685	1	10	1	-150	100	
57	0	1004.578	0	730	2058	2857	4205	801	-3.3	200	1	2	1005.244	1	10	1	-150	100	
58	0	1014.246	0	460	1105	2857	4205	501	10.0	200	0	2	1014.935	0	10	0	-150	100	
59	1	1018.496	0	460	1105	2857	4205	501	10.0	200	0	8	1019.345	1	10	0	-150	100	
60	0	1037.023	0	730	2058	2857	4205	801	-6.7	200	1	2	1039.283	1	10	0	-150	100	
61	0	1071.307	0	460	1105	2857	4205	701	-10.0	200	0	2	1071.773	0	10	0	-150	100	
62	1	1078.403	0	460	1105	2857	4205	701	-10.0	200	0	8	1079.045	1	10	0	-150	100	
63	0	1095.876	0	460	1105	2857	4205	501	3.3	200	0	2	1096.840	0	10	1	-150	100	
64	1	1103.450	0	460	1105	2857	4205	501	3.3	200	0	2	1104.111	0	10	0	-150	100	
65	1	1110.225	0	460	1105	2857	4205	501	3.3	200	0	8	1111.021	1	10	0	-150	100	
66	0	1120.346	0	460	1105	2857	4205	601	10.0	200	0	2	1121.016	0	10	0	-150	100	
67	1	1129.474	0	460	1105	2857	4205	601	10.0	200	0	8	1130.531	1	10	0	-150	100	
68	0	1148.035	0	730	2058	2857	4205	1001	6.7	200	1	2	1148.551	1	10	0	-150	100	
69	0	1173.648	0	730	2058	2857	4205	901	-3.3	200	1	2	1174.210	1	10	1	-150	100	
70	0	1187.058	0	460	1105	2857	4205	601	-10.0	200	0	8	1187.599	1	10	1	-150	100	
71	0	1200.241	0	460	1105	2857	4205	701	-6.7	200	0	2	1201.044	0	10	1	-150	100	
72	1	1206.946	0	460	1105	2857	4205	701	-6.7	200	0	8	1207.584	1	10	0	-150	100	
73	0	1232.729	0	730	2058	2857	4205	1001	3.3	200	1	2	1233.541	1	10	1	-150	100	
74	0	1242.291	0	730	2058	2857	4205	501	-10.0	200	1	2	1243.039	1	10	0	-150	100	
75	0	1252.070	0	460	1105	2857	4205	501	10.0	200	0	8	1252.933	1	10	0	-150	100	
76	0	1274.294	0	460	1105	2857	4205	1001	-6.7	200	0	8	1274.841	1	10	1	-150	100	
77	0	1300.378	0	730	2058	2857	4205	901	0.0	200	1	2	1300.946	1	10	0	-150	100	
78	0	1322.834	0	730	2058	2857	4205	601	-3.3	200	1	2	1323.411	1	10	0	-150	100	
79	0	1337.902	0	460	1105	2857	4205	801	3.3	200	0	2	1339.621	0	10	0	-150	100	
80	1	1372.924	0	460	1105	2857	4205	801	3.3	200	0	2	1373.674	0	10	0	-150	100	
81	1	1381.089	0	460	1105	2857	4205	801	3.3	200	0	2	1381.713	0	10	0	-150	100	
82	1	1387.601	0	460	1105	2857	4205	801	3.3	200	0	2	1388.287	0	10	0	-150	100	
83	1	1395.731	0	460	1105	2857	4205	801	3.3	200	0	8	1396.469	1	10	0	-150	100	
84	0	1409.888	0	460	1105	2857	4205	901	10.0	200	0	2	1410.581	0	10	0	-150	100	
85	1	1417.646	0	460	1105	2857	4205	901	10.0	200	0	2	1419.720	0	10	0	-150	100	
86	1	1427.409	0	460	1105	2857	4205	901	10.0	200	0	8	1428.116	1	10	0	-150	100	
87	0	1440.781	0	730	2058	2857	4205	601	-10.0	200	1	2	1441.368	1	10	1	-150	100	
88	0	1448.707	0	460	1105	2857	4205	701	-6.7	200	0	2	1449.252	0	10	1	-150	100	
89	1	1455.678	0	460	1105	2857	4205	701	-6.7	200	0	8	1456.541	1	10	0	-150	100	
90	0	1471.879	0	730	2058	2857	4205	1001	3.3	200	1	2	1473.654	1	10	1	-150	100	
91	0	1484.838	0	730	2058	2857	4205	801	6.7	200	1	2	1485.435	1	10	0	-150	100	
92	0	1499.667	0	730	2058	2857	4205	701	-3.3	200	1	8	1500.387	0	10	1	-150	100	
93	1	1504.784	0	730	2058	2857	4205	701	-3.3	200	1	2	1505.542	1	10	0	-150	100	
94	0	1532.112	0	730	2058	2857	4205	901	6.7	200	1	8	1532.867	0	10	1	-150	100	
95	1	1541.093	0	730	2058	2857	4205	901	6.7	200	1	2	1541.703	1	10	0	-150	100	
96	0	1552.275	0	460	1105	2857	4205	501	3.3	200	0	8	1553.001	1	10	0	-150	100	
97	0	1621.703	0	460	1105	2857	4205	1001	-3.3	200	0	8	1622.479	1	10	0	-150	100	
98	0	1634.663	0	460	1105	2857	4205	601	-6.7	200	0	2	1635.365	0	10	1	-150	100	
99	1	1646.055	0	460	1105	2857	4205	601	-6.7	200	0	8	1646.705	1	10	0	-150	100	
100	0	1689.094	0	730	2058	2857	4205	1001	10.0	200	1	8	1689.877	0	10	0	-150	100	
101	1	1696.706	0	730	2058	2857	4205	1001	10.0	200	1	2	1697.251	1	10	0	-150	100	
102	0	1715.022	0	460	1105	2857	4205	501	0.0	200	0	8	1715.674	1	10	1	-150	100	
103	0	1730.655	0	730	2058	2857	4205	901	6.7	200	1	2	1731.289	1	10	1	-150	100	
104	0	1740.193	0	730	2058	2857	4205	601	3.3	200	1	2	1740.895	1	10	1	-150	100	
105	0	1776.507	0	460	1105	2857	4205	801	0.0	200	0	8	1777.166	1	10	0	-150	100	
106	0	1789.402	0	460	1105	2857	4205	701	-10.0	200	0	8	1790.198	1	10	1	-150	100	
107	0	1814.660	0	460	1105	2857	4205	901	-6.7	200	0	8	1815.391	1	10	0	-150	100	
108	0	1835.555	0	460	1105	2857	4205	1001	10.0	200	0	2	1836.715	0	10	1	-150	100	
109	1	1851.449	0	460	1105	2857	4205	1001	10.0	200	0	2	1852.197	0	10	0	-150	100	
110	1	1857.142	0	460	1105	2857	4205	1001	10.0	200	0	8	1857.893	1	10	0	-150	100	
111	0	1867.079	0	730	2058	2857	4205	601	0.0	200	1	8	1867.893	0	10	0	-150	100	
112	1	1871.674	0	730	2058	2857	4205	601	0.0	200	1	8	1872.609	0	10	0	-150	100	
113	1	1876.435	0	730	2058	2857	4205	601	0.0	200	1	8	1877.490	0	10	0	-150	100	
114	1	1881.113	0	730	2058	2857	4205	601	0.0	200	1	2	1881.728	1	10	0	-150	100	
115	0	1889.758	0	730	2058	2857	4205	801	6.7	200	1	2	1890.340	1	10	0	-150	100	
116	0	1906.473	0	460	1105	2857	4205	701	-10.0	200	0	8	1907.287	1	10	0	-150	100	
117	0	1915.224	0	730	2058	2857	4205	901	3.3	200	1	2	1915.784	1	10	1	-150	100	
118	0	1944.991	0	730	2058	2857	4205	1001	10.0	200	1	8	1945.738	0	10	0	-150	100	
119	1	1975.982	0	730	2058	2857	4205	1001	10.0	200	1	2	1976.948	1	10	0	-150	100	
120	0	1992.860	0	730	2058	2857	4205	801	-6.7	200	1	2	1993.451	1	10	0	-150	100	
121	0	2004.253	0	460	1105	2857	4205	601	0.0	200	0	2	2005.007	0	10	1	-150	100	
122	1	2011.320	0	460	1105	2857	4205	601	0.0	200	0	8	2012.331	1	10	0	-150	100	
123	0	2026.384	0	460	1105	2857	4205	801	-6.7	200	0	8	2026.943	1	10	1	-150	100	
124	0	2039.286	0	460	1105	2857	4205	701	-10.0	200	0	8	2039.908	1	10	0	-150	100	
125	0	2048.810	0	730	2058	2857	4205	601	6.7	200	1	2	2049.417	1	10	1	-150	100	
126	0	2064.860	0	730	2058	2857	4205	1001	-3.3	200	1	2	2066.599	1	10	0	-150	100	
127	0	2082.277	0	460	1105	2857	4205	501	3.3	200	0	8	2083.124	1	10	1	-150	100	
128	0	2098.387	0	730	2058	2857	4205	701	6.7	200	1	2	2099.081	1	10	0	-150	100	
129	0	2107.984	0	730	2058	2857	4205	601	-3.3	200	1	2	2108.677	1	10	1	-150	100	
130	0	2119.032	0	460	1105	2857	4205	501	0.0	200	0	8	2119.675	1	10	0	-150	100	
131	0	2134.368	0	460	1105	2857	4205	801	-6.7	200	0	8	2134.986	1	10	0	-150	100	
132	0	2150.634	0	730	2058	2857	4205	901	-10.0	200	1	2	2152.468	1	10	1	-150	100	
133	0	2175.704	0	460	1105	2857	4205	801	3.3	200	0	2	2176.318	0	10	1	-150	100	
134	1	2200.012	0	460	1105	2857	4205	801	3.3	200	0	2	2200.759	0	10	0	-150	100	
