Sample,Month,Day,Year,Hour,Minute,Second,Loop_L,ambient_L,Loop_R,ambient_R
94,12,2,2014,15,45,48,5537,20.6,5537,20.3
95,12,2,2014,15,45,49,5537,20.6,5537,20.3
96,12,2,2014,15,45,50,5537,20.6,5537,20.3
97,12,2,2014,15,45,51,5537,20.6,5537,20.3
98,12,2,2014,15,45,52,5537,20.6,5537,20.3
99,12,2,2014,15,45,53,5537,20.6,5537,20.3
100,12,2,2014,15,45,54,5537,20.6,5537,20.3
101,12,2,2014,15,45,55,5537,20.6,5537,20.3
102,12,2,2014,15,45,56,5537,20.6,5537,20.3
103,12,2,2014,15,45,57,5537,20.6,5537,20.3
104,12,2,2014,15,45,58,5537,20.6,5537,20.3
105,12,2,2014,15,45,59,5537,20.6,5537,20.3
106,12,2,2014,15,46,0,5537,20.6,5537,20.3
107,12,2,2014,15,46,1,5537,20.6,5537,20.3
108,12,2,2014,15,46,2,5537,20.6,5537,20.3
109,12,2,2014,15,46,3,5537,20.6,5537,20.3
110,12,2,2014,15,46,4,5537,20.6,5537,20.3
111,12,2,2014,15,46,5,5537,20.6,5537,20.3
112,12,2,2014,15,46,6,5537,20.6,5537,20.3
113,12,2,2014,15,46,7,5537,20.6,5537,20.3
114,12,2,2014,15,46,8,5537,20.6,5537,20.3
115,12,2,2014,15,46,9,5537,20.6,5537,20.3
116,12,2,2014,15,46,10,5537,20.6,5537,20.3
117,12,2,2014,15,46,11,5537,20.6,5537,20.3
118,12,2,2014,15,46,12,5537,20.6,5537,20.3
119,12,2,2014,15,46,13,5537,20.6,5537,20.3
120,12,2,2014,15,46,14,5537,20.6,5537,20.3
121,12,2,2014,15,46,15,5537,20.6,5537,20.3
122,12,2,2014,15,46,16,5537,20.6,5537,20.3
123,12,2,2014,15,46,17,5537,20.6,5537,20.3
124,12,2,2014,15,46,18,5537,20.6,5537,20.3
125,12,2,2014,15,46,19,5537,20.6,5537,20.3
126,12,2,2014,15,46,20,5537,20.6,5537,20.3
127,12,2,2014,15,46,21,5537,20.6,5537,20.3
128,12,2,2014,15,46,22,5537,20.6,5537,20.3
129,12,2,2014,15,46,23,5537,20.6,5537,20.3
130,12,2,2014,15,46,24,5537,20.6,5537,20.3
131,12,2,2014,15,46,25,5537,20.6,5537,20.3
132,12,2,2014,15,46,26,5537,20.6,5537,20.3
133,12,2,2014,15,46,27,5537,20.6,5537,20.3
134,12,2,2014,15,46,28,5537,20.6,5537,20.3
135,12,2,2014,15,46,29,5537,20.6,5537,20.3
136,12,2,2014,15,46,30,5537,20.6,5537,20.3
137,12,2,2014,15,46,31,5537,20.6,5537,20.3
138,12,2,2014,15,46,32,5537,20.6,5537,20.3
139,12,2,2014,15,46,33,5537,20.6,5537,20.3
140,12,2,2014,15,46,34,5537,20.6,5537,20.3
141,12,2,2014,15,46,35,5537,20.6,5537,20.3
142,12,2,2014,15,46,36,5537,20.6,5537,20.3
143,12,2,2014,15,46,37,5537,20.6,5537,20.3
144,12,2,2014,15,46,38,5537,20.6,5537,20.3
145,12,2,2014,15,46,39,5537,20.6,5537,20.3
146,12,2,2014,15,46,40,5537,20.6,5537,20.3
147,12,2,2014,15,46,41,5537,20.6,5537,20.3
