Sample,Month,Day,Year,Hour,Minute,Second,Loop_L,ambient_L,Loop_R,ambient_R
94,12,12,2014,14,8,10,5537,20.3,5537,20.3
95,12,12,2014,14,8,11,5537,20.3,5537,20.3
96,12,12,2014,14,8,12,5537,20.3,5537,20.3
97,12,12,2014,14,8,13,5537,20.3,5537,20.3
98,12,12,2014,14,8,14,5537,20.3,5537,20.3
99,12,12,2014,14,8,15,5537,20.3,5537,20.3
100,12,12,2014,14,8,16,5537,20.3,5537,20.3
101,12,12,2014,14,8,17,5537,20.3,5537,20.3
102,12,12,2014,14,8,18,5537,20.3,5537,20.3
103,12,12,2014,14,8,19,5537,20.3,5537,20.3
104,12,12,2014,14,8,20,5537,20.3,5537,20.3
105,12,12,2014,14,8,21,5537,20.3,5537,20.3
106,12,12,2014,14,8,22,5537,20.3,5537,20.3
107,12,12,2014,14,8,23,5537,20.3,5537,20.3
108,12,12,2014,14,8,24,5537,20.3,5537,20.3
109,12,12,2014,14,8,25,5537,20.3,5537,20.3
110,12,12,2014,14,8,26,5537,20.3,5537,20.3
111,12,12,2014,14,8,27,5537,20.3,5537,20.3
112,12,12,2014,14,8,28,5537,20.3,5537,20.3
113,12,12,2014,14,8,29,5537,20.3,5537,20.3
114,12,12,2014,14,8,30,5537,20.3,5537,20.3
115,12,12,2014,14,8,31,5537,20.3,5537,20.3
116,12,12,2014,14,8,32,5537,20.3,5537,20.3
117,12,12,2014,14,8,33,5537,20.3,5537,20.3
118,12,12,2014,14,8,34,5537,20.3,5537,20.3
119,12,12,2014,14,8,35,5537,20.3,5537,20.3
120,12,12,2014,14,8,36,5537,20.3,5537,20.3
121,12,12,2014,14,8,37,5537,20.3,5537,20.3
122,12,12,2014,14,8,38,5537,20.3,5537,20.3
123,12,12,2014,14,8,39,5537,20.3,5537,20.3
124,12,12,2014,14,8,40,5537,20.3,5537,20.3
125,12,12,2014,14,8,41,5537,20.3,5537,20.3
126,12,12,2014,14,8,42,5537,20.3,5537,20.3
127,12,12,2014,14,8,43,5537,20.3,5537,20.3
128,12,12,2014,14,8,44,5537,20.3,5537,20.3
129,12,12,2014,14,8,45,5537,20.3,5537,20.3
130,12,12,2014,14,8,46,5537,20.3,5537,20.3
131,12,12,2014,14,8,47,5537,20.3,5537,20.3
132,12,12,2014,14,8,48,5537,20.3,5537,20.3
133,12,12,2014,14,8,49,5537,20.3,5537,20.3
134,12,12,2014,14,8,50,5537,20.3,5537,20.3
135,12,12,2014,14,8,51,5537,20.3,5537,20.3
136,12,12,2014,14,8,52,5537,20.3,5537,20.3
137,12,12,2014,14,8,53,5537,20.3,5537,20.3
138,12,12,2014,14,8,54,5537,20.3,5537,20.3
139,12,12,2014,14,8,55,5537,20.3,5537,20.3
140,12,12,2014,14,8,56,5537,20.3,5537,20.3
141,12,12,2014,14,8,57,5537,20.3,5537,20.3
142,12,12,2014,14,8,58,5537,20.3,5537,20.3
143,12,12,2014,14,8,59,5537,20.3,5537,20.3
144,12,12,2014,14,9,0,5537,20.3,5537,20.3
145,12,12,2014,14,9,1,5537,20.3,5537,20.3
146,12,12,2014,14,9,3,5537,20.3,5537,20.3
147,12,12,2014,14,9,4,5537,20.3,5537,20.3
148,12,12,2014,14,9,5,5537,20.3,5537,20.3
149,12,12,2014,14,9,6,5537,20.3,5537,20.3
150,12,12,2014,14,9,7,5537,20.3,5537,20.3
151,12,12,2014,14,9,8,5537,20.3,5537,20.3
152,12,12,2014,14,9,9,5537,20.3,5537,20.3
153,12,12,2014,14,9,10,5537,20.3,5537,20.3
154,12,12,2014,14,9,11,5537,20.3,5537,20.3
155,12,12,2014,14,9,12,5537,20.3,5537,20.3
156,12,12,2014,14,9,13,5537,20.3,5537,20.3
157,12,12,2014,14,9,14,5537,20.3,5537,20.3
158,12,12,2014,14,9,15,5537,20.3,5537,20.3
159,12,12,2014,14,9,16,5537,20.3,5537,20.3
160,12,12,2014,14,9,17,5537,20.3,5537,20.3
161,12,12,2014,14,9,18,5537,20.3,5537,20.3
162,12,12,2014,14,9,19,5537,20.3,5537,20.3
163,12,12,2014,14,9,20,5537,20.3,5537,20.3
164,12,12,2014,14,9,21,5537,20.3,5537,20.3
165,12,12,2014,14,9,22,5537,20.3,5537,20.3
166,12,12,2014,14,9,23,5537,20.3,5537,20.3
167,12,12,2014,14,9,24,5537,20.3,5537,20.3
168,12,12,2014,14,9,25,5537,20.3,5537,20.3
169,12,12,2014,14,9,26,5537,20.3,5537,20.3
170,12,12,2014,14,9,27,5537,20.3,5537,20.3
171,12,12,2014,14,9,28,5537,20.3,5537,20.3
172,12,12,2014,14,9,29,5537,20.3,5537,20.3
173,12,12,2014,14,9,30,5537,20.3,5537,20.3
174,12,12,2014,14,9,31,5537,20.3,5537,20.3
175,12,12,2014,14,9,32,5537,20.3,5537,20.3
176,12,12,2014,14,9,33,5537,20.3,5537,20.3
177,12,12,2014,14,9,34,5537,20.3,5537,20.3
178,12,12,2014,14,9,35,5537,20.3,5537,20.3
179,12,12,2014,14,9,36,5537,20.3,5537,20.3
180,12,12,2014,14,9,37,5537,20.3,5537,20.3
181,12,12,2014,14,9,38,5537,20.3,5537,20.3
182,12,12,2014,14,9,39,5537,20.3,5537,20.3
183,12,12,2014,14,9,40,5537,20.3,5537,20.3
184,12,12,2014,14,9,41,5537,20.3,5537,20.3
185,12,12,2014,14,9,42,5537,20.3,5537,20.3
186,12,12,2014,14,9,43,5537,20.3,5537,20.3
187,12,12,2014,14,9,44,5537,20.3,5537,20.3
188,12,12,2014,14,9,45,5537,20.3,5537,20.3
189,12,12,2014,14,9,46,5537,20.3,5537,20.3
190,12,12,2014,14,9,47,5537,20.3,5537,20.3
191,12,12,2014,14,9,48,5537,20.3,5537,20.3
192,12,12,2014,14,9,49,5537,20.3,5537,20.3
193,12,12,2014,14,9,50,5537,20.3,5537,20.3
194,12,12,2014,14,9,51,5537,20.3,5537,20.3
195,12,12,2014,14,9,52,5537,20.3,5537,20.3
196,12,12,2014,14,9,53,5537,20.3,5537,20.3
197,12,12,2014,14,9,54,5537,20.3,5537,20.3
198,12,12,2014,14,9,55,5537,20.3,5537,20.3
199,12,12,2014,14,9,56,5537,20.3,5537,20.3
200,12,12,2014,14,9,57,5537,20.3,5537,20.3
201,12,12,2014,14,9,58,5537,20.3,5537,20.3
202,12,12,2014,14,9,59,5537,20.3,5537,20.3
203,12,12,2014,14,10,0,5537,20.3,5537,20.3
204,12,12,2014,14,10,1,5537,20.3,5537,20.3
205,12,12,2014,14,10,2,5537,20.3,5537,20.3
206,12,12,2014,14,10,3,5537,20.3,5537,20.3
207,12,12,2014,14,10,4,5537,20.3,5537,20.3
208,12,12,2014,14,10,5,5537,20.3,5537,20.3
209,12,12,2014,14,10,6,5537,20.3,5537,20.3
210,12,12,2014,14,10,7,5537,20.3,5537,20.3
211,12,12,2014,14,10,8,5537,20.3,5537,20.3
212,12,12,2014,14,10,9,5537,20.3,5537,20.3
213,12,12,2014,14,10,10,5537,20.3,5537,20.3
214,12,12,2014,14,10,11,5537,20.3,5537,20.3
215,12,12,2014,14,10,12,5537,20.3,5537,20.3
216,12,12,2014,14,10,13,5537,20.3,5537,20.3
217,12,12,2014,14,10,15,5537,20.3,5537,20.3
218,12,12,2014,14,10,16,5537,20.3,5537,20.3
219,12,12,2014,14,10,17,5537,20.3,5537,20.3
220,12,12,2014,14,10,18,5537,20.3,5537,20.3
221,12,12,2014,14,10,19,5537,20.3,5537,20.3
222,12,12,2014,14,10,20,5537,20.3,5537,20.3
223,12,12,2014,14,10,21,5537,20.3,5537,20.3
224,12,12,2014,14,10,22,5537,20.3,5537,20.3
225,12,12,2014,14,10,23,5537,20.3,5537,20.3
226,12,12,2014,14,10,24,5537,20.3,5537,20.3
227,12,12,2014,14,10,25,5537,20.3,5537,20.3
228,12,12,2014,14,10,26,5537,20.3,5537,20.3
229,12,12,2014,14,10,27,5537,20.3,5537,20.3
230,12,12,2014,14,10,28,5537,20.3,5537,20.3
231,12,12,2014,14,10,29,5537,20.3,5537,20.3
232,12,12,2014,14,10,30,5537,20.3,5537,20.3
233,12,12,2014,14,10,31,5537,20.3,5537,20.3
234,12,12,2014,14,10,32,5537,20.3,5537,20.3
235,12,12,2014,14,10,33,5537,20.3,5537,20.3
236,12,12,2014,14,10,34,5537,20.3,5537,20.3
237,12,12,2014,14,10,35,5537,20.3,5537,20.3
238,12,12,2014,14,10,36,5537,20.3,5537,20.3
239,12,12,2014,14,10,37,5537,20.3,5537,20.3
240,12,12,2014,14,10,38,5537,20.3,5537,20.3
241,12,12,2014,14,10,39,5537,20.3,5537,20.3
242,12,12,2014,14,10,40,5537,20.3,5537,20.3
243,12,12,2014,14,10,41,5537,20.3,5537,20.3
244,12,12,2014,14,10,42,5537,20.3,5537,20.3
245,12,12,2014,14,10,43,5537,20.3,5537,20.3
246,12,12,2014,14,10,44,5537,20.3,5537,20.3
247,12,12,2014,14,10,45,5537,20.3,5537,20.3
248,12,12,2014,14,10,46,5537,20.3,5537,20.3
249,12,12,2014,14,10,47,5537,20.3,5537,20.3
250,12,12,2014,14,10,48,5537,20.3,5537,20.3
251,12,12,2014,14,10,49,5537,20.3,5537,20.3
252,12,12,2014,14,10,50,5537,20.3,5537,20.3
253,12,12,2014,14,10,51,5537,20.3,5537,20.3
