Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	
1	0	10.7180	0	460	1105	2857	4205	1001	-10.0	200	0	0	13.3237	1	3	
2	0	24.0271	0	460	1105	2857	4205	601	-10.0	200	0	0	27.0920	1	0	
3	0	37.4833	0	730	2058	2857	4205	801	-12.0	200	1	1	39.1416	1	3	
4	0	46.4379	0	460	1105	2857	4205	851	-10.0	200	0	1	47.0603	0	1	
5	1	55.0970	0	460	1105	2857	4205	851	-10.0	200	0	0	55.7682	1	1	
6	0	61.9045	0	730	2058	2857	4205	751	-12.0	200	1	1	62.7555	1	2	
7	0	70.8365	0	460	1105	2857	4205	951	-10.0	200	0	0	71.5062	1	3	
8	0	78.6620	0	730	2058	2857	4205	701	-12.0	200	1	0	79.7345	0	1	
9	1	87.4843	1	730	2058	2857	4205	701	-12.0	200	1	1	88.5583	1	1	
10	0	93.3568	0	730	2058	2857	4205	551	-12.0	200	1	1	94.7906	1	0	
11	0	102.7867	0	460	1105	2857	4205	901	-10.0	200	0	0	104.1932	1	2	
12	0	111.0664	0	460	1105	2857	4205	501	-10.0	200	0	0	112.6002	1	2	
13	0	128.4102	0	730	2058	2857	4205	1001	-12.0	200	1	1	129.6432	1	0	
14	0	140.5925	0	730	2058	2857	4205	701	-12.0	200	1	1	141.9610	1	1	
15	0	147.4187	0	460	1105	2857	4205	551	-10.0	200	0	0	148.1820	1	2	
16	0	154.4998	0	460	1105	2857	4205	651	-10.0	200	0	0	155.3565	1	0	
17	0	163.2952	1	730	2058	2857	4205	851	-12.0	200	1	0	164.0041	0	3	
18	1	175.3796	0	730	2058	2857	4205	851	-12.0	200	1	1	176.2617	1	3	
19	0	183.2856	0	460	1105	2857	4205	601	-10.0	200	0	0	184.2083	1	1	
20	0	190.2966	0	460	1105	2857	4205	751	-10.0	200	0	0	191.0736	1	1	
21	0	198.4249	0	460	1105	2857	4205	951	-10.0	200	0	0	199.2953	1	3	
22	0	206.3961	0	730	2058	2857	4205	501	-12.0	200	1	1	207.6506	1	2	
23	0	220.3531	0	730	2058	2857	4205	901	-12.0	200	1	1	221.2087	1	1	
24	0	229.3293	0	730	2058	2857	4205	551	-12.0	200	1	0	230.0706	0	3	
25	1	244.0955	0	730	2058	2857	4205	551	-12.0	200	1	0	245.5736	0	3	
26	1	253.3400	0	730	2058	2857	4205	551	-12.0	200	1	1	254.2572	1	3	
27	0	262.7784	0	460	1105	2857	4205	851	-10.0	200	0	0	263.4979	1	0	
28	0	270.1072	0	730	2058	2857	4205	801	-12.0	200	1	1	271.1535	1	2	
29	0	283.6958	0	730	2058	2857	4205	901	-12.0	200	1	1	284.6153	1	0	
30	0	295.0953	0	460	1105	2857	4205	1001	-10.0	200	0	0	295.6390	1	1	
31	0	306.5510	1	460	1105	2857	4205	501	-10.0	200	0	1	308.7050	0	0	
32	1	316.6734	0	460	1105	2857	4205	501	-10.0	200	0	1	317.4559	0	0	
33	1	331.5720	0	460	1105	2857	4205	501	-10.0	200	0	0	332.4561	1	0	
34	0	337.9785	0	460	1105	2857	4205	601	-10.0	200	0	0	338.9123	1	2	
35	0	345.7073	1	730	2058	2857	4205	751	-12.0	200	1	1	346.5705	1	0	
36	0	352.8756	0	460	1105	2857	4205	951	-10.0	200	0	0	353.8884	1	3	
37	0	361.5470	0	460	1105	2857	4205	701	-10.0	200	0	0	362.5640	1	1	
38	0	369.5987	0	460	1105	2857	4205	701	-10.0	200	0	0	371.1168	1	3	
39	0	378.0879	0	730	2058	2857	4205	951	-12.0	200	1	1	379.2845	1	1	
40	0	385.7240	0	460	1105	2857	4205	501	-10.0	200	0	0	386.4189	1	0	
41	0	394.3107	0	730	2058	2857	4205	651	-12.0	200	1	1	395.4831	1	0	
42	0	403.3792	0	460	1105	2857	4205	601	-10.0	200	0	0	404.1447	1	2	
43	0	411.2731	0	460	1105	2857	4205	751	-10.0	200	0	1	412.5789	0	0	
44	1	421.2567	0	460	1105	2857	4205	751	-10.0	200	0	0	421.9652	1	0	
45	0	428.2764	0	460	1105	2857	4205	551	-10.0	200	0	0	429.1484	1	1	
46	0	436.3334	0	730	2058	2857	4205	1001	-12.0	200	1	1	437.6495	1	1	
47	0	446.4782	0	730	2058	2857	4205	801	-12.0	200	1	0	447.0086	0	2	
48	1	463.2094	0	730	2058	2857	4205	801	-12.0	200	1	0	463.7261	0	2	
49	1	473.8157	1	730	2058	2857	4205	801	-12.0	200	1	1	474.8646	1	2	
50	0	480.4087	1	730	2058	2857	4205	851	-12.0	200	1	1	488.4886	1	3	
51	0	494.7258	1	730	2058	2857	4205	801	-12.0	200	1	1	497.8565	1	3	
52	0	510.9776	0	730	2058	2857	4205	1001	-12.0	200	1	0	512.8840	0	1	
53	1	521.6891	0	730	2058	2857	4205	1001	-12.0	200	1	0	522.7364	0	1	
54	1	530.9203	1	730	2058	2857	4205	1001	-12.0	200	1	1	531.6305	1	1	
55	0	537.1837	0	730	2058	2857	4205	701	-12.0	200	1	1	544.9265	1	3	
56	0	554.6321	0	460	1105	2857	4205	501	-10.0	200	0	0	555.8752	1	3	
57	0	561.1180	0	460	1105	2857	4205	951	-10.0	200	0	0	561.5706	1	2	
58	0	586.7309	0	730	2058	2857	4205	901	-12.0	200	1	1	592.0401	1	2	
59	0	594.5731	0	730	2058	2857	4205	651	-12.0	200	1	1	598.7245	1	0	
60	0	604.6477	0	730	2058	2857	4205	751	-12.0	200	1	1	606.5208	1	2	
61	0	612.1451	0	730	2058	2857	4205	601	-12.0	200	1	1	613.2973	1	1	
62	0	622.7343	0	730	2058	2857	4205	851	-12.0	200	1	1	623.9949	1	1	
63	0	628.7105	1	460	1105	2857	4205	551	-10.0	200	0	0	629.4030	1	1	
64	0	636.5589	0	460	1105	2857	4205	801	-10.0	200	0	0	639.4255	1	3	
65	0	645.6877	0	730	2058	2857	4205	601	-12.0	200	1	1	647.3878	1	2	
66	0	651.9033	0	460	1105	2857	4205	651	-10.0	200	0	0	652.3499	1	2	
67	0	659.6291	0	730	2058	2857	4205	851	-12.0	200	1	1	661.2045	1	3	
68	0	666.0417	0	460	1105	2857	4205	951	-10.0	200	0	1	666.9068	0	0	
69	1	673.1871	0	460	1105	2857	4205	951	-10.0	200	0	0	674.6198	1	0	
70	0	682.5089	0	460	1105	2857	4205	701	-10.0	200	0	0	683.5177	1	1	
71	0	691.0666	0	460	1105	2857	4205	901	-10.0	200	0	0	691.6280	1	2	
72	0	701.2668	0	730	2058	2857	4205	751	-12.0	200	1	0	701.8285	0	2	
73	1	710.1130	0	730	2058	2857	4205	751	-12.0	200	1	1	710.7382	1	2	
74	0	716.0081	0	460	1105	2857	4205	1001	-10.0	200	0	0	716.3199	1	2	
75	0	722.9800	0	730	2058	2857	4205	551	-12.0	200	1	1	724.1054	1	0	
76	0	729.0961	0	730	2058	2857	4205	901	-12.0	200	1	1	729.8931	1	3	
77	0	739.8022	0	460	1105	2857	4205	801	-10.0	200	0	0	740.3002	1	3	
78	0	747.3571	0	460	1105	2857	4205	601	-10.0	200	0	1	748.6370	0	0	
79	1	754.4502	0	460	1105	2857	4205	601	-10.0	200	0	0	755.4943	1	0	
80	0	769.2927	0	460	1105	2857	4205	851	-10.0	200	0	0	769.9739	1	0	
81	0	777.5470	0	730	2058	2857	4205	751	-12.0	200	1	1	778.6552	1	0	
82	0	788.3778	0	460	1105	2857	4205	951	-10.0	200	0	0	789.0461	1	1	
83	0	795.5313	1	730	2058	2857	4205	501	-12.0	200	1	1	797.0108	1	1	
84	0	803.2199	1	730	2058	2857	4205	1001	-12.0	200	1	1	808.3671	1	0	
85	0	820.9324	0	460	1105	2857	4205	651	-10.0	200	0	0	822.5910	1	3	
86	0	828.3544	0	730	2058	2857	4205	801	-12.0	200	1	1	829.8912	1	2	
87	0	835.7838	0	730	2058	2857	4205	851	-12.0	200	1	1	836.8947	1	3	
88	0	841.4266	0	460	1105	2857	4205	601	-10.0	200	0	0	842.0708	1	0	
89	0	849.3213	0	460	1105	2857	4205	901	-10.0	200	0	0	849.9463	1	3	
90	0	857.4271	0	730	2058	2857	4205	701	-12.0	200	1	0	858.0776	0	1	
91	1	881.3258	0	730	2058	2857	4205	701	-12.0	200	1	1	887.1459	1	1	
92	0	892.9148	1	460	1105	2857	4205	651	-10.0	200	0	1	897.7631	0	2	
93	1	907.4718	0	460	1105	2857	4205	651	-10.0	200	0	0	907.9123	1	2	
94	0	912.7633	0	460	1105	2857	4205	501	-10.0	200	0	0	913.2723	1	3	
95	0	918.5229	0	730	2058	2857	4205	551	-12.0	200	1	0	919.5073	0	3	
96	1	939.6393	0	730	2058	2857	4205	551	-12.0	200	1	0	941.1207	0	3	
97	1	993.3860	0	730	2058	2857	4205	551	-12.0	200	1	1	994.5412	1	3	
98	0	1006.0112	0	730	2058	2857	4205	951	-12.0	200	1	0	1009.2741	0	2	
99	1	1043.9319	0	730	2058	2857	4205	951	-12.0	200	1	1	1048.2166	1	2	
100	0	1055.7181	0	460	1105	2857	4205	751	-10.0	200	0	1	1056.5738	0	2	
