Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	SpatialMask	
1	0	35.3515	1	460	1105	2857	4205	901	0.0	200	0	0	35.7409	1	4	
2	0	42.8917	1	460	1105	2857	4205	951	0.0	200	0	1	43.5489	0	5	
3	1	54.0512	0	460	1105	2857	4205	951	0.0	200	0	0	54.7265	1	5	
4	0	60.5230	0	460	1105	2857	4205	601	0.0	200	0	0	61.3994	1	4	
5	0	68.4479	0	730	2058	2857	4205	651	-2.0	200	1	1	69.0055	1	3	
6	0	73.3524	1	730	2058	2857	4205	851	-2.0	200	1	1	73.7461	1	2	
7	0	79.0374	0	460	1105	2857	4205	751	0.0	200	0	0	82.1366	1	5	
8	0	88.4344	0	460	1105	2857	4205	801	0.0	200	0	0	89.3052	1	2	
9	0	98.9328	0	730	2058	2857	4205	1001	-2.0	200	1	1	99.4828	1	0	
10	0	103.3909	0	460	1105	2857	4205	701	0.0	200	0	0	104.2265	1	1	
11	0	112.3619	0	460	1105	2857	4205	501	0.0	200	0	1	113.0028	0	0	
12	1	120.7615	0	460	1105	2857	4205	501	0.0	200	0	0	121.3819	1	0	
13	0	126.5639	0	730	2058	2857	4205	551	-2.0	200	1	1	127.0948	1	5	
14	0	136.7313	0	730	2058	2857	4205	651	-2.0	200	1	1	137.4011	1	0	
15	0	145.3352	0	730	2058	2857	4205	801	-2.0	200	1	1	145.9142	1	3	
16	0	150.1028	0	730	2058	2857	4205	701	-2.0	200	1	1	150.7197	1	1	
17	0	154.9292	0	730	2058	2857	4205	751	-2.0	200	1	1	155.4867	1	4	
18	0	164.1450	0	460	1105	2857	4205	601	0.0	200	0	1	164.7540	0	3	
19	1	173.8354	1	460	1105	2857	4205	601	0.0	200	0	0	174.9632	1	3	
20	0	180.2979	0	460	1105	2857	4205	1001	0.0	200	0	0	183.5990	1	0	
21	0	188.9290	0	730	2058	2857	4205	951	-2.0	200	1	1	189.4580	1	2	
22	0	196.3983	0	460	1105	2857	4205	901	0.0	200	0	0	196.8699	1	3	
23	0	201.6508	0	730	2058	2857	4205	501	-2.0	200	1	1	202.0430	1	5	
24	0	209.1355	1	460	1105	2857	4205	751	0.0	200	0	0	213.7245	1	1	
25	0	219.2087	0	460	1105	2857	4205	801	0.0	200	0	1	219.6755	0	2	
26	1	228.4501	0	460	1105	2857	4205	801	0.0	200	0	0	228.9040	1	2	
27	0	234.2592	0	460	1105	2857	4205	701	0.0	200	0	0	235.0952	1	5	
28	0	246.2073	0	460	1105	2857	4205	1001	0.0	200	0	1	246.8008	0	4	
29	1	255.0478	0	460	1105	2857	4205	1001	0.0	200	0	0	255.4085	1	4	
30	0	261.4432	0	730	2058	2857	4205	551	-2.0	200	1	1	262.0016	1	5	
31	0	266.5682	0	730	2058	2857	4205	501	-2.0	200	1	1	267.3984	1	4	
32	0	279.0212	0	730	2058	2857	4205	951	-2.0	200	1	1	279.4142	1	1	
33	0	287.5096	0	730	2058	2857	4205	901	-2.0	200	1	1	288.1449	1	3	
34	0	296.6061	0	730	2058	2857	4205	851	-2.0	200	1	0	296.9802	0	4	
35	1	304.9461	0	730	2058	2857	4205	851	-2.0	200	1	0	305.4473	0	4	
36	1	333.1548	0	730	2058	2857	4205	851	-2.0	200	1	1	333.5371	1	4	
37	0	342.3826	0	460	1105	2857	4205	601	0.0	200	0	0	343.5601	1	3	
38	0	355.9507	0	460	1105	2857	4205	701	0.0	200	0	0	356.6606	1	0	
39	0	362.7790	0	730	2058	2857	4205	501	-2.0	200	1	1	363.3493	1	0	
40	0	372.0004	0	460	1105	2857	4205	901	0.0	200	0	0	372.4379	1	2	
41	0	382.6356	0	730	2058	2857	4205	1001	-2.0	200	1	1	383.0344	1	2	
42	0	392.4182	0	460	1105	2857	4205	601	0.0	200	0	0	393.0706	1	1	
43	0	397.2973	0	730	2058	2857	4205	651	-2.0	200	1	1	397.6856	1	1	
