Condition,Spkr_Rad,nTrials,nCorrect,pCorrect,iteration
Bilateral,-1.5707963267948966,132,122,92.42424242424242,0
Bilateral,-1.0471975511965976,132,41,31.060606060606062,0
Bilateral,-0.5235987755982988,132,35,26.515151515151516,0
Bilateral,0.0,132,26,19.696969696969695,0
Bilateral,0.5235987755982988,132,54,40.909090909090914,0
Bilateral,1.0471975511965976,132,44,33.33333333333333,0
Bilateral,1.5707963267948966,132,62,46.96969696969697,0
Control,-1.5707963267948966,132,109,82.57575757575758,0
Control,-1.0471975511965976,132,61,46.21212121212121,0
Control,-0.5235987755982988,132,76,57.57575757575758,0
Control,0.0,132,52,39.39393939393939,0
Control,0.5235987755982988,132,67,50.75757575757576,0
Control,1.0471975511965976,132,67,50.75757575757576,0
Control,1.5707963267948966,132,74,56.060606060606055,0
Bilateral,-1.5707963267948966,132,129,97.72727272727273,1
Bilateral,-1.0471975511965976,132,42,31.818181818181817,1
Bilateral,-0.5235987755982988,132,30,22.727272727272727,1
Bilateral,0.0,132,40,30.303030303030305,1
Bilateral,0.5235987755982988,132,50,37.878787878787875,1
Bilateral,1.0471975511965976,132,41,31.060606060606062,1
Bilateral,1.5707963267948966,132,61,46.21212121212121,1
Control,-1.5707963267948966,132,108,81.81818181818183,1
Control,-1.0471975511965976,132,88,66.66666666666666,1
Control,-0.5235987755982988,132,71,53.78787878787878,1
Control,0.0,132,43,32.57575757575758,1
Control,0.5235987755982988,132,66,50.0,1
Control,1.0471975511965976,132,66,50.0,1
Control,1.5707963267948966,132,65,49.24242424242424,1
Bilateral,-1.5707963267948966,132,129,97.72727272727273,2
Bilateral,-1.0471975511965976,132,33,25.0,2
Bilateral,-0.5235987755982988,132,37,28.030303030303028,2
Bilateral,0.0,132,34,25.757575757575758,2
Bilateral,0.5235987755982988,132,57,43.18181818181818,2
Bilateral,1.0471975511965976,132,42,31.818181818181817,2
Bilateral,1.5707963267948966,132,65,49.24242424242424,2
Control,-1.5707963267948966,132,116,87.87878787878788,2
Control,-1.0471975511965976,132,75,56.81818181818182,2
Control,-0.5235987755982988,132,64,48.484848484848484,2
Control,0.0,132,43,32.57575757575758,2
Control,0.5235987755982988,132,80,60.60606060606061,2
Control,1.0471975511965976,132,77,58.333333333333336,2
Control,1.5707963267948966,132,89,67.42424242424242,2
Bilateral,-1.5707963267948966,132,129,97.72727272727273,3
Bilateral,-1.0471975511965976,132,44,33.33333333333333,3
Bilateral,-0.5235987755982988,132,35,26.515151515151516,3
Bilateral,0.0,132,34,25.757575757575758,3
Bilateral,0.5235987755982988,132,57,43.18181818181818,3
Bilateral,1.0471975511965976,132,52,39.39393939393939,3
Bilateral,1.5707963267948966,132,59,44.696969696969695,3
Control,-1.5707963267948966,132,117,88.63636363636364,3
Control,-1.0471975511965976,132,74,56.060606060606055,3
Control,-0.5235987755982988,132,72,54.54545454545454,3
Control,0.0,132,41,31.060606060606062,3
Control,0.5235987755982988,132,71,53.78787878787878,3
Control,1.0471975511965976,132,78,59.09090909090909,3
Control,1.5707963267948966,132,80,60.60606060606061,3
Bilateral,-1.5707963267948966,132,128,96.96969696969697,4
Bilateral,-1.0471975511965976,132,41,31.060606060606062,4
Bilateral,-0.5235987755982988,132,31,23.484848484848484,4
Bilateral,0.0,132,38,28.78787878787879,4
Bilateral,0.5235987755982988,132,45,34.090909090909086,4
Bilateral,1.0471975511965976,132,41,31.060606060606062,4
Bilateral,1.5707963267948966,132,59,44.696969696969695,4
Control,-1.5707963267948966,132,104,78.78787878787878,4
Control,-1.0471975511965976,132,78,59.09090909090909,4
Control,-0.5235987755982988,132,67,50.75757575757576,4
Control,0.0,132,42,31.818181818181817,4
Control,0.5235987755982988,132,66,50.0,4
Control,1.0471975511965976,132,80,60.60606060606061,4
Control,1.5707963267948966,132,75,56.81818181818182,4
Bilateral,-1.5707963267948966,132,128,96.96969696969697,5
Bilateral,-1.0471975511965976,132,43,32.57575757575758,5
Bilateral,-0.5235987755982988,132,33,25.0,5
Bilateral,0.0,132,31,23.484848484848484,5
Bilateral,0.5235987755982988,132,52,39.39393939393939,5
Bilateral,1.0471975511965976,132,37,28.030303030303028,5
Bilateral,1.5707963267948966,132,68,51.515151515151516,5
Control,-1.5707963267948966,132,110,83.33333333333334,5
Control,-1.0471975511965976,132,81,61.36363636363637,5
Control,-0.5235987755982988,132,70,53.03030303030303,5
Control,0.0,132,47,35.60606060606061,5
Control,0.5235987755982988,132,63,47.72727272727273,5
Control,1.0471975511965976,132,75,56.81818181818182,5
Control,1.5707963267948966,132,83,62.878787878787875,5
Bilateral,-1.5707963267948966,132,128,96.96969696969697,6
Bilateral,-1.0471975511965976,132,48,36.36363636363637,6
Bilateral,-0.5235987755982988,132,25,18.939393939393938,6
Bilateral,0.0,132,31,23.484848484848484,6
Bilateral,0.5235987755982988,132,49,37.121212121212125,6
Bilateral,1.0471975511965976,132,59,44.696969696969695,6
Bilateral,1.5707963267948966,132,65,49.24242424242424,6
Control,-1.5707963267948966,132,113,85.60606060606061,6
Control,-1.0471975511965976,132,70,53.03030303030303,6
Control,-0.5235987755982988,132,64,48.484848484848484,6
Control,0.0,132,51,38.63636363636363,6
Control,0.5235987755982988,132,66,50.0,6
Control,1.0471975511965976,132,69,52.27272727272727,6
Control,1.5707963267948966,132,81,61.36363636363637,6
Bilateral,-1.5707963267948966,132,129,97.72727272727273,7
Bilateral,-1.0471975511965976,132,44,33.33333333333333,7
Bilateral,-0.5235987755982988,132,31,23.484848484848484,7
Bilateral,0.0,132,37,28.030303030303028,7
Bilateral,0.5235987755982988,132,62,46.96969696969697,7
Bilateral,1.0471975511965976,132,44,33.33333333333333,7
Bilateral,1.5707963267948966,132,53,40.15151515151515,7
Control,-1.5707963267948966,132,114,86.36363636363636,7
Control,-1.0471975511965976,132,76,57.57575757575758,7
Control,-0.5235987755982988,132,68,51.515151515151516,7
Control,0.0,132,31,23.484848484848484,7
Control,0.5235987755982988,132,84,63.63636363636363,7
Control,1.0471975511965976,132,74,56.060606060606055,7
Control,1.5707963267948966,132,73,55.3030303030303,7
Bilateral,-1.5707963267948966,132,126,95.45454545454545,8
Bilateral,-1.0471975511965976,132,50,37.878787878787875,8
Bilateral,-0.5235987755982988,132,32,24.242424242424242,8
Bilateral,0.0,132,29,21.96969696969697,8
Bilateral,0.5235987755982988,132,55,41.66666666666667,8
Bilateral,1.0471975511965976,132,47,35.60606060606061,8
Bilateral,1.5707963267948966,132,65,49.24242424242424,8
Control,-1.5707963267948966,132,120,90.9090909090909,8
Control,-1.0471975511965976,132,74,56.060606060606055,8
Control,-0.5235987755982988,132,67,50.75757575757576,8
Control,0.0,132,39,29.545454545454547,8
Control,0.5235987755982988,132,58,43.93939393939394,8
Control,1.0471975511965976,132,72,54.54545454545454,8
Control,1.5707963267948966,132,73,55.3030303030303,8
Bilateral,-1.5707963267948966,132,131,99.24242424242425,9
Bilateral,-1.0471975511965976,132,42,31.818181818181817,9
Bilateral,-0.5235987755982988,132,39,29.545454545454547,9
Bilateral,0.0,132,29,21.96969696969697,9
Bilateral,0.5235987755982988,132,54,40.909090909090914,9
Bilateral,1.0471975511965976,132,43,32.57575757575758,9
Bilateral,1.5707963267948966,132,66,50.0,9
Control,-1.5707963267948966,132,109,82.57575757575758,9
Control,-1.0471975511965976,132,80,60.60606060606061,9
Control,-0.5235987755982988,132,64,48.484848484848484,9
Control,0.0,132,37,28.030303030303028,9
Control,0.5235987755982988,132,77,58.333333333333336,9
Control,1.0471975511965976,132,70,53.03030303030303,9
Control,1.5707963267948966,132,75,56.81818181818182,9
Bilateral,-1.5707963267948966,132,130,98.48484848484848,10
Bilateral,-1.0471975511965976,132,40,30.303030303030305,10
Bilateral,-0.5235987755982988,132,42,31.818181818181817,10
Bilateral,0.0,132,31,23.484848484848484,10
Bilateral,0.5235987755982988,132,60,45.45454545454545,10
Bilateral,1.0471975511965976,132,46,34.84848484848485,10
Bilateral,1.5707963267948966,132,60,45.45454545454545,10
Control,-1.5707963267948966,132,113,85.60606060606061,10
Control,-1.0471975511965976,132,77,58.333333333333336,10
Control,-0.5235987755982988,132,73,55.3030303030303,10
Control,0.0,132,39,29.545454545454547,10
Control,0.5235987755982988,132,76,57.57575757575758,10
Control,1.0471975511965976,132,77,58.333333333333336,10
Control,1.5707963267948966,132,80,60.60606060606061,10
Bilateral,-1.5707963267948966,132,127,96.21212121212122,11
Bilateral,-1.0471975511965976,132,42,31.818181818181817,11
Bilateral,-0.5235987755982988,132,28,21.21212121212121,11
Bilateral,0.0,132,39,29.545454545454547,11
Bilateral,0.5235987755982988,132,57,43.18181818181818,11
Bilateral,1.0471975511965976,132,47,35.60606060606061,11
Bilateral,1.5707963267948966,132,64,48.484848484848484,11
Control,-1.5707963267948966,132,116,87.87878787878788,11
Control,-1.0471975511965976,132,77,58.333333333333336,11
Control,-0.5235987755982988,132,66,50.0,11
Control,0.0,132,49,37.121212121212125,11
Control,0.5235987755982988,132,70,53.03030303030303,11
Control,1.0471975511965976,132,85,64.39393939393939,11
Control,1.5707963267948966,132,82,62.121212121212125,11
Bilateral,-1.5707963267948966,132,131,99.24242424242425,12
Bilateral,-1.0471975511965976,132,31,23.484848484848484,12
Bilateral,-0.5235987755982988,132,29,21.96969696969697,12
Bilateral,0.0,132,27,20.454545454545457,12
Bilateral,0.5235987755982988,132,50,37.878787878787875,12
Bilateral,1.0471975511965976,132,39,29.545454545454547,12
Bilateral,1.5707963267948966,132,57,43.18181818181818,12
Control,-1.5707963267948966,132,117,88.63636363636364,12
Control,-1.0471975511965976,132,84,63.63636363636363,12
Control,-0.5235987755982988,132,66,50.0,12
Control,0.0,132,41,31.060606060606062,12
Control,0.5235987755982988,132,78,59.09090909090909,12
Control,1.0471975511965976,132,67,50.75757575757576,12
Control,1.5707963267948966,132,79,59.84848484848485,12
Bilateral,-1.5707963267948966,132,127,96.21212121212122,13
Bilateral,-1.0471975511965976,132,39,29.545454545454547,13
Bilateral,-0.5235987755982988,132,29,21.96969696969697,13
Bilateral,0.0,132,36,27.27272727272727,13
Bilateral,0.5235987755982988,132,51,38.63636363636363,13
Bilateral,1.0471975511965976,132,50,37.878787878787875,13
Bilateral,1.5707963267948966,132,57,43.18181818181818,13
Control,-1.5707963267948966,132,117,88.63636363636364,13
Control,-1.0471975511965976,132,73,55.3030303030303,13
Control,-0.5235987755982988,132,66,50.0,13
Control,0.0,132,36,27.27272727272727,13
Control,0.5235987755982988,132,69,52.27272727272727,13
Control,1.0471975511965976,132,79,59.84848484848485,13
Control,1.5707963267948966,132,82,62.121212121212125,13
Bilateral,-1.5707963267948966,132,131,99.24242424242425,14
Bilateral,-1.0471975511965976,132,35,26.515151515151516,14
Bilateral,-0.5235987755982988,132,33,25.0,14
Bilateral,0.0,132,39,29.545454545454547,14
Bilateral,0.5235987755982988,132,43,32.57575757575758,14
Bilateral,1.0471975511965976,132,48,36.36363636363637,14
Bilateral,1.5707963267948966,132,70,53.03030303030303,14
Control,-1.5707963267948966,132,110,83.33333333333334,14
Control,-1.0471975511965976,132,76,57.57575757575758,14
Control,-0.5235987755982988,132,70,53.03030303030303,14
Control,0.0,132,47,35.60606060606061,14
Control,0.5235987755982988,132,65,49.24242424242424,14
Control,1.0471975511965976,132,81,61.36363636363637,14
Control,1.5707963267948966,132,71,53.78787878787878,14
Bilateral,-1.5707963267948966,132,128,96.96969696969697,15
Bilateral,-1.0471975511965976,132,41,31.060606060606062,15
Bilateral,-0.5235987755982988,132,29,21.96969696969697,15
Bilateral,0.0,132,33,25.0,15
Bilateral,0.5235987755982988,132,51,38.63636363636363,15
Bilateral,1.0471975511965976,132,46,34.84848484848485,15
Bilateral,1.5707963267948966,132,61,46.21212121212121,15
Control,-1.5707963267948966,132,115,87.12121212121212,15
Control,-1.0471975511965976,132,82,62.121212121212125,15
Control,-0.5235987755982988,132,73,55.3030303030303,15
Control,0.0,132,47,35.60606060606061,15
Control,0.5235987755982988,132,67,50.75757575757576,15
Control,1.0471975511965976,132,73,55.3030303030303,15
Control,1.5707963267948966,132,72,54.54545454545454,15
Bilateral,-1.5707963267948966,132,129,97.72727272727273,16
Bilateral,-1.0471975511965976,132,42,31.818181818181817,16
Bilateral,-0.5235987755982988,132,27,20.454545454545457,16
Bilateral,0.0,132,27,20.454545454545457,16
Bilateral,0.5235987755982988,132,48,36.36363636363637,16
Bilateral,1.0471975511965976,132,46,34.84848484848485,16
Bilateral,1.5707963267948966,132,59,44.696969696969695,16
Control,-1.5707963267948966,132,111,84.0909090909091,16
Control,-1.0471975511965976,132,75,56.81818181818182,16
Control,-0.5235987755982988,132,54,40.909090909090914,16
Control,0.0,132,46,34.84848484848485,16
Control,0.5235987755982988,132,76,57.57575757575758,16
Control,1.0471975511965976,132,68,51.515151515151516,16
Control,1.5707963267948966,132,78,59.09090909090909,16
Bilateral,-1.5707963267948966,132,129,97.72727272727273,17
Bilateral,-1.0471975511965976,132,37,28.030303030303028,17
Bilateral,-0.5235987755982988,132,31,23.484848484848484,17
Bilateral,0.0,132,33,25.0,17
Bilateral,0.5235987755982988,132,44,33.33333333333333,17
Bilateral,1.0471975511965976,132,48,36.36363636363637,17
Bilateral,1.5707963267948966,132,57,43.18181818181818,17
Control,-1.5707963267948966,132,114,86.36363636363636,17
Control,-1.0471975511965976,132,79,59.84848484848485,17
Control,-0.5235987755982988,132,62,46.96969696969697,17
Control,0.0,132,46,34.84848484848485,17
Control,0.5235987755982988,132,73,55.3030303030303,17
Control,1.0471975511965976,132,78,59.09090909090909,17
Control,1.5707963267948966,132,86,65.15151515151516,17
Bilateral,-1.5707963267948966,132,128,96.96969696969697,18
Bilateral,-1.0471975511965976,132,44,33.33333333333333,18
Bilateral,-0.5235987755982988,132,27,20.454545454545457,18
Bilateral,0.0,132,32,24.242424242424242,18
Bilateral,0.5235987755982988,132,53,40.15151515151515,18
Bilateral,1.0471975511965976,132,44,33.33333333333333,18
Bilateral,1.5707963267948966,132,69,52.27272727272727,18
Control,-1.5707963267948966,132,106,80.3030303030303,18
Control,-1.0471975511965976,132,67,50.75757575757576,18
Control,-0.5235987755982988,132,75,56.81818181818182,18
Control,0.0,132,48,36.36363636363637,18
Control,0.5235987755982988,132,71,53.78787878787878,18
Control,1.0471975511965976,132,76,57.57575757575758,18
Control,1.5707963267948966,132,72,54.54545454545454,18
Bilateral,-1.5707963267948966,132,126,95.45454545454545,19
Bilateral,-1.0471975511965976,132,45,34.090909090909086,19
Bilateral,-0.5235987755982988,132,33,25.0,19
Bilateral,0.0,132,38,28.78787878787879,19
Bilateral,0.5235987755982988,132,53,40.15151515151515,19
Bilateral,1.0471975511965976,132,51,38.63636363636363,19
Bilateral,1.5707963267948966,132,58,43.93939393939394,19
Control,-1.5707963267948966,132,113,85.60606060606061,19
Control,-1.0471975511965976,132,73,55.3030303030303,19
Control,-0.5235987755982988,132,71,53.78787878787878,19
Control,0.0,132,51,38.63636363636363,19
Control,0.5235987755982988,132,72,54.54545454545454,19
Control,1.0471975511965976,132,87,65.9090909090909,19
Control,1.5707963267948966,132,71,53.78787878787878,19
Bilateral,-1.5707963267948966,132,127,96.21212121212122,20
Bilateral,-1.0471975511965976,132,44,33.33333333333333,20
Bilateral,-0.5235987755982988,132,33,25.0,20
Bilateral,0.0,132,31,23.484848484848484,20
Bilateral,0.5235987755982988,132,50,37.878787878787875,20
Bilateral,1.0471975511965976,132,39,29.545454545454547,20
Bilateral,1.5707963267948966,132,63,47.72727272727273,20
Control,-1.5707963267948966,132,113,85.60606060606061,20
Control,-1.0471975511965976,132,66,50.0,20
Control,-0.5235987755982988,132,64,48.484848484848484,20
Control,0.0,132,47,35.60606060606061,20
Control,0.5235987755982988,132,63,47.72727272727273,20
Control,1.0471975511965976,132,72,54.54545454545454,20
Control,1.5707963267948966,132,83,62.878787878787875,20
Bilateral,-1.5707963267948966,132,122,92.42424242424242,21
Bilateral,-1.0471975511965976,132,27,20.454545454545457,21
Bilateral,-0.5235987755982988,132,33,25.0,21
Bilateral,0.0,132,31,23.484848484848484,21
Bilateral,0.5235987755982988,132,53,40.15151515151515,21
Bilateral,1.0471975511965976,132,45,34.090909090909086,21
Bilateral,1.5707963267948966,132,57,43.18181818181818,21
Control,-1.5707963267948966,132,104,78.78787878787878,21
Control,-1.0471975511965976,132,76,57.57575757575758,21
Control,-0.5235987755982988,132,57,43.18181818181818,21
Control,0.0,132,42,31.818181818181817,21
Control,0.5235987755982988,132,65,49.24242424242424,21
Control,1.0471975511965976,132,74,56.060606060606055,21
Control,1.5707963267948966,132,82,62.121212121212125,21
Bilateral,-1.5707963267948966,132,127,96.21212121212122,22
Bilateral,-1.0471975511965976,132,36,27.27272727272727,22
Bilateral,-0.5235987755982988,132,35,26.515151515151516,22
Bilateral,0.0,132,37,28.030303030303028,22
Bilateral,0.5235987755982988,132,55,41.66666666666667,22
Bilateral,1.0471975511965976,132,34,25.757575757575758,22
Bilateral,1.5707963267948966,132,69,52.27272727272727,22
Control,-1.5707963267948966,132,115,87.12121212121212,22
Control,-1.0471975511965976,132,66,50.0,22
Control,-0.5235987755982988,132,65,49.24242424242424,22
Control,0.0,132,40,30.303030303030305,22
Control,0.5235987755982988,132,73,55.3030303030303,22
Control,1.0471975511965976,132,69,52.27272727272727,22
Control,1.5707963267948966,132,79,59.84848484848485,22
Bilateral,-1.5707963267948966,132,128,96.96969696969697,23
Bilateral,-1.0471975511965976,132,30,22.727272727272727,23
Bilateral,-0.5235987755982988,132,33,25.0,23
Bilateral,0.0,132,25,18.939393939393938,23
Bilateral,0.5235987755982988,132,58,43.93939393939394,23
Bilateral,1.0471975511965976,132,47,35.60606060606061,23
Bilateral,1.5707963267948966,132,60,45.45454545454545,23
Control,-1.5707963267948966,132,109,82.57575757575758,23
Control,-1.0471975511965976,132,71,53.78787878787878,23
Control,-0.5235987755982988,132,61,46.21212121212121,23
Control,0.0,132,44,33.33333333333333,23
Control,0.5235987755982988,132,63,47.72727272727273,23
Control,1.0471975511965976,132,76,57.57575757575758,23
Control,1.5707963267948966,132,89,67.42424242424242,23
Bilateral,-1.5707963267948966,132,129,97.72727272727273,24
Bilateral,-1.0471975511965976,132,37,28.030303030303028,24
Bilateral,-0.5235987755982988,132,34,25.757575757575758,24
Bilateral,0.0,132,33,25.0,24
Bilateral,0.5235987755982988,132,54,40.909090909090914,24
Bilateral,1.0471975511965976,132,37,28.030303030303028,24
Bilateral,1.5707963267948966,132,65,49.24242424242424,24
Control,-1.5707963267948966,132,112,84.84848484848484,24
Control,-1.0471975511965976,132,73,55.3030303030303,24
Control,-0.5235987755982988,132,66,50.0,24
Control,0.0,132,49,37.121212121212125,24
Control,0.5235987755982988,132,68,51.515151515151516,24
Control,1.0471975511965976,132,71,53.78787878787878,24
Control,1.5707963267948966,132,83,62.878787878787875,24
Bilateral,-1.5707963267948966,132,129,97.72727272727273,25
Bilateral,-1.0471975511965976,132,38,28.78787878787879,25
Bilateral,-0.5235987755982988,132,29,21.96969696969697,25
Bilateral,0.0,132,25,18.939393939393938,25
Bilateral,0.5235987755982988,132,50,37.878787878787875,25
Bilateral,1.0471975511965976,132,40,30.303030303030305,25
Bilateral,1.5707963267948966,132,62,46.96969696969697,25
Control,-1.5707963267948966,132,114,86.36363636363636,25
Control,-1.0471975511965976,132,67,50.75757575757576,25
Control,-0.5235987755982988,132,63,47.72727272727273,25
Control,0.0,132,42,31.818181818181817,25
Control,0.5235987755982988,132,77,58.333333333333336,25
Control,1.0471975511965976,132,80,60.60606060606061,25
Control,1.5707963267948966,132,64,48.484848484848484,25
Bilateral,-1.5707963267948966,132,126,95.45454545454545,26
