Condition,spkr_hemifield,nTrials,nCorrect,pCorrect,iteration
Bilateral,R,207,78,37.68115942028986,23
Control,L,207,132,63.76811594202898,23
Control,R,207,104,50.24154589371981,23
Left,L,207,136,65.70048309178745,23
Left,R,207,83,40.09661835748793,23
Right,L,207,128,61.83574879227053,23
Right,R,207,97,46.85990338164252,23
Bilateral,L,207,104,50.24154589371981,24
Bilateral,R,207,89,42.99516908212561,24
Control,L,207,118,57.00483091787439,24
Control,R,207,117,56.52173913043478,24
Left,L,207,133,64.25120772946859,24
Left,R,207,83,40.09661835748793,24
Right,L,207,113,54.589371980676326,24
Right,R,207,100,48.309178743961354,24
Bilateral,L,207,111,53.62318840579711,25
Bilateral,R,207,81,39.130434782608695,25
Control,L,207,138,66.66666666666666,25
Control,R,207,125,60.38647342995169,25
Left,L,207,135,65.21739130434783,25
Left,R,207,71,34.29951690821256,25
Right,L,207,118,57.00483091787439,25
Right,R,207,90,43.47826086956522,25
Bilateral,L,207,107,51.690821256038646,26
Bilateral,R,207,86,41.54589371980676,26
Control,L,207,138,66.66666666666666,26
Control,R,207,124,59.90338164251207,26
Left,L,207,141,68.11594202898551,26
Left,R,207,81,39.130434782608695,26
Right,L,207,122,58.93719806763285,26
Right,R,207,98,47.34299516908212,26
Bilateral,L,207,103,49.75845410628019,27
Bilateral,R,207,86,41.54589371980676,27
Control,L,207,141,68.11594202898551,27
Control,R,207,116,56.038647342995176,27
Left,L,207,133,64.25120772946859,27
Left,R,207,68,32.850241545893724,27
Right,L,207,109,52.65700483091788,27
Right,R,207,88,42.51207729468599,27
Bilateral,L,207,99,47.82608695652174,28
Bilateral,R,207,82,39.61352657004831,28
Control,L,207,137,66.18357487922705,28
Control,R,207,125,60.38647342995169,28
Left,L,207,140,67.6328502415459,28
Left,R,207,84,40.57971014492754,28
Right,L,207,120,57.971014492753625,28
Right,R,207,101,48.792270531400966,28
Bilateral,L,207,100,48.309178743961354,29
Bilateral,R,207,76,36.71497584541063,29
Control,L,207,137,66.18357487922705,29
Control,R,207,113,54.589371980676326,29
Left,L,207,134,64.73429951690821,29
Left,R,207,77,37.19806763285024,29
Right,L,207,114,55.072463768115945,29
Right,R,207,109,52.65700483091788,29
Bilateral,L,207,115,55.55555555555556,30
Bilateral,R,207,90,43.47826086956522,30
Control,L,207,129,62.31884057971014,30
Control,R,207,121,58.454106280193244,30
Left,L,207,134,64.73429951690821,30
Left,R,207,69,33.33333333333333,30
Right,L,207,116,56.038647342995176,30
Right,R,207,98,47.34299516908212,30
Bilateral,L,207,96,46.3768115942029,31
Bilateral,R,207,81,39.130434782608695,31
Control,L,207,137,66.18357487922705,31
Control,R,207,113,54.589371980676326,31
Left,L,207,132,63.76811594202898,31
Left,R,207,78,37.68115942028986,31
Right,L,207,118,57.00483091787439,31
Right,R,207,105,50.72463768115942,31
Bilateral,L,207,100,48.309178743961354,32
Bilateral,R,207,82,39.61352657004831,32
Control,L,207,129,62.31884057971014,32
Control,R,207,120,57.971014492753625,32
Left,L,207,137,66.18357487922705,32
Left,R,207,75,36.231884057971016,32
Right,L,207,109,52.65700483091788,32
Right,R,207,102,49.275362318840585,32
Bilateral,L,207,98,47.34299516908212,33
Bilateral,R,207,69,33.33333333333333,33
Control,L,207,130,62.80193236714976,33
Control,R,207,109,52.65700483091788,33
Left,L,207,142,68.59903381642512,33
Left,R,207,78,37.68115942028986,33
Right,L,207,126,60.86956521739131,33
Right,R,207,75,36.231884057971016,33
Bilateral,L,207,94,45.410628019323674,34
Bilateral,R,207,74,35.748792270531396,34
Control,L,207,131,63.28502415458937,34
Control,R,207,107,51.690821256038646,34
Left,L,207,139,67.14975845410628,34
Left,R,207,73,35.26570048309179,34
Right,L,207,114,55.072463768115945,34
Right,R,207,109,52.65700483091788,34
Bilateral,L,207,98,47.34299516908212,35
Bilateral,R,207,83,40.09661835748793,35
Control,L,207,139,67.14975845410628,35
Control,R,207,120,57.971014492753625,35
Left,L,207,134,64.73429951690821,35
Left,R,207,79,38.164251207729464,35
Right,L,207,123,59.42028985507246,35
Right,R,207,94,45.410628019323674,35
Bilateral,L,207,110,53.14009661835749,36
Bilateral,R,207,81,39.130434782608695,36
Control,L,207,141,68.11594202898551,36
Control,R,207,105,50.72463768115942,36
Left,L,207,142,68.59903381642512,36
Left,R,207,68,32.850241545893724,36
Right,L,207,117,56.52173913043478,36
Right,R,207,99,47.82608695652174,36
Bilateral,L,207,105,50.72463768115942,37
Bilateral,R,207,81,39.130434782608695,37
Control,L,207,139,67.14975845410628,37
Control,R,207,124,59.90338164251207,37
Left,L,207,141,68.11594202898551,37
Left,R,207,85,41.06280193236715,37
Right,L,207,125,60.38647342995169,37
Right,R,207,99,47.82608695652174,37
Bilateral,L,207,103,49.75845410628019,38
Bilateral,R,207,77,37.19806763285024,38
Control,L,207,136,65.70048309178745,38
Control,R,207,118,57.00483091787439,38
Left,L,207,136,65.70048309178745,38
Left,R,207,68,32.850241545893724,38
Right,L,207,111,53.62318840579711,38
Right,R,207,103,49.75845410628019,38
Bilateral,L,207,97,46.85990338164252,39
Bilateral,R,207,81,39.130434782608695,39
Control,L,207,131,63.28502415458937,39
Control,R,207,115,55.55555555555556,39
Left,L,207,121,58.454106280193244,39
Left,R,207,74,35.748792270531396,39
Right,L,207,110,53.14009661835749,39
Right,R,207,88,42.51207729468599,39
Bilateral,L,207,105,50.72463768115942,40
Bilateral,R,207,81,39.130434782608695,40
Control,L,207,126,60.86956521739131,40
Control,R,207,112,54.106280193236714,40
Left,L,207,128,61.83574879227053,40
Left,R,207,77,37.19806763285024,40
Right,L,207,123,59.42028985507246,40
Right,R,207,90,43.47826086956522,40
Bilateral,L,207,115,55.55555555555556,41
Bilateral,R,207,68,32.850241545893724,41
Control,L,207,132,63.76811594202898,41
Control,R,207,116,56.038647342995176,41
Left,L,207,122,58.93719806763285,41
Left,R,207,76,36.71497584541063,41
Right,L,207,106,51.20772946859904,41
Right,R,207,104,50.24154589371981,41
Bilateral,L,207,103,49.75845410628019,42
Bilateral,R,207,81,39.130434782608695,42
Control,L,207,138,66.66666666666666,42
Control,R,207,124,59.90338164251207,42
Left,L,207,121,58.454106280193244,42
Left,R,207,77,37.19806763285024,42
Right,L,207,115,55.55555555555556,42
Right,R,207,85,41.06280193236715,42
Bilateral,L,207,109,52.65700483091788,43
Bilateral,R,207,77,37.19806763285024,43
Control,L,207,134,64.73429951690821,43
Control,R,207,111,53.62318840579711,43
Left,L,207,134,64.73429951690821,43
Left,R,207,73,35.26570048309179,43
Right,L,207,125,60.38647342995169,43
Right,R,207,100,48.309178743961354,43
Bilateral,L,207,101,48.792270531400966,44
Bilateral,R,207,74,35.748792270531396,44
Control,L,207,136,65.70048309178745,44
Control,R,207,106,51.20772946859904,44
Left,L,207,133,64.25120772946859,44
Left,R,207,80,38.64734299516908,44
Right,L,207,122,58.93719806763285,44
Right,R,207,105,50.72463768115942,44
Bilateral,L,207,104,50.24154589371981,45
Bilateral,R,207,74,35.748792270531396,45
Control,L,207,139,67.14975845410628,45
Control,R,207,114,55.072463768115945,45
Left,L,207,125,60.38647342995169,45
Left,R,207,75,36.231884057971016,45
Right,L,207,120,57.971014492753625,45
Right,R,207,104,50.24154589371981,45
Bilateral,L,207,104,50.24154589371981,46
Bilateral,R,207,71,34.29951690821256,46
Control,L,207,126,60.86956521739131,46
Control,R,207,106,51.20772946859904,46
Left,L,207,122,58.93719806763285,46
Left,R,207,73,35.26570048309179,46
Right,L,207,108,52.17391304347826,46
Right,R,207,101,48.792270531400966,46
Bilateral,L,207,100,48.309178743961354,47
Bilateral,R,207,86,41.54589371980676,47
Control,L,207,136,65.70048309178745,47
Control,R,207,125,60.38647342995169,47
Left,L,207,136,65.70048309178745,47
Left,R,207,68,32.850241545893724,47
Right,L,207,121,58.454106280193244,47
Right,R,207,109,52.65700483091788,47
Bilateral,L,207,105,50.72463768115942,48
Bilateral,R,207,89,42.99516908212561,48
Control,L,207,126,60.86956521739131,48
Control,R,207,115,55.55555555555556,48
Left,L,207,143,69.08212560386472,48
Left,R,207,78,37.68115942028986,48
Right,L,207,108,52.17391304347826,48
Right,R,207,87,42.028985507246375,48
Bilateral,L,207,102,49.275362318840585,49
Bilateral,R,207,77,37.19806763285024,49
Control,L,207,131,63.28502415458937,49
Control,R,207,116,56.038647342995176,49
Left,L,207,134,64.73429951690821,49
Left,R,207,81,39.130434782608695,49
Right,L,207,111,53.62318840579711,49
Right,R,207,92,44.44444444444444,49
Bilateral,L,207,112,54.106280193236714,50
Bilateral,R,207,87,42.028985507246375,50
Control,L,207,135,65.21739130434783,50
Control,R,207,107,51.690821256038646,50
Left,L,207,132,63.76811594202898,50
Left,R,207,66,31.88405797101449,50
Right,L,207,130,62.80193236714976,50
Right,R,207,101,48.792270531400966,50
Bilateral,L,207,107,51.690821256038646,51
Bilateral,R,207,76,36.71497584541063,51
Control,L,207,133,64.25120772946859,51
Control,R,207,104,50.24154589371981,51
Left,L,207,130,62.80193236714976,51
Left,R,207,87,42.028985507246375,51
Right,L,207,113,54.589371980676326,51
Right,R,207,108,52.17391304347826,51
Bilateral,L,207,105,50.72463768115942,52
Bilateral,R,207,66,31.88405797101449,52
Control,L,207,132,63.76811594202898,52
Control,R,207,104,50.24154589371981,52
Left,L,207,129,62.31884057971014,52
Left,R,207,73,35.26570048309179,52
Right,L,207,129,62.31884057971014,52
Right,R,207,105,50.72463768115942,52
Bilateral,L,207,107,51.690821256038646,53
Bilateral,R,207,81,39.130434782608695,53
Control,L,207,132,63.76811594202898,53
Control,R,207,116,56.038647342995176,53
Left,L,207,128,61.83574879227053,53
Left,R,207,80,38.64734299516908,53
Right,L,207,112,54.106280193236714,53
Right,R,207,101,48.792270531400966,53
Bilateral,L,207,107,51.690821256038646,54
Bilateral,R,207,71,34.29951690821256,54
Control,L,207,136,65.70048309178745,54
Control,R,207,106,51.20772946859904,54
Left,L,207,129,62.31884057971014,54
Left,R,207,76,36.71497584541063,54
Right,L,207,130,62.80193236714976,54
Right,R,207,104,50.24154589371981,54
Bilateral,L,207,99,47.82608695652174,55
Bilateral,R,207,81,39.130434782608695,55
Control,L,207,138,66.66666666666666,55
Control,R,207,116,56.038647342995176,55
Left,L,207,136,65.70048309178745,55
Left,R,207,60,28.985507246376812,55
Right,L,207,114,55.072463768115945,55
Right,R,207,113,54.589371980676326,55
Bilateral,L,207,104,50.24154589371981,56
Bilateral,R,207,76,36.71497584541063,56
Control,L,207,131,63.28502415458937,56
Control,R,207,121,58.454106280193244,56
Left,L,207,138,66.66666666666666,56
Left,R,207,79,38.164251207729464,56
Right,L,207,123,59.42028985507246,56
Right,R,207,91,43.96135265700483,56
Bilateral,L,207,108,52.17391304347826,57
Bilateral,R,207,85,41.06280193236715,57
Control,L,207,129,62.31884057971014,57
Control,R,207,130,62.80193236714976,57
Left,L,207,138,66.66666666666666,57
Left,R,207,64,30.917874396135264,57
Right,L,207,112,54.106280193236714,57
Right,R,207,84,40.57971014492754,57
Bilateral,L,207,97,46.85990338164252,58
Bilateral,R,207,90,43.47826086956522,58
Control,L,207,132,63.76811594202898,58
Control,R,207,120,57.971014492753625,58
Left,L,207,133,64.25120772946859,58
Left,R,207,77,37.19806763285024,58
Right,L,207,118,57.00483091787439,58
Right,R,207,103,49.75845410628019,58
Bilateral,L,207,111,53.62318840579711,59
Bilateral,R,207,89,42.99516908212561,59
Control,L,207,137,66.18357487922705,59
Control,R,207,115,55.55555555555556,59
Left,L,207,136,65.70048309178745,59
Left,R,207,68,32.850241545893724,59
Right,L,207,115,55.55555555555556,59
Right,R,207,106,51.20772946859904,59
Bilateral,L,207,105,50.72463768115942,60
Bilateral,R,207,83,40.09661835748793,60
Control,L,207,135,65.21739130434783,60
Control,R,207,108,52.17391304347826,60
Left,L,207,132,63.76811594202898,60
Left,R,207,68,32.850241545893724,60
Right,L,207,120,57.971014492753625,60
Right,R,207,97,46.85990338164252,60
Bilateral,L,207,105,50.72463768115942,61
Bilateral,R,207,79,38.164251207729464,61
Control,L,207,132,63.76811594202898,61
Control,R,207,106,51.20772946859904,61
Left,L,207,133,64.25120772946859,61
Left,R,207,80,38.64734299516908,61
Right,L,207,113,54.589371980676326,61
Right,R,207,102,49.275362318840585,61
Bilateral,L,207,114,55.072463768115945,62
Bilateral,R,207,85,41.06280193236715,62
Control,L,207,136,65.70048309178745,62
Control,R,207,125,60.38647342995169,62
Left,L,207,134,64.73429951690821,62
Left,R,207,78,37.68115942028986,62
Right,L,207,124,59.90338164251207,62
Right,R,207,98,47.34299516908212,62
Bilateral,L,207,105,50.72463768115942,63
Bilateral,R,207,92,44.44444444444444,63
Control,L,207,132,63.76811594202898,63
Control,R,207,122,58.93719806763285,63
Left,L,207,122,58.93719806763285,63
Left,R,207,80,38.64734299516908,63
Right,L,207,123,59.42028985507246,63
Right,R,207,95,45.893719806763286,63
Bilateral,L,207,98,47.34299516908212,64
Bilateral,R,207,85,41.06280193236715,64
Control,L,207,145,70.04830917874396,64
Control,R,207,124,59.90338164251207,64
Left,L,207,139,67.14975845410628,64
Left,R,207,67,32.367149758454104,64
Right,L,207,119,57.48792270531401,64
Right,R,207,98,47.34299516908212,64
Bilateral,L,207,101,48.792270531400966,65
Bilateral,R,207,83,40.09661835748793,65
Control,L,207,127,61.35265700483091,65
Control,R,207,126,60.86956521739131,65
Left,L,207,131,63.28502415458937,65
Left,R,207,73,35.26570048309179,65
Right,L,207,112,54.106280193236714,65
Right,R,207,101,48.792270531400966,65
Bilateral,L,207,109,52.65700483091788,66
Bilateral,R,207,87,42.028985507246375,66
Control,L,207,132,63.76811594202898,66
Control,R,207,117,56.52173913043478,66
Left,L,207,130,62.80193236714976,66
Left,R,207,79,38.164251207729464,66
Right,L,207,121,58.454106280193244,66
Right,R,207,102,49.275362318840585,66
Bilateral,L,207,103,49.75845410628019,67
Bilateral,R,207,70,33.81642512077295,67
Control,L,207,133,64.25120772946859,67
Control,R,207,110,53.14009661835749,67
Left,L,207,139,67.14975845410628,67
Left,R,207,75,36.231884057971016,67
Right,L,207,120,57.971014492753625,67
Right,R,207,101,48.792270531400966,67
Bilateral,L,207,114,55.072463768115945,68
Bilateral,R,207,72,34.78260869565217,68
Control,L,207,131,63.28502415458937,68
Control,R,207,123,59.42028985507246,68
Left,L,207,132,63.76811594202898,68
Left,R,207,82,39.61352657004831,68
Right,L,207,120,57.971014492753625,68
Right,R,207,109,52.65700483091788,68
Bilateral,L,207,107,51.690821256038646,69
Bilateral,R,207,76,36.71497584541063,69
Control,L,207,141,68.11594202898551,69
Control,R,207,120,57.971014492753625,69
Left,L,207,136,65.70048309178745,69
Left,R,207,73,35.26570048309179,69
Right,L,207,118,57.00483091787439,69
Right,R,207,100,48.309178743961354,69
Bilateral,L,207,109,52.65700483091788,70
Bilateral,R,207,81,39.130434782608695,70
Control,L,207,133,64.25120772946859,70
Control,R,207,108,52.17391304347826,70
Left,L,207,138,66.66666666666666,70
Left,R,207,81,39.130434782608695,70
Right,L,207,100,48.309178743961354,70
Right,R,207,93,44.927536231884055,70
Bilateral,L,207,101,48.792270531400966,71
Bilateral,R,207,90,43.47826086956522,71
Control,L,207,141,68.11594202898551,71
Control,R,207,116,56.038647342995176,71
Left,L,207,142,68.59903381642512,71
Left,R,207,79,38.164251207729464,71
Right,L,207,126,60.86956521739131,71
Right,R,207,111,53.62318840579711,71
Bilateral,L,207,110,53.14009661835749,72
Bilateral,R,207,90,43.47826086956522,72
Control,L,207,137,66.18357487922705,72
Control,R,207,119,57.48792270531401,72
Left,L,207,138,66.66666666666666,72
Left,R,207,77,37.19806763285024,72
Right,L,207,118,57.00483091787439,72
Right,R,207,94,45.410628019323674,72
Bilateral,L,207,96,46.3768115942029,73
Bilateral,R,207,93,44.927536231884055,73
Control,L,207,143,69.08212560386472,73
Control,R,207,113,54.589371980676326,73
Left,L,207,147,71.01449275362319,73
Left,R,207,75,36.231884057971016,73
Right,L,207,114,55.072463768115945,73
Right,R,207,94,45.410628019323674,73
Bilateral,L,207,99,47.82608695652174,74
Bilateral,R,207,91,43.96135265700483,74
Control,L,207,142,68.59903381642512,74
Control,R,207,115,55.55555555555556,74
Left,L,207,127,61.35265700483091,74
Left,R,207,74,35.748792270531396,74
Right,L,207,128,61.83574879227053,74
Right,R,207,107,51.690821256038646,74
Bilateral,L,207,105,50.72463768115942,75
Bilateral,R,207,93,44.927536231884055,75
Control,L,207,131,63.28502415458937,75
Control,R,207,110,53.14009661835749,75
Left,L,207,131,63.28502415458937,75
Left,R,207,89,42.99516908212561,75
Right,L,207,114,55.072463768115945,75
Right,R,207,101,48.792270531400966,75
Bilateral,L,207,108,52.17391304347826,76
Bilateral,R,207,74,35.748792270531396,76
Control,L,207,136,65.70048309178745,76
Control,R,207,116,56.038647342995176,76
Left,L,207,143,69.08212560386472,76
Left,R,207,77,37.19806763285024,76
Right,L,207,127,61.35265700483091,76
Right,R,207,105,50.72463768115942,76
Bilateral,L,207,107,51.690821256038646,77
Bilateral,R,207,80,38.64734299516908,77
Control,L,207,141,68.11594202898551,77
Control,R,207,116,56.038647342995176,77
Left,L,207,131,63.28502415458937,77
Left,R,207,83,40.09661835748793,77
Right,L,207,108,52.17391304347826,77
Right,R,207,106,51.20772946859904,77
Bilateral,L,207,106,51.20772946859904,78
Bilateral,R,207,77,37.19806763285024,78
Control,L,207,133,64.25120772946859,78
Control,R,207,101,48.792270531400966,78
Left,L,207,125,60.38647342995169,78
Left,R,207,74,35.748792270531396,78
Right,L,207,109,52.65700483091788,78
Right,R,207,96,46.3768115942029,78
Bilateral,L,207,104,50.24154589371981,79
Bilateral,R,207,80,38.64734299516908,79
Control,L,207,132,63.76811594202898,79
Control,R,207,119,57.48792270531401,79
Left,L,207,139,67.14975845410628,79
Left,R,207,77,37.19806763285024,79
Right,L,207,116,56.038647342995176,79
Right,R,207,108,52.17391304347826,79
Bilateral,L,207,102,49.275362318840585,80
Bilateral,R,207,91,43.96135265700483,80
Control,L,207,123,59.42028985507246,80
Control,R,207,121,58.454106280193244,80
Left,L,207,132,63.76811594202898,80
Left,R,207,73,35.26570048309179,80
Right,L,207,112,54.106280193236714,80
Right,R,207,102,49.275362318840585,80
Bilateral,L,207,108,52.17391304347826,81
Bilateral,R,207,88,42.51207729468599,81
Control,L,207,127,61.35265700483091,81
Control,R,207,103,49.75845410628019,81
Left,L,207,138,66.66666666666666,81
Left,R,207,84,40.57971014492754,81
Right,L,207,119,57.48792270531401,81
Right,R,207,101,48.792270531400966,81
Bilateral,L,207,103,49.75845410628019,82
Bilateral,R,207,73,35.26570048309179,82
Control,L,207,138,66.66666666666666,82
Control,R,207,117,56.52173913043478,82
Left,L,207,137,66.18357487922705,82
Left,R,207,73,35.26570048309179,82
Right,L,207,123,59.42028985507246,82
Right,R,207,98,47.34299516908212,82
Bilateral,L,207,100,48.309178743961354,83
Bilateral,R,207,84,40.57971014492754,83
Control,L,207,134,64.73429951690821,83
Control,R,207,113,54.589371980676326,83
Left,L,207,143,69.08212560386472,83
Left,R,207,82,39.61352657004831,83
Right,L,207,119,57.48792270531401,83
Right,R,207,107,51.690821256038646,83
Bilateral,L,207,106,51.20772946859904,84
Bilateral,R,207,98,47.34299516908212,84
Control,L,207,125,60.38647342995169,84
Control,R,207,110,53.14009661835749,84
Left,L,207,140,67.6328502415459,84
Left,R,207,79,38.164251207729464,84
Right,L,207,113,54.589371980676326,84
Right,R,207,100,48.309178743961354,84
Bilateral,L,207,108,52.17391304347826,85
Bilateral,R,207,84,40.57971014492754,85
Control,L,207,140,67.6328502415459,85
Control,R,207,111,53.62318840579711,85
Left,L,207,136,65.70048309178745,85
Left,R,207,78,37.68115942028986,85
Right,L,207,125,60.38647342995169,85
Right,R,207,104,50.24154589371981,85
Bilateral,L,207,101,48.792270531400966,86
Bilateral,R,207,65,31.40096618357488,86
Control,L,207,128,61.83574879227053,86
Control,R,207,111,53.62318840579711,86
Left,L,207,145,70.04830917874396,86
Left,R,207,85,41.06280193236715,86
Right,L,207,124,59.90338164251207,86
Right,R,207,112,54.106280193236714,86
Bilateral,L,207,103,49.75845410628019,87
Bilateral,R,207,94,45.410628019323674,87
Control,L,207,130,62.80193236714976,87
Control,R,207,122,58.93719806763285,87
Left,L,207,131,63.28502415458937,87
Left,R,207,73,35.26570048309179,87
Right,L,207,114,55.072463768115945,87
Right,R,207,107,51.690821256038646,87
Bilateral,L,207,104,50.24154589371981,88
