Condition,spkr_hemifield,nTrials,nCorrect,pCorrect,iteration
Left,L,207,136,65.70048309178745,0
Left,R,207,69,33.33333333333333,0
Right,L,207,113,54.589371980676326,0
Right,R,207,104,50.24154589371981,0
Left,L,207,136,65.70048309178745,1
Left,R,207,74,35.748792270531396,1
Right,L,207,118,57.00483091787439,1
Right,R,207,82,39.61352657004831,1
Left,L,207,135,65.21739130434783,2
Left,R,207,81,39.130434782608695,2
Right,L,207,126,60.86956521739131,2
Right,R,207,92,44.44444444444444,2
Left,L,207,134,64.73429951690821,3
Left,R,207,73,35.26570048309179,3
Right,L,207,127,61.35265700483091,3
Right,R,207,102,49.275362318840585,3
Left,L,207,146,70.53140096618358,4
Left,R,207,78,37.68115942028986,4
Right,L,207,121,58.454106280193244,4
Right,R,207,95,45.893719806763286,4
Left,L,207,139,67.14975845410628,5
Left,R,207,79,38.164251207729464,5
Right,L,207,120,57.971014492753625,5
Right,R,207,90,43.47826086956522,5
Left,L,207,132,63.76811594202898,6
Left,R,207,78,37.68115942028986,6
Right,L,207,114,55.072463768115945,6
Right,R,207,99,47.82608695652174,6
Left,L,207,132,63.76811594202898,7
Left,R,207,72,34.78260869565217,7
Right,L,207,121,58.454106280193244,7
Right,R,207,103,49.75845410628019,7
Left,L,207,139,67.14975845410628,8
Left,R,207,85,41.06280193236715,8
Right,L,207,107,51.690821256038646,8
Right,R,207,105,50.72463768115942,8
Left,L,207,134,64.73429951690821,9
Left,R,207,81,39.130434782608695,9
Right,L,207,115,55.55555555555556,9
Right,R,207,104,50.24154589371981,9
Left,L,207,125,60.38647342995169,10
Left,R,207,76,36.71497584541063,10
Right,L,207,119,57.48792270531401,10
Right,R,207,97,46.85990338164252,10
Left,L,207,138,66.66666666666666,11
Left,R,207,84,40.57971014492754,11
Right,L,207,116,56.038647342995176,11
Right,R,207,109,52.65700483091788,11
Left,L,207,130,62.80193236714976,12
Left,R,207,88,42.51207729468599,12
Right,L,207,110,53.14009661835749,12
Right,R,207,98,47.34299516908212,12
Left,L,207,141,68.11594202898551,13
Left,R,207,85,41.06280193236715,13
Right,L,207,109,52.65700483091788,13
Right,R,207,85,41.06280193236715,13
Left,L,207,143,69.08212560386472,14
Left,R,207,75,36.231884057971016,14
Right,L,207,116,56.038647342995176,14
Right,R,207,101,48.792270531400966,14
Left,L,207,136,65.70048309178745,15
Left,R,207,78,37.68115942028986,15
Right,L,207,131,63.28502415458937,15
Right,R,207,100,48.309178743961354,15
Left,L,207,131,63.28502415458937,16
Left,R,207,71,34.29951690821256,16
Right,L,207,118,57.00483091787439,16
Right,R,207,88,42.51207729468599,16
Left,L,207,134,64.73429951690821,17
Left,R,207,73,35.26570048309179,17
Right,L,207,117,56.52173913043478,17
Right,R,207,92,44.44444444444444,17
Left,L,207,133,64.25120772946859,18
Left,R,207,77,37.19806763285024,18
Right,L,207,118,57.00483091787439,18
Right,R,207,100,48.309178743961354,18
Left,L,207,131,63.28502415458937,19
Left,R,207,85,41.06280193236715,19
Right,L,207,121,58.454106280193244,19
Right,R,207,106,51.20772946859904,19
Left,L,207,130,62.80193236714976,20
Left,R,207,68,32.850241545893724,20
Right,L,207,121,58.454106280193244,20
Right,R,207,98,47.34299516908212,20
Left,L,207,132,63.76811594202898,21
Left,R,207,74,35.748792270531396,21
Right,L,207,119,57.48792270531401,21
Right,R,207,92,44.44444444444444,21
Left,L,207,141,68.11594202898551,22
Left,R,207,74,35.748792270531396,22
Right,L,207,124,59.90338164251207,22
Right,R,207,99,47.82608695652174,22
Left,L,207,124,59.90338164251207,23
Left,R,207,66,31.88405797101449,23
Right,L,207,111,53.62318840579711,23
Right,R,207,100,48.309178743961354,23
Left,L,207,131,63.28502415458937,24
Left,R,207,71,34.29951690821256,24
Right,L,207,109,52.65700483091788,24
Right,R,207,88,42.51207729468599,24
Left,L,207,137,66.18357487922705,25
Left,R,207,77,37.19806763285024,25
Right,L,207,133,64.25120772946859,25
Right,R,207,109,52.65700483091788,25
Left,L,207,141,68.11594202898551,26
Left,R,207,73,35.26570048309179,26
Right,L,207,115,55.55555555555556,26
Right,R,207,94,45.410628019323674,26
Left,L,207,132,63.76811594202898,27
Left,R,207,79,38.164251207729464,27
Right,L,207,117,56.52173913043478,27
Right,R,207,99,47.82608695652174,27
Left,L,207,141,68.11594202898551,28
Left,R,207,80,38.64734299516908,28
Right,L,207,120,57.971014492753625,28
Right,R,207,105,50.72463768115942,28
Left,L,207,134,64.73429951690821,29
Left,R,207,68,32.850241545893724,29
Right,L,207,113,54.589371980676326,29
Right,R,207,91,43.96135265700483,29
Left,L,207,138,66.66666666666666,30
Left,R,207,87,42.028985507246375,30
Right,L,207,106,51.20772946859904,30
Right,R,207,104,50.24154589371981,30
Left,L,207,128,61.83574879227053,31
Left,R,207,79,38.164251207729464,31
Right,L,207,125,60.38647342995169,31
Right,R,207,107,51.690821256038646,31
Left,L,207,138,66.66666666666666,32
Left,R,207,71,34.29951690821256,32
Right,L,207,121,58.454106280193244,32
Right,R,207,97,46.85990338164252,32
Left,L,207,142,68.59903381642512,33
Left,R,207,71,34.29951690821256,33
Right,L,207,111,53.62318840579711,33
Right,R,207,105,50.72463768115942,33
Left,L,207,143,69.08212560386472,34
Left,R,207,71,34.29951690821256,34
Right,L,207,110,53.14009661835749,34
Right,R,207,103,49.75845410628019,34
Left,L,207,130,62.80193236714976,35
Left,R,207,71,34.29951690821256,35
Right,L,207,113,54.589371980676326,35
Right,R,207,112,54.106280193236714,35
Left,L,207,136,65.70048309178745,36
Left,R,207,79,38.164251207729464,36
Right,L,207,119,57.48792270531401,36
Right,R,207,97,46.85990338164252,36
Left,L,207,139,67.14975845410628,37
Left,R,207,67,32.367149758454104,37
Right,L,207,122,58.93719806763285,37
Right,R,207,99,47.82608695652174,37
Left,L,207,139,67.14975845410628,38
Left,R,207,78,37.68115942028986,38
Right,L,207,123,59.42028985507246,38
Right,R,207,98,47.34299516908212,38
Left,L,207,131,63.28502415458937,39
Left,R,207,88,42.51207729468599,39
Right,L,207,121,58.454106280193244,39
Right,R,207,112,54.106280193236714,39
Left,L,207,132,63.76811594202898,40
Left,R,207,80,38.64734299516908,40
Right,L,207,110,53.14009661835749,40
Right,R,207,93,44.927536231884055,40
Left,L,207,125,60.38647342995169,41
Left,R,207,84,40.57971014492754,41
Right,L,207,110,53.14009661835749,41
Right,R,207,102,49.275362318840585,41
Left,L,207,129,62.31884057971014,42
Left,R,207,87,42.028985507246375,42
Right,L,207,110,53.14009661835749,42
Right,R,207,95,45.893719806763286,42
Left,L,207,137,66.18357487922705,43
Left,R,207,78,37.68115942028986,43
Right,L,207,120,57.971014492753625,43
Right,R,207,100,48.309178743961354,43
Left,L,207,136,65.70048309178745,44
Left,R,207,73,35.26570048309179,44
Right,L,207,112,54.106280193236714,44
Right,R,207,114,55.072463768115945,44
Left,L,207,129,62.31884057971014,45
Left,R,207,68,32.850241545893724,45
Right,L,207,116,56.038647342995176,45
Right,R,207,96,46.3768115942029,45
Left,L,207,146,70.53140096618358,46
Left,R,207,74,35.748792270531396,46
Right,L,207,116,56.038647342995176,46
Right,R,207,96,46.3768115942029,46
Left,L,207,132,63.76811594202898,47
Left,R,207,78,37.68115942028986,47
Right,L,207,114,55.072463768115945,47
Right,R,207,90,43.47826086956522,47
Left,L,207,134,64.73429951690821,48
