Condition,nTrials,nCorrect,pCorrect,iteration
Bilateral,924,385,41.66666666666667,156
Control,924,493,53.35497835497836,156
Bilateral,924,373,40.36796536796537,157
Control,924,516,55.84415584415584,157
Bilateral,924,396,42.857142857142854,158
Control,924,501,54.22077922077923,158
Bilateral,924,381,41.23376623376623,159
Control,924,529,57.25108225108225,159
Bilateral,924,379,41.01731601731602,160
Control,924,511,55.3030303030303,160
Bilateral,924,409,44.26406926406926,161
Control,924,524,56.709956709956714,161
Bilateral,924,387,41.883116883116884,162
Control,924,488,52.81385281385281,162
Bilateral,924,409,44.26406926406926,163
Control,924,524,56.709956709956714,163
Bilateral,924,402,43.506493506493506,164
Control,924,506,54.761904761904766,164
Bilateral,924,377,40.8008658008658,165
Control,924,512,55.41125541125541,165
Bilateral,924,411,44.48051948051948,166
Control,924,523,56.6017316017316,166
Bilateral,924,397,42.96536796536797,167
Control,924,531,57.467532467532465,167
Bilateral,924,395,42.74891774891775,168
Control,924,515,55.73593073593074,168
Bilateral,924,368,39.82683982683983,169
Control,924,522,56.493506493506494,169
Bilateral,924,398,43.073593073593074,170
Control,924,526,56.926406926406926,170
Bilateral,924,387,41.883116883116884,171
Control,924,492,53.246753246753244,171
Bilateral,924,400,43.290043290043286,172
Control,924,513,55.519480519480524,172
Bilateral,924,398,43.073593073593074,173
Control,924,528,57.14285714285714,173
Bilateral,924,401,43.3982683982684,174
Control,924,509,55.086580086580085,174
Bilateral,924,395,42.74891774891775,175
Control,924,538,58.22510822510822,175
Bilateral,924,410,44.37229437229438,176
Control,924,512,55.41125541125541,176
Bilateral,924,386,41.77489177489178,177
Control,924,524,56.709956709956714,177
Bilateral,924,395,42.74891774891775,178
Control,924,540,58.44155844155844,178
Bilateral,924,385,41.66666666666667,179
Control,924,511,55.3030303030303,179
Bilateral,924,375,40.58441558441558,180
Control,924,532,57.57575757575758,180
Bilateral,924,404,43.722943722943725,181
Control,924,509,55.086580086580085,181
Bilateral,924,379,41.01731601731602,182
Control,924,491,53.13852813852814,182
Bilateral,924,383,41.450216450216445,183
Control,924,491,53.13852813852814,183
Bilateral,924,388,41.99134199134199,184
Control,924,514,55.62770562770562,184
Bilateral,924,381,41.23376623376623,185
Control,924,520,56.27705627705628,185
Bilateral,924,415,44.91341991341991,186
Control,924,510,55.1948051948052,186
Bilateral,924,378,40.909090909090914,187
Control,924,538,58.22510822510822,187
Bilateral,924,398,43.073593073593074,188
Control,924,511,55.3030303030303,188
Bilateral,924,395,42.74891774891775,189
Control,924,516,55.84415584415584,189
Bilateral,924,381,41.23376623376623,190
Control,924,500,54.112554112554115,190
Bilateral,924,393,42.532467532467535,191
Control,924,502,54.32900432900433,191
Bilateral,924,386,41.77489177489178,192
Control,924,545,58.98268398268398,192
Bilateral,924,379,41.01731601731602,193
Control,924,512,55.41125541125541,193
Bilateral,924,406,43.93939393939394,194
Control,924,498,53.896103896103895,194
Bilateral,924,387,41.883116883116884,195
Control,924,513,55.519480519480524,195
Bilateral,924,389,42.099567099567096,196
Control,924,565,61.14718614718615,196
Bilateral,924,390,42.2077922077922,197
Control,924,518,56.060606060606055,197
Bilateral,924,375,40.58441558441558,198
Control,924,515,55.73593073593074,198
Bilateral,924,396,42.857142857142854,199
Control,924,533,57.683982683982684,199
Bilateral,924,384,41.55844155844156,200
Control,924,537,58.11688311688312,200
Bilateral,924,387,41.883116883116884,201
Control,924,539,58.333333333333336,201
Bilateral,924,376,40.692640692640694,202
Control,924,523,56.6017316017316,202
Bilateral,924,387,41.883116883116884,203
Control,924,491,53.13852813852814,203
Bilateral,924,379,41.01731601731602,204
Control,924,523,56.6017316017316,204
Bilateral,924,394,42.64069264069264,205
Control,924,509,55.086580086580085,205
Bilateral,924,384,41.55844155844156,206
Control,924,537,58.11688311688312,206
Bilateral,924,381,41.23376623376623,207
Control,924,532,57.57575757575758,207
Bilateral,924,384,41.55844155844156,208
Control,924,516,55.84415584415584,208
Bilateral,924,378,40.909090909090914,209
Control,924,500,54.112554112554115,209
Bilateral,924,400,43.290043290043286,210
Control,924,513,55.519480519480524,210
Bilateral,924,399,43.18181818181818,211
Control,924,536,58.00865800865801,211
Bilateral,924,408,44.15584415584416,212
Control,924,532,57.57575757575758,212
Bilateral,924,405,43.83116883116883,213
Control,924,505,54.65367965367965,213
Bilateral,924,379,41.01731601731602,214
Control,924,522,56.493506493506494,214
Bilateral,924,396,42.857142857142854,215
Control,924,534,57.7922077922078,215
Bilateral,924,395,42.74891774891775,216
Control,924,522,56.493506493506494,216
Bilateral,924,389,42.099567099567096,217
Control,924,519,56.16883116883117,217
Bilateral,924,384,41.55844155844156,218
Control,924,537,58.11688311688312,218
Bilateral,924,377,40.8008658008658,219
Control,924,518,56.060606060606055,219
Bilateral,924,386,41.77489177489178,220
Control,924,503,54.43722943722944,220
Bilateral,924,386,41.77489177489178,221
Control,924,517,55.952380952380956,221
Bilateral,924,391,42.316017316017316,222
Control,924,496,53.67965367965368,222
Bilateral,924,425,45.995670995671,223
Control,924,537,58.11688311688312,223
Bilateral,924,391,42.316017316017316,224
Control,924,534,57.7922077922078,224
Bilateral,924,368,39.82683982683983,225
Control,924,540,58.44155844155844,225
Bilateral,924,391,42.316017316017316,226
Control,924,511,55.3030303030303,226
Bilateral,924,383,41.450216450216445,227
Control,924,530,57.35930735930735,227
Bilateral,924,393,42.532467532467535,228
Control,924,497,53.78787878787878,228
Bilateral,924,394,42.64069264069264,229
Control,924,556,60.17316017316018,229
Bilateral,924,435,47.07792207792208,230
Control,924,513,55.519480519480524,230
Bilateral,924,381,41.23376623376623,231
Control,924,511,55.3030303030303,231
Bilateral,924,379,41.01731601731602,232
Control,924,529,57.25108225108225,232
Bilateral,924,388,41.99134199134199,233
Control,924,520,56.27705627705628,233
Bilateral,924,404,43.722943722943725,234
Control,924,504,54.54545454545454,234
Bilateral,924,392,42.42424242424242,235
Control,924,493,53.35497835497836,235
Bilateral,924,400,43.290043290043286,236
Control,924,514,55.62770562770562,236
Bilateral,924,400,43.290043290043286,237
Control,924,528,57.14285714285714,237
Bilateral,924,392,42.42424242424242,238
Control,924,504,54.54545454545454,238
Bilateral,924,382,41.34199134199134,239
Control,924,523,56.6017316017316,239
Bilateral,924,397,42.96536796536797,240
Control,924,529,57.25108225108225,240
Bilateral,924,378,40.909090909090914,241
Control,924,519,56.16883116883117,241
Bilateral,924,385,41.66666666666667,242
Control,924,522,56.493506493506494,242
Bilateral,924,400,43.290043290043286,243
Control,924,530,57.35930735930735,243
Bilateral,924,371,40.15151515151515,244
Control,924,520,56.27705627705628,244
Bilateral,924,403,43.61471861471862,245
Control,924,520,56.27705627705628,245
Bilateral,924,389,42.099567099567096,246
Control,924,518,56.060606060606055,246
Bilateral,924,410,44.37229437229438,247
Control,924,503,54.43722943722944,247
Bilateral,924,382,41.34199134199134,248
Control,924,526,56.926406926406926,248
Bilateral,924,413,44.696969696969695,249
Control,924,522,56.493506493506494,249
Bilateral,924,419,45.34632034632035,250
Control,924,538,58.22510822510822,250
Bilateral,924,388,41.99134199134199,251
Control,924,513,55.519480519480524,251
Bilateral,924,398,43.073593073593074,252
Control,924,536,58.00865800865801,252
Bilateral,924,375,40.58441558441558,253
Control,924,490,53.03030303030303,253
Bilateral,924,410,44.37229437229438,254
Control,924,499,54.004329004329,254
Bilateral,924,400,43.290043290043286,255
Control,924,530,57.35930735930735,255
Bilateral,924,391,42.316017316017316,256
Control,924,521,56.38528138528138,256
Bilateral,924,386,41.77489177489178,257
Control,924,531,57.467532467532465,257
Bilateral,924,398,43.073593073593074,258
Control,924,530,57.35930735930735,258
Bilateral,924,395,42.74891774891775,259
Control,924,512,55.41125541125541,259
Bilateral,924,389,42.099567099567096,260
Control,924,516,55.84415584415584,260
Bilateral,924,386,41.77489177489178,261
Control,924,523,56.6017316017316,261
Bilateral,924,393,42.532467532467535,262
Control,924,530,57.35930735930735,262
Bilateral,924,374,40.476190476190474,263
Control,924,549,59.41558441558441,263
Bilateral,924,376,40.692640692640694,264
Control,924,517,55.952380952380956,264
Bilateral,924,364,39.39393939393939,265
Control,924,498,53.896103896103895,265
Bilateral,924,398,43.073593073593074,266
Control,924,529,57.25108225108225,266
Bilateral,924,397,42.96536796536797,267
Control,924,555,60.064935064935064,267
Bilateral,924,398,43.073593073593074,268
Control,924,523,56.6017316017316,268
Bilateral,924,389,42.099567099567096,269
Control,924,524,56.709956709956714,269
Bilateral,924,377,40.8008658008658,270
Control,924,500,54.112554112554115,270
Bilateral,924,394,42.64069264069264,271
Control,924,509,55.086580086580085,271
Bilateral,924,392,42.42424242424242,272
Control,924,534,57.7922077922078,272
Bilateral,924,389,42.099567099567096,273
Control,924,498,53.896103896103895,273
Bilateral,924,389,42.099567099567096,274
Control,924,508,54.97835497835498,274
Bilateral,924,407,44.047619047619044,275
Control,924,511,55.3030303030303,275
Bilateral,924,368,39.82683982683983,276
Control,924,523,56.6017316017316,276
Bilateral,924,382,41.34199134199134,277
Control,924,522,56.493506493506494,277
Bilateral,924,374,40.476190476190474,278
Control,924,510,55.1948051948052,278
Bilateral,924,369,39.935064935064936,279
Control,924,527,57.03463203463204,279
Bilateral,924,385,41.66666666666667,280
Control,924,530,57.35930735930735,280
Bilateral,924,393,42.532467532467535,281
Control,924,545,58.98268398268398,281
Bilateral,924,389,42.099567099567096,282
Control,924,499,54.004329004329,282
Bilateral,924,407,44.047619047619044,283
Control,924,526,56.926406926406926,283
Bilateral,924,392,42.42424242424242,284
Control,924,525,56.81818181818182,284
Bilateral,924,394,42.64069264069264,285
Control,924,509,55.086580086580085,285
Bilateral,924,394,42.64069264069264,286
Control,924,525,56.81818181818182,286
Bilateral,924,388,41.99134199134199,287
Control,924,508,54.97835497835498,287
Bilateral,924,385,41.66666666666667,288
Control,924,527,57.03463203463204,288
Bilateral,924,398,43.073593073593074,289
Control,924,526,56.926406926406926,289
Bilateral,924,373,40.36796536796537,290
Control,924,507,54.87012987012987,290
Bilateral,924,367,39.71861471861472,291
Control,924,511,55.3030303030303,291
Bilateral,924,373,40.36796536796537,292
Control,924,518,56.060606060606055,292
Bilateral,924,370,40.04329004329004,293
Control,924,505,54.65367965367965,293
Bilateral,924,406,43.93939393939394,294
Control,924,515,55.73593073593074,294
Bilateral,924,395,42.74891774891775,295
Control,924,511,55.3030303030303,295
Bilateral,924,386,41.77489177489178,296
Control,924,543,58.76623376623377,296
Bilateral,924,389,42.099567099567096,297
Control,924,530,57.35930735930735,297
Bilateral,924,381,41.23376623376623,298
Control,924,542,58.658008658008654,298
Bilateral,924,360,38.961038961038966,299
Control,924,520,56.27705627705628,299
Bilateral,924,383,41.450216450216445,300
Control,924,511,55.3030303030303,300
Bilateral,924,401,43.3982683982684,301
Control,924,532,57.57575757575758,301
Bilateral,924,403,43.61471861471862,302
Control,924,531,57.467532467532465,302
Bilateral,924,397,42.96536796536797,303
Control,924,528,57.14285714285714,303
Bilateral,924,387,41.883116883116884,304
Control,924,507,54.87012987012987,304
Bilateral,924,387,41.883116883116884,305
Control,924,518,56.060606060606055,305
Bilateral,924,401,43.3982683982684,306
Control,924,542,58.658008658008654,306
Bilateral,924,386,41.77489177489178,307
Control,924,520,56.27705627705628,307
Bilateral,924,391,42.316017316017316,308
Control,924,504,54.54545454545454,308
Bilateral,924,381,41.23376623376623,309
Control,924,514,55.62770562770562,309
Bilateral,924,417,45.12987012987013,310
Control,924,537,58.11688311688312,310
Bilateral,924,375,40.58441558441558,311
Control,924,519,56.16883116883117,311
Bilateral,924,386,41.77489177489178,312
Control,924,520,56.27705627705628,312
Bilateral,924,391,42.316017316017316,313
Control,924,517,55.952380952380956,313
Bilateral,924,384,41.55844155844156,314
Control,924,529,57.25108225108225,314
Bilateral,924,376,40.692640692640694,315
Control,924,524,56.709956709956714,315
Bilateral,924,370,40.04329004329004,316
Control,924,533,57.683982683982684,316
Bilateral,924,385,41.66666666666667,317
Control,924,535,57.9004329004329,317
Bilateral,924,398,43.073593073593074,318
Control,924,502,54.32900432900433,318
Bilateral,924,381,41.23376623376623,319
Control,924,512,55.41125541125541,319
Bilateral,924,392,42.42424242424242,320
Control,924,512,55.41125541125541,320
Bilateral,924,386,41.77489177489178,321
Control,924,515,55.73593073593074,321
Bilateral,924,399,43.18181818181818,322
Control,924,524,56.709956709956714,322
Bilateral,924,376,40.692640692640694,323
Control,924,508,54.97835497835498,323
Bilateral,924,395,42.74891774891775,324
Control,924,519,56.16883116883117,324
Bilateral,924,382,41.34199134199134,325
Control,924,512,55.41125541125541,325
Bilateral,924,380,41.125541125541126,326
Control,924,519,56.16883116883117,326
Bilateral,924,377,40.8008658008658,327
Control,924,528,57.14285714285714,327
Bilateral,924,382,41.34199134199134,328
Control,924,516,55.84415584415584,328
Bilateral,924,402,43.506493506493506,329
Control,924,475,51.40692640692641,329
Bilateral,924,364,39.39393939393939,330
Control,924,523,56.6017316017316,330
Bilateral,924,389,42.099567099567096,331
Control,924,533,57.683982683982684,331
Bilateral,924,397,42.96536796536797,332
Control,924,529,57.25108225108225,332
Bilateral,924,408,44.15584415584416,333
Control,924,532,57.57575757575758,333
Bilateral,924,409,44.26406926406926,334
Control,924,527,57.03463203463204,334
Bilateral,924,405,43.83116883116883,335
Control,924,515,55.73593073593074,335
Bilateral,924,384,41.55844155844156,336
Control,924,498,53.896103896103895,336
Bilateral,924,371,40.15151515151515,337
Control,924,550,59.523809523809526,337
Bilateral,924,392,42.42424242424242,338
Control,924,516,55.84415584415584,338
Bilateral,924,394,42.64069264069264,339
Control,924,530,57.35930735930735,339
Bilateral,924,400,43.290043290043286,340
Control,924,539,58.333333333333336,340
Bilateral,924,373,40.36796536796537,341
Control,924,542,58.658008658008654,341
Bilateral,924,379,41.01731601731602,342
Control,924,536,58.00865800865801,342
Bilateral,924,401,43.3982683982684,343
Control,924,506,54.761904761904766,343
Bilateral,924,388,41.99134199134199,344
Control,924,512,55.41125541125541,344
Bilateral,924,395,42.74891774891775,345
Control,924,512,55.41125541125541,345
Bilateral,924,387,41.883116883116884,346
Control,924,511,55.3030303030303,346
Bilateral,924,404,43.722943722943725,347
Control,924,521,56.38528138528138,347
Bilateral,924,387,41.883116883116884,348
Control,924,527,57.03463203463204,348
Bilateral,924,386,41.77489177489178,349
Control,924,510,55.1948051948052,349
Bilateral,924,378,40.909090909090914,350
Control,924,522,56.493506493506494,350
Bilateral,924,386,41.77489177489178,351
Control,924,519,56.16883116883117,351
Bilateral,924,378,40.909090909090914,352
Control,924,508,54.97835497835498,352
Bilateral,924,417,45.12987012987013,353
Control,924,515,55.73593073593074,353
Bilateral,924,407,44.047619047619044,354
Control,924,531,57.467532467532465,354
Bilateral,924,392,42.42424242424242,355
Control,924,546,59.09090909090909,355
Bilateral,924,382,41.34199134199134,356
Control,924,514,55.62770562770562,356
Bilateral,924,385,41.66666666666667,357
Control,924,507,54.87012987012987,357
Bilateral,924,390,42.2077922077922,358
Control,924,506,54.761904761904766,358
Bilateral,924,380,41.125541125541126,359
Control,924,510,55.1948051948052,359
Bilateral,924,404,43.722943722943725,360
Control,924,507,54.87012987012987,360
Bilateral,924,387,41.883116883116884,361
Control,924,497,53.78787878787878,361
Bilateral,924,365,39.5021645021645,362
Control,924,496,53.67965367965368,362
Bilateral,924,380,41.125541125541126,363
Control,924,515,55.73593073593074,363
Bilateral,924,380,41.125541125541126,364
Control,924,534,57.7922077922078,364
Bilateral,924,379,41.01731601731602,365
Control,924,508,54.97835497835498,365
Bilateral,924,383,41.450216450216445,366
Control,924,544,58.87445887445888,366
Bilateral,924,381,41.23376623376623,367
Control,924,494,53.46320346320347,367
Bilateral,924,399,43.18181818181818,368
Control,924,502,54.32900432900433,368
Bilateral,924,385,41.66666666666667,369
Control,924,520,56.27705627705628,369
Bilateral,924,380,41.125541125541126,370
Control,924,568,61.471861471861466,370
Bilateral,924,413,44.696969696969695,371
Control,924,508,54.97835497835498,371
Bilateral,924,383,41.450216450216445,372
Control,924,509,55.086580086580085,372
Bilateral,924,391,42.316017316017316,373
Control,924,524,56.709956709956714,373
Bilateral,924,392,42.42424242424242,374
Control,924,508,54.97835497835498,374
Bilateral,924,359,38.85281385281385,375
Control,924,506,54.761904761904766,375
Bilateral,924,387,41.883116883116884,376
Control,924,516,55.84415584415584,376
