Condition,nTrials,nCorrect,pCorrect,iteration
Bilateral,522,180,34.48275862068966,0
Control,522,251,48.08429118773947,0
Bilateral,522,205,39.272030651341,1
Control,522,256,49.042145593869726,1
Bilateral,522,192,36.7816091954023,2
Control,522,254,48.65900383141762,2
Bilateral,522,190,36.39846743295019,3
Control,522,270,51.724137931034484,3
Bilateral,522,198,37.93103448275862,4
Control,522,249,47.701149425287355,4
Bilateral,522,195,37.35632183908046,5
Control,522,255,48.85057471264368,5
Bilateral,522,188,36.015325670498086,6
Control,522,254,48.65900383141762,6
Bilateral,522,199,38.122605363984675,7
Control,522,268,51.34099616858238,7
Bilateral,522,202,38.69731800766284,8
Control,522,267,51.14942528735632,8
Bilateral,522,190,36.39846743295019,9
Control,522,250,47.89272030651341,9
Bilateral,522,189,36.206896551724135,10
Control,522,247,47.31800766283525,10
Bilateral,522,201,38.50574712643678,11
Control,522,254,48.65900383141762,11
Bilateral,522,181,34.67432950191571,12
Control,522,273,52.29885057471264,12
Bilateral,522,204,39.08045977011494,13
Control,522,245,46.934865900383144,13
Bilateral,522,193,36.97318007662835,14
Control,522,261,50.0,14
Bilateral,522,205,39.272030651341,15
Control,522,266,50.95785440613027,15
Bilateral,522,199,38.122605363984675,16
Control,522,251,48.08429118773947,16
Bilateral,522,200,38.31417624521073,17
Control,522,266,50.95785440613027,17
Bilateral,522,178,34.099616858237546,18
Control,522,256,49.042145593869726,18
Bilateral,522,193,36.97318007662835,19
Control,522,259,49.616858237547895,19
Bilateral,522,194,37.16475095785441,20
Control,522,261,50.0,20
Bilateral,522,188,36.015325670498086,21
Control,522,264,50.57471264367817,21
Bilateral,522,181,34.67432950191571,22
Control,522,275,52.68199233716475,22
Bilateral,522,184,35.24904214559387,23
Control,522,234,44.827586206896555,23
Bilateral,522,186,35.63218390804598,24
Control,522,254,48.65900383141762,24
Bilateral,522,205,39.272030651341,25
Control,522,243,46.55172413793103,25
Bilateral,522,188,36.015325670498086,26
Control,522,253,48.46743295019157,26
Bilateral,522,171,32.758620689655174,27
Control,522,249,47.701149425287355,27
Bilateral,522,205,39.272030651341,28
Control,522,255,48.85057471264368,28
Bilateral,522,201,38.50574712643678,29
Control,522,255,48.85057471264368,29
Bilateral,522,184,35.24904214559387,30
Control,522,252,48.275862068965516,30
Bilateral,522,180,34.48275862068966,31
Control,522,264,50.57471264367817,31
Bilateral,522,180,34.48275862068966,32
