Condition,spkr_hemifield,nTrials,nCorrect,pCorrect,iteration
Bilateral,L,81,34,41.9753086419753,0
Bilateral,R,81,33,40.74074074074074,0
Control,L,81,41,50.617283950617285,0
Control,R,81,41,50.617283950617285,0
Left,L,81,36,44.44444444444444,0
Left,R,81,13,16.049382716049383,0
Right,L,81,23,28.39506172839506,0
Right,R,81,30,37.03703703703704,0
Bilateral,L,81,29,35.80246913580247,1
Bilateral,R,81,31,38.2716049382716,1
Control,L,81,40,49.382716049382715,1
Control,R,81,44,54.32098765432099,1
Left,L,81,25,30.864197530864196,1
Left,R,81,11,13.580246913580247,1
Right,L,81,18,22.22222222222222,1
Right,R,81,34,41.9753086419753,1
Bilateral,L,81,33,40.74074074074074,2
Bilateral,R,81,30,37.03703703703704,2
Control,L,81,44,54.32098765432099,2
Control,R,81,39,48.148148148148145,2
Left,L,81,30,37.03703703703704,2
Left,R,81,10,12.345679012345679,2
Right,L,81,18,22.22222222222222,2
Right,R,81,42,51.85185185185185,2
Bilateral,L,81,22,27.160493827160494,3
Bilateral,R,81,28,34.5679012345679,3
Control,L,81,41,50.617283950617285,3
Control,R,81,44,54.32098765432099,3
Left,L,81,25,30.864197530864196,3
Left,R,81,19,23.456790123456788,3
Right,L,81,29,35.80246913580247,3
Right,R,81,42,51.85185185185185,3
Bilateral,L,81,40,49.382716049382715,4
Bilateral,R,81,27,33.33333333333333,4
Control,L,81,42,51.85185185185185,4
Control,R,81,35,43.20987654320987,4
Left,L,81,22,27.160493827160494,4
Left,R,81,12,14.814814814814813,4
Right,L,81,26,32.098765432098766,4
Right,R,81,39,48.148148148148145,4
Bilateral,L,81,28,34.5679012345679,5
Bilateral,R,81,28,34.5679012345679,5
Control,L,81,40,49.382716049382715,5
Control,R,81,49,60.49382716049383,5
Left,L,81,26,32.098765432098766,5
Left,R,81,14,17.28395061728395,5
Right,L,81,28,34.5679012345679,5
Right,R,81,33,40.74074074074074,5
Bilateral,L,81,31,38.2716049382716,6
Bilateral,R,81,27,33.33333333333333,6
Control,L,81,36,44.44444444444444,6
Control,R,81,44,54.32098765432099,6
Left,L,81,22,27.160493827160494,6
Left,R,81,16,19.753086419753085,6
Right,L,81,28,34.5679012345679,6
Right,R,81,23,28.39506172839506,6
Bilateral,L,81,31,38.2716049382716,7
Bilateral,R,81,29,35.80246913580247,7
Control,L,81,34,41.9753086419753,7
Control,R,81,45,55.55555555555556,7
Left,L,81,27,33.33333333333333,7
Left,R,81,17,20.98765432098765,7
Right,L,81,21,25.925925925925924,7
Right,R,81,36,44.44444444444444,7
Bilateral,L,81,29,35.80246913580247,8
Bilateral,R,81,30,37.03703703703704,8
Control,L,81,34,41.9753086419753,8
Control,R,81,44,54.32098765432099,8
Left,L,81,26,32.098765432098766,8
Left,R,81,14,17.28395061728395,8
Right,L,81,23,28.39506172839506,8
Right,R,81,33,40.74074074074074,8
Bilateral,L,81,28,34.5679012345679,9
Bilateral,R,81,28,34.5679012345679,9
Control,L,81,35,43.20987654320987,9
Control,R,81,41,50.617283950617285,9
Left,L,81,31,38.2716049382716,9
Left,R,81,15,18.51851851851852,9
Right,L,81,19,23.456790123456788,9
Right,R,81,39,48.148148148148145,9
Bilateral,L,81,36,44.44444444444444,10
Bilateral,R,81,38,46.913580246913575,10
Control,L,81,39,48.148148148148145,10
Control,R,81,45,55.55555555555556,10
Left,L,81,29,35.80246913580247,10
Left,R,81,16,19.753086419753085,10
Right,L,81,17,20.98765432098765,10
Right,R,81,41,50.617283950617285,10
Bilateral,L,81,31,38.2716049382716,11
Bilateral,R,81,29,35.80246913580247,11
Control,L,81,40,49.382716049382715,11
Control,R,81,41,50.617283950617285,11
Left,L,81,29,35.80246913580247,11
Left,R,81,15,18.51851851851852,11
Right,L,81,19,23.456790123456788,11
Right,R,81,32,39.50617283950617,11
Bilateral,L,81,31,38.2716049382716,12
Bilateral,R,81,38,46.913580246913575,12
Control,L,81,41,50.617283950617285,12
Control,R,81,37,45.67901234567901,12
Left,L,81,26,32.098765432098766,12
Left,R,81,15,18.51851851851852,12
Right,L,81,13,16.049382716049383,12
Right,R,81,37,45.67901234567901,12
Bilateral,L,81,30,37.03703703703704,13
Bilateral,R,81,23,28.39506172839506,13
Control,L,81,40,49.382716049382715,13
Control,R,81,39,48.148148148148145,13
Left,L,81,22,27.160493827160494,13
Left,R,81,12,14.814814814814813,13
Right,L,81,22,27.160493827160494,13
Right,R,81,33,40.74074074074074,13
Bilateral,L,81,24,29.629629629629626,14
Bilateral,R,81,36,44.44444444444444,14
Control,L,81,40,49.382716049382715,14
Control,R,81,42,51.85185185185185,14
Left,L,81,31,38.2716049382716,14
Left,R,81,21,25.925925925925924,14
Right,L,81,20,24.691358024691358,14
Right,R,81,29,35.80246913580247,14
Bilateral,L,81,26,32.098765432098766,15
Bilateral,R,81,31,38.2716049382716,15
Control,L,81,36,44.44444444444444,15
Control,R,81,43,53.086419753086425,15
Left,L,81,28,34.5679012345679,15
Left,R,81,16,19.753086419753085,15
Right,L,81,15,18.51851851851852,15
Right,R,81,38,46.913580246913575,15
Bilateral,L,81,31,38.2716049382716,16
Bilateral,R,81,25,30.864197530864196,16
Control,L,81,42,51.85185185185185,16
Control,R,81,34,41.9753086419753,16
Left,L,81,22,27.160493827160494,16
Left,R,81,12,14.814814814814813,16
Right,L,81,20,24.691358024691358,16
Right,R,81,35,43.20987654320987,16
Bilateral,L,81,37,45.67901234567901,17
Bilateral,R,81,34,41.9753086419753,17
Control,L,81,33,40.74074074074074,17
Control,R,81,40,49.382716049382715,17
Left,L,81,22,27.160493827160494,17
Left,R,81,12,14.814814814814813,17
Right,L,81,17,20.98765432098765,17
Right,R,81,41,50.617283950617285,17
Bilateral,L,81,37,45.67901234567901,18
Bilateral,R,81,34,41.9753086419753,18
Control,L,81,38,46.913580246913575,18
Control,R,81,42,51.85185185185185,18
Left,L,81,24,29.629629629629626,18
Left,R,81,14,17.28395061728395,18
Right,L,81,26,32.098765432098766,18
Right,R,81,43,53.086419753086425,18
Bilateral,L,81,34,41.9753086419753,19
Bilateral,R,81,29,35.80246913580247,19
Control,L,81,39,48.148148148148145,19
Control,R,81,39,48.148148148148145,19
Left,L,81,24,29.629629629629626,19
Left,R,81,16,19.753086419753085,19
Right,L,81,20,24.691358024691358,19
Right,R,81,42,51.85185185185185,19
Bilateral,L,81,21,25.925925925925924,20
Bilateral,R,81,32,39.50617283950617,20
Control,L,81,35,43.20987654320987,20
Control,R,81,43,53.086419753086425,20
Left,L,81,31,38.2716049382716,20
Left,R,81,16,19.753086419753085,20
Right,L,81,20,24.691358024691358,20
Right,R,81,36,44.44444444444444,20
Bilateral,L,81,31,38.2716049382716,21
Bilateral,R,81,36,44.44444444444444,21
Control,L,81,45,55.55555555555556,21
Control,R,81,48,59.25925925925925,21
Left,L,81,24,29.629629629629626,21
Left,R,81,17,20.98765432098765,21
Right,L,81,18,22.22222222222222,21
