Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,noiseAtten,opto,laserOnset,laserOffset,Mask,sessionDate
49,0,530.425,0,730,2058,2857,4205,801,0.0,200,1,2,531.222,1,10,0,-150,100,1,2021-03-10 17:56:00
50,0,540.774,0,460,1105,2857,4205,501,-6.7,200,0,8,541.36,1,10,1,-150,100,1,2021-03-10 17:56:00
51,0,552.228,0,460,1105,2857,4205,701,-10.0,200,0,8,552.838,1,10,0,-150,100,1,2021-03-10 17:56:00
52,0,566.903,0,460,1105,2857,4205,701,6.7,200,0,8,567.754,1,10,1,-150,100,1,2021-03-10 17:56:00
53,0,576.589,0,460,1105,2857,4205,901,-6.7,200,0,8,577.147,1,10,0,-150,100,1,2021-03-10 17:56:00
54,0,587.913,0,730,2058,2857,4205,1001,-10.0,200,1,2,588.481,1,10,1,-150,100,1,2021-03-10 17:56:00
55,0,599.841,0,730,2058,2857,4205,501,-3.3,200,1,2,601.017,1,10,0,-150,100,1,2021-03-10 17:56:00
56,0,613.004,0,730,2058,2857,4205,801,10.0,200,1,2,613.68,1,10,1,-150,100,1,2021-03-10 17:56:00
57,0,624.902,0,460,1105,2857,4205,701,3.3,200,0,8,625.539,1,10,0,-150,100,1,2021-03-10 17:56:00
58,0,633.654,0,460,1105,2857,4205,601,6.7,200,0,8,634.291,1,10,1,-150,100,1,2021-03-10 17:56:00
59,0,644.452,0,730,2058,2857,4205,801,-3.3,200,1,8,645.116,0,10,1,-150,100,1,2021-03-10 17:56:00
60,1,649.997,0,730,2058,2857,4205,801,-3.3,200,1,2,650.663,1,10,0,-150,100,1,2021-03-10 17:56:00
61,0,660.536,0,730,2058,2857,4205,501,-10.0,200,1,8,661.099,0,10,0,-150,100,1,2021-03-10 17:56:00
62,1,664.628,0,730,2058,2857,4205,501,-10.0,200,1,8,665.288,0,10,0,-150,100,1,2021-03-10 17:56:00
63,1,668.87,0,730,2058,2857,4205,501,-10.0,200,1,8,669.911,0,10,0,-150,100,1,2021-03-10 17:56:00
64,1,674.255,0,730,2058,2857,4205,501,-10.0,200,1,2,675.195,1,10,0,-150,100,1,2021-03-10 17:56:00
65,0,695.462,0,730,2058,2857,4205,901,6.7,200,1,8,696.899,0,10,1,-150,100,1,2021-03-10 17:56:00
66,1,704.245,0,730,2058,2857,4205,901,6.7,200,1,8,705.141,0,10,0,-150,100,1,2021-03-10 17:56:00
67,1,719.34,0,730,2058,2857,4205,901,6.7,200,1,2,720.033,1,10,0,-150,100,1,2021-03-10 17:56:00
68,0,752.14,0,460,1105,2857,4205,701,-6.7,200,0,2,752.864,0,10,1,-150,100,1,2021-03-10 17:56:00
69,1,772.741,0,460,1105,2857,4205,701,-6.7,200,0,8,774.044,1,10,0,-150,100,1,2021-03-10 17:56:00
70,0,801.283,0,730,2058,2857,4205,901,3.3,200,1,2,801.955,1,10,0,-150,100,1,2021-03-10 17:56:00
71,0,816.126,0,460,1105,2857,4205,1001,0.0,200,0,8,816.917,1,10,0,-150,100,1,2021-03-10 17:56:00
72,0,827.13,0,730,2058,2857,4205,501,-10.0,200,1,2,827.938,1,10,1,-150,100,1,2021-03-10 17:56:00
73,0,837.1,0,730,2058,2857,4205,601,-6.7,200,1,2,837.766,1,10,0,-150,100,1,2021-03-10 17:56:00
74,0,851.063,0,460,1105,2857,4205,801,10.0,200,0,8,851.733,1,10,1,-150,100,1,2021-03-10 17:56:00
75,0,867.679,0,460,1105,2857,4205,601,6.7,200,0,8,868.743,1,10,0,-150,100,1,2021-03-10 17:56:00
76,0,877.723,0,730,2058,2857,4205,501,-3.3,200,1,2,878.472,1,10,0,-150,100,1,2021-03-10 17:56:00
77,0,891.082,0,460,1105,2857,4205,1001,0.0,200,0,8,891.648,1,10,1,-150,100,1,2021-03-10 17:56:00
78,0,902.848,0,730,2058,2857,4205,701,0.0,200,1,8,903.657,0,10,1,-150,100,1,2021-03-10 17:56:00
79,1,907.44,0,730,2058,2857,4205,701,0.0,200,1,2,908.139,1,10,0,-150,100,1,2021-03-10 17:56:00
80,0,921.068,0,460,1105,2857,4205,701,-6.7,200,0,8,921.772,1,10,0,-150,100,1,2021-03-10 17:56:00
81,0,938.464,0,730,2058,2857,4205,1001,10.0,200,1,2,939.156,1,10,1,-150,100,1,2021-03-10 17:56:00
82,0,958.934,0,730,2058,2857,4205,901,3.3,200,1,2,959.589,1,10,1,-150,100,1,2021-03-10 17:56:00
83,0,969.27,0,730,2058,2857,4205,801,-3.3,200,1,2,969.809,1,10,0,-150,100,1,2021-03-10 17:56:00
84,0,982.184,0,460,1105,2857,4205,501,-10.0,200,0,8,982.843,1,10,1,-150,100,1,2021-03-10 17:56:00
85,0,1001.567,0,460,1105,2857,4205,801,-3.3,200,0,8,1002.404,1,10,0,-150,100,1,2021-03-10 17:56:00
86,0,1012.129,0,460,1105,2857,4205,701,10.0,200,0,8,1013.036,1,10,1,-150,100,1,2021-03-10 17:56:00
87,0,1023.692,0,460,1105,2857,4205,901,-6.7,200,0,8,1024.479,1,10,0,-150,100,1,2021-03-10 17:56:00
88,0,1046.742,0,730,2058,2857,4205,1001,0.0,200,1,2,1047.493,1,10,0,-150,100,1,2021-03-10 17:56:00
89,0,1057.839,0,730,2058,2857,4205,501,3.3,200,1,2,1058.685,1,10,0,-150,100,1,2021-03-10 17:56:00
90,0,1075.548,0,460,1105,2857,4205,801,-10.0,200,0,2,1076.779,0,10,1,-150,100,1,2021-03-10 17:56:00
91,1,1086.423,0,460,1105,2857,4205,801,-10.0,200,0,8,1087.242,1,10,0,-150,100,1,2021-03-10 17:56:00
92,0,1096.897,0,730,2058,2857,4205,701,-10.0,200,1,2,1097.514,1,10,0,-150,100,1,2021-03-10 17:56:00
93,0,1105.242,0,460,1105,2857,4205,601,10.0,200,0,2,1105.922,0,10,0,-150,100,1,2021-03-10 17:56:00
94,1,1109.714,0,460,1105,2857,4205,601,10.0,200,0,2,1111.332,0,10,0,-150,100,1,2021-03-10 17:56:00
95,1,1123.93,0,460,1105,2857,4205,601,10.0,200,0,2,1124.773,0,10,0,-150,100,1,2021-03-10 17:56:00
96,1,1132.352,0,460,1105,2857,4205,601,10.0,200,0,2,1133.196,0,10,0,-150,100,1,2021-03-10 17:56:00
97,1,1140.267,0,460,1105,2857,4205,601,10.0,200,0,8,1140.976,1,10,0,-150,100,1,2021-03-10 17:56:00
98,0,1161.879,0,730,2058,2857,4205,1001,0.0,200,1,2,1162.835,1,10,1,-150,100,1,2021-03-10 17:56:00
99,0,1171.121,0,460,1105,2857,4205,501,-6.7,200,0,8,1171.843,1,10,1,-150,100,1,2021-03-10 17:56:00
100,0,1199.474,0,730,2058,2857,4205,901,-3.3,200,1,2,1200.17,1,10,1,-150,100,1,2021-03-10 17:56:00
101,0,1211.673,0,460,1105,2857,4205,601,3.3,200,0,8,1212.333,1,10,0,-150,100,1,2021-03-10 17:56:00
102,0,1236.162,0,730,2058,2857,4205,1001,3.3,200,1,8,1237.276,0,10,1,-150,100,1,2021-03-10 17:56:00
1,0,38.886,0,460,1105,2857,4205,801,3.3,200,0,8,40.525,1,10,1,-150,100,1,2021-03-11 17:40:00
2,0,66.346,0,460,1105,2857,4205,601,-10.0,200,0,8,67.508,1,10,0,-150,100,1,2021-03-11 17:40:00
3,0,96.117,0,460,1105,2857,4205,901,-6.7,200,0,8,97.143,1,10,1,-150,100,1,2021-03-11 17:40:00
4,0,114.885,0,730,2058,2857,4205,501,10.0,200,1,2,116.371,1,10,1,-150,100,1,2021-03-11 17:40:00
5,0,127.327,0,730,2058,2857,4205,701,0.0,200,1,2,128.297,1,10,0,-150,100,1,2021-03-11 17:40:00
6,0,140.118,0,730,2058,2857,4205,601,-3.3,200,1,2,141.085,1,10,0,-150,100,1,2021-03-11 17:40:00
7,0,153.413,0,730,2058,2857,4205,701,-3.3,200,1,8,154.308,0,10,1,-150,100,1,2021-03-11 17:40:00
8,1,175.747,0,730,2058,2857,4205,701,-3.3,200,1,2,176.532,1,10,0,-150,100,1,2021-03-11 17:40:00
9,0,204.352,0,460,1105,2857,4205,1001,0.0,200,0,8,205.106,1,10,0,-150,100,1,2021-03-11 17:40:00
10,0,217.223,0,460,1105,2857,4205,901,-10.0,200,0,8,218.446,1,10,0,-150,100,1,2021-03-11 17:40:00
11,0,228.344,0,730,2058,2857,4205,501,-6.7,200,1,2,229.535,1,10,0,-150,100,1,2021-03-11 17:40:00
12,0,242.257,0,460,1105,2857,4205,1001,10.0,200,0,2,243.122,0,10,1,-150,100,1,2021-03-11 17:40:00
13,1,247.219,0,460,1105,2857,4205,1001,10.0,200,0,2,248.203,0,10,0,-150,100,1,2021-03-11 17:40:00
14,1,252.218,0,460,1105,2857,4205,1001,10.0,200,0,8,253.003,1,10,0,-150,100,1,2021-03-11 17:40:00
15,0,267.262,0,460,1105,2857,4205,801,3.3,200,0,2,268.075,0,10,0,-150,100,1,2021-03-11 17:40:00
