Mask,treatment,SNR,nTrials,nCorrect,pCorrect,iteration
Restricted,False,-20.0,26,11,42.30769230769231,0
Restricted,False,-16.700000000000003,26,20,76.92307692307693,0
Restricted,False,-13.299999999999995,26,24,92.3076923076923,0
Restricted,False,-10.0,26,24,92.3076923076923,0
Restricted,False,-6.700000000000003,26,25,96.15384615384616,0
Restricted,False,-3.299999999999997,26,22,84.61538461538461,0
Restricted,False,0.0,26,21,80.76923076923077,0
Restricted,True,-20.0,26,14,53.84615384615385,0
Restricted,True,-16.700000000000003,26,14,53.84615384615385,0
Restricted,True,-13.299999999999995,26,14,53.84615384615385,0
Restricted,True,-10.0,26,20,76.92307692307693,0
Restricted,True,-6.700000000000003,26,17,65.38461538461539,0
Restricted,True,-3.299999999999997,26,15,57.692307692307686,0
Restricted,True,0.0,26,19,73.07692307692307,0
Restricted,False,-20.0,26,14,53.84615384615385,1
Restricted,False,-16.700000000000003,26,24,92.3076923076923,1
Restricted,False,-13.299999999999995,26,21,80.76923076923077,1
Restricted,False,-10.0,26,21,80.76923076923077,1
Restricted,False,-6.700000000000003,26,26,100.0,1
Restricted,False,-3.299999999999997,26,20,76.92307692307693,1
Restricted,False,0.0,26,17,65.38461538461539,1
Restricted,True,-20.0,26,15,57.692307692307686,1
Restricted,True,-16.700000000000003,26,18,69.23076923076923,1
Restricted,True,-13.299999999999995,26,15,57.692307692307686,1
Restricted,True,-10.0,26,19,73.07692307692307,1
Restricted,True,-6.700000000000003,26,18,69.23076923076923,1
Restricted,True,-3.299999999999997,26,17,65.38461538461539,1
Restricted,True,0.0,26,21,80.76923076923077,1
Restricted,False,-20.0,26,13,50.0,2
Restricted,False,-16.700000000000003,26,25,96.15384615384616,2
Restricted,False,-13.299999999999995,26,19,73.07692307692307,2
Restricted,False,-10.0,26,23,88.46153846153845,2
Restricted,False,-6.700000000000003,26,25,96.15384615384616,2
Restricted,False,-3.299999999999997,26,19,73.07692307692307,2
Restricted,False,0.0,26,20,76.92307692307693,2
Restricted,True,-20.0,26,15,57.692307692307686,2
Restricted,True,-16.700000000000003,26,20,76.92307692307693,2
Restricted,True,-13.299999999999995,26,14,53.84615384615385,2
Restricted,True,-10.0,26,18,69.23076923076923,2
Restricted,True,-6.700000000000003,26,19,73.07692307692307,2
Restricted,True,-3.299999999999997,26,16,61.53846153846154,2
Restricted,True,0.0,26,20,76.92307692307693,2
Restricted,False,-20.0,26,14,53.84615384615385,3
Restricted,False,-16.700000000000003,26,23,88.46153846153845,3
Restricted,False,-13.299999999999995,26,17,65.38461538461539,3
Restricted,False,-10.0,26,24,92.3076923076923,3
Restricted,False,-6.700000000000003,26,24,92.3076923076923,3
Restricted,False,-3.299999999999997,26,23,88.46153846153845,3
Restricted,False,0.0,26,21,80.76923076923077,3
Restricted,True,-20.0,26,13,50.0,3
Restricted,True,-16.700000000000003,26,17,65.38461538461539,3
Restricted,True,-13.299999999999995,26,16,61.53846153846154,3
Restricted,True,-10.0,26,16,61.53846153846154,3
Restricted,True,-6.700000000000003,26,21,80.76923076923077,3
Restricted,True,-3.299999999999997,26,14,53.84615384615385,3
Restricted,True,0.0,26,22,84.61538461538461,3
Restricted,False,-20.0,26,11,42.30769230769231,4
Restricted,False,-16.700000000000003,26,21,80.76923076923077,4
