Mask,treatment,SNR,nTrials,nCorrect,pCorrect,iteration
Clean,False,-4.0,154,125,81.16883116883116,9
Clean,False,2.0,154,126,81.81818181818183,9
Clean,True,-7.0,154,118,76.62337662337663,9
Clean,True,-4.0,154,133,86.36363636363636,9
Clean,True,2.0,154,131,85.06493506493507,9
Restricted,False,-7.0,154,109,70.77922077922078,9
Restricted,False,-4.0,154,118,76.62337662337663,9
Restricted,False,2.0,154,118,76.62337662337663,9
Restricted,True,-7.0,154,78,50.649350649350644,9
Restricted,True,-4.0,154,85,55.1948051948052,9
Restricted,True,2.0,154,94,61.038961038961034,9
Clean,False,-7.0,154,114,74.02597402597402,10
Clean,False,-4.0,154,122,79.22077922077922,10
Clean,False,2.0,154,127,82.46753246753246,10
Clean,True,-7.0,154,135,87.66233766233766,10
Clean,True,-4.0,154,142,92.20779220779221,10
Clean,True,2.0,154,123,79.87012987012987,10
Restricted,False,-7.0,154,96,62.33766233766234,10
Restricted,False,-4.0,154,114,74.02597402597402,10
Restricted,False,2.0,154,120,77.92207792207793,10
Restricted,True,-7.0,154,83,53.896103896103895,10
Restricted,True,-4.0,154,83,53.896103896103895,10
Restricted,True,2.0,154,84,54.54545454545454,10
Clean,False,-7.0,154,111,72.07792207792207,11
Clean,False,-4.0,154,131,85.06493506493507,11
Clean,False,2.0,154,131,85.06493506493507,11
Clean,True,-7.0,154,110,71.42857142857143,11
Clean,True,-4.0,154,141,91.55844155844156,11
Clean,True,2.0,154,118,76.62337662337663,11
Restricted,False,-7.0,154,109,70.77922077922078,11
Restricted,False,-4.0,154,93,60.3896103896104,11
Restricted,False,2.0,154,116,75.32467532467533,11
Restricted,True,-7.0,154,79,51.298701298701296,11
Restricted,True,-4.0,154,99,64.28571428571429,11
Restricted,True,2.0,154,84,54.54545454545454,11
Clean,False,-7.0,154,106,68.83116883116884,12
Clean,False,-4.0,154,118,76.62337662337663,12
Clean,False,2.0,154,126,81.81818181818183,12
Clean,True,-7.0,154,114,74.02597402597402,12
Clean,True,-4.0,154,141,91.55844155844156,12
Clean,True,2.0,154,131,85.06493506493507,12
Restricted,False,-7.0,154,97,62.98701298701299,12
Restricted,False,-4.0,154,100,64.93506493506493,12
Restricted,False,2.0,154,115,74.67532467532467,12
Restricted,True,-7.0,154,98,63.63636363636363,12
Restricted,True,-4.0,154,80,51.94805194805194,12
Restricted,True,2.0,154,80,51.94805194805194,12
Clean,False,-7.0,154,107,69.48051948051948,13
Clean,False,-4.0,154,122,79.22077922077922,13
Clean,False,2.0,154,119,77.27272727272727,13
Clean,True,-7.0,154,123,79.87012987012987,13
Clean,True,-4.0,154,136,88.31168831168831,13
Clean,True,2.0,154,135,87.66233766233766,13
Restricted,False,-7.0,154,103,66.88311688311688,13
Restricted,False,-4.0,154,102,66.23376623376623,13
Restricted,False,2.0,154,111,72.07792207792207,13
Restricted,True,-7.0,154,89,57.7922077922078,13
Restricted,True,-4.0,154,91,59.09090909090909,13
Restricted,True,2.0,154,93,60.3896103896104,13
Clean,False,-7.0,154,110,71.42857142857143,14
Clean,False,-4.0,154,129,83.76623376623377,14
Clean,False,2.0,154,127,82.46753246753246,14
Clean,True,-7.0,154,121,78.57142857142857,14
Clean,True,-4.0,154,140,90.9090909090909,14
Clean,True,2.0,154,118,76.62337662337663,14
Restricted,False,-7.0,154,96,62.33766233766234,14
Restricted,False,-4.0,154,99,64.28571428571429,14
Restricted,False,2.0,154,115,74.67532467532467,14
Restricted,True,-7.0,154,92,59.74025974025974,14
Restricted,True,-4.0,154,80,51.94805194805194,14
Restricted,True,2.0,154,86,55.84415584415584,14
Clean,False,-7.0,154,124,80.51948051948052,15
Clean,False,-4.0,154,114,74.02597402597402,15
Clean,False,2.0,154,127,82.46753246753246,15
Clean,True,-7.0,154,127,82.46753246753246,15
Clean,True,-4.0,154,143,92.85714285714286,15
Clean,True,2.0,154,124,80.51948051948052,15
Restricted,False,-7.0,154,106,68.83116883116884,15
Restricted,False,-4.0,154,107,69.48051948051948,15
Restricted,False,2.0,154,117,75.97402597402598,15
Restricted,True,-7.0,154,89,57.7922077922078,15
Restricted,True,-4.0,154,91,59.09090909090909,15
Restricted,True,2.0,154,87,56.493506493506494,15
Clean,False,-7.0,154,115,74.67532467532467,16
Clean,False,-4.0,154,121,78.57142857142857,16
Clean,False,2.0,154,125,81.16883116883116,16
Clean,True,-7.0,154,121,78.57142857142857,16
Clean,True,-4.0,154,129,83.76623376623377,16
Clean,True,2.0,154,127,82.46753246753246,16
Restricted,False,-7.0,154,89,57.7922077922078,16
Restricted,False,-4.0,154,99,64.28571428571429,16
Restricted,False,2.0,154,115,74.67532467532467,16
Restricted,True,-7.0,154,93,60.3896103896104,16
Restricted,True,-4.0,154,100,64.93506493506493,16
Restricted,True,2.0,154,90,58.44155844155844,16
Clean,False,-7.0,154,109,70.77922077922078,17
Clean,False,-4.0,154,121,78.57142857142857,17
Clean,False,2.0,154,129,83.76623376623377,17
Clean,True,-7.0,154,128,83.11688311688312,17
Clean,True,-4.0,154,142,92.20779220779221,17
Clean,True,2.0,154,119,77.27272727272727,17
Restricted,False,-7.0,154,108,70.12987012987013,17
Restricted,False,-4.0,154,104,67.53246753246754,17
Restricted,False,2.0,154,113,73.37662337662337,17
Restricted,True,-7.0,154,98,63.63636363636363,17
Restricted,True,-4.0,154,94,61.038961038961034,17
Restricted,True,2.0,154,90,58.44155844155844,17
Clean,False,-7.0,154,115,74.67532467532467,18
Clean,False,-4.0,154,126,81.81818181818183,18
Clean,False,2.0,154,126,81.81818181818183,18
Clean,True,-7.0,154,121,78.57142857142857,18
Clean,True,-4.0,154,140,90.9090909090909,18
Clean,True,2.0,154,126,81.81818181818183,18
Restricted,False,-7.0,154,99,64.28571428571429,18
Restricted,False,-4.0,154,102,66.23376623376623,18
Restricted,False,2.0,154,109,70.77922077922078,18
Restricted,True,-7.0,154,88,57.14285714285714,18
Restricted,True,-4.0,154,88,57.14285714285714,18
Restricted,True,2.0,154,86,55.84415584415584,18
Clean,False,-7.0,154,108,70.12987012987013,19
Clean,False,-4.0,154,122,79.22077922077922,19
Clean,False,2.0,154,126,81.81818181818183,19
Clean,True,-7.0,154,116,75.32467532467533,19
Clean,True,-4.0,154,140,90.9090909090909,19
Clean,True,2.0,154,128,83.11688311688312,19
Restricted,False,-7.0,154,107,69.48051948051948,19
Restricted,False,-4.0,154,118,76.62337662337663,19
Restricted,False,2.0,154,121,78.57142857142857,19
Restricted,True,-7.0,154,87,56.493506493506494,19
Restricted,True,-4.0,154,95,61.68831168831169,19
Restricted,True,2.0,154,84,54.54545454545454,19
Clean,False,-7.0,154,116,75.32467532467533,20
Clean,False,-4.0,154,116,75.32467532467533,20
Clean,False,2.0,154,125,81.16883116883116,20
Clean,True,-7.0,154,125,81.16883116883116,20
Clean,True,-4.0,154,135,87.66233766233766,20
Clean,True,2.0,154,119,77.27272727272727,20
Restricted,False,-7.0,154,92,59.74025974025974,20
Restricted,False,-4.0,154,108,70.12987012987013,20
Restricted,False,2.0,154,120,77.92207792207793,20
Restricted,True,-7.0,154,95,61.68831168831169,20
Restricted,True,-4.0,154,92,59.74025974025974,20
Restricted,True,2.0,154,94,61.038961038961034,20
Clean,False,-7.0,154,105,68.18181818181817,21
Clean,False,-4.0,154,119,77.27272727272727,21
Clean,False,2.0,154,130,84.4155844155844,21
Clean,True,-7.0,154,116,75.32467532467533,21
Clean,True,-4.0,154,142,92.20779220779221,21
Clean,True,2.0,154,130,84.4155844155844,21
Restricted,False,-7.0,154,99,64.28571428571429,21
Restricted,False,-4.0,154,103,66.88311688311688,21
Restricted,False,2.0,154,113,73.37662337662337,21
Restricted,True,-7.0,154,86,55.84415584415584,21
Restricted,True,-4.0,154,90,58.44155844155844,21
Restricted,True,2.0,154,87,56.493506493506494,21
Clean,False,-7.0,154,110,71.42857142857143,22
Clean,False,-4.0,154,120,77.92207792207793,22
Clean,False,2.0,154,118,76.62337662337663,22
Clean,True,-7.0,154,123,79.87012987012987,22
Clean,True,-4.0,154,138,89.6103896103896,22
Clean,True,2.0,154,128,83.11688311688312,22
Restricted,False,-7.0,154,98,63.63636363636363,22
Restricted,False,-4.0,154,106,68.83116883116884,22
Restricted,False,2.0,154,114,74.02597402597402,22
Restricted,True,-7.0,154,87,56.493506493506494,22
Restricted,True,-4.0,154,92,59.74025974025974,22
Restricted,True,2.0,154,81,52.5974025974026,22
Clean,False,-7.0,154,114,74.02597402597402,23
Clean,False,-4.0,154,114,74.02597402597402,23
Clean,False,2.0,154,126,81.81818181818183,23
Clean,True,-7.0,154,130,84.4155844155844,23
Clean,True,-4.0,154,141,91.55844155844156,23
Clean,True,2.0,154,126,81.81818181818183,23
Restricted,False,-7.0,154,88,57.14285714285714,23
Restricted,False,-4.0,154,104,67.53246753246754,23
Restricted,False,2.0,154,115,74.67532467532467,23
