Trial,CenterReward,HoldTime,Atten,Pitch,Response,Correct,Mask,LeftTemperature,RightTemperature,fNum,method,sessionDate,rxnTime,vowel,vowel_level,SNR,meanTemp,treatment
1,0,851,5.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,0.693,e,54.5,-15.5,37.0,False
15,0,951,5.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-01-27 08:22:00,0.7796,e,54.5,-15.5,37.0,False
47,0,801,5.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,1.4411,e,54.5,-15.5,37.0,False
97,0,801,5.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-24 08:31:00,1.0695,u,54.5,-15.5,37.0,False
16,0,601,5.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.0898,u,54.5,-15.5,37.0,False
82,0,701,5.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-01-29 08:29:00,1.0038,u,54.5,-15.5,37.0,False
37,0,601,5.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,1.1428,u,54.5,-15.5,37.0,False
77,0,551,5.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,1.5379,u,54.5,-15.5,37.0,False
42,0,551,5.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-01-29 08:29:00,0.6073,u,54.5,-15.5,37.0,False
100,1,1001,5.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,4.1813,u,54.5,-15.5,37.0,False
4,0,701,5.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,0.925,u,54.5,-15.5,37.0,False
82,0,701,5.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-01-29 08:29:00,1.0038,u,54.5,-15.5,37.0,False
100,1,1001,5.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,4.1813,u,54.5,-15.5,37.0,False
16,0,601,5.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.0898,u,54.5,-15.5,37.0,False
14,0,501,5.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-01-29 08:29:00,1.0133,u,54.5,-15.5,37.0,False
101,0,851,5.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,1.4454,u,54.5,-15.5,37.0,False
42,0,551,5.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-01-29 08:29:00,0.6073,u,54.5,-15.5,37.0,False
33,0,951,2.5,200,0,0,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.1162,e,57.5,-12.5,37.0,False
105,0,951,2.5,200,0,0,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.9028,e,57.5,-12.5,37.0,False
105,0,951,2.5,200,0,0,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.9028,e,57.5,-12.5,37.0,False
30,1,651,2.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,3.9721,e,57.5,-12.5,37.0,False
22,0,651,2.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-24 08:31:00,1.158,e,57.5,-12.5,37.0,False
95,0,1001,2.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-01-27 08:22:00,1.5086,e,57.5,-12.5,37.0,False
71,0,1001,2.5,200,0,0,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,1.2274,e,57.5,-12.5,37.0,False
71,1,501,2.5,200,0,0,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,5.3237,e,57.5,-12.5,37.0,False
80,0,551,2.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-01-29 08:29:00,1.5721,e,57.5,-12.5,37.0,False
99,0,951,2.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,1.2362,e,57.5,-12.5,37.0,False
95,0,1001,2.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-01-27 08:22:00,1.5086,e,57.5,-12.5,37.0,False
22,0,651,2.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-24 08:31:00,1.158,e,57.5,-12.5,37.0,False
30,1,651,2.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,3.9721,e,57.5,-12.5,37.0,False
95,0,1001,2.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-01-27 08:22:00,1.5086,e,57.5,-12.5,37.0,False
45,0,851,2.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.004,u,57.5,-12.5,37.0,False
96,0,801,2.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.1431,u,57.5,-12.5,37.0,False
82,0,551,2.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.8786,u,57.5,-12.5,37.0,False
45,0,851,2.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.004,u,57.5,-12.5,37.0,False
95,0,801,2.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.0478,u,57.5,-12.5,37.0,False
57,0,651,2.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,1.2715,u,57.5,-12.5,37.0,False
78,0,901,2.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-01-29 08:29:00,0.9551,u,57.5,-12.5,37.0,False
72,1,701,2.5,200,1,0,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,3.8375,u,57.5,-12.5,37.0,False
75,0,901,2.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.0414,u,57.5,-12.5,37.0,False
95,0,801,2.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.0478,u,57.5,-12.5,37.0,False
95,0,801,2.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.0478,u,57.5,-12.5,37.0,False
2,0,751,2.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.674,u,57.5,-12.5,37.0,False
21,0,801,2.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.0975,u,57.5,-12.5,37.0,False
7,0,551,2.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,0.6576,u,57.5,-12.5,37.0,False
31,1,851,-0.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,3.7155,e,60.5,-9.5,37.0,False
69,0,701,-0.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.0053,e,60.5,-9.5,37.0,False
93,0,651,-0.5,200,0,0,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,1.4409,e,60.5,-9.5,37.0,False
15,0,651,-0.5,200,0,0,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,1.4018,e,60.5,-9.5,37.0,False
62,1,751,-0.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-24 08:31:00,5.4699,e,60.5,-9.5,37.0,False
20,0,651,-0.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-01-27 08:22:00,3.6716,e,60.5,-9.5,37.0,False
69,0,701,-0.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.0053,e,60.5,-9.5,37.0,False
6,0,551,-0.5,200,0,0,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.0836,e,60.5,-9.5,37.0,False
62,1,751,-0.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-24 08:31:00,5.4699,e,60.5,-9.5,37.0,False
23,0,601,-0.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-24 08:31:00,1.2093,e,60.5,-9.5,37.0,False
62,1,751,-0.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-24 08:31:00,5.4699,e,60.5,-9.5,37.0,False
40,0,951,-0.5,200,0,0,Clean,37.0,37.0,1509,cool,2016-01-27 08:22:00,1.3479,e,60.5,-9.5,37.0,False
69,0,701,-0.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.0053,e,60.5,-9.5,37.0,False
40,0,951,-0.5,200,0,0,Clean,37.0,37.0,1509,cool,2016-01-27 08:22:00,1.3479,e,60.5,-9.5,37.0,False
