Mask,treatment,SNR,nTrials,nCorrect,pCorrect,iteration
Clean,False,-18.5,28,26,92.85714285714286,0
Clean,False,-15.5,28,26,92.85714285714286,0
Clean,False,-12.5,28,20,71.42857142857143,0
Clean,False,-9.5,28,26,92.85714285714286,0
Clean,False,-6.5,28,25,89.28571428571429,0
Clean,False,-0.5,28,15,53.57142857142857,0
Clean,True,-18.5,28,26,92.85714285714286,0
Clean,True,-15.5,28,23,82.14285714285714,0
Clean,True,-12.5,28,20,71.42857142857143,0
Clean,True,-9.5,28,17,60.71428571428571,0
Clean,True,-6.5,28,23,82.14285714285714,0
Clean,True,-0.5,28,28,100.0,0
Restricted,False,-18.5,28,17,60.71428571428571,0
Restricted,False,-15.5,28,21,75.0,0
Restricted,False,-12.5,28,21,75.0,0
Restricted,False,-9.5,28,23,82.14285714285714,0
Restricted,False,-6.5,28,22,78.57142857142857,0
Restricted,False,-0.5,28,26,92.85714285714286,0
Restricted,True,-18.5,28,18,64.28571428571429,0
Restricted,True,-15.5,28,15,53.57142857142857,0
Restricted,True,-12.5,28,19,67.85714285714286,0
Restricted,True,-9.5,28,19,67.85714285714286,0
Restricted,True,-6.5,28,24,85.71428571428571,0
Restricted,True,-0.5,28,8,28.57142857142857,0
Clean,False,-18.5,28,28,100.0,1
Clean,False,-15.5,28,24,85.71428571428571,1
Clean,False,-12.5,28,20,71.42857142857143,1
Clean,False,-9.5,28,23,82.14285714285714,1
Clean,False,-6.5,28,25,89.28571428571429,1
Clean,False,-0.5,28,18,64.28571428571429,1
Clean,True,-18.5,28,25,89.28571428571429,1
Clean,True,-15.5,28,21,75.0,1
Clean,True,-12.5,28,23,82.14285714285714,1
Clean,True,-9.5,28,19,67.85714285714286,1
Clean,True,-6.5,28,22,78.57142857142857,1
Clean,True,-0.5,28,28,100.0,1
Restricted,False,-18.5,28,17,60.71428571428571,1
Restricted,False,-15.5,28,20,71.42857142857143,1
Restricted,False,-12.5,28,21,75.0,1
Restricted,False,-9.5,28,16,57.14285714285714,1
Restricted,False,-6.5,28,20,71.42857142857143,1
Restricted,False,-0.5,28,25,89.28571428571429,1
Restricted,True,-18.5,28,21,75.0,1
Restricted,True,-15.5,28,13,46.42857142857143,1
Restricted,True,-12.5,28,17,60.71428571428571,1
Restricted,True,-9.5,28,21,75.0,1
Restricted,True,-6.5,28,24,85.71428571428571,1
Restricted,True,-0.5,28,9,32.142857142857146,1
Clean,False,-18.5,28,27,96.42857142857143,2
Clean,False,-15.5,28,25,89.28571428571429,2
Clean,False,-12.5,28,21,75.0,2
Clean,False,-9.5,28,20,71.42857142857143,2
Clean,False,-6.5,28,23,82.14285714285714,2
Clean,False,-0.5,28,17,60.71428571428571,2
Clean,True,-18.5,28,24,85.71428571428571,2
Clean,True,-15.5,28,22,78.57142857142857,2
Clean,True,-12.5,28,24,85.71428571428571,2
Clean,True,-9.5,28,16,57.14285714285714,2
Clean,True,-6.5,28,21,75.0,2
Clean,True,-0.5,28,28,100.0,2
Restricted,False,-18.5,28,13,46.42857142857143,2
Restricted,False,-15.5,28,20,71.42857142857143,2
Restricted,False,-12.5,28,15,53.57142857142857,2
Restricted,False,-9.5,28,21,75.0,2
Restricted,False,-6.5,28,19,67.85714285714286,2
Restricted,False,-0.5,28,26,92.85714285714286,2
Restricted,True,-18.5,28,15,53.57142857142857,2
Restricted,True,-15.5,28,16,57.14285714285714,2
Restricted,True,-12.5,28,19,67.85714285714286,2
Restricted,True,-9.5,28,19,67.85714285714286,2
Restricted,True,-6.5,28,25,89.28571428571429,2
Restricted,True,-0.5,28,8,28.57142857142857,2
Clean,False,-18.5,28,27,96.42857142857143,3
Clean,False,-15.5,28,24,85.71428571428571,3
Clean,False,-12.5,28,23,82.14285714285714,3
Clean,False,-9.5,28,22,78.57142857142857,3
Clean,False,-6.5,28,22,78.57142857142857,3
Clean,False,-0.5,28,18,64.28571428571429,3
Clean,True,-18.5,28,25,89.28571428571429,3
Clean,True,-15.5,28,26,92.85714285714286,3
Clean,True,-12.5,28,26,92.85714285714286,3
Clean,True,-9.5,28,18,64.28571428571429,3
Clean,True,-6.5,28,21,75.0,3
Clean,True,-0.5,28,28,100.0,3
Restricted,False,-18.5,28,17,60.71428571428571,3
Restricted,False,-15.5,28,19,67.85714285714286,3
Restricted,False,-12.5,28,16,57.14285714285714,3
Restricted,False,-9.5,28,18,64.28571428571429,3
Restricted,False,-6.5,28,18,64.28571428571429,3
Restricted,False,-0.5,28,25,89.28571428571429,3
Restricted,True,-18.5,28,17,60.71428571428571,3
Restricted,True,-15.5,28,14,50.0,3
Restricted,True,-12.5,28,14,50.0,3
Restricted,True,-9.5,28,22,78.57142857142857,3
Restricted,True,-6.5,28,23,82.14285714285714,3
Restricted,True,-0.5,28,10,35.714285714285715,3
Clean,False,-18.5,28,24,85.71428571428571,4
Clean,False,-15.5,28,24,85.71428571428571,4
Clean,False,-12.5,28,25,89.28571428571429,4
Clean,False,-9.5,28,24,85.71428571428571,4
Clean,False,-6.5,28,27,96.42857142857143,4
Clean,False,-0.5,28,17,60.71428571428571,4
Clean,True,-18.5,28,23,82.14285714285714,4
Clean,True,-15.5,28,23,82.14285714285714,4
Clean,True,-12.5,28,24,85.71428571428571,4
Clean,True,-9.5,28,20,71.42857142857143,4
Clean,True,-6.5,28,22,78.57142857142857,4
Clean,True,-0.5,28,28,100.0,4
Restricted,False,-18.5,28,18,64.28571428571429,4
Restricted,False,-15.5,28,20,71.42857142857143,4
Restricted,False,-12.5,28,19,67.85714285714286,4
Restricted,False,-9.5,28,18,64.28571428571429,4
Restricted,False,-6.5,28,21,75.0,4
Restricted,False,-0.5,28,27,96.42857142857143,4
Restricted,True,-18.5,28,20,71.42857142857143,4
Restricted,True,-15.5,28,15,53.57142857142857,4
Restricted,True,-12.5,28,20,71.42857142857143,4
Restricted,True,-9.5,28,18,64.28571428571429,4
Restricted,True,-6.5,28,23,82.14285714285714,4
Restricted,True,-0.5,28,6,21.428571428571427,4
Clean,False,-18.5,28,23,82.14285714285714,5
Clean,False,-15.5,28,27,96.42857142857143,5
Clean,False,-12.5,28,23,82.14285714285714,5
Clean,False,-9.5,28,22,78.57142857142857,5
Clean,False,-6.5,28,24,85.71428571428571,5
Clean,False,-0.5,28,19,67.85714285714286,5
Clean,True,-18.5,28,27,96.42857142857143,5
Clean,True,-15.5,28,23,82.14285714285714,5
Clean,True,-12.5,28,21,75.0,5
Clean,True,-9.5,28,19,67.85714285714286,5
Clean,True,-6.5,28,20,71.42857142857143,5
Clean,True,-0.5,28,28,100.0,5
Restricted,False,-18.5,28,14,50.0,5
Restricted,False,-15.5,28,17,60.71428571428571,5
Restricted,False,-12.5,28,21,75.0,5
Restricted,False,-9.5,28,19,67.85714285714286,5
Restricted,False,-6.5,28,15,53.57142857142857,5
Restricted,False,-0.5,28,26,92.85714285714286,5
Restricted,True,-18.5,28,16,57.14285714285714,5
Restricted,True,-15.5,28,15,53.57142857142857,5
Restricted,True,-12.5,28,18,64.28571428571429,5
Restricted,True,-9.5,28,20,71.42857142857143,5
Restricted,True,-6.5,28,22,78.57142857142857,5
Restricted,True,-0.5,28,9,32.142857142857146,5
Clean,False,-18.5,28,28,100.0,6
Clean,False,-15.5,28,25,89.28571428571429,6
Clean,False,-12.5,28,23,82.14285714285714,6
Clean,False,-9.5,28,22,78.57142857142857,6
Clean,False,-6.5,28,25,89.28571428571429,6
Clean,False,-0.5,28,21,75.0,6
Clean,True,-18.5,28,25,89.28571428571429,6
Clean,True,-15.5,28,26,92.85714285714286,6
Clean,True,-12.5,28,22,78.57142857142857,6
Clean,True,-9.5,28,20,71.42857142857143,6
Clean,True,-6.5,28,23,82.14285714285714,6
Clean,True,-0.5,28,28,100.0,6
Restricted,False,-18.5,28,15,53.57142857142857,6
Restricted,False,-15.5,28,22,78.57142857142857,6
Restricted,False,-12.5,28,18,64.28571428571429,6
Restricted,False,-9.5,28,18,64.28571428571429,6
Restricted,False,-6.5,28,20,71.42857142857143,6
Restricted,False,-0.5,28,26,92.85714285714286,6
Restricted,True,-18.5,28,14,50.0,6
Restricted,True,-15.5,28,16,57.14285714285714,6
Restricted,True,-12.5,28,16,57.14285714285714,6
Restricted,True,-9.5,28,21,75.0,6
Restricted,True,-6.5,28,25,89.28571428571429,6
Restricted,True,-0.5,28,5,17.857142857142858,6
Clean,False,-18.5,28,26,92.85714285714286,7
Clean,False,-15.5,28,22,78.57142857142857,7
Clean,False,-12.5,28,21,75.0,7
Clean,False,-9.5,28,24,85.71428571428571,7
Clean,False,-6.5,28,26,92.85714285714286,7
Clean,False,-0.5,28,19,67.85714285714286,7
Clean,True,-18.5,28,25,89.28571428571429,7
Clean,True,-15.5,28,21,75.0,7
Clean,True,-12.5,28,21,75.0,7
Clean,True,-9.5,28,18,64.28571428571429,7
Clean,True,-6.5,28,21,75.0,7
Clean,True,-0.5,28,28,100.0,7
Restricted,False,-18.5,28,15,53.57142857142857,7
Restricted,False,-15.5,28,17,60.71428571428571,7
Restricted,False,-12.5,28,20,71.42857142857143,7
Restricted,False,-9.5,28,19,67.85714285714286,7
Restricted,False,-6.5,28,17,60.71428571428571,7
Restricted,False,-0.5,28,26,92.85714285714286,7
Restricted,True,-18.5,28,15,53.57142857142857,7
Restricted,True,-15.5,28,16,57.14285714285714,7
Restricted,True,-12.5,28,19,67.85714285714286,7
Restricted,True,-9.5,28,19,67.85714285714286,7
Restricted,True,-6.5,28,23,82.14285714285714,7
Restricted,True,-0.5,28,8,28.57142857142857,7
