Mask,treatment,nTrials,nCorrect,pCorrect,iteration
Clean,False,168,141,83.92857142857143,0
Clean,True,168,139,82.73809523809523,0
Restricted,False,168,115,68.45238095238095,0
Restricted,True,168,95,56.547619047619044,0
Clean,False,168,142,84.52380952380952,1
Clean,True,168,136,80.95238095238095,1
Restricted,False,168,120,71.42857142857143,1
Restricted,True,168,97,57.738095238095234,1
Clean,False,168,134,79.76190476190477,2
Clean,True,168,140,83.33333333333334,2
Restricted,False,168,115,68.45238095238095,2
Restricted,True,168,95,56.547619047619044,2
Clean,False,168,135,80.35714285714286,3
Clean,True,168,137,81.54761904761905,3
Restricted,False,168,126,75.0,3
Restricted,True,168,100,59.523809523809526,3
Clean,False,168,141,83.92857142857143,4
Clean,True,168,139,82.73809523809523,4
Restricted,False,168,113,67.26190476190477,4
Restricted,True,168,96,57.14285714285714,4
Clean,False,168,132,78.57142857142857,5
Clean,True,168,144,85.71428571428571,5
Restricted,False,168,123,73.21428571428571,5
Restricted,True,168,102,60.71428571428571,5
Clean,False,168,132,78.57142857142857,6
Clean,True,168,143,85.11904761904762,6
Restricted,False,168,110,65.47619047619048,6
Restricted,True,168,105,62.5,6
Clean,False,168,134,79.76190476190477,7
Clean,True,168,140,83.33333333333334,7
Restricted,False,168,119,70.83333333333334,7
Restricted,True,168,98,58.333333333333336,7
Clean,False,168,132,78.57142857142857,8
Clean,True,168,141,83.92857142857143,8
Restricted,False,168,110,65.47619047619048,8
Restricted,True,168,93,55.35714285714286,8
Clean,False,168,136,80.95238095238095,9
Clean,True,168,134,79.76190476190477,9
Restricted,False,168,118,70.23809523809523,9
Restricted,True,168,100,59.523809523809526,9
Clean,False,168,135,80.35714285714286,10
Clean,True,168,130,77.38095238095238,10
Restricted,False,168,110,65.47619047619048,10
Restricted,True,168,93,55.35714285714286,10
Clean,False,168,138,82.14285714285714,11
Clean,True,168,136,80.95238095238095,11
Restricted,False,168,119,70.83333333333334,11
Restricted,True,168,103,61.30952380952381,11
Clean,False,168,133,79.16666666666666,12
Clean,True,168,141,83.92857142857143,12
Restricted,False,168,112,66.66666666666666,12
Restricted,True,168,89,52.976190476190474,12
Clean,False,168,133,79.16666666666666,13
Clean,True,168,134,79.76190476190477,13
Restricted,False,168,123,73.21428571428571,13
Restricted,True,168,100,59.523809523809526,13
Clean,False,168,132,78.57142857142857,14
Clean,True,168,136,80.95238095238095,14
Restricted,False,168,124,73.80952380952381,14
Restricted,True,168,97,57.738095238095234,14
Clean,False,168,137,81.54761904761905,15
Clean,True,168,139,82.73809523809523,15
Restricted,False,168,123,73.21428571428571,15
Restricted,True,168,102,60.71428571428571,15
Clean,False,168,132,78.57142857142857,16
Clean,True,168,144,85.71428571428571,16
Restricted,False,168,117,69.64285714285714,16
Restricted,True,168,101,60.11904761904761,16
Clean,False,168,136,80.95238095238095,17
Clean,True,168,129,76.78571428571429,17
Restricted,False,168,119,70.83333333333334,17
Restricted,True,168,104,61.904761904761905,17
Clean,False,168,134,79.76190476190477,18
Clean,True,168,135,80.35714285714286,18
Restricted,False,168,119,70.83333333333334,18
Restricted,True,168,112,66.66666666666666,18
Clean,False,168,143,85.11904761904762,19
Clean,True,168,137,81.54761904761905,19
Restricted,False,168,107,63.69047619047619,19
Restricted,True,168,108,64.28571428571429,19
Clean,False,168,133,79.16666666666666,20
Clean,True,168,139,82.73809523809523,20
Restricted,False,168,128,76.19047619047619,20
Restricted,True,168,103,61.30952380952381,20
Clean,False,168,143,85.11904761904762,21
Clean,True,168,142,84.52380952380952,21
Restricted,False,168,116,69.04761904761905,21
Restricted,True,168,100,59.523809523809526,21
Clean,False,168,134,79.76190476190477,22
Clean,True,168,137,81.54761904761905,22
Restricted,False,168,117,69.64285714285714,22
Restricted,True,168,101,60.11904761904761,22
Clean,False,168,131,77.97619047619048,23
Clean,True,168,136,80.95238095238095,23
Restricted,False,168,109,64.88095238095238,23
Restricted,True,168,107,63.69047619047619,23
Clean,False,168,132,78.57142857142857,24
Clean,True,168,139,82.73809523809523,24
Restricted,False,168,122,72.61904761904762,24
Restricted,True,168,97,57.738095238095234,24
Clean,False,168,140,83.33333333333334,25
Clean,True,168,148,88.09523809523809,25
Restricted,False,168,120,71.42857142857143,25
Restricted,True,168,96,57.14285714285714,25
Clean,False,168,131,77.97619047619048,26
Clean,True,168,140,83.33333333333334,26
Restricted,False,168,126,75.0,26
Restricted,True,168,102,60.71428571428571,26
Clean,False,168,138,82.14285714285714,27
Clean,True,168,139,82.73809523809523,27
Restricted,False,168,124,73.80952380952381,27
Restricted,True,168,98,58.333333333333336,27
Clean,False,168,137,81.54761904761905,28
Clean,True,168,137,81.54761904761905,28
Restricted,False,168,113,67.26190476190477,28
Restricted,True,168,93,55.35714285714286,28
Clean,False,168,144,85.71428571428571,29
Clean,True,168,145,86.30952380952381,29
Restricted,False,168,121,72.02380952380952,29
Restricted,True,168,94,55.952380952380956,29
Clean,False,168,132,78.57142857142857,30
Clean,True,168,141,83.92857142857143,30
Restricted,False,168,120,71.42857142857143,30
Restricted,True,168,103,61.30952380952381,30
Clean,False,168,137,81.54761904761905,31
Clean,True,168,140,83.33333333333334,31
Restricted,False,168,113,67.26190476190477,31
Restricted,True,168,94,55.952380952380956,31
Clean,False,168,131,77.97619047619048,32
Clean,True,168,147,87.5,32
Restricted,False,168,116,69.04761904761905,32
Restricted,True,168,98,58.333333333333336,32
Clean,False,168,139,82.73809523809523,33
Clean,True,168,147,87.5,33
Restricted,False,168,118,70.23809523809523,33
Restricted,True,168,97,57.738095238095234,33
Clean,False,168,133,79.16666666666666,34
Clean,True,168,131,77.97619047619048,34
Restricted,False,168,118,70.23809523809523,34
Restricted,True,168,103,61.30952380952381,34
Clean,False,168,136,80.95238095238095,35
Clean,True,168,145,86.30952380952381,35
Restricted,False,168,117,69.64285714285714,35
Restricted,True,168,100,59.523809523809526,35
Clean,False,168,139,82.73809523809523,36
Clean,True,168,140,83.33333333333334,36
