Mask,treatment,nTrials,nCorrect,pCorrect,iteration
Restricted,False,182,133,73.07692307692307,0
Restricted,True,182,114,62.637362637362635,0
Restricted,False,182,145,79.67032967032966,1
Restricted,True,182,124,68.13186813186813,1
Restricted,False,182,144,79.12087912087912,2
Restricted,True,182,124,68.13186813186813,2
Restricted,False,182,138,75.82417582417582,3
Restricted,True,182,116,63.73626373626373,3
Restricted,False,182,145,79.67032967032966,4
Restricted,True,182,120,65.93406593406593,4
Restricted,False,182,139,76.37362637362637,5
Restricted,True,182,124,68.13186813186813,5
Restricted,False,182,139,76.37362637362637,6
Restricted,True,182,129,70.87912087912088,6
Restricted,False,182,148,81.31868131868131,7
Restricted,True,182,119,65.38461538461539,7
Restricted,False,182,149,81.86813186813187,8
Restricted,True,182,122,67.03296703296702,8
Restricted,False,182,145,79.67032967032966,9
Restricted,True,182,118,64.83516483516483,9
Restricted,False,182,144,79.12087912087912,10
Restricted,True,182,118,64.83516483516483,10
Restricted,False,182,138,75.82417582417582,11
Restricted,True,182,119,65.38461538461539,11
Restricted,False,182,134,73.62637362637363,12
Restricted,True,182,122,67.03296703296702,12
Restricted,False,182,139,76.37362637362637,13
Restricted,True,182,121,66.48351648351648,13
Restricted,False,182,139,76.37362637362637,14
Restricted,True,182,128,70.32967032967034,14
Restricted,False,182,143,78.57142857142857,15
Restricted,True,182,124,68.13186813186813,15
Restricted,False,182,141,77.47252747252747,16
Restricted,True,182,117,64.28571428571429,16
Restricted,False,182,145,79.67032967032966,17
Restricted,True,182,120,65.93406593406593,17
Restricted,False,182,141,77.47252747252747,18
Restricted,True,182,109,59.89010989010989,18
Restricted,False,182,138,75.82417582417582,19
Restricted,True,182,122,67.03296703296702,19
Restricted,False,182,142,78.02197802197803,20
Restricted,True,182,116,63.73626373626373,20
Restricted,False,182,142,78.02197802197803,21
Restricted,True,182,113,62.08791208791209,21
Restricted,False,182,132,72.52747252747253,22
Restricted,True,182,127,69.78021978021978,22
Restricted,False,182,148,81.31868131868131,23
Restricted,True,182,109,59.89010989010989,23
Restricted,False,182,144,79.12087912087912,24
Restricted,True,182,126,69.23076923076923,24
Restricted,False,182,136,74.72527472527473,25
Restricted,True,182,127,69.78021978021978,25
Restricted,False,182,139,76.37362637362637,26
Restricted,True,182,117,64.28571428571429,26
Restricted,False,182,137,75.27472527472527,27
Restricted,True,182,121,66.48351648351648,27
Restricted,False,182,150,82.41758241758241,28
Restricted,True,182,112,61.53846153846154,28
Restricted,False,182,140,76.92307692307693,29
Restricted,True,182,116,63.73626373626373,29
Restricted,False,182,153,84.06593406593407,30
Restricted,True,182,118,64.83516483516483,30
Restricted,False,182,148,81.31868131868131,31
Restricted,True,182,116,63.73626373626373,31
Restricted,False,182,143,78.57142857142857,32
Restricted,True,182,121,66.48351648351648,32
Restricted,False,182,136,74.72527472527473,33
Restricted,True,182,126,69.23076923076923,33
Restricted,False,182,148,81.31868131868131,34
Restricted,True,182,123,67.58241758241759,34
Restricted,False,182,144,79.12087912087912,35
Restricted,True,182,129,70.87912087912088,35
Restricted,False,182,129,70.87912087912088,36
Restricted,True,182,110,60.43956043956044,36
Restricted,False,182,146,80.21978021978022,37
Restricted,True,182,125,68.68131868131869,37
Restricted,False,182,145,79.67032967032966,38
Restricted,True,182,114,62.637362637362635,38
Restricted,False,182,148,81.31868131868131,39
Restricted,True,182,121,66.48351648351648,39
Restricted,False,182,142,78.02197802197803,40
Restricted,True,182,120,65.93406593406593,40
Restricted,False,182,141,77.47252747252747,41
Restricted,True,182,119,65.38461538461539,41
Restricted,False,182,149,81.86813186813187,42
Restricted,True,182,118,64.83516483516483,42
Restricted,False,182,143,78.57142857142857,43
Restricted,True,182,115,63.18681318681318,43
Restricted,False,182,137,75.27472527472527,44
Restricted,True,182,124,68.13186813186813,44
Restricted,False,182,138,75.82417582417582,45
Restricted,True,182,119,65.38461538461539,45
Restricted,False,182,150,82.41758241758241,46
Restricted,True,182,125,68.68131868131869,46
Restricted,False,182,136,74.72527472527473,47
Restricted,True,182,117,64.28571428571429,47
Restricted,False,182,144,79.12087912087912,48
Restricted,True,182,115,63.18681318681318,48
Restricted,False,182,143,78.57142857142857,49
Restricted,True,182,118,64.83516483516483,49
Restricted,False,182,135,74.17582417582418,50
Restricted,True,182,116,63.73626373626373,50
Restricted,False,182,148,81.31868131868131,51
Restricted,True,182,113,62.08791208791209,51
Restricted,False,182,148,81.31868131868131,52
Restricted,True,182,122,67.03296703296702,52
Restricted,False,182,142,78.02197802197803,53
Restricted,True,182,120,65.93406593406593,53
Restricted,False,182,140,76.92307692307693,54
Restricted,True,182,118,64.83516483516483,54
Restricted,False,182,138,75.82417582417582,55
Restricted,True,182,121,66.48351648351648,55
Restricted,False,182,132,72.52747252747253,56
Restricted,True,182,116,63.73626373626373,56
Restricted,False,182,141,77.47252747252747,57
Restricted,True,182,108,59.34065934065934,57
Restricted,False,182,142,78.02197802197803,58
Restricted,True,182,128,70.32967032967034,58
Restricted,False,182,138,75.82417582417582,59
Restricted,True,182,107,58.791208791208796,59
Restricted,False,182,142,78.02197802197803,60
Restricted,True,182,119,65.38461538461539,60
Restricted,False,182,136,74.72527472527473,61
Restricted,True,182,118,64.83516483516483,61
Restricted,False,182,148,81.31868131868131,62
Restricted,True,182,107,58.791208791208796,62
Restricted,False,182,134,73.62637362637363,63
Restricted,True,182,117,64.28571428571429,63
Restricted,False,182,142,78.02197802197803,64
Restricted,True,182,113,62.08791208791209,64
Restricted,False,182,154,84.61538461538461,65
Restricted,True,182,127,69.78021978021978,65
Restricted,False,182,137,75.27472527472527,66
Restricted,True,182,120,65.93406593406593,66
Restricted,False,182,145,79.67032967032966,67
Restricted,True,182,117,64.28571428571429,67
Restricted,False,182,141,77.47252747252747,68
Restricted,True,182,109,59.89010989010989,68
Restricted,False,182,135,74.17582417582418,69
Restricted,True,182,125,68.68131868131869,69
Restricted,False,182,145,79.67032967032966,70
Restricted,True,182,135,74.17582417582418,70
Restricted,False,182,140,76.92307692307693,71
Restricted,True,182,120,65.93406593406593,71
Restricted,False,182,143,78.57142857142857,72
Restricted,True,182,118,64.83516483516483,72
Restricted,False,182,142,78.02197802197803,73
Restricted,True,182,114,62.637362637362635,73
Restricted,False,182,138,75.82417582417582,74
Restricted,True,182,117,64.28571428571429,74
Restricted,False,182,134,73.62637362637363,75
Restricted,True,182,132,72.52747252747253,75
Restricted,False,182,140,76.92307692307693,76
Restricted,True,182,127,69.78021978021978,76
Restricted,False,182,147,80.76923076923077,77
Restricted,True,182,124,68.13186813186813,77
Restricted,False,182,138,75.82417582417582,78
Restricted,True,182,125,68.68131868131869,78
Restricted,False,182,148,81.31868131868131,79
Restricted,True,182,120,65.93406593406593,79
Restricted,False,182,137,75.27472527472527,80
Restricted,True,182,119,65.38461538461539,80
Restricted,False,182,136,74.72527472527473,81
Restricted,True,182,120,65.93406593406593,81
Restricted,False,182,146,80.21978021978022,82
Restricted,True,182,126,69.23076923076923,82
Restricted,False,182,144,79.12087912087912,83
Restricted,True,182,115,63.18681318681318,83
Restricted,False,182,143,78.57142857142857,84
Restricted,True,182,117,64.28571428571429,84
Restricted,False,182,142,78.02197802197803,85
Restricted,True,182,118,64.83516483516483,85
Restricted,False,182,138,75.82417582417582,86
Restricted,True,182,104,57.14285714285714,86
Restricted,False,182,138,75.82417582417582,87
Restricted,True,182,113,62.08791208791209,87
Restricted,False,182,140,76.92307692307693,88
Restricted,True,182,128,70.32967032967034,88
Restricted,False,182,140,76.92307692307693,89
Restricted,True,182,114,62.637362637362635,89
Restricted,False,182,140,76.92307692307693,90
Restricted,True,182,113,62.08791208791209,90
Restricted,False,182,146,80.21978021978022,91
Restricted,True,182,118,64.83516483516483,91
Restricted,False,182,145,79.67032967032966,92
Restricted,True,182,113,62.08791208791209,92
Restricted,False,182,141,77.47252747252747,93
Restricted,True,182,116,63.73626373626373,93
Restricted,False,182,141,77.47252747252747,94
Restricted,True,182,119,65.38461538461539,94
Restricted,False,182,145,79.67032967032966,95
Restricted,True,182,112,61.53846153846154,95
Restricted,False,182,144,79.12087912087912,96
Restricted,True,182,124,68.13186813186813,96
Restricted,False,182,136,74.72527472527473,97
Restricted,True,182,122,67.03296703296702,97
Restricted,False,182,144,79.12087912087912,98
Restricted,True,182,124,68.13186813186813,98
Restricted,False,182,146,80.21978021978022,99
Restricted,True,182,110,60.43956043956044,99
Restricted,False,182,146,80.21978021978022,100
Restricted,True,182,123,67.58241758241759,100
Restricted,False,182,137,75.27472527472527,101
Restricted,True,182,125,68.68131868131869,101
Restricted,False,182,139,76.37362637362637,102
Restricted,True,182,128,70.32967032967034,102
Restricted,False,182,142,78.02197802197803,103
Restricted,True,182,122,67.03296703296702,103
Restricted,False,182,137,75.27472527472527,104
Restricted,True,182,109,59.89010989010989,104
Restricted,False,182,144,79.12087912087912,105
Restricted,True,182,125,68.68131868131869,105
Restricted,False,182,142,78.02197802197803,106
Restricted,True,182,128,70.32967032967034,106
Restricted,False,182,143,78.57142857142857,107
Restricted,True,182,121,66.48351648351648,107
Restricted,False,182,144,79.12087912087912,108
Restricted,True,182,119,65.38461538461539,108
Restricted,False,182,145,79.67032967032966,109
