Mask,treatment,rnded_SNR,nTrials,nCorrect,pCorrect,iteration
Clean,True,-7.0,4,4,100.0,9
Clean,True,-4.0,4,3,75.0,9
Clean,True,2.0,4,4,100.0,9
Restricted,False,-7.0,4,1,25.0,9
Restricted,False,-4.0,4,3,75.0,9
Restricted,False,-1.0,4,3,75.0,9
Restricted,False,2.0,4,3,75.0,9
Restricted,True,-7.0,4,2,50.0,9
Restricted,True,-4.0,4,2,50.0,9
Restricted,True,-1.0,4,2,50.0,9
Restricted,True,2.0,4,3,75.0,9
Clean,False,-7.0,4,3,75.0,10
Clean,False,-4.0,4,3,75.0,10
Clean,False,2.0,4,3,75.0,10
Clean,True,-7.0,4,4,100.0,10
Clean,True,-4.0,4,4,100.0,10
Clean,True,2.0,4,3,75.0,10
Restricted,False,-7.0,4,4,100.0,10
Restricted,False,-4.0,4,2,50.0,10
Restricted,False,-1.0,4,3,75.0,10
Restricted,False,2.0,4,4,100.0,10
Restricted,True,-7.0,4,1,25.0,10
Restricted,True,-4.0,4,4,100.0,10
Restricted,True,-1.0,4,2,50.0,10
Restricted,True,2.0,4,2,50.0,10
Clean,False,-7.0,4,2,50.0,11
Clean,False,-4.0,4,4,100.0,11
Clean,False,2.0,4,4,100.0,11
Clean,True,-7.0,4,4,100.0,11
Clean,True,-4.0,4,3,75.0,11
Clean,True,2.0,4,4,100.0,11
Restricted,False,-7.0,4,2,50.0,11
Restricted,False,-4.0,4,3,75.0,11
Restricted,False,-1.0,4,3,75.0,11
Restricted,False,2.0,4,3,75.0,11
Restricted,True,-7.0,4,2,50.0,11
Restricted,True,-4.0,4,2,50.0,11
Restricted,True,-1.0,4,2,50.0,11
Restricted,True,2.0,4,1,25.0,11
Clean,False,-7.0,4,2,50.0,12
Clean,False,-4.0,4,4,100.0,12
Clean,False,2.0,4,4,100.0,12
Clean,True,-7.0,4,4,100.0,12
Clean,True,-4.0,4,3,75.0,12
Clean,True,2.0,4,3,75.0,12
Restricted,False,-7.0,4,2,50.0,12
Restricted,False,-4.0,4,4,100.0,12
Restricted,False,-1.0,4,3,75.0,12
Restricted,False,2.0,4,3,75.0,12
Restricted,True,-7.0,4,3,75.0,12
Restricted,True,-4.0,4,2,50.0,12
Restricted,True,-1.0,4,2,50.0,12
Restricted,True,2.0,4,0,0.0,12
Clean,False,-7.0,4,1,25.0,13
Clean,False,-4.0,4,4,100.0,13
Clean,False,2.0,4,3,75.0,13
Clean,True,-7.0,4,4,100.0,13
Clean,True,-4.0,4,4,100.0,13
Clean,True,2.0,4,4,100.0,13
Restricted,False,-7.0,4,1,25.0,13
Restricted,False,-4.0,4,3,75.0,13
Restricted,False,-1.0,4,3,75.0,13
Restricted,False,2.0,4,2,50.0,13
Restricted,True,-7.0,4,3,75.0,13
Restricted,True,-4.0,4,3,75.0,13
Restricted,True,-1.0,4,2,50.0,13
Restricted,True,2.0,4,2,50.0,13
Clean,False,-7.0,4,4,100.0,14
Clean,False,-4.0,4,3,75.0,14
Clean,False,2.0,4,4,100.0,14
Clean,True,-7.0,4,3,75.0,14
Clean,True,-4.0,4,4,100.0,14
Clean,True,2.0,4,2,50.0,14
Restricted,False,-7.0,4,2,50.0,14
Restricted,False,-4.0,4,3,75.0,14
Restricted,False,-1.0,4,3,75.0,14
Restricted,False,2.0,4,2,50.0,14
Restricted,True,-7.0,4,3,75.0,14
Restricted,True,-4.0,4,1,25.0,14
Restricted,True,-1.0,4,3,75.0,14
Restricted,True,2.0,4,3,75.0,14
Clean,False,-7.0,4,4,100.0,15
Clean,False,-4.0,4,4,100.0,15
Clean,False,2.0,4,4,100.0,15
Clean,True,-7.0,4,3,75.0,15
Clean,True,-4.0,4,3,75.0,15
Clean,True,2.0,4,3,75.0,15
Restricted,False,-7.0,4,1,25.0,15
Restricted,False,-4.0,4,2,50.0,15
Restricted,False,-1.0,4,3,75.0,15
