Mask,treatment,rnded_SNR,nTrials,nCorrect,pCorrect,iteration
Restricted,False,-20.0,8,6,75.0,0
Restricted,False,-16.700000000000003,8,8,100.0,0
Restricted,False,-13.299999999999997,8,4,50.0,0
Restricted,False,-10.0,8,5,62.5,0
Restricted,False,-6.700000000000003,8,7,87.5,0
Restricted,False,-3.299999999999997,8,8,100.0,0
Restricted,False,0.0,8,6,75.0,0
Restricted,True,-20.0,8,3,37.5,0
Restricted,True,-16.700000000000003,8,6,75.0,0
Restricted,True,-13.299999999999997,8,4,50.0,0
Restricted,True,-10.0,8,6,75.0,0
Restricted,True,-6.700000000000003,8,5,62.5,0
Restricted,True,-3.299999999999997,8,5,62.5,0
Restricted,True,0.0,8,5,62.5,0
Restricted,False,-20.0,8,4,50.0,1
Restricted,False,-16.700000000000003,8,7,87.5,1
Restricted,False,-13.299999999999997,8,8,100.0,1
Restricted,False,-10.0,8,6,75.0,1
Restricted,False,-6.700000000000003,8,7,87.5,1
Restricted,False,-3.299999999999997,8,7,87.5,1
Restricted,False,0.0,8,7,87.5,1
Restricted,True,-20.0,8,5,62.5,1
Restricted,True,-16.700000000000003,8,5,62.5,1
Restricted,True,-13.299999999999997,8,5,62.5,1
Restricted,True,-10.0,8,7,87.5,1
Restricted,True,-6.700000000000003,8,7,87.5,1
Restricted,True,-3.299999999999997,8,5,62.5,1
Restricted,True,0.0,8,6,75.0,1
Restricted,False,-20.0,8,4,50.0,2
Restricted,False,-16.700000000000003,8,7,87.5,2
Restricted,False,-13.299999999999997,8,6,75.0,2
Restricted,False,-10.0,8,8,100.0,2
Restricted,False,-6.700000000000003,8,8,100.0,2
Restricted,False,-3.299999999999997,8,8,100.0,2
Restricted,False,0.0,8,7,87.5,2
Restricted,True,-20.0,8,6,75.0,2
Restricted,True,-16.700000000000003,8,6,75.0,2
Restricted,True,-13.299999999999997,8,5,62.5,2
Restricted,True,-10.0,8,7,87.5,2
Restricted,True,-6.700000000000003,8,7,87.5,2
Restricted,True,-3.299999999999997,8,6,75.0,2
Restricted,True,0.0,8,4,50.0,2
Restricted,False,-20.0,8,4,50.0,3
Restricted,False,-16.700000000000003,8,8,100.0,3
Restricted,False,-13.299999999999997,8,6,75.0,3
Restricted,False,-10.0,8,6,75.0,3
Restricted,False,-6.700000000000003,8,8,100.0,3
Restricted,False,-3.299999999999997,8,7,87.5,3
Restricted,False,0.0,8,6,75.0,3
Restricted,True,-20.0,8,4,50.0,3
Restricted,True,-16.700000000000003,8,4,50.0,3
Restricted,True,-13.299999999999997,8,7,87.5,3
Restricted,True,-10.0,8,5,62.5,3
Restricted,True,-6.700000000000003,8,4,50.0,3
Restricted,True,-3.299999999999997,8,5,62.5,3
Restricted,True,0.0,8,5,62.5,3
Restricted,False,-20.0,8,2,25.0,4
Restricted,False,-16.700000000000003,8,7,87.5,4
Restricted,False,-13.299999999999997,8,7,87.5,4
Restricted,False,-10.0,8,7,87.5,4
Restricted,False,-6.700000000000003,8,7,87.5,4
Restricted,False,-3.299999999999997,8,8,100.0,4
Restricted,False,0.0,8,6,75.0,4
Restricted,True,-20.0,8,1,12.5,4
Restricted,True,-16.700000000000003,8,5,62.5,4
Restricted,True,-13.299999999999997,8,5,62.5,4
Restricted,True,-10.0,8,5,62.5,4
Restricted,True,-6.700000000000003,8,6,75.0,4
Restricted,True,-3.299999999999997,8,5,62.5,4
Restricted,True,0.0,8,6,75.0,4
Restricted,False,-20.0,8,3,37.5,5
Restricted,False,-16.700000000000003,8,8,100.0,5
Restricted,False,-13.299999999999997,8,6,75.0,5
Restricted,False,-10.0,8,7,87.5,5
Restricted,False,-6.700000000000003,8,7,87.5,5
Restricted,False,-3.299999999999997,8,8,100.0,5
Restricted,False,0.0,8,6,75.0,5
Restricted,True,-20.0,8,5,62.5,5
Restricted,True,-16.700000000000003,8,5,62.5,5
Restricted,True,-13.299999999999997,8,3,37.5,5
Restricted,True,-10.0,8,5,62.5,5
Restricted,True,-6.700000000000003,8,8,100.0,5
Restricted,True,-3.299999999999997,8,5,62.5,5
Restricted,True,0.0,8,7,87.5,5
Restricted,False,-20.0,8,4,50.0,6
Restricted,False,-16.700000000000003,8,6,75.0,6
Restricted,False,-13.299999999999997,8,6,75.0,6
Restricted,False,-10.0,8,6,75.0,6
Restricted,False,-6.700000000000003,8,7,87.5,6
Restricted,False,-3.299999999999997,8,7,87.5,6
Restricted,False,0.0,8,6,75.0,6
Restricted,True,-20.0,8,4,50.0,6
Restricted,True,-16.700000000000003,8,5,62.5,6
Restricted,True,-13.299999999999997,8,5,62.5,6
Restricted,True,-10.0,8,5,62.5,6
Restricted,True,-6.700000000000003,8,7,87.5,6
Restricted,True,-3.299999999999997,8,5,62.5,6
Restricted,True,0.0,8,5,62.5,6
Restricted,False,-20.0,8,4,50.0,7
Restricted,False,-16.700000000000003,8,7,87.5,7
Restricted,False,-13.299999999999997,8,6,75.0,7
Restricted,False,-10.0,8,8,100.0,7
Restricted,False,-6.700000000000003,8,7,87.5,7
Restricted,False,-3.299999999999997,8,6,75.0,7
Restricted,False,0.0,8,6,75.0,7
Restricted,True,-20.0,8,4,50.0,7
Restricted,True,-16.700000000000003,8,6,75.0,7
Restricted,True,-13.299999999999997,8,3,37.5,7
Restricted,True,-10.0,8,6,75.0,7
Restricted,True,-6.700000000000003,8,4,50.0,7
Restricted,True,-3.299999999999997,8,6,75.0,7
Restricted,True,0.0,8,4,50.0,7
Restricted,False,-20.0,8,6,75.0,8
Restricted,False,-16.700000000000003,8,8,100.0,8
Restricted,False,-13.299999999999997,8,5,62.5,8
Restricted,False,-10.0,8,6,75.0,8
Restricted,False,-6.700000000000003,8,7,87.5,8
Restricted,False,-3.299999999999997,8,6,75.0,8
