Mask,treatment,nTrials,nCorrect,pCorrect,iteration
Clean,False,12,8,66.66666666666666,0
Clean,True,12,11,91.66666666666666,0
Restricted,False,16,11,68.75,0
Restricted,True,16,10,62.5,0
Clean,False,12,7,58.333333333333336,1
Clean,True,12,8,66.66666666666666,1
Restricted,False,16,8,50.0,1
Restricted,True,16,12,75.0,1
Clean,False,12,11,91.66666666666666,2
Clean,True,12,11,91.66666666666666,2
Restricted,False,16,12,75.0,2
Restricted,True,16,8,50.0,2
Clean,False,12,8,66.66666666666666,3
Clean,True,12,10,83.33333333333334,3
Restricted,False,16,13,81.25,3
Restricted,True,16,11,68.75,3
Clean,False,12,8,66.66666666666666,4
Clean,True,12,10,83.33333333333334,4
Restricted,False,16,11,68.75,4
Restricted,True,16,9,56.25,4
Clean,False,12,8,66.66666666666666,5
Clean,True,12,10,83.33333333333334,5
Restricted,False,16,10,62.5,5
Restricted,True,16,14,87.5,5
Clean,False,12,9,75.0,6
Clean,True,12,9,75.0,6
Restricted,False,16,14,87.5,6
Restricted,True,16,7,43.75,6
Clean,False,12,9,75.0,7
Clean,True,12,10,83.33333333333334,7
Restricted,False,16,9,56.25,7
Restricted,True,16,6,37.5,7
Clean,False,12,10,83.33333333333334,8
Clean,True,12,10,83.33333333333334,8
Restricted,False,16,13,81.25,8
Restricted,True,16,10,62.5,8
Clean,False,12,7,58.333333333333336,9
Clean,True,12,8,66.66666666666666,9
Restricted,False,16,11,68.75,9
Restricted,True,16,9,56.25,9
Clean,False,12,10,83.33333333333334,10
Clean,True,12,12,100.0,10
Restricted,False,16,9,56.25,10
Restricted,True,16,9,56.25,10
Clean,False,12,10,83.33333333333334,11
Clean,True,12,10,83.33333333333334,11
Restricted,False,16,10,62.5,11
Restricted,True,16,9,56.25,11
Clean,False,12,11,91.66666666666666,12
Clean,True,12,9,75.0,12
Restricted,False,16,12,75.0,12
Restricted,True,16,10,62.5,12
Clean,False,12,7,58.333333333333336,13
Clean,True,12,10,83.33333333333334,13
Restricted,False,16,11,68.75,13
Restricted,True,16,8,50.0,13
Clean,False,12,9,75.0,14
Clean,True,12,10,83.33333333333334,14
Restricted,False,16,13,81.25,14
Restricted,True,16,6,37.5,14
Clean,False,12,11,91.66666666666666,15
Clean,True,12,10,83.33333333333334,15
Restricted,False,16,14,87.5,15
Restricted,True,16,11,68.75,15
Clean,False,12,10,83.33333333333334,16
Clean,True,12,9,75.0,16
Restricted,False,16,12,75.0,16
Restricted,True,16,14,87.5,16
Clean,False,12,9,75.0,17
Clean,True,12,10,83.33333333333334,17
Restricted,False,16,15,93.75,17
Restricted,True,16,12,75.0,17
Clean,False,12,7,58.333333333333336,18
Clean,True,12,11,91.66666666666666,18
Restricted,False,16,13,81.25,18
Restricted,True,16,10,62.5,18
Clean,False,12,8,66.66666666666666,19
Clean,True,12,12,100.0,19
Restricted,False,16,11,68.75,19
Restricted,True,16,10,62.5,19
Clean,False,12,10,83.33333333333334,20
Clean,True,12,9,75.0,20
Restricted,False,16,12,75.0,20
Restricted,True,16,11,68.75,20
Clean,False,12,11,91.66666666666666,21
Clean,True,12,10,83.33333333333334,21
Restricted,False,16,10,62.5,21
Restricted,True,16,10,62.5,21
Clean,False,12,10,83.33333333333334,22
Clean,True,12,10,83.33333333333334,22
Restricted,False,16,15,93.75,22
Restricted,True,16,10,62.5,22
Clean,False,12,10,83.33333333333334,23
Clean,True,12,11,91.66666666666666,23
Restricted,False,16,14,87.5,23
Restricted,True,16,7,43.75,23
Clean,False,12,7,58.333333333333336,24
Clean,True,12,9,75.0,24
Restricted,False,16,12,75.0,24
Restricted,True,16,10,62.5,24
Clean,False,12,10,83.33333333333334,25
Clean,True,12,11,91.66666666666666,25
Restricted,False,16,11,68.75,25
Restricted,True,16,13,81.25,25
Clean,False,12,11,91.66666666666666,26
Clean,True,12,11,91.66666666666666,26
Restricted,False,16,13,81.25,26
Restricted,True,16,10,62.5,26
Clean,False,12,10,83.33333333333334,27
Clean,True,12,8,66.66666666666666,27
Restricted,False,16,11,68.75,27
Restricted,True,16,10,62.5,27
Clean,False,12,12,100.0,28
Clean,True,12,11,91.66666666666666,28
Restricted,False,16,11,68.75,28
Restricted,True,16,7,43.75,28
Clean,False,12,10,83.33333333333334,29
Clean,True,12,8,66.66666666666666,29
Restricted,False,16,11,68.75,29
Restricted,True,16,10,62.5,29
Clean,False,12,9,75.0,30
Clean,True,12,12,100.0,30
Restricted,False,16,14,87.5,30
Restricted,True,16,12,75.0,30
Clean,False,12,10,83.33333333333334,31
Clean,True,12,10,83.33333333333334,31
Restricted,False,16,9,56.25,31
Restricted,True,16,10,62.5,31
Clean,False,12,10,83.33333333333334,32
Clean,True,12,11,91.66666666666666,32
Restricted,False,16,11,68.75,32
Restricted,True,16,11,68.75,32
Clean,False,12,9,75.0,33
Clean,True,12,10,83.33333333333334,33
Restricted,False,16,12,75.0,33
Restricted,True,16,10,62.5,33
Clean,False,12,12,100.0,34
Clean,True,12,12,100.0,34
Restricted,False,16,10,62.5,34
Restricted,True,16,8,50.0,34
Clean,False,12,7,58.333333333333336,35
Clean,True,12,11,91.66666666666666,35
Restricted,False,16,11,68.75,35
Restricted,True,16,11,68.75,35
Clean,False,12,11,91.66666666666666,36
Clean,True,12,12,100.0,36
Restricted,False,16,10,62.5,36
Restricted,True,16,11,68.75,36
Clean,False,12,11,91.66666666666666,37
Clean,True,12,10,83.33333333333334,37
Restricted,False,16,10,62.5,37
Restricted,True,16,13,81.25,37
Clean,False,12,9,75.0,38
Clean,True,12,11,91.66666666666666,38
Restricted,False,16,11,68.75,38
Restricted,True,16,10,62.5,38
Clean,False,12,10,83.33333333333334,39
Clean,True,12,10,83.33333333333334,39
Restricted,False,16,12,75.0,39
Restricted,True,16,7,43.75,39
Clean,False,12,12,100.0,40
Clean,True,12,11,91.66666666666666,40
